	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
Number of genes	584	566	570	565	594	553	567	585	684	683	660	675	654	690	693	683	681	698	693	679	651	683	690	674	691	719	680	680	528	696	672	676	692	671	677	659	667	693	664	720	711	681	681	676
Number of genes in orthogroups	581	564	567	565	590	551	566	585	683	681	656	675	650	687	689	680	681	697	691	679	650	675	688	669	687	714	680	678	515	691	668	672	669	670	671	657	666	691	662	708	675	680	681	664
Number of unassigned genes	3	2	3	0	4	2	1	0	1	2	4	0	4	3	4	3	0	1	2	0	1	8	2	5	4	5	0	2	13	5	4	4	23	1	6	2	1	2	2	12	36	1	0	12
Percentage of genes in orthogroups	99.5	99.6	99.5	100.0	99.3	99.6	99.8	100.0	99.9	99.7	99.4	100.0	99.4	99.6	99.4	99.6	100.0	99.9	99.7	100.0	99.8	98.8	99.7	99.3	99.4	99.3	100.0	99.7	97.5	99.3	99.4	99.4	96.7	99.9	99.1	99.7	99.9	99.7	99.7	98.3	94.9	99.9	100.0	98.2
Percentage of unassigned genes	0.5	0.4	0.5	0.0	0.7	0.4	0.2	0.0	0.1	0.3	0.6	0.0	0.6	0.4	0.6	0.4	0.0	0.1	0.3	0.0	0.2	1.2	0.3	0.7	0.6	0.7	0.0	0.3	2.5	0.7	0.6	0.6	3.3	0.1	0.9	0.3	0.1	0.3	0.3	1.7	5.1	0.1	0.0	1.8
Number of orthogroups containing species	563	555	557	556	573	541	556	566	645	646	626	651	633	646	648	650	647	649	650	651	632	654	656	642	660	665	650	647	477	659	643	654	645	651	645	638	661	661	662	654	636	656	654	634
Percentage of orthogroups containing species	69.8	68.8	69.0	68.9	71.0	67.0	68.9	70.1	79.9	80.0	77.6	80.7	78.4	80.0	80.3	80.5	80.2	80.4	80.5	80.7	78.3	81.0	81.3	79.6	81.8	82.4	80.5	80.2	59.1	81.7	79.7	81.0	79.9	80.7	79.9	79.1	81.9	81.9	82.0	81.0	78.8	81.3	81.0	78.6
Number of species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Number of genes in species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0
