Species Tree Node	Duplications (all)	Duplications (50% support)
N0	165	36
MHP_ES2L_proteins	3	3
N4	7	0
N2	186	0
MHP_MHP650_proteins	2	2
MHP_LH_proteins	1	1
N15	3	3
N8	8	0
MHP_112B_proteins	1	1
MFC_Ms42_proteins	4	4
N1	21	0
N23	6	0
N34	21	5
MFC_MF22_proteins	1	1
MHP_168_proteins	1	1
MHP_7448_proteins	4	4
MHP_Ue273_proteins	4	4
MHP_MHP694_proteins	1	1
N3	2	0
MHP_J_proteins	2	2
MHP_KM014_proteins	7	7
MHP_F72C_proteins	2	2
MHP_116_proteins	4	4
MHP_98_proteins	2	2
N29	4	4
N33	5	0
MHP_NCTC10127_proteins	13	13
N18	1	1
N25	1	0
MHP_7422_proteins	1	1
MHP_ES2_proteins	6	6
N14	1	0
N28	1	0
N32	4	2
MHP_131B_proteins	2	2
N17	2	0
MHP_TB1_proteins	2	2
N26	1	0
MHP_MHP653_proteins	1	1
N38	1	1
MHP_111A_proteins	1	1
MHP_UFV02_proteins	2	2
MHP_154B_proteins	1	1
N40	1	1
N37	3	1
N19	1	0
N11	1	0
MFC_ATCC27716_proteins	3	3
MHP_UFV01_proteins	1	1
MHP_153B_proteins	2	2
N22	1	0
