Assembly	ragtag.patch
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	879752
Total length (>= 1000 bp)	876654
Total length (>= 5000 bp)	870993
Total length (>= 10000 bp)	870993
Total length (>= 25000 bp)	870993
Total length (>= 50000 bp)	870993
# contigs	5
Largest contig	870993
Total length	877891
GC (%)	28.57
N50	870993
N90	870993
auN	864169.0
L50	1
L90	1
# N's per 100 kbp	616.14
