# BUSCO version is: 5.8.1 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2024-01-08, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
17at2085	Complete	scf00000000	63563	59325	-	1920.9	1289	https://v10-1.orthodb.org/?query=17at2085	DNA-directed RNA polymerase subunit beta'
53at2085	Complete	scf00000000	67282	63620	-	1724.4	1198	https://v10-1.orthodb.org/?query=53at2085	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
56at2085	Complete	scf00000000	868050	863644	-	1372.3	1032	https://v10-1.orthodb.org/?query=56at2085	DNA polymerase III PolC-type
78at2085	Complete	scf00000000	118600	121539	+	937.7	777	https://v10-1.orthodb.org/?query=78at2085	SMCs flexible hinge
111at2085	Complete	scf00000000	275833	272990	-	1167.2	770	https://v10-1.orthodb.org/?query=111at2085	UvrABC system protein A
118at2085	Complete	scf00000000	690173	688275	-	256.3	336	https://v10-1.orthodb.org/?query=118at2085	Domain of unknown functionDUF2779
147at2085	Complete	scf00000000	855899	853287	-	647.0	456	https://v10-1.orthodb.org/?query=147at2085	Lon protease
148at2085	Complete	scf00000000	253558	251474	-	1036.6	579	https://v10-1.orthodb.org/?query=148at2085	Elongation factor G
157at2085	Complete	scf00000000	195156	192496	-	774.0	635	https://v10-1.orthodb.org/?query=157at2085	Isoleucine--tRNA ligase
163at2085	Complete	scf00000000	381372	384023	+	821.2	620	https://v10-1.orthodb.org/?query=163at2085	Alanine--tRNA ligase
218at2085	Complete	scf00000000	682875	685136	+	435.9	493	https://v10-1.orthodb.org/?query=218at2085	DNA helicase
244at2085	Complete	scf00000000	491065	489155	-	552.5	463	https://v10-1.orthodb.org/?query=244at2085	DNA topoisomerase I, type IA
406at2085	Complete	scf00000000	278291	275826	-	675.3	488	https://v10-1.orthodb.org/?query=406at2085	Ribonuclease J
462at2085	Complete	scf00000000	108428	106056	-	736.5	609	https://v10-1.orthodb.org/?query=462at2085	Leucine--tRNA ligase
482at2085	Complete	scf00000000	204999	202915	-	507.9	501	https://v10-1.orthodb.org/?query=482at2085	Ribonuclease R
492at2085	Complete	scf00000000	242583	244385	+	833.0	489	https://v10-1.orthodb.org/?query=492at2085	Chaperone protein DnaK
501at2085	Complete	scf00000000	248345	250141	+	822.6	526	https://v10-1.orthodb.org/?query=501at2085	Elongation factor 4
533at2085	Complete	scf00000000	158793	160652	+	789.1	515	https://v10-1.orthodb.org/?query=533at2085	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
534at2085	Complete	scf00000000	147262	149730	+	867.8	665	https://v10-1.orthodb.org/?query=534at2085	Valine--tRNA ligase
539at2085	Duplicated	scf00000000	26925	25186	-	815.1	540	https://v10-1.orthodb.org/?query=539at2085	Threonine--tRNA ligase
539at2085	Duplicated	scf00000000	921341	919602	-	815.1	540	https://v10-1.orthodb.org/?query=539at2085	Threonine--tRNA ligase
543at2085	Duplicated	scf00000000	16620	13675	-	598.0	531	https://v10-1.orthodb.org/?query=543at2085	DNA-directed DNA polymerase
543at2085	Duplicated	scf00000000	911036	908091	-	598.0	531	https://v10-1.orthodb.org/?query=543at2085	DNA-directed DNA polymerase
584at2085	Complete	scf00000000	456503	458656	+	360.3	290	https://v10-1.orthodb.org/?query=584at2085	DNA polymerase III subunit gamma/tau
697at2085	Duplicated	scf00000000	32599	34116	+	551.6	421	https://v10-1.orthodb.org/?query=697at2085	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
697at2085	Duplicated	scf00000000	927015	928532	+	551.6	421	https://v10-1.orthodb.org/?query=697at2085	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
699at2085	Complete	scf00000000	108576	110615	+	728.4	532	https://v10-1.orthodb.org/?query=699at2085	UVR domain
705at2085	Complete	scf00000000	852963	851755	-	612.5	341	https://v10-1.orthodb.org/?query=705at2085	Elongation factor Tu
759at2085	Complete	scf00000000	388632	390098	+	518.5	394	https://v10-1.orthodb.org/?query=759at2085	Lysine--tRNA ligase
801at2085	Duplicated	scf00000000	18810	17011	-	629.3	483	https://v10-1.orthodb.org/?query=801at2085	Translation initiation factor IF-2
801at2085	Duplicated	scf00000000	913226	911427	-	629.3	483	https://v10-1.orthodb.org/?query=801at2085	Translation initiation factor IF-2
812at2085	Complete	scf00000000	156019	157410	+	267.2	295	https://v10-1.orthodb.org/?query=812at2085	Chromosomal replication initiator protein DnaA
