Orthogroup	MFC_ATCC27716_genes	MHP_98_genes
OG0000000	MFC_RS01410	GOM18_RS02340
OG0000000	MFC_RS00365	GOM18_RS03685
OG0000001	MFC_RS03350	GOM18_RS03240, GOM18_RS03230, GOM18_RS03125, GOM18_RS04130, GOM18_RS04125
OG0000002	MFC_RS00395	GOM18_RS02350, GOM18_RS02345
OG0000002	MFC_RS00370	GOM18_RS04550
OG0000011	MFC_RS03510, MFC_RS03505	GOM18_RS03250
OG0000011	MFC_RS01350	GOM18_RS03255
OG0000013	MFC_RS03175, MFC_RS02880	GOM18_RS02545
OG0000013	MFC_RS03420	GOM18_RS03935
OG0000014	MFC_RS00870	GOM18_RS03570, GOM18_RS01700
OG0000015	MFC_RS03450	GOM18_RS02565
OG0000016	MFC_RS01050	GOM18_RS01215
OG0000017	MFC_RS03155	GOM18_RS01265
OG0000017	MFC_RS01040	GOM18_RS01205
OG0000018	MFC_RS00540	GOM18_RS04240
OG0000020	MFC_RS00305	GOM18_RS04290
OG0000020	MFC_RS00300	GOM18_RS03770, GOM18_RS03765
OG0000022	MFC_RS00360	GOM18_RS04500
OG0000023	MFC_RS01695	GOM18_RS00025
OG0000024	MFC_RS01110	GOM18_RS03075, GOM18_RS03225
OG0000025	MFC_RS00355	GOM18_RS04505
OG0000026	MFC_RS00580	GOM18_RS02790, GOM18_RS03010
OG0000027	MFC_RS02850	GOM18_RS04320
OG0000029	MFC_RS00875	GOM18_RS01705, GOM18_RS03580
OG0000030	MFC_RS02855	GOM18_RS04340, GOM18_RS04325
OG0000031	MFC_RS01295	GOM18_RS00085, GOM18_RS03625
OG0000032	MFC_RS02685	GOM18_RS00745, GOM18_RS02560
OG0000032	MFC_RS02860	GOM18_RS04565
OG0000037	MFC_RS03185	GOM18_RS04545
OG0000037	MFC_RS00375	GOM18_RS02550
OG0000039	MFC_RS03135, MFC_RS00935	GOM18_RS03565
OG0000040	MFC_RS01640, MFC_RS01160, MFC_RS01165	GOM18_RS00810
OG0000042	MFC_RS00930, MFC_RS01085	GOM18_RS01120
OG0000043	MFC_RS01320	GOM18_RS03285
OG0000045	MFC_RS00950	GOM18_RS03555
OG0000048	MFC_RS00140	GOM18_RS02325
OG0000049	MFC_RS03220, MFC_RS03365	GOM18_RS01035
OG0000050	MFC_RS01260	GOM18_RS01900
OG0000051	MFC_RS02240	GOM18_RS02100
OG0000052	MFC_RS00160	GOM18_RS00655
OG0000053	MFC_RS00665	GOM18_RS04480
OG0000054	MFC_RS01235	GOM18_RS01925
OG0000055	MFC_RS03415, MFC_RS03540	GOM18_RS01245
OG0000056	MFC_RS00325	GOM18_RS00495
OG0000057	MFC_RS00965	GOM18_RS01135
OG0000062	MFC_RS00270	GOM18_RS00545
OG0000063	MFC_RS00275	GOM18_RS04295
OG0000064	MFC_RS00285	GOM18_RS00530
OG0000065	MFC_RS00440	GOM18_RS02395
OG0000066	MFC_RS00570	GOM18_RS02800
OG0000068	MFC_RS00910	GOM18_RS03445
OG0000069	MFC_RS01075	GOM18_RS01240, GOM18_RS03140
OG0000070	MFC_RS01215	GOM18_RS01930
OG0000071	MFC_RS01630	GOM18_RS00820
OG0000072	MFC_RS01635	GOM18_RS04355
OG0000073	MFC_RS03395, MFC_RS03390	GOM18_RS00135
OG0000074	MFC_RS03400	GOM18_RS04260
OG0000076	MFC_RS02580	GOM18_RS01465
OG0000077	MFC_RS02670	GOM18_RS01550
OG0000079	MFC_RS02930, MFC_RS03120	GOM18_RS02005
OG0000080	MFC_RS03315	GOM18_RS03980
OG0000081	MFC_RS03430, MFC_RS02560	GOM18_RS01445
OG0000082	MFC_RS02870	GOM18_RS02535
OG0000083	MFC_RS00040	GOM18_RS02245
OG0000084	MFC_RS00070	GOM18_RS02275
OG0000085	MFC_RS00075	GOM18_RS02280
OG0000086	MFC_RS00085	GOM18_RS02290
OG0000087	MFC_RS03320	GOM18_RS02305
OG0000088	MFC_RS00105	GOM18_RS02310
OG0000089	MFC_RS00115	GOM18_RS02320
OG0000090	MFC_RS00165	GOM18_RS00650
OG0000091	MFC_RS00180	GOM18_RS00635
OG0000092	MFC_RS00195	GOM18_RS00620
OG0000093	MFC_RS00200	GOM18_RS00615
OG0000094	MFC_RS00205	GOM18_RS00610
OG0000095	MFC_RS00230	GOM18_RS00585
OG0000096	MFC_RS00235	GOM18_RS00580
OG0000097	MFC_RS00255	GOM18_RS00560
OG0000098	MFC_RS00265	GOM18_RS00550
OG0000099	MFC_RS00320	GOM18_RS04285
OG0000100	MFC_RS00335	GOM18_RS00485
OG0000101	MFC_RS00340	GOM18_RS00480
OG0000102	MFC_RS00350	GOM18_RS02995
OG0000103	MFC_RS00405	GOM18_RS02360
OG0000104	MFC_RS00410	GOM18_RS02365
OG0000105	MFC_RS00425	GOM18_RS02380
OG0000106	MFC_RS00435	GOM18_RS02390
OG0000107	MFC_RS00445	GOM18_RS02400
OG0000108	MFC_RS00450	GOM18_RS02405
OG0000109	MFC_RS00455	GOM18_RS02410
OG0000110	MFC_RS00460	GOM18_RS02525
OG0000111	MFC_RS00465	GOM18_RS02520
OG0000112	MFC_RS00475	GOM18_RS02510
OG0000113	MFC_RS00490	GOM18_RS02490
OG0000114	MFC_RS00500	GOM18_RS02480
OG0000115	MFC_RS00510	GOM18_RS02470
OG0000116	MFC_RS00520	GOM18_RS02855
OG0000117	MFC_RS00525	GOM18_RS02850
OG0000118	MFC_RS00555	GOM18_RS02815
OG0000119	MFC_RS00560	GOM18_RS02810
OG0000120	MFC_RS00575	GOM18_RS02795
OG0000121	MFC_RS00600	GOM18_RS02775
OG0000122	MFC_RS00605	GOM18_RS02770
OG0000123	MFC_RS00625	GOM18_RS02750
OG0000124	MFC_RS00630	GOM18_RS02745
OG0000125	MFC_RS00635	GOM18_RS02740
OG0000126	MFC_RS00645	GOM18_RS02730
OG0000127	MFC_RS00655	GOM18_RS02720
OG0000128	MFC_RS00670	GOM18_RS02705
OG0000129	MFC_RS00675	GOM18_RS02700
OG0000130	MFC_RS00685	GOM18_RS02690
OG0000131	MFC_RS00715	GOM18_RS04475
OG0000132	MFC_RS00735	GOM18_RS04470
OG0000133	MFC_RS00805	GOM18_RS01635
OG0000134	MFC_RS00810	GOM18_RS01640
OG0000135	MFC_RS00825	GOM18_RS01655
OG0000136	MFC_RS00830	GOM18_RS01660
OG0000137	MFC_RS00860	GOM18_RS01690
OG0000138	MFC_RS00885	GOM18_RS03470
OG0000139	MFC_RS00915	GOM18_RS03440
OG0000140	MFC_RS00920	GOM18_RS03435
OG0000141	MFC_RS00955	GOM18_RS01125
OG0000142	MFC_RS00960	GOM18_RS04380
OG0000143	MFC_RS00985	GOM18_RS01150
OG0000144	MFC_RS00995	GOM18_RS01160
OG0000145	MFC_RS01005	GOM18_RS01170
OG0000146	MFC_RS01015	GOM18_RS01180
OG0000147	MFC_RS01020	GOM18_RS01185
OG0000148	MFC_RS01035	GOM18_RS01200
OG0000149	MFC_RS01045	GOM18_RS01210
OG0000150	MFC_RS01060	GOM18_RS01225
OG0000151	MFC_RS01115	GOM18_RS03115
OG0000152	MFC_RS01120	GOM18_RS03110
