Orthogroup	MHP_ES2_genes	MHP_111A_genes
OG0000000	E5E95_RS02240	NB623_RS01020
OG0000000	E5E95_RS04075	NB623_RS01030
OG0000000	E5E95_RS02430	NB623_RS02460
OG0000000	E5E95_RS01830	NB623_RS01845, NB623_RS01850
OG0000000	E5E95_RS04235, E5E95_RS01835	NB623_RS01865
OG0000001	E5E95_RS01300	NB623_RS01400
OG0000001	E5E95_RS03000	NB623_RS02960
OG0000001	E5E95_RS04150	NB623_RS02910
OG0000002	E5E95_RS02320	NB623_RS02345
OG0000002	E5E95_RS02315	NB623_RS01905
OG0000002	E5E95_RS02250	NB623_RS01015
OG0000003	E5E95_RS00505	NB623_RS00505
OG0000003	E5E95_RS00930	NB623_RS00940
OG0000003	E5E95_RS04070	NB623_RS01035
OG0000003	E5E95_RS03910	NB623_RS02255
OG0000004	E5E95_RS03410	NB623_RS03360
OG0000004	E5E95_RS03400	NB623_RS03350
OG0000004	E5E95_RS03425	NB623_RS03365
OG0000004	E5E95_RS03215	NB623_RS03170
OG0000005	E5E95_RS00090	NB623_RS00105
OG0000005	E5E95_RS00095	NB623_RS00110
OG0000005	E5E95_RS00100	NB623_RS00115
OG0000006	E5E95_RS02705	NB623_RS02650
OG0000007	E5E95_RS00935	NB623_RS00955, NB623_RS00950
OG0000007	E5E95_RS02300	NB623_RS01045
OG0000007	E5E95_RS00950	NB623_RS00970
OG0000007	E5E95_RS02295	NB623_RS01050
OG0000007	E5E95_RS02290	NB623_RS01060
OG0000008	E5E95_RS03925, E5E95_RS04080	NB623_RS02455
OG0000008	E5E95_RS03905	NB623_RS01760
OG0000008	E5E95_RS03930	NB623_RS02665
OG0000008	E5E95_RS04135	NB623_RS02660
OG0000009	E5E95_RS00665	NB623_RS00665
OG0000009	E5E95_RS00680	NB623_RS00680
OG0000010	E5E95_RS01970	NB623_RS02245
OG0000011	E5E95_RS02070	NB623_RS02145
OG0000011	E5E95_RS02060	NB623_RS02150
OG0000012	E5E95_RS03230	NB623_RS02340
OG0000013	E5E95_RS02610	NB623_RS02540
OG0000014	E5E95_RS01105	NB623_RS01220
OG0000014	E5E95_RS00605	NB623_RS00600
OG0000015	E5E95_RS01745	NB623_RS01685
OG0000016	E5E95_RS00160	NB623_RS00160
OG0000017	E5E95_RS00145	NB623_RS00145
OG0000017	E5E95_RS03050	NB623_RS03015
OG0000019	E5E95_RS04175	NB623_RS03175
OG0000020	E5E95_RS03770	NB623_RS03740
OG0000021	E5E95_RS03845, E5E95_RS03755	NB623_RS02325
OG0000022	E5E95_RS01770	NB623_RS01785
OG0000022	E5E95_RS01825	NB623_RS01840
OG0000024	E5E95_RS02945	NB623_RS02905
OG0000024	E5E95_RS01290	NB623_RS01395
OG0000025	E5E95_RS01775	NB623_RS01790
OG0000025	E5E95_RS01820	NB623_RS01835
OG0000026	E5E95_RS01380	NB623_RS01480
OG0000026	E5E95_RS01800	NB623_RS01815
OG0000027	E5E95_RS03560	NB623_RS03520
OG0000027	E5E95_RS03575	NB623_RS03535
OG0000028	E5E95_RS02620	NB623_RS02565, NB623_RS02570
OG0000029	E5E95_RS01100	NB623_RS01215
OG0000029	E5E95_RS00610	NB623_RS00605
OG0000030	E5E95_RS03550	NB623_RS03510
OG0000030	E5E95_RS03570	NB623_RS03530
OG0000032	E5E95_RS03995	NB623_RS01690
OG0000032	E5E95_RS03565	NB623_RS03525
OG0000034	E5E95_RS04045	NB623_RS00990
OG0000034	E5E95_RS04050	NB623_RS00980
OG0000035	E5E95_RS03405, E5E95_RS03420	NB623_RS03355
OG0000035	E5E95_RS03395	NB623_RS03345
