Orthogroup	MFC_Ms42_genes	MHP_112B_genes
OG0000000	MYF_RS01330	NBX26_RS01900
OG0000000	MYF_RS01460	NBX26_RS01030, NBX26_RS01020
OG0000000	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435	NBX26_RS01035
OG0000000	MYF_RS03295	NBX26_RS01850
OG0000001	MYF_RS03415	NBX26_RS01405, NBX26_RS02970, NBX26_RS02925, NBX26_RS02920
OG0000002	MYF_RS01530	NBX26_RS02355, NBX26_RS01895
OG0000002	MYF_RS01475	NBX26_RS01010
OG0000003	MYF_RS01515	NBX26_RS01040
OG0000004	MYF_RS02520	NBX26_RS03185
OG0000007	MYF_RS01510	NBX26_RS01050
OG0000007	MYF_RS01505	NBX26_RS01055
OG0000007	MYF_RS01500	NBX26_RS01065
OG0000008	MYF_RS01875	NBX26_RS01765
OG0000011	MYF_RS03310	NBX26_RS02155
OG0000013	MYF_RS03170, MYF_RS01100	NBX26_RS02550
OG0000014	MYF_RS00550	NBX26_RS00605
OG0000017	MYF_RS03155	NBX26_RS00145
OG0000017	MYF_RS00720	NBX26_RS03025
OG0000018	MYF_RS01675	NBX26_RS01950
OG0000019	MYF_RS03450	NBX26_RS03210, NBX26_RS03200
OG0000020	MYF_RS03085	NBX26_RS03745
OG0000022	MYF_RS03025	NBX26_RS01845
OG0000023	MYF_RS01880	NBX26_RS01940
OG0000024	MYF_RS00790	NBX26_RS02915, NBX26_RS01400
OG0000025	MYF_RS03030	NBX26_RS01840
OG0000026	MYF_RS01715	NBX26_RS01490, NBX26_RS01820
OG0000027	MYF_RS02825	NBX26_RS03555
OG0000029	MYF_RS00555	NBX26_RS01225, NBX26_RS00610
OG0000030	MYF_RS02820	NBX26_RS03525, NBX26_RS03550
OG0000031	MYF_RS01215	NBX26_RS01990
OG0000032	MYF_RS03490	NBX26_RS01700
OG0000032	MYF_RS02815	NBX26_RS03545
OG0000033	MYF_RS01130	NBX26_RS02570
OG0000037	MYF_RS03005	NBX26_RS01705
OG0000039	MYF_RS03160, MYF_RS00615	NBX26_RS01735
OG0000042	MYF_RS00610, MYF_RS00765	NBX26_RS03110
OG0000043	MYF_RS01240	NBX26_RS02185
OG0000045	MYF_RS00630	NBX26_RS01745
OG0000048	MYF_RS01350	NBX26_RS01920
OG0000049	MYF_RS03265, MYF_RS03455	NBX26_RS03220
OG0000050	MYF_RS01180	NBX26_RS02610
OG0000051	MYF_RS02420	NBX26_RS02825
OG0000052	MYF_RS00075	NBX26_RS00080
OG0000053	MYF_RS01800	NBX26_RS01580
OG0000054	MYF_RS01155	NBX26_RS02635
OG0000055	MYF_RS03395, MYF_RS03525	NBX26_RS00125
OG0000056	MYF_RS03060	NBX26_RS03730
OG0000057	MYF_RS00645	NBX26_RS03095
OG0000062	MYF_RS03115	NBX26_RS03775
OG0000063	MYF_RS03110	NBX26_RS03770
OG0000064	MYF_RS03100	NBX26_RS03760
OG0000065	MYF_RS01575	NBX26_RS02400
OG0000066	MYF_RS01705	NBX26_RS01480, NBX26_RS01475
OG0000068	MYF_RS00590	NBX26_RS00645
OG0000069	MYF_RS00755	NBX26_RS02990
OG0000070	MYF_RS01135	NBX26_RS02640
OG0000071	MYF_RS02760	NBX26_RS03445
OG0000072	MYF_RS02765	NBX26_RS03450
OG0000073	MYF_RS02005	NBX26_RS00715
OG0000075	MYF_RS00305	NBX26_RS00335
OG0000077	MYF_RS00410	NBX26_RS00435
OG0000079	MYF_RS01050	NBX26_RS02720
OG0000080	MYF_RS01000, MYF_RS03365	NBX26_RS02765
OG0000081	MYF_RS00300	NBX26_RS00330
OG0000083	MYF_RS01430	NBX26_RS02080
OG0000084	MYF_RS01400	NBX26_RS02050
OG0000085	MYF_RS01395	NBX26_RS02045
OG0000086	MYF_RS01385	NBX26_RS02030
OG0000087	MYF_RS01370	NBX26_RS02015
OG0000088	MYF_RS01365	NBX26_RS02010
OG0000089	MYF_RS01355	NBX26_RS02000
OG0000090	MYF_RS00070	NBX26_RS00070
OG0000091	MYF_RS00055	NBX26_RS00055
OG0000092	MYF_RS00040	NBX26_RS00040
OG0000093	MYF_RS00035	NBX26_RS00035
OG0000094	MYF_RS00030	NBX26_RS00030
OG0000095	MYF_RS00005	NBX26_RS00005
OG0000096	MYF_RS03150	NBX26_RS03810
OG0000097	MYF_RS03130	NBX26_RS03790
OG0000098	MYF_RS03120	NBX26_RS03780
OG0000099	MYF_RS03065	NBX26_RS03735
OG0000100	MYF_RS03050	NBX26_RS03720
OG0000101	MYF_RS03045	NBX26_RS03715
OG0000102	MYF_RS03035	NBX26_RS01835
OG0000103	MYF_RS01540	NBX26_RS02365
OG0000104	MYF_RS01545	NBX26_RS02370
OG0000105	MYF_RS01560	NBX26_RS02390
OG0000106	MYF_RS01570	NBX26_RS02395
OG0000107	MYF_RS01580	NBX26_RS02405
OG0000108	MYF_RS01585	NBX26_RS02410
OG0000109	MYF_RS01590	NBX26_RS02415
OG0000110	MYF_RS01595	NBX26_RS02535
OG0000111	MYF_RS01600	NBX26_RS02530
OG0000112	MYF_RS01610	NBX26_RS02520
OG0000113	MYF_RS01625	NBX26_RS02500
OG0000114	MYF_RS01635	NBX26_RS02490
OG0000115	MYF_RS01645	NBX26_RS02480
OG0000116	MYF_RS01655	NBX26_RS01420
OG0000117	MYF_RS01660	NBX26_RS01425
OG0000118	MYF_RS01690	NBX26_RS01460
OG0000119	MYF_RS01695	NBX26_RS01470
OG0000120	MYF_RS01710	NBX26_RS01485
OG0000121	MYF_RS01735	NBX26_RS01515
OG0000122	MYF_RS01740	NBX26_RS01520
OG0000123	MYF_RS01760	NBX26_RS01540
OG0000124	MYF_RS01765	NBX26_RS01545
OG0000125	MYF_RS01770	NBX26_RS01550
OG0000126	MYF_RS01780	NBX26_RS01560
OG0000127	MYF_RS01790	NBX26_RS01570
OG0000128	MYF_RS01805	NBX26_RS01585
OG0000129	MYF_RS01810	NBX26_RS01590
OG0000130	MYF_RS01820	NBX26_RS01600
OG0000131	MYF_RS01850	NBX26_RS01630
OG0000132	MYF_RS01865	NBX26_RS01645
OG0000133	MYF_RS00485	NBX26_RS00530
OG0000134	MYF_RS00490	NBX26_RS00535
OG0000135	MYF_RS00505	NBX26_RS00550
OG0000136	MYF_RS00510	NBX26_RS00555
OG0000137	MYF_RS00540	NBX26_RS00595
OG0000138	MYF_RS00565	NBX26_RS00620
OG0000139	MYF_RS00595	NBX26_RS00650
OG0000140	MYF_RS00600	NBX26_RS00655
OG0000141	MYF_RS00635	NBX26_RS03105
OG0000142	MYF_RS00640	NBX26_RS03100
OG0000143	MYF_RS00665	NBX26_RS03085
OG0000144	MYF_RS00675	NBX26_RS03070
OG0000145	MYF_RS00685	NBX26_RS03060
OG0000146	MYF_RS00695	NBX26_RS03050
OG0000147	MYF_RS00700	NBX26_RS03045
OG0000148	MYF_RS00715	NBX26_RS03030
OG0000149	MYF_RS00725	NBX26_RS03020
OG0000150	MYF_RS00740	NBX26_RS03005
OG0000151	MYF_RS00795	NBX26_RS02955
OG0000152	MYF_RS00800	NBX26_RS02950
OG0000153	MYF_RS00805	NBX26_RS02945
OG0000154	MYF_RS00815	NBX26_RS02935
OG0000155	MYF_RS00835	NBX26_RS02895
OG0000156	MYF_RS00855	NBX26_RS02890
OG0000157	MYF_RS00860	NBX26_RS02880
OG0000158	MYF_RS00870	NBX26_RS02870
OG0000159	MYF_RS01165	NBX26_RS02625
OG0000160	MYF_RS01170	NBX26_RS02620
OG0000161	MYF_RS01175	NBX26_RS02615
OG0000162	MYF_RS01185	NBX26_RS02605
OG0000163	MYF_RS01190	NBX26_RS02600
OG0000164	MYF_RS01220	NBX26_RS01730
OG0000165	MYF_RS01265	NBX26_RS02160
OG0000166	MYF_RS01285	NBX26_RS02140
OG0000167	MYF_RS01300	NBX26_RS02125
OG0000168	MYF_RS01305	NBX26_RS02120
OG0000169	MYF_RS02560	NBX26_RS03215
OG0000170	MYF_RS02585	NBX26_RS03230
OG0000171	MYF_RS02595	NBX26_RS03240
OG0000172	MYF_RS02600	NBX26_RS03245
OG0000173	MYF_RS02605	NBX26_RS03250
OG0000174	MYF_RS02610	NBX26_RS03255
OG0000175	MYF_RS02625	NBX26_RS03270
OG0000176	MYF_RS02670	NBX26_RS03330
OG0000177	MYF_RS02675	NBX26_RS03335
OG0000178	MYF_RS02680	NBX26_RS03340
OG0000179	MYF_RS02690	NBX26_RS03350
OG0000180	MYF_RS02695	NBX26_RS03355
OG0000181	MYF_RS02710	NBX26_RS03395
OG0000182	MYF_RS02720	NBX26_RS03405
OG0000183	MYF_RS02755	NBX26_RS03440
OG0000184	MYF_RS02785	NBX26_RS03495
OG0000185	MYF_RS02800	NBX26_RS03480
OG0000186	MYF_RS01895	NBX26_RS01655
OG0000187	MYF_RS01910	NBX26_RS01670
OG0000188	MYF_RS01920	NBX26_RS01680
OG0000189	MYF_RS01930	NBX26_RS02455
OG0000190	MYF_RS01935	NBX26_RS02450
OG0000191	MYF_RS01955	NBX26_RS02425
OG0000192	MYF_RS01965	NBX26_RS01345
OG0000193	MYF_RS01980	NBX26_RS01330
OG0000194	MYF_RS01990	NBX26_RS00695
OG0000195	MYF_RS01995	NBX26_RS00700
OG0000196	MYF_RS02015	NBX26_RS00725
OG0000197	MYF_RS02020	NBX26_RS00735
OG0000198	MYF_RS02035	NBX26_RS00745
OG0000199	MYF_RS02040	NBX26_RS00750
OG0000200	MYF_RS02050	NBX26_RS00765
OG0000201	MYF_RS02060	NBX26_RS00775
OG0000202	MYF_RS02115	NBX26_RS00830
OG0000203	MYF_RS02120	NBX26_RS00835
OG0000204	MYF_RS02125	NBX26_RS00840
OG0000205	MYF_RS02130	NBX26_RS00845
OG0000206	MYF_RS02150	NBX26_RS00865
OG0000207	MYF_RS02165	NBX26_RS00880
OG0000208	MYF_RS02170	NBX26_RS00885
OG0000209	MYF_RS02175	NBX26_RS00890
OG0000210	MYF_RS02220	NBX26_RS00935
OG0000211	MYF_RS02230	NBX26_RS01080
OG0000212	MYF_RS02240	NBX26_RS01085
OG0000213	MYF_RS02245	NBX26_RS01090
OG0000214	MYF_RS02250	NBX26_RS01095
OG0000215	MYF_RS02255	NBX26_RS01100
OG0000216	MYF_RS02260	NBX26_RS01105
OG0000217	MYF_RS02265	NBX26_RS01110
OG0000218	MYF_RS02275	NBX26_RS01120
OG0000219	MYF_RS02280	NBX26_RS01125
OG0000220	MYF_RS02285	NBX26_RS01130
OG0000221	MYF_RS02290	NBX26_RS01135
OG0000222	MYF_RS03240	NBX26_RS01140
OG0000223	MYF_RS02295	NBX26_RS01145
OG0000224	MYF_RS02305	NBX26_RS01155
OG0000225	MYF_RS02315	NBX26_RS01165
OG0000226	MYF_RS02320	NBX26_RS01170
OG0000227	MYF_RS02325	NBX26_RS01175
OG0000228	MYF_RS03530	NBX26_RS01180
OG0000229	MYF_RS02335	NBX26_RS01185
OG0000230	MYF_RS02340	NBX26_RS01190
OG0000231	MYF_RS02350	NBX26_RS01200
OG0000232	MYF_RS02360	NBX26_RS01210
OG0000233	MYF_RS02370	NBX26_RS01230
OG0000234	MYF_RS02400	NBX26_RS01265
OG0000235	MYF_RS02410	NBX26_RS01275
OG0000236	MYF_RS02415	NBX26_RS01280
OG0000237	MYF_RS02430	NBX26_RS01285
OG0000238	MYF_RS02435	NBX26_RS01295
OG0000239	MYF_RS02465	NBX26_RS03115
OG0000240	MYF_RS02470	NBX26_RS03120
OG0000241	MYF_RS02480	NBX26_RS03130
OG0000242	MYF_RS02485	NBX26_RS03135
OG0000243	MYF_RS02490	NBX26_RS03140
OG0000244	MYF_RS02500	NBX26_RS03150
OG0000245	MYF_RS02510	NBX26_RS03160
OG0000246	MYF_RS00085	NBX26_RS00130
OG0000247	MYF_RS00095	NBX26_RS00140
OG0000248	MYF_RS00120	NBX26_RS00150
OG0000249	MYF_RS00125	NBX26_RS00155
OG0000250	MYF_RS00140	NBX26_RS00180
OG0000251	MYF_RS00170	NBX26_RS00210
OG0000252	MYF_RS00180	NBX26_RS00215
OG0000253	MYF_RS00185	NBX26_RS00220
OG0000254	MYF_RS00195	NBX26_RS00230
OG0000255	MYF_RS00205	NBX26_RS00235
OG0000256	MYF_RS00210	NBX26_RS00240
OG0000257	MYF_RS00235	NBX26_RS00265
OG0000258	MYF_RS00245	NBX26_RS00280
OG0000259	MYF_RS00275	NBX26_RS00305
OG0000260	MYF_RS00285	NBX26_RS00315
OG0000261	MYF_RS00295	NBX26_RS00325
OG0000262	MYF_RS00310	NBX26_RS00340
OG0000263	MYF_RS00325	NBX26_RS00355
OG0000264	MYF_RS00340	NBX26_RS00370
OG0000265	MYF_RS00350	NBX26_RS00380
OG0000266	MYF_RS00365	NBX26_RS00395
OG0000267	MYF_RS00380	NBX26_RS00410
OG0000268	MYF_RS00385	NBX26_RS00415
OG0000269	MYF_RS00400	NBX26_RS00430
OG0000270	MYF_RS02955	NBX26_RS03690
OG0000271	MYF_RS02950	NBX26_RS03685
OG0000272	MYF_RS02945	NBX26_RS03680
OG0000273	MYF_RS02940	NBX26_RS03675
OG0000274	MYF_RS02920	NBX26_RS03660
OG0000275	MYF_RS02915	NBX26_RS03650
OG0000276	MYF_RS02910	NBX26_RS03645
OG0000277	MYF_RS02900	NBX26_RS03635
OG0000278	MYF_RS02895	NBX26_RS03630
OG0000279	MYF_RS02885	NBX26_RS03620
OG0000280	MYF_RS02880	NBX26_RS03615
OG0000281	MYF_RS03275	NBX26_RS03610
OG0000282	MYF_RS02855	NBX26_RS03585
OG0000283	MYF_RS02850	NBX26_RS03580
OG0000284	MYF_RS02845	NBX26_RS03575
OG0000285	MYF_RS02840	NBX26_RS03570
OG0000286	MYF_RS01115	NBX26_RS02585
OG0000287	MYF_RS01090	NBX26_RS02680
OG0000288	MYF_RS01080	NBX26_RS02690
OG0000289	MYF_RS01075	NBX26_RS02695
OG0000290	MYF_RS00905	NBX26_RS02815
OG0000291	MYF_RS00915	NBX26_RS02800
OG0000292	MYF_RS00920	NBX26_RS02795
OG0000293	MYF_RS00925	NBX26_RS02785
OG0000294	MYF_RS00935	NBX26_RS02775
OG0000295	MYF_RS00940	NBX26_RS02770
OG0000296	MYF_RS01040	NBX26_RS02730
OG0000297	MYF_RS01045	NBX26_RS02725
OG0000298	MYF_RS00135	NBX26_RS00165
OG0000299	MYF_RS00155	NBX26_RS00190
OG0000300	MYF_RS00335	NBX26_RS00365
OG0000301	MYF_RS00370	NBX26_RS00400
OG0000302	MYF_RS00375	NBX26_RS00405
OG0000303	MYF_RS00515	NBX26_RS00560
