Orthogroup	MFC_ATCC27716_genes	MHP_MHP679_genes
OG0000001	MFC_RS03350	DR086_RS03435, DR086_RS01010, DR086_RS03200, DR086_RS03195
OG0000002	MFC_RS00395	DR086_RS04310
OG0000002	MFC_RS02940	DR086_RS05060
OG0000002	MFC_RS00370	DR086_RS04880
OG0000003	MFC_RS02995	DR086_RS05055
OG0000007	MFC_RS02975	DR086_RS03485
OG0000007	MFC_RS02965	DR086_RS03495
OG0000008	MFC_RS03380	DR086_RS04265
OG0000011	MFC_RS03510, MFC_RS03505	DR086_RS00450
OG0000011	MFC_RS01350	DR086_RS00445
OG0000013	MFC_RS03175, MFC_RS02880	DR086_RS03105
OG0000013	MFC_RS03420	DR086_RS04005
OG0000014	MFC_RS00870	DR086_RS03610, DR086_RS04970
OG0000015	MFC_RS03450	DR086_RS00690
OG0000016	MFC_RS01050	DR086_RS01050
OG0000017	MFC_RS03155	DR086_RS00015
OG0000017	MFC_RS01040	DR086_RS01060
OG0000019	MFC_RS03000, MFC_RS03330	DR086_RS04570
OG0000020	MFC_RS00300	DR086_RS02470
OG0000022	MFC_RS00360	DR086_RS04885
OG0000024	MFC_RS01110	DR086_RS03190
OG0000025	MFC_RS00355	DR086_RS01595
OG0000026	MFC_RS00580	DR086_RS01970, DR086_RS01615
OG0000027	MFC_RS02850	DR086_RS04870
OG0000029	MFC_RS00875	DR086_RS02730
OG0000030	MFC_RS02855	DR086_RS05025, DR086_RS04875
OG0000031	MFC_RS01295	DR086_RS00745
OG0000032	MFC_RS02685	DR086_RS03980
OG0000032	MFC_RS02860	DR086_RS03870
OG0000037	MFC_RS03185	DR086_RS04510
OG0000037	MFC_RS03295	DR086_RS03330
OG0000037	MFC_RS00375	DR086_RS03325
OG0000039	MFC_RS03135, MFC_RS00935	DR086_RS03295
OG0000042	MFC_RS00930, MFC_RS01085	DR086_RS02970
OG0000043	MFC_RS01320	DR086_RS00415
OG0000045	MFC_RS00950	DR086_RS03290
OG0000047	MFC_RS03280	DR086_RS00730
OG0000048	MFC_RS00140	DR086_RS00610
OG0000049	MFC_RS03220, MFC_RS03365	DR086_RS01430
OG0000050	MFC_RS01260	DR086_RS02195
OG0000051	MFC_RS02240	DR086_RS00855
OG0000052	MFC_RS00160	DR086_RS01150
OG0000053	MFC_RS00665	DR086_RS04905
OG0000054	MFC_RS01235	DR086_RS02170
OG0000055	MFC_RS03415, MFC_RS03540	DR086_RS03270
OG0000056	MFC_RS00325	DR086_RS02455
OG0000057	MFC_RS00965	DR086_RS01130
OG0000062	MFC_RS00270	DR086_RS01260
OG0000063	MFC_RS00275	DR086_RS04835
OG0000064	MFC_RS00285	DR086_RS01275
OG0000065	MFC_RS00440	DR086_RS02080
OG0000066	MFC_RS00570	DR086_RS01980
OG0000068	MFC_RS00910	DR086_RS01570
OG0000069	MFC_RS01075	DR086_RS01025
OG0000070	MFC_RS01215	DR086_RS02165
OG0000071	MFC_RS01630	DR086_RS02350
OG0000072	MFC_RS01635	DR086_RS04935
OG0000073	MFC_RS03395, MFC_RS03390	DR086_RS03040
OG0000075	MFC_RS02565	DR086_RS03840
OG0000076	MFC_RS02580	DR086_RS00225
OG0000077	MFC_RS02670	DR086_RS00315
OG0000078	MFC_RS03005	DR086_RS01625
OG0000079	MFC_RS02930, MFC_RS03120	DR086_RS00950
OG0000080	MFC_RS03315	DR086_RS04145
OG0000081	MFC_RS03430, MFC_RS02560	DR086_RS00205
OG0000082	MFC_RS02870	DR086_RS03110
OG0000083	MFC_RS00040	DR086_RS00520
OG0000084	MFC_RS00070	DR086_RS00545
OG0000085	MFC_RS00075	DR086_RS00550
OG0000086	MFC_RS00085	DR086_RS00560
OG0000087	MFC_RS03320	DR086_RS00575
OG0000088	MFC_RS00105	DR086_RS00580
OG0000089	MFC_RS00115	DR086_RS00590
OG0000090	MFC_RS00165	DR086_RS01155
OG0000091	MFC_RS00180	DR086_RS01170
OG0000092	MFC_RS00195	DR086_RS01185
OG0000093	MFC_RS00200	DR086_RS01190
OG0000094	MFC_RS00205	DR086_RS01195
OG0000095	MFC_RS00230	DR086_RS01220
OG0000096	MFC_RS00235	DR086_RS01225
OG0000097	MFC_RS00255	DR086_RS01245
OG0000098	MFC_RS00265	DR086_RS01255
OG0000099	MFC_RS00320	DR086_RS04950
OG0000100	MFC_RS00335	DR086_RS02445
OG0000101	MFC_RS00340	DR086_RS02440
OG0000102	MFC_RS00350	DR086_RS01600
OG0000103	MFC_RS00405	DR086_RS02115
OG0000104	MFC_RS00410	DR086_RS02110
OG0000105	MFC_RS00425	DR086_RS02095
OG0000106	MFC_RS00435	DR086_RS02085
OG0000107	MFC_RS00445	DR086_RS02075
OG0000108	MFC_RS00450	DR086_RS02070
OG0000109	MFC_RS00455	DR086_RS02065
OG0000110	MFC_RS00460	DR086_RS03120
OG0000111	MFC_RS00465	DR086_RS03125
OG0000112	MFC_RS00475	DR086_RS03135
OG0000113	MFC_RS00490	DR086_RS05050
OG0000114	MFC_RS00500	DR086_RS03455
OG0000115	MFC_RS00510	DR086_RS03475
OG0000116	MFC_RS00520	DR086_RS03410
OG0000117	MFC_RS00525	DR086_RS03405
OG0000118	MFC_RS00555	DR086_RS01995
OG0000119	MFC_RS00560	DR086_RS01990
OG0000120	MFC_RS00575	DR086_RS01975
OG0000121	MFC_RS00600	DR086_RS01950
OG0000122	MFC_RS00605	DR086_RS01945
OG0000123	MFC_RS00625	DR086_RS01925
OG0000124	MFC_RS00630	DR086_RS01920
OG0000125	MFC_RS00635	DR086_RS01915
OG0000126	MFC_RS00645	DR086_RS01900
OG0000127	MFC_RS00655	DR086_RS01890
OG0000128	MFC_RS00670	DR086_RS01875
OG0000129	MFC_RS00675	DR086_RS01870
OG0000130	MFC_RS00685	DR086_RS01860
OG0000131	MFC_RS00715	DR086_RS01830
OG0000132	MFC_RS00735	DR086_RS04900
OG0000133	MFC_RS00805	DR086_RS02245
OG0000134	MFC_RS00810	DR086_RS02250
OG0000135	MFC_RS00825	DR086_RS02265
OG0000136	MFC_RS00830	DR086_RS02270
OG0000137	MFC_RS00860	DR086_RS02310
OG0000138	MFC_RS00885	DR086_RS02775
OG0000139	MFC_RS00915	DR086_RS02745
OG0000140	MFC_RS00920	DR086_RS02740
OG0000141	MFC_RS00955	DR086_RS03720
OG0000142	MFC_RS00960	DR086_RS04820
OG0000143	MFC_RS00985	DR086_RS01115
OG0000144	MFC_RS00995	DR086_RS01105
OG0000145	MFC_RS01005	DR086_RS01095
OG0000146	MFC_RS01015	DR086_RS01085
OG0000147	MFC_RS01020	DR086_RS01080
OG0000148	MFC_RS01035	DR086_RS01065
OG0000149	MFC_RS01045	DR086_RS01055
OG0000150	MFC_RS01060	DR086_RS01040
OG0000151	MFC_RS01115	DR086_RS03230
OG0000152	MFC_RS01120	DR086_RS03225
OG0000153	MFC_RS01125	DR086_RS03220
OG0000154	MFC_RS01135	DR086_RS03210
OG0000155	MFC_RS01155	DR086_RS03005
OG0000156	MFC_RS01175	DR086_RS02995
OG0000157	MFC_RS01180	DR086_RS05005
OG0000158	MFC_RS01190	DR086_RS05000
OG0000159	MFC_RS01245	DR086_RS05100
OG0000160	MFC_RS01250	DR086_RS02185
OG0000161	MFC_RS01255	DR086_RS02190
OG0000162	MFC_RS01265	DR086_RS02200
OG0000163	MFC_RS01270	DR086_RS02205
OG0000164	MFC_RS01300	DR086_RS03305
OG0000165	MFC_RS01345	DR086_RS00440
OG0000166	MFC_RS01365	DR086_RS00460
OG0000167	MFC_RS01380	DR086_RS00475
OG0000168	MFC_RS01385	DR086_RS00480
OG0000169	MFC_RS01430	DR086_RS01435
OG0000170	MFC_RS01455	DR086_RS01420
OG0000171	MFC_RS01465	DR086_RS01410
OG0000172	MFC_RS01470	DR086_RS01405
OG0000173	MFC_RS01475	DR086_RS01400
OG0000174	MFC_RS01480	DR086_RS01395
OG0000175	MFC_RS01495	DR086_RS01380
OG0000176	MFC_RS01540	DR086_RS01330
OG0000177	MFC_RS01545	DR086_RS01325
OG0000178	MFC_RS01550	DR086_RS01320
OG0000179	MFC_RS01560	DR086_RS01310
OG0000180	MFC_RS01565	DR086_RS01305
OG0000181	MFC_RS01580	DR086_RS05065
OG0000182	MFC_RS01590	DR086_RS03535
OG0000183	MFC_RS01625	DR086_RS02345
OG0000184	MFC_RS01655	DR086_RS02390
OG0000185	MFC_RS01670	DR086_RS02375
OG0000186	MFC_RS01710	DR086_RS04895
OG0000187	MFC_RS01725	DR086_RS01790
OG0000188	MFC_RS01735	DR086_RS01780
OG0000189	MFC_RS03385	DR086_RS04920
OG0000190	MFC_RS01750	DR086_RS02035
OG0000191	MFC_RS01770	DR086_RS02055
OG0000192	MFC_RS01780	DR086_RS02515
OG0000193	MFC_RS01795	DR086_RS02500
OG0000194	MFC_RS01805	DR086_RS03025
OG0000195	MFC_RS01810	DR086_RS03030
OG0000196	MFC_RS01830	DR086_RS03050
OG0000197	MFC_RS01835	DR086_RS03055
OG0000198	MFC_RS01850	DR086_RS03070
OG0000199	MFC_RS01855	DR086_RS03075
OG0000200	MFC_RS01865	DR086_RS03090
OG0000201	MFC_RS01875	DR086_RS03100
OG0000202	MFC_RS01930	DR086_RS03345
OG0000203	MFC_RS01935	DR086_RS03340
OG0000204	MFC_RS01940	DR086_RS04975
OG0000205	MFC_RS01945	DR086_RS02805
OG0000206	MFC_RS01965	DR086_RS02825
OG0000207	MFC_RS01980	DR086_RS02840
OG0000208	MFC_RS01985	DR086_RS02845
OG0000209	MFC_RS01990	DR086_RS02850
OG0000210	MFC_RS02040	DR086_RS02895
OG0000211	MFC_RS02050	DR086_RS02580
OG0000212	MFC_RS02060	DR086_RS02590
OG0000213	MFC_RS02065	DR086_RS02595
OG0000214	MFC_RS02070	DR086_RS02600
OG0000215	MFC_RS02075	DR086_RS02605
OG0000216	MFC_RS02080	DR086_RS02610
OG0000217	MFC_RS02085	DR086_RS02615
OG0000218	MFC_RS02095	DR086_RS02625
OG0000219	MFC_RS02100	DR086_RS02630
OG0000220	MFC_RS02105	DR086_RS02635
OG0000221	MFC_RS02110	DR086_RS02640
OG0000222	MFC_RS03235	DR086_RS02645
OG0000223	MFC_RS02115	DR086_RS02650
OG0000224	MFC_RS02125	DR086_RS02660
OG0000225	MFC_RS02135	DR086_RS02670
OG0000226	MFC_RS02140	DR086_RS02675
OG0000227	MFC_RS02145	DR086_RS02680
OG0000228	MFC_RS03530	DR086_RS05105
OG0000229	MFC_RS02155	DR086_RS02690
OG0000230	MFC_RS02160	DR086_RS02695
OG0000231	MFC_RS02170	DR086_RS02705
OG0000232	MFC_RS02180	DR086_RS02715
OG0000233	MFC_RS02190	DR086_RS01680
OG0000234	MFC_RS02220	DR086_RS01715
OG0000235	MFC_RS02230	DR086_RS01725
OG0000236	MFC_RS02235	DR086_RS01730
OG0000237	MFC_RS02250	DR086_RS01735
OG0000238	MFC_RS02255	DR086_RS01745
OG0000239	MFC_RS02285	DR086_RS02960
OG0000240	MFC_RS02290	DR086_RS02955
OG0000241	MFC_RS02300	DR086_RS02945
OG0000242	MFC_RS02305	DR086_RS02940
OG0000243	MFC_RS02310	DR086_RS02935
OG0000244	MFC_RS02320	DR086_RS02925
OG0000245	MFC_RS02330	DR086_RS02915
OG0000246	MFC_RS02345	DR086_RS03275
OG0000247	MFC_RS02355	DR086_RS00010
OG0000248	MFC_RS02380	DR086_RS00020
OG0000249	MFC_RS02385	DR086_RS00025
OG0000250	MFC_RS02400	DR086_RS00040
OG0000251	MFC_RS02430	DR086_RS00075
OG0000252	MFC_RS02440	DR086_RS00085
OG0000253	MFC_RS02445	DR086_RS00090
OG0000254	MFC_RS02455	DR086_RS00100
OG0000255	MFC_RS02465	DR086_RS00110
OG0000256	MFC_RS02470	DR086_RS00115
OG0000257	MFC_RS02495	DR086_RS00140
OG0000258	MFC_RS02505	DR086_RS00150
OG0000259	MFC_RS02535	DR086_RS00180
OG0000260	MFC_RS02545	DR086_RS00190
OG0000261	MFC_RS02555	DR086_RS04745
OG0000262	MFC_RS02570	DR086_RS00215
OG0000263	MFC_RS02585	DR086_RS00230
OG0000264	MFC_RS02600	DR086_RS00245
OG0000265	MFC_RS02610	DR086_RS00255
OG0000266	MFC_RS02625	DR086_RS00270
OG0000267	MFC_RS02640	DR086_RS00285
OG0000268	MFC_RS02645	DR086_RS00290
OG0000269	MFC_RS02660	DR086_RS00305
OG0000270	MFC_RS02720	DR086_RS04945
OG0000271	MFC_RS02725	DR086_RS02410
OG0000272	MFC_RS02730	DR086_RS02405
OG0000273	MFC_RS02735	DR086_RS02400
OG0000274	MFC_RS02755	DR086_RS01450
OG0000275	MFC_RS03455	DR086_RS04850
