VQY17_RS00005 WP_347952339.1
VQY17_RS00010 WP_160588106.1
VQY17_RS00015 WP_044272256.1
VQY17_RS00020 WP_044272260.1
VQY17_RS00025 WP_011289930.1
VQY17_RS00030 WP_020835483.1
VQY17_RS00035 WP_020835484.1
VQY17_RS00040 WP_011205847.1
VQY17_RS00045 WP_347952340.1
VQY17_RS00050 WP_011205849.1
VQY17_RS00055 WP_020835487.1
VQY17_RS00060 WP_011289935.1
VQY17_RS00065 WP_011283834.1
VQY17_RS00070 WP_020835488.1
VQY17_RS00075 WP_011289937.1
VQY17_RS00080 WP_020835489.1
VQY17_RS00085 WP_041361519.1
VQY17_RS00090 WP_347952341.1
VQY17_RS00095 WP_258555487.1
VQY17_RS00100 WP_347952342.1
VQY17_RS00105 WP_347952343.1
VQY17_RS00110 WP_146379451.1
VQY17_RS00115 WP_347952344.1
VQY17_RS00120 WP_347952345.1
VQY17_RS00125 WP_347952346.1
VQY17_RS00130 WP_347952347.1
VQY17_RS00135 WP_146379455.1
VQY17_RS00140 WP_050195463.1
VQY17_RS00145 WP_347952348.1
VQY17_RS00150 WP_347952349.1
VQY17_RS00155 WP_243215933.1
VQY17_RS00160 WP_014579535.1
VQY17_RS00165 WP_347952350.1
VQY17_RS00170 WP_347952351.1
VQY17_RS00175 WP_347952352.1
VQY17_RS00180 WP_011289957.1
VQY17_RS00185 WP_347952491.1
VQY17_RS00190 WP_044272282.1
VQY17_RS00195 WP_094521545.1
VQY17_RS00200 WP_347952353.1
VQY17_RS00205 WP_011205880.1
VQY17_RS00210 WP_347952354.1
VQY17_RS00215 WP_160585545.1
VQY17_RS00220 WP_011205883.1
VQY17_RS00225 WP_347952355.1
VQY17_RS00230 WP_044284571.1
VQY17_RS00235 WP_347952356.1
VQY17_RS00240 WP_347952357.1
VQY17_RS00245 WP_014579550.1
VQY17_RS00250 WP_011205889.1
VQY17_RS00255 WP_044272682.1
VQY17_RS00260 WP_347952358.1
VQY17_RS00265 WP_347952359.1
VQY17_RS00270 WP_347952360.1
VQY17_RS00275 WP_011289973.1
VQY17_RS00280 WP_225973008.1
VQY17_RS00285 WP_011289974.1
VQY17_RS00290 WP_020835518.1
VQY17_RS00295 WP_011289976.1
VQY17_RS00300 WP_347952361.1
VQY17_RS00305 WP_347952361.1
VQY17_RS00310 WP_347952362.1
VQY17_RS00315 WP_347952363.1
VQY17_RS00320 WP_011289981.1
VQY17_RS00325 WP_347952364.1
VQY17_RS00330 WP_347952365.1
VQY17_RS00335 WP_347952366.1
VQY17_RS00340 WP_347952367.1
VQY17_RS00345 WP_135618517.1
VQY17_RS00350 WP_135618519.1
VQY17_RS00355 WP_011289986.1
VQY17_RS00360 WP_160607908.1
VQY17_RS00365 WP_011283885.1
VQY17_RS00370 WP_160584753.1
VQY17_RS00375 WP_041361533.1
VQY17_RS00380 WP_011283887.1
VQY17_RS00385 WP_160615517.1
VQY17_RS00390 WP_146379476.1
VQY17_RS00395 WP_011205921.1
VQY17_RS00400 WP_011205922.1
VQY17_RS00405 WP_347952368.1
VQY17_RS00410 WP_011283891.1
VQY17_RS00415 WP_014579576.1
VQY17_RS00420 WP_347952369.1
VQY17_RS00425 WP_146379478.1
VQY17_RS00430 WP_011283895.1
VQY17_RS00435 WP_011206135.1
VQY17_RS00440 WP_160608050.1
VQY17_RS00445 WP_347952370.1
VQY17_RS00495 WP_347952371.1
VQY17_RS00500 WP_347952372.1
VQY17_RS00505 WP_347952373.1
VQY17_RS00510 WP_347952374.1
VQY17_RS00515 WP_041361727.1
VQY17_RS00520 WP_347952375.1
VQY17_RS00525 WP_347952376.1
VQY17_RS00530 WP_014579589.1
VQY17_RS00535 WP_347952377.1
VQY17_RS00540 WP_011206121.1
VQY17_RS00550 WP_347952378.1
VQY17_RS00555 WP_347952379.1
VQY17_RS00560 WP_146379484.1
VQY17_RS00565 WP_347952380.1
VQY17_RS00570 WP_347952381.1
VQY17_RS00575 WP_052269168.1
VQY17_RS00580 WP_146379488.1
VQY17_RS00585 WP_011206113.1
VQY17_RS00595 WP_011206113.1
VQY17_RS00600 WP_011206110.1
VQY17_RS00605 WP_347952382.1
VQY17_RS00610 WP_347952383.1
VQY17_RS00615 WP_135618561.1
VQY17_RS00620 WP_160584793.1
VQY17_RS00635 WP_308507047.1
VQY17_RS00640 WP_052269169.1
VQY17_RS00645 WP_011206103.1
VQY17_RS00650 WP_011290017.1
VQY17_RS00655 WP_011206101.1
VQY17_RS00665 WP_041361566.1
VQY17_RS00670 WP_011290019.1
VQY17_RS00675 WP_269076320.1
VQY17_RS00680 WP_011290021.1
VQY17_RS00685 WP_347952384.1
VQY17_RS00690 WP_011283923.1
VQY17_RS00695 WP_011290024.1
VQY17_RS00700 WP_011206094.1
VQY17_RS00705 WP_011206093.1
VQY17_RS00710 WP_020835572.1
VQY17_RS00715 WP_347952385.1
VQY17_RS00720 WP_041361572.1
VQY17_RS00725 WP_011290028.1
VQY17_RS00730 WP_011290029.1
VQY17_RS00735 WP_011283930.1
VQY17_RS00740 WP_011206086.1
VQY17_RS00745 WP_347952386.1
VQY17_RS00755 WP_020835575.1
VQY17_RS00760 WP_020835576.1
VQY17_RS00765 WP_011283934.1
VQY17_RS00775 WP_347952387.1
VQY17_RS00780 WP_347952388.1
VQY17_RS00785 WP_011290034.1
VQY17_RS00790 WP_020835579.1
VQY17_RS00795 WP_347952389.1
VQY17_RS00800 WP_160600880.1
VQY17_RS00805 WP_011206076.1
VQY17_RS00810 WP_347952390.1
VQY17_RS00820 WP_044272343.1
VQY17_RS00825 WP_011283943.1
VQY17_RS00830 WP_011206072.1
VQY17_RS00835 WP_146379508.1
VQY17_RS00840 WP_014579632.1
VQY17_RS00845 WP_011206069.1
VQY17_RS00850 WP_011206068.1
VQY17_RS00855 WP_011206067.1
VQY17_RS00860 WP_011206066.1
VQY17_RS00865 WP_011283949.1
VQY17_RS00870 WP_011283950.1
VQY17_RS00875 WP_011283951.1
VQY17_RS00880 WP_011283952.1
VQY17_RS00885 WP_011206061.1
VQY17_RS00890 WP_220200845.1
VQY17_RS00895 WP_258555295.1
VQY17_RS00900 WP_347952391.1
VQY17_RS00905 WP_011283955.1
VQY17_RS00910 WP_179221041.1
VQY17_RS00915 WP_347952392.1
VQY17_RS00920 WP_135618599.1
VQY17_RS00925 WP_135618601.1
VQY17_RS00930 WP_135618603.1
VQY17_RS00935 WP_135618604.1
VQY17_RS00940 WP_347952393.1
VQY17_RS00945 WP_135618608.1
VQY17_RS00950 WP_225973020.1
VQY17_RS00955 WP_258555947.1
VQY17_RS00960 WP_258555947.1
VQY17_RS00965 WP_011290053.1
VQY17_RS00970 WP_011290054.1
VQY17_RS00975 WP_011206049.1
VQY17_RS00980 WP_011206048.1
VQY17_RS00985 WP_011283963.1
VQY17_RS00990 WP_011206047.1
VQY17_RS00995 WP_011206046.1
VQY17_RS01000 WP_011283965.1
VQY17_RS01005 WP_160585731.1
VQY17_RS01010 WP_020835590.1
VQY17_RS01015 WP_011290058.1
VQY17_RS01020 WP_011206041.1
VQY17_RS01025 WP_020835592.1
VQY17_RS01030 WP_011206039.1
VQY17_RS01035 WP_011206038.1
VQY17_RS01040 WP_041361589.1
VQY17_RS01045 WP_011206036.1
VQY17_RS01050 WP_011206035.1
VQY17_RS01055 WP_014579611.1
VQY17_RS01060 WP_160585734.1
VQY17_RS01065 WP_011206032.1
VQY17_RS01070 WP_011206031.1
VQY17_RS01075 WP_041361593.1
VQY17_RS01080 WP_011206028.1
VQY17_RS01085 WP_011206027.1
VQY17_RS01090 WP_347952394.1
VQY17_RS01095 WP_011206025.1
VQY17_RS01100 WP_011290067.1
VQY17_RS01105 WP_014579601.1
VQY17_RS01110 WP_347952395.1
VQY17_RS01115 WP_347952396.1
VQY17_RS01120 WP_347952397.1
VQY17_RS01125 WP_011290071.1
VQY17_RS01130 WP_347952398.1
VQY17_RS01135 WP_347952399.1
VQY17_RS01140 WP_011290073.1
VQY17_RS01145 WP_011206014.1
VQY17_RS01150 WP_044284602.1
VQY17_RS01155 WP_347952400.1
VQY17_RS01160 WP_347952401.1
VQY17_RS01165 WP_347952402.1
VQY17_RS01170 WP_011290077.1
VQY17_RS01175 WP_243216014.1
VQY17_RS01180 WP_011283989.1
VQY17_RS01185 WP_347952403.1
VQY17_RS01190 WP_011206006.1
VQY17_RS01195 WP_011206005.1
VQY17_RS01200 WP_020835615.1
VQY17_RS01205 WP_020835615.1
VQY17_RS01210 WP_347952404.1
VQY17_RS01215 WP_020835619.1
VQY17_RS01220 WP_192894287.1
VQY17_RS01225 WP_347952405.1
VQY17_RS01230 WP_094521610.1
VQY17_RS01235 WP_347952406.1
VQY17_RS01240 WP_347952483.1
VQY17_RS01245 WP_011284002.1
VQY17_RS01250 WP_347952407.1
VQY17_RS01255 WP_011205989.1
VQY17_RS01260 WP_347952408.1
VQY17_RS01265 WP_347952409.1
VQY17_RS01270 WP_011205986.1
VQY17_RS01275 WP_308507042.1
VQY17_RS01280 WP_347952410.1
VQY17_RS01285 WP_011205983.1
VQY17_RS01290 WP_347952411.1
VQY17_RS01295 WP_347952412.1
VQY17_RS01300 WP_347952413.1
VQY17_RS01305 WP_041361605.1
VQY17_RS01310 WP_347952414.1
VQY17_RS01315 WP_347952415.1
VQY17_RS01320 WP_347952416.1
VQY17_RS01325 WP_014579714.1
VQY17_RS01330 WP_146379551.1
VQY17_RS01335 WP_347952417.1
VQY17_RS01340 WP_146379553.1
VQY17_RS01345 WP_146379554.1
VQY17_RS01350 WP_011205969.1
VQY17_RS01355 WP_179696056.1
VQY17_RS01360 WP_135618686.1
VQY17_RS01365 WP_020835639.1
VQY17_RS01370 WP_011205965.1
VQY17_RS01375 WP_011284027.1
VQY17_RS01380 WP_347952418.1
VQY17_RS01385 WP_347952419.1
VQY17_RS01390 WP_347952420.1
VQY17_RS01395 WP_347952421.1
VQY17_RS01400 WP_020835642.1
VQY17_RS01405 WP_011284032.1
VQY17_RS01410 WP_020835643.1
VQY17_RS01415 WP_347952422.1
VQY17_RS01420 WP_020835645.1
VQY17_RS01425 WP_011205955.1
VQY17_RS01430 WP_011205954.1
VQY17_RS01435 WP_347952423.1
VQY17_RS01440 WP_347952424.1
VQY17_RS01445 WP_094521628.1
VQY17_RS01450 WP_011290120.1
VQY17_RS01455 WP_011290120.1
VQY17_RS01460 WP_011290122.1
VQY17_RS01465 WP_232039606.1
VQY17_RS01470 WP_347952425.1
VQY17_RS01475 WP_347952426.1
VQY17_RS01480 WP_014579732.1
VQY17_RS01485 WP_347952427.1
VQY17_RS01490 WP_011284046.1
VQY17_RS01520 WP_146379566.1
VQY17_RS01525 WP_014579735.1
VQY17_RS01530 WP_347952484.1
VQY17_RS01535 WP_011205939.1
VQY17_RS01540 WP_347952428.1
VQY17_RS01545 WP_347952429.1
VQY17_RS01550 WP_011284053.1
VQY17_RS01555 WP_347952430.1
VQY17_RS01560 WP_011284055.1
VQY17_RS01565 WP_160601243.1
VQY17_RS01570 WP_011205932.1
VQY17_RS01575 WP_347952431.1
VQY17_RS01580 WP_347952432.1
VQY17_RS01585 WP_240536641.1
VQY17_RS01590 WP_347952433.1
VQY17_RS01595 WP_347952434.1
VQY17_RS01600 WP_347952435.1
VQY17_RS01605 WP_347952436.1
VQY17_RS01610 WP_347952437.1
