	MHP_RS00005			
	seqID	strand	start	end
MHP_RS00005	ID232	+	1	1392
seqID	MHP_RS00010			
ID232	seqID	strand	start	end
MHP_RS00010	ID232	+	1537	2673
seqID	MHP_RS00015			
ID232	seqID	strand	start	end
MHP_RS00015	ID232	+	2775	4634
seqID	MHP_RS00020			
ID232	seqID	strand	start	end
MHP_RS00020	ID232	+	4634	5092
seqID	MHP_RS00025			
ID232	seqID	strand	start	end
MHP_RS00025	ID232	+	5106	6089
seqID	MHP_RS00030			
ID232	seqID	strand	start	end
MHP_RS00030	ID232	+	6082	7053
seqID	MHP_RS00035			
ID232	seqID	strand	start	end
MHP_RS00035	ID232	+	7156	7725
seqID	MHP_RS00040			
ID232	seqID	strand	start	end
MHP_RS00040	ID232	+	7815	8816
seqID	MHP_RS00045			
ID232	seqID	strand	start	end
MHP_RS00045	ID232	+	8985	11006
seqID	MHP_RS00050			
ID232	seqID	strand	start	end
MHP_RS00050	ID232	+	11091	12098
seqID	MHP_RS00055			
ID232	seqID	strand	start	end
MHP_RS00055	ID232	+	12101	12847
seqID	MHP_RS00060			
ID232	seqID	strand	start	end
MHP_RS00060	ID232	+	12831	14435
seqID	MHP_RS00065			
ID232	seqID	strand	start	end
MHP_RS00065	ID232	+	14440	14685
seqID	MHP_RS00070			
ID232	seqID	strand	start	end
MHP_RS00070	ID232	+	14755	15618
seqID	MHP_RS00075			
ID232	seqID	strand	start	end
MHP_RS00075	ID232	+	15625	16470
seqID	MHP_RS03835			
ID232	seqID	strand	start	end
MHP_RS03835	ID232	+	16504	17586
seqID	MHP_RS00085			
ID232	seqID	strand	start	end
MHP_RS00085	ID232	+	17729	18595
seqID	MHP_RS00090			
ID232	seqID	strand	start	end
MHP_RS00090	ID232	+	18741	19355
seqID	MHP_RS00095			
ID232	seqID	strand	start	end
MHP_RS00095	ID232	+	19664	19888
seqID	MHP_RS00100			
ID232	seqID	strand	start	end
MHP_RS00100	ID232	+	20052	22328
seqID	MHP_RS00105			
ID232	seqID	strand	start	end
MHP_RS00105	ID232	+	22521	24764
seqID	MHP_RS00110			
ID232	seqID	strand	start	end
MHP_RS00110	ID232	+	24838	27165
seqID	MHP_RS00115			
ID232	seqID	strand	start	end
MHP_RS00115	ID232	+	27152	27973
seqID	MHP_RS00120			
ID232	seqID	strand	start	end
MHP_RS00120	ID232	+	28143	30425
seqID	MHP_RS00125			
ID232	seqID	strand	start	end
MHP_RS00125	ID232	+	30536	32863
seqID	MHP_RS00130			
ID232	seqID	strand	start	end
MHP_RS00130	ID232	+	32850	33653
seqID	MHP_RS00145			
ID232	seqID	strand	start	end
MHP_RS00145	ID232	+	34028	34510
seqID	MHP_RS00150			
ID232	seqID	strand	start	end
MHP_RS00150	ID232	+	34617	34910
seqID	MHP_RS00155			
ID232	seqID	strand	start	end
MHP_RS00155	ID232	+	34903	36222
seqID	MHP_RS00160			
ID232	seqID	strand	start	end
MHP_RS00160	ID232	+	36215	37615
seqID	MHP_RS00165			
ID232	seqID	strand	start	end
MHP_RS00165	ID232	+	37851	38354
seqID	MHP_RS00170			
ID232	seqID	strand	start	end
MHP_RS00170	ID232	+	38471	39070
seqID	MHP_RS00175			
ID232	seqID	strand	start	end
MHP_RS00175	ID232	+	39042	41702
seqID	MHP_RS00180			
ID232	seqID	strand	start	end
MHP_RS00180	ID232	+	41702	44242
seqID	MHP_RS00185			
ID232	seqID	strand	start	end
MHP_RS00185	ID232	+	44235	46160
seqID	MHP_RS00190			
ID232	seqID	strand	start	end
MHP_RS00190	ID232	+	46370	47380
seqID	MHP_RS03840			
ID232	seqID	strand	start	end
MHP_RS03840	ID232	+	47479	49491
seqID	MHP_RS00200			
ID232	seqID	strand	start	end
MHP_RS00200	ID232	+	49592	51676
seqID	MHP_RS03590			
ID232	seqID	strand	start	end
MHP_RS03590	ID232	+	51682	51915
seqID	MHP_RS00205			
ID232	seqID	strand	start	end
MHP_RS00205	ID232	+	51969	53390
seqID	MHP_RS00210			
ID232	seqID	strand	start	end
MHP_RS00210	ID232	+	53512	54525
seqID	MHP_RS00215			
ID232	seqID	strand	start	end
MHP_RS00215	ID232	+	54678	55487
seqID	MHP_RS00220			
ID232	seqID	strand	start	end
MHP_RS00220	ID232	+	55489	56748
seqID	MHP_RS00225			
ID232	seqID	strand	start	end
MHP_RS00225	ID232	+	56833	57204
seqID	MHP_RS00230			
ID232	seqID	strand	start	end
MHP_RS00230	ID232	+	57208	58416
seqID	MHP_RS00235			
ID232	seqID	strand	start	end
MHP_RS00235	ID232	+	58511	58843
seqID	MHP_RS00240			
ID232	seqID	strand	start	end
MHP_RS00240	ID232	+	58888	60045
seqID	MHP_RS00250			
ID232	seqID	strand	start	end
MHP_RS00250	ID232	+	60481	61209
seqID	MHP_RS00255			
ID232	seqID	strand	start	end
MHP_RS00255	ID232	+	61237	61542
seqID	MHP_RS00260			
ID232	seqID	strand	start	end
MHP_RS00260	ID232	+	61596	62162
seqID	MHP_RS00265			
ID232	seqID	strand	start	end
MHP_RS00265	ID232	+	62162	62725
seqID	MHP_RS00270			
ID232	seqID	strand	start	end
MHP_RS00270	ID232	+	62743	64266
seqID	MHP_RS00275			
ID232	seqID	strand	start	end
MHP_RS00275	ID232	+	64295	65125
seqID	MHP_RS00280			
ID232	seqID	strand	start	end
MHP_RS00280	ID232	+	65143	66558
seqID	MHP_RS00285			
ID232	seqID	strand	start	end
MHP_RS00285	ID232	+	66545	66805
seqID	MHP_RS00290			
ID232	seqID	strand	start	end
MHP_RS00290	ID232	+	66914	67399
seqID	MHP_RS00295			
ID232	seqID	strand	start	end
MHP_RS00295	ID232	+	67615	68571
seqID	MHP_RS00300			
ID232	seqID	strand	start	end
MHP_RS00300	ID232	+	68596	69507
seqID	MHP_RS00305			
ID232	seqID	strand	start	end
MHP_RS00305	ID232	+	69592	70914
seqID	MHP_RS00310			
ID232	seqID	strand	start	end
MHP_RS00310	ID232	+	70941	72308
seqID	MHP_RS00315			
ID232	seqID	strand	start	end
MHP_RS00315	ID232	+	72301	74145
seqID	MHP_RS00320			
ID232	seqID	strand	start	end
MHP_RS00320	ID232	+	74166	76196
seqID	MHP_RS00325			
ID232	seqID	strand	start	end
MHP_RS00325	ID232	+	76203	76976
seqID	MHP_RS00330			
ID232	seqID	strand	start	end
MHP_RS00330	ID232	+	76970	77800
seqID	MHP_RS00335			
ID232	seqID	strand	start	end
MHP_RS00335	ID232	+	77817	79061
seqID	MHP_RS00340			
ID232	seqID	strand	start	end
MHP_RS00340	ID232	+	79134	83834
seqID	MHP_RS00345			
ID232	seqID	strand	start	end
MHP_RS00345	ID232	+	83949	86786
seqID	MHP_RS00350			
ID232	seqID	strand	start	end
MHP_RS00350	ID232	+	86844	88394
seqID	MHP_RS00355			
ID232	seqID	strand	start	end
MHP_RS00355	ID232	+	88512	88820
seqID	MHP_RS00360			
ID232	seqID	strand	start	end
MHP_RS00360	ID232	+	89009	90811
seqID	MHP_RS00365			
ID232	seqID	strand	start	end
MHP_RS00365	ID232	+	91023	92147
seqID	MHP_RS00370			
ID232	seqID	strand	start	end
MHP_RS00370	ID232	+	92206	92895
seqID	MHP_RS00375			
ID232	seqID	strand	start	end
MHP_RS00375	ID232	+	92913	94214
seqID	MHP_RS00380			
ID232	seqID	strand	start	end
MHP_RS00380	ID232	+	94266	94538
seqID	MHP_RS00385			
ID232	seqID	strand	start	end
MHP_RS00385	ID232	+	94541	94771
seqID	MHP_RS00390			
ID232	seqID	strand	start	end
MHP_RS00390	ID232	+	94772	96568
seqID	MHP_RS00395			
ID232	seqID	strand	start	end
MHP_RS00395	ID232	+	96639	97586
seqID	MHP_RS00400			
ID232	seqID	strand	start	end
MHP_RS00400	ID232	+	97921	99579
seqID	MHP_RS00405			
ID232	seqID	strand	start	end
MHP_RS00405	ID232	+	99856	101940
seqID	MHP_RS00410			
ID232	seqID	strand	start	end
MHP_RS00410	ID232	+	101953	102423
seqID	MHP_RS00415			
ID232	seqID	strand	start	end
MHP_RS00415	ID232	+	102476	102895
seqID	MHP_RS00420			
ID232	seqID	strand	start	end
MHP_RS00420	ID232	+	103026	103406
seqID	MHP_RS00425			
ID232	seqID	strand	start	end
MHP_RS00425	ID232	+	103410	103922
seqID	MHP_RS00430			
ID232	seqID	strand	start	end
MHP_RS00430	ID232	+	103913	104413
seqID	MHP_RS00435			
ID232	seqID	strand	start	end
MHP_RS00435	ID232	+	104691	105272
seqID	MHP_RS00440			
ID232	seqID	strand	start	end
MHP_RS00440	ID232	+	105217	106224
seqID	MHP_RS03845			
ID232	seqID	strand	start	end
MHP_RS03845	ID232	+	106211	106909
seqID	MHP_RS00445			
ID232	seqID	strand	start	end
MHP_RS00445	ID232	+	106933	108528
seqID	MHP_RS00450			
ID232	seqID	strand	start	end
MHP_RS00450	ID232	+	108688	109140
seqID	MHP_RS00455			
ID232	seqID	strand	start	end
MHP_RS00455	ID232	+	109412	109678
seqID	MHP_RS00460			
ID232	seqID	strand	start	end
MHP_RS00460	ID232	+	109700	110383
seqID	MHP_RS00465			
ID232	seqID	strand	start	end
MHP_RS00465	ID232	+	110436	110801
seqID	MHP_RS00470			
ID232	seqID	strand	start	end
MHP_RS00470	ID232	+	110806	112716
seqID	MHP_RS00475			
ID232	seqID	strand	start	end
MHP_RS00475	ID232	+	112746	113393
seqID	MHP_RS00480			
ID232	seqID	strand	start	end
MHP_RS00480	ID232	+	113375	113974
seqID	MHP_RS00485			
ID232	seqID	strand	start	end
MHP_RS00485	ID232	+	113986	115590
seqID	MHP_RS00490			
ID232	seqID	strand	start	end
MHP_RS00490	ID232	+	116100	116915
seqID	MHP_RS00495			
ID232	seqID	strand	start	end
MHP_RS00495	ID232	+	116902	117747
seqID	MHP_RS00500			
ID232	seqID	strand	start	end
MHP_RS00500	ID232	+	117749	118558
seqID	MHP_RS00505			
ID232	seqID	strand	start	end
MHP_RS00505	ID232	+	118572	119414
seqID	MHP_RS00510			
ID232	seqID	strand	start	end
MHP_RS00510	ID232	+	119486	119569
seqID	MHP_RS00515			
ID232	seqID	strand	start	end
MHP_RS00515	ID232	+	119605	119681
seqID	MHP_RS00520			
ID232	seqID	strand	start	end
MHP_RS00520	ID232	+	119686	119761
seqID	MHP_RS00525			
ID232	seqID	strand	start	end
MHP_RS00525	ID232	+	119769	119844
seqID	MHP_RS00530			
ID232	seqID	strand	start	end
MHP_RS00530	ID232	+	119848	119922
seqID	MHP_RS00535			
ID232	seqID	strand	start	end
MHP_RS00535	ID232	+	120040	120237
seqID	MHP_RS00540			
ID232	seqID	strand	start	end
MHP_RS00540	ID232	+	120296	122452
seqID	MHP_RS00545			
ID232	seqID	strand	start	end
MHP_RS00545	ID232	+	122463	123143
