Orthogroup	MHP_Ue273_genes	MHP_MHP696_genes
OG0000000	VQY17_RS02200	DR090_RS03565
OG0000000	VQY17_RS01770	DR090_RS04125
OG0000000	VQY17_RS01775	DR090_RS04630
OG0000001	VQY17_RS02775	DR090_RS01575
OG0000001	VQY17_RS02730	DR090_RS03945
OG0000002	VQY17_RS02210	DR090_RS04315
OG0000002	VQY17_RS01780	DR090_RS03425
OG0000003	VQY17_RS01910	DR090_RS03665
OG0000004	VQY17_RS02995	DR090_RS03440
OG0000005	VQY17_RS00100	DR090_RS03620
OG0000005	VQY17_RS00120	DR090_RS04590
OG0000005	VQY17_RS00105	DR090_RS03525
OG0000005	VQY17_RS00110	DR090_RS03075
OG0000005	VQY17_RS00125	DR090_RS04595
OG0000006	VQY17_RS02495	DR090_RS04160
OG0000006	VQY17_RS02360	DR090_RS03705
OG0000008	VQY17_RS02500	DR090_RS04310
OG0000009	VQY17_RS00085	DR090_RS01340
OG0000009	VQY17_RS00680	DR090_RS00150
OG0000010	VQY17_RS01920	DR090_RS00915
OG0000010	VQY17_RS00095	DR090_RS03520, DR090_RS03650
OG0000011	VQY17_RS02025	DR090_RS01025
OG0000011	VQY17_RS02020	DR090_RS01020
OG0000012	VQY17_RS02130, VQY17_RS02980, VQY17_RS01725	DR090_RS01360
OG0000012	VQY17_RS01935	DR090_RS03670
OG0000013	VQY17_RS02405	DR090_RS02640
OG0000013	VQY17_RS00185	DR090_RS03805
OG0000014	VQY17_RS01120	DR090_RS00220
OG0000014	VQY17_RS00605	DR090_RS04325
OG0000015	VQY17_RS01665	DR090_RS03270
OG0000016	VQY17_RS02820	DR090_RS01615
OG0000016	VQY17_RS00170	DR090_RS00790
OG0000017	VQY17_RS00155	DR090_RS00805
OG0000017	VQY17_RS02830	DR090_RS01625
OG0000018	VQY17_RS01340	DR090_RS04560
OG0000019	VQY17_RS03030	DR090_RS04270
OG0000020	VQY17_RS03550	DR090_RS04405
OG0000020	VQY17_RS03555	DR090_RS04410
OG0000021	VQY17_RS01820	DR090_RS00825
OG0000021	VQY17_RS00510	DR090_RS00825
OG0000022	VQY17_RS01695	DR090_RS02415
OG0000022	VQY17_RS01765	DR090_RS04550
OG0000023	VQY17_RS01335	DR090_RS02440
OG0000024	VQY17_RS02725	DR090_RS01515
OG0000024	VQY17_RS01295	DR090_RS00410
OG0000025	VQY17_RS01700	DR090_RS04555
OG0000025	VQY17_RS01755	DR090_RS02365
OG0000026	VQY17_RS01380	DR090_RS02485
OG0000026	VQY17_RS01735	DR090_RS02385
OG0000027	VQY17_RS03330	DR090_RS04475
OG0000027	VQY17_RS03350	DR090_RS04520
OG0000028	VQY17_RS02415	DR090_RS04565
OG0000029	VQY17_RS01115	DR090_RS01710
OG0000029	VQY17_RS00610	DR090_RS00205
OG0000030	VQY17_RS03345	DR090_RS04515
OG0000031	VQY17_RS01635	DR090_RS03235
OG0000032	VQY17_RS01610	DR090_RS03265
OG0000032	VQY17_RS03340	DR090_RS02225
OG0000033	VQY17_RS02410	DR090_RS02635
OG0000035	VQY17_RS03200	DR090_RS03430
OG0000035	VQY17_RS03170	DR090_RS02220
OG0000036	VQY17_RS00115	DR090_RS03080
OG0000036	VQY17_RS00130	DR090_RS03100, DR090_RS04210
OG0000037	VQY17_RS01620	DR090_RS03710
OG0000038	VQY17_RS01810	DR090_RS00450
OG0000039	VQY17_RS01650, VQY17_RS01645	DR090_RS03220
OG0000040	VQY17_RS03270	DR090_RS02020
OG0000041	VQY17_RS01220, VQY17_RS00670	DR090_RS03745
OG0000042	VQY17_RS02925, VQY17_RS02920	DR090_RS04585
OG0000043	VQY17_RS01990	DR090_RS00990
OG0000044	VQY17_RS01710	DR090_RS04685
OG0000045	VQY17_RS01655	DR090_RS03215
OG0000046	VQY17_RS03285	DR090_RS04055
OG0000048	VQY17_RS02180	DR090_RS02935
OG0000049	VQY17_RS03040	DR090_RS02075
OG0000050	VQY17_RS02445	DR090_RS02580
OG0000051	VQY17_RS02645	DR090_RS01435
OG0000052	VQY17_RS00075	DR090_RS01330
OG0000053	VQY17_RS01470	DR090_RS04575
OG0000054	VQY17_RS02470	DR090_RS02605
OG0000055	VQY17_RS00135	DR090_RS03105
OG0000056	VQY17_RS03535	DR090_RS01170
OG0000057	VQY17_RS02900, VQY17_RS02905	DR090_RS01695
OG0000060	VQY17_RS00080	DR090_RS03905
OG0000061	VQY17_RS01930	DR090_RS00925
OG0000062	VQY17_RS03585	DR090_RS01220
OG0000063	VQY17_RS03580	DR090_RS01215
OG0000064	VQY17_RS03570	DR090_RS01205
OG0000065	VQY17_RS02255	DR090_RS03030
OG0000066	VQY17_RS01370	DR090_RS02475
OG0000067	VQY17_RS00525	DR090_RS02685, DR090_RS03330
OG0000068	VQY17_RS00645	DR090_RS00170
OG0000069	VQY17_RS02795	DR090_RS01590
OG0000070	VQY17_RS02475	DR090_RS02610
OG0000071	VQY17_RS03260	DR090_RS02030
OG0000072	VQY17_RS03265	DR090_RS04500
OG0000073	VQY17_RS00705	DR090_RS00125
OG0000074	VQY17_RS00910	DR090_RS04455
OG0000075	VQY17_RS00345	DR090_RS00610
OG0000076	VQY17_RS00360	DR090_RS00595
OG0000077	VQY17_RS00445	DR090_RS00505
OG0000078	VQY17_RS01715	DR090_RS02395
OG0000079	VQY17_RS02550	DR090_RS02780
OG0000080	VQY17_RS02595	DR090_RS03915
OG0000081	VQY17_RS00340	DR090_RS00615
OG0000082	VQY17_RS02400	DR090_RS04170, DR090_RS04165
OG0000083	VQY17_RS02095	DR090_RS01095
OG0000084	VQY17_RS02125	DR090_RS02885
OG0000085	VQY17_RS02135	DR090_RS02890
OG0000086	VQY17_RS02145	DR090_RS02900
OG0000087	VQY17_RS02160	DR090_RS02915
OG0000088	VQY17_RS02165	DR090_RS02920
OG0000089	VQY17_RS02175	DR090_RS02930
OG0000090	VQY17_RS00070	DR090_RS01325
OG0000091	VQY17_RS00055	DR090_RS01310
OG0000092	VQY17_RS00040	DR090_RS01295
OG0000093	VQY17_RS00035	DR090_RS01290
OG0000094	VQY17_RS00030	DR090_RS01285
OG0000095	VQY17_RS00005	DR090_RS01260
OG0000096	VQY17_RS03620	DR090_RS01255
OG0000097	VQY17_RS03600	DR090_RS01235
OG0000098	VQY17_RS03590	DR090_RS01225
OG0000099	VQY17_RS03540	DR090_RS04400
OG0000100	VQY17_RS03525	DR090_RS01160
OG0000101	VQY17_RS03520	DR090_RS01155
OG0000102	VQY17_RS01750	DR090_RS02370
OG0000103	VQY17_RS02220	DR090_RS03065
OG0000104	VQY17_RS02225	DR090_RS03060
OG0000105	VQY17_RS02240	DR090_RS03045
OG0000106	VQY17_RS02250	DR090_RS03035
OG0000107	VQY17_RS02260	DR090_RS03025
OG0000108	VQY17_RS02265	DR090_RS03020
OG0000109	VQY17_RS02270	DR090_RS03015
OG0000110	VQY17_RS02390	DR090_RS02655
OG0000111	VQY17_RS02385	DR090_RS02660
OG0000112	VQY17_RS02375	DR090_RS02670
OG0000113	VQY17_RS02355	DR090_RS04615
OG0000114	VQY17_RS02345	DR090_RS03300
OG0000115	VQY17_RS02335	DR090_RS03285
OG0000116	VQY17_RS01315	DR090_RS00435
OG0000117	VQY17_RS01320	DR090_RS00440
OG0000118	VQY17_RS01355	DR090_RS02460
OG0000119	VQY17_RS01360	DR090_RS02465
OG0000120	VQY17_RS01375	DR090_RS02480
OG0000121	VQY17_RS01405	DR090_RS02505
OG0000122	VQY17_RS01410	DR090_RS02510
OG0000123	VQY17_RS01430	DR090_RS02530
OG0000124	VQY17_RS01435	DR090_RS02535
OG0000125	VQY17_RS01440	DR090_RS02540
OG0000126	VQY17_RS01455	DR090_RS02835
OG0000127	VQY17_RS01460	DR090_RS02845
OG0000128	VQY17_RS01475	DR090_RS02860
OG0000129	VQY17_RS01480	DR090_RS02865
OG0000130	VQY17_RS01490	DR090_RS02875
OG0000131	VQY17_RS01520	DR090_RS03150
OG0000132	VQY17_RS01535	DR090_RS04600
OG0000133	VQY17_RS00530	DR090_RS02690
OG0000134	VQY17_RS00535	DR090_RS02695
OG0000135	VQY17_RS00550	DR090_RS02710
OG0000136	VQY17_RS00555	DR090_RS02715
OG0000137	VQY17_RS00595	DR090_RS02755
OG0000138	VQY17_RS00620	DR090_RS00195
OG0000139	VQY17_RS00650	DR090_RS00165
OG0000140	VQY17_RS00655	DR090_RS00160
OG0000141	VQY17_RS02915	DR090_RS01705
OG0000142	VQY17_RS02910	DR090_RS04450
OG0000143	VQY17_RS02885	DR090_RS01680
OG0000144	VQY17_RS02875	DR090_RS01670
OG0000145	VQY17_RS02865	DR090_RS01660
OG0000146	VQY17_RS02855	DR090_RS01650
OG0000147	VQY17_RS02850	DR090_RS01645
OG0000148	VQY17_RS02835	DR090_RS01630
OG0000149	VQY17_RS02825	DR090_RS01620
OG0000150	VQY17_RS02810	DR090_RS01605
OG0000151	VQY17_RS02760	DR090_RS01555
OG0000152	VQY17_RS02755	DR090_RS01550
