Orthogroup	MHP_7448_genes	MHP_KM014_genes
OG0000000	MHP7448_RS01735	CIB43_RS02595, CIB43_RS02600
OG0000001	MHP7448_RS01295	CIB43_RS02150
OG0000001	MHP7448_RS02820	CIB43_RS03715
OG0000001	MHP7448_RS03920, MHP7448_RS04045	CIB43_RS03670
OG0000002	MHP7448_RS03995	CIB43_RS03100
OG0000002	MHP7448_RS03900	CIB43_RS04020
OG0000002	MHP7448_RS01745	CIB43_RS02610
OG0000003	MHP7448_RS03870	CIB43_RS02725
OG0000004	MHP7448_RS03230	CIB43_RS00290
OG0000004	MHP7448_RS03035	CIB43_RS00110
OG0000005	MHP7448_RS00100	CIB43_RS00810
OG0000005	MHP7448_RS00120	CIB43_RS00830
OG0000006	MHP7448_RS04025	CIB43_RS03435
OG0000006	MHP7448_RS04020, MHP7448_RS02380, MHP7448_RS02255	CIB43_RS03420
OG0000008	MHP7448_RS02240	CIB43_RS03225
OG0000009	MHP7448_RS00085	CIB43_RS00790
OG0000009	MHP7448_RS00690	CIB43_RS01550
OG0000010	MHP7448_RS01885	CIB43_RS02735
OG0000010	MHP7448_RS00095	CIB43_RS00795
OG0000011	MHP7448_RS01970	CIB43_RS02850
OG0000012	MHP7448_RS03435, MHP7448_RS02690	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	MHP7448_RS01090	CIB43_RS01955
OG0000015	MHP7448_RS04005, MHP7448_RS04000	CIB43_RS00010
OG0000015	MHP7448_RS01650	CIB43_RS01220
OG0000016	MHP7448_RS02865	CIB43_RS03755
OG0000017	MHP7448_RS00155	CIB43_RS00855
OG0000017	MHP7448_RS02875	CIB43_RS03765
OG0000019	MHP7448_RS03045	CIB43_RS00120, CIB43_RS00115
OG0000020	MHP7448_RS03585	CIB43_RS00635
OG0000021	MHP7448_RS04125	CIB43_RS01400
OG0000022	MHP7448_RS01730	CIB43_RS02590
OG0000023	MHP7448_RS04010	CIB43_RS00020
OG0000024	MHP7448_RS01290	CIB43_RS02140
OG0000025	MHP7448_RS01725	CIB43_RS02585
OG0000026	MHP7448_RS01705	CIB43_RS02565
OG0000027	MHP7448_RS03390	CIB43_RS00440
OG0000028	MHP7448_RS02440	CIB43_RS03325
OG0000030	MHP7448_RS03385	CIB43_RS00435
OG0000031	MHP7448_RS02310	CIB43_RS00065
OG0000035	MHP7448_RS03240	CIB43_RS00280
OG0000035	MHP7448_RS03225	CIB43_RS00270
OG0000036	MHP7448_RS00115	CIB43_RS00815
OG0000037	MHP7448_RS03725	CIB43_RS02465
OG0000038	MHP7448_RS01825	CIB43_RS02625
OG0000039	MHP7448_RS01635	CIB43_RS02500
OG0000041	MHP7448_RS00680	CIB43_RS03980
OG0000042	MHP7448_RS02965	CIB43_RS03855
OG0000043	MHP7448_RS01935	CIB43_RS02825
OG0000043	MHP7448_RS02315	CIB43_RS00070
OG0000045	MHP7448_RS01640	CIB43_RS02520
OG0000047	MHP7448_RS01590	CIB43_RS01205
OG0000047	MHP7448_RS02290	CIB43_RS00045
OG0000048	MHP7448_RS02115	CIB43_RS02995
OG0000049	MHP7448_RS03085	CIB43_RS00150
OG0000051	MHP7448_RS02675	CIB43_RS03575
OG0000052	MHP7448_RS00075	CIB43_RS00775
OG0000053	MHP7448_RS01465	CIB43_RS02315
OG0000054	MHP7448_RS02495	CIB43_RS03395
OG0000055	MHP7448_RS00135	CIB43_RS00835
OG0000056	MHP7448_RS03565	CIB43_RS00630, CIB43_RS03960
OG0000057	MHP7448_RS02950	CIB43_RS03840
OG0000058	MHP7448_RS02335	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085
OG0000059	MHP7448_RS02320	CIB43_RS00080, CIB43_RS01165
OG0000060	MHP7448_RS00080	CIB43_RS00780
OG0000062	MHP7448_RS03615	CIB43_RS00675
OG0000063	MHP7448_RS03610	CIB43_RS00660
OG0000064	MHP7448_RS03600	CIB43_RS00650
OG0000065	MHP7448_RS02180	CIB43_RS03145
OG0000068	MHP7448_RS00655	CIB43_RS01520
OG0000069	MHP7448_RS02835	CIB43_RS03740
OG0000070	MHP7448_RS02500	CIB43_RS03400
OG0000071	MHP7448_RS03305	CIB43_RS00360
OG0000072	MHP7448_RS03310	CIB43_RS00375
OG0000073	MHP7448_RS00715	CIB43_RS01580
OG0000075	MHP7448_RS00340	CIB43_RS01060
OG0000077	MHP7448_RS00445	CIB43_RS01330
OG0000078	MHP7448_RS01695	CIB43_RS02560
OG0000079	MHP7448_RS02580	CIB43_RS03480
OG0000080	MHP7448_RS03915	CIB43_RS03525
OG0000081	MHP7448_RS00335	CIB43_RS01055
OG0000082	MHP7448_RS02425	CIB43_RS03315
OG0000083	MHP7448_RS02040	CIB43_RS02935
OG0000084	MHP7448_RS02065	CIB43_RS02955
OG0000086	MHP7448_RS02080	CIB43_RS02970
OG0000087	MHP7448_RS02095	CIB43_RS02975
OG0000088	MHP7448_RS02100	CIB43_RS02980
OG0000089	MHP7448_RS02110	CIB43_RS02990
OG0000090	MHP7448_RS00070	CIB43_RS00770
OG0000091	MHP7448_RS00055	CIB43_RS00760
OG0000092	MHP7448_RS00040	CIB43_RS00745
OG0000093	MHP7448_RS00035	CIB43_RS00735
OG0000094	MHP7448_RS00030	CIB43_RS00730
OG0000095	MHP7448_RS00005	CIB43_RS00715
OG0000096	MHP7448_RS03655	CIB43_RS00700
OG0000097	MHP7448_RS03635	CIB43_RS00690
OG0000100	MHP7448_RS03555	CIB43_RS00610
OG0000101	MHP7448_RS03550	CIB43_RS00600
OG0000102	MHP7448_RS01720	CIB43_RS02580
OG0000103	MHP7448_RS02145	CIB43_RS03110
OG0000104	MHP7448_RS02150	CIB43_RS03120
OG0000105	MHP7448_RS02165	CIB43_RS03130
OG0000106	MHP7448_RS02175	CIB43_RS03140
OG0000107	MHP7448_RS02185	CIB43_RS03150
OG0000108	MHP7448_RS02190	CIB43_RS03155
OG0000109	MHP7448_RS02195	CIB43_RS03160
OG0000110	MHP7448_RS02410	CIB43_RS03290
OG0000111	MHP7448_RS02405	CIB43_RS03285
OG0000112	MHP7448_RS02395	CIB43_RS03280
OG0000113	MHP7448_RS02375	CIB43_RS03260
OG0000114	MHP7448_RS02365	CIB43_RS03245
OG0000115	MHP7448_RS02355	CIB43_RS03230
OG0000116	MHP7448_RS01315	CIB43_RS02165
OG0000117	MHP7448_RS01320	CIB43_RS02170
OG0000118	MHP7448_RS01355	CIB43_RS02205
OG0000119	MHP7448_RS01360	CIB43_RS02210
OG0000120	MHP7448_RS01375	CIB43_RS02230
OG0000121	MHP7448_RS01400	CIB43_RS02250
OG0000122	MHP7448_RS01405	CIB43_RS02255
OG0000123	MHP7448_RS01425	CIB43_RS02275
OG0000124	MHP7448_RS01430	CIB43_RS02280
OG0000125	MHP7448_RS01435	CIB43_RS02285
