Orthogroup	MHP_MHP650_genes	MFC_ATCC27716_genes
OG0000000	DR083_RS02765	MFC_RS01410
OG0000000	DR083_RS04550, DR083_RS03535, DR083_RS03820, DR083_RS00790	MFC_RS02935
OG0000000	DR083_RS04215	MFC_RS00365
OG0000001	DR083_RS04075, DR083_RS00590, DR083_RS00540, DR083_RS00545	MFC_RS03350
OG0000002	DR083_RS04320, DR083_RS02760	MFC_RS00395
OG0000002	DR083_RS04915	MFC_RS02940
OG0000002	DR083_RS04760	MFC_RS00370
OG0000003	DR083_RS04460	MFC_RS02995
OG0000007	DR083_RS03475	MFC_RS02975
OG0000007	DR083_RS03470	MFC_RS02970
OG0000007	DR083_RS03465	MFC_RS02965
OG0000011	DR083_RS01555	MFC_RS03510, MFC_RS03505
OG0000011	DR083_RS01550	MFC_RS01350
OG0000013	DR083_RS05105	MFC_RS03175, MFC_RS02880
OG0000013	DR083_RS03885	MFC_RS03420
OG0000014	DR083_RS03770, DR083_RS04890	MFC_RS00870
OG0000016	DR083_RS00630	MFC_RS01050
OG0000017	DR083_RS00025	MFC_RS03155
OG0000017	DR083_RS00640	MFC_RS01040
OG0000018	DR083_RS04835	MFC_RS00540
OG0000019	DR083_RS04180	MFC_RS03330
OG0000020	DR083_RS04635	MFC_RS00305
OG0000020	DR083_RS04640	MFC_RS00300
OG0000022	DR083_RS04755	MFC_RS00360
OG0000023	DR083_RS02935	MFC_RS01695
OG0000024	DR083_RS03365, DR083_RS01215	MFC_RS01110
OG0000025	DR083_RS02105	MFC_RS00355
OG0000026	DR083_RS01120, DR083_RS02085	MFC_RS00580
OG0000027	DR083_RS04880	MFC_RS02850
OG0000029	DR083_RS02525, DR083_RS03325	MFC_RS00875
OG0000030	DR083_RS04855, DR083_RS04885	MFC_RS02855
OG0000031	DR083_RS02520	MFC_RS01295
OG0000032	DR083_RS03590	MFC_RS02685
OG0000032	DR083_RS03215	MFC_RS02860
OG0000033	DR083_RS00310	MFC_RS01210
OG0000037	DR083_RS04925	MFC_RS00375
OG0000039	DR083_RS03505	MFC_RS03135, MFC_RS00935
OG0000040	DR083_RS02780	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	DR083_RS00730	MFC_RS00930, MFC_RS01085
OG0000043	DR083_RS01520	MFC_RS01320
