HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N5.HOG0000000	OG0000000	n2										WP_404913768.1						WP_404924195.1	WP_404924635.1						WP_228366139.1																					
N5.HOG0000001	OG0000000	n43																						WP_318023952.1																						
N5.HOG0000002	OG0000000	n58																WP_404924194.1	WP_404924634.1																											
N5.HOG0000003	OG0000000	n94									WP_404912243.1	WP_404913720.1						WP_404924193.1	WP_404924193.1																											
N5.HOG0000004	OG0000000	n125										WP_404913722.1						WP_404923932.1, WP_404923933.1	WP_404924573.1, WP_404924574.1																											
N5.HOG0000005	OG0000000	n154									WP_404912439.1	WP_404912439.1, WP_404913762.1						WP_404923931.1	WP_404923931.1																											
N5.HOG0000006	OG0000000	n177									WP_404912245.1	WP_404912245.1						WP_404923947.1	WP_404924576.1					WP_041361655.1	WP_044272483.1																					
N5.HOG0000007	OG0000000	n199									WP_404912390.1																																			
N5.HOG0000008	OG0000000	n203										WP_225973037.1																																		
N5.HOG0000009	OG0000000	n217									WP_404911849.1	WP_404913633.1												WP_148174330.1	WP_148174330.1																					
N5.HOG0000010	OG0000000	n239																						WP_020835762.1	WP_052269173.1																					
N5.HOG0000011	OG0000000	n254																	WP_404924580.1																											
N5.HOG0000012	OG0000000	n260																WP_404923956.1																												
