Orthogroup	MHP_168_genes	MHP_168L_genes
OG0000000	MHP168_RS02175	MHP168L_RS02190
OG0000000	MHP168_RS02315	MHP168L_RS02335
OG0000000	MHP168_RS01690	MHP168L_RS01715
OG0000001	MHP168_RS01365	MHP168L_RS01370
OG0000001	MHP168_RS03950	MHP168L_RS03950
OG0000001	MHP168_RS02805	MHP168L_RS02830
OG0000001	MHP168_RS02755	MHP168L_RS02780
OG0000001	MHP168_RS02760	MHP168L_RS02785
OG0000002	MHP168_RS03985	MHP168L_RS04010
OG0000002	MHP168_RS01665, MHP168_RS01685	MHP168L_RS01710
OG0000003	MHP168_RS01845	MHP168L_RS01860
OG0000003	MHP168_RS00480	MHP168L_RS00485
OG0000003	MHP168_RS03875	MHP168L_RS03875
OG0000004	MHP168_RS03180	MHP168L_RS03190
OG0000004	MHP168_RS03190	MHP168L_RS03205
OG0000005	MHP168_RS00085	MHP168L_RS00090
OG0000005	MHP168_RS00095	MHP168L_RS00100
OG0000005	MHP168_RS00100	MHP168L_RS00105
OG0000006	MHP168_RS02510	MHP168L_RS02535
OG0000006	MHP168_RS02505	MHP168L_RS02530
OG0000006	MHP168_RS02320	MHP168L_RS02345
OG0000006	MHP168_RS02355	MHP168L_RS02380
OG0000006	MHP168_RS02500	MHP168L_RS02525
OG0000008	MHP168_RS02310	MHP168L_RS02330
OG0000008	MHP168_RS01780	MHP168L_RS01795
OG0000008	MHP168_RS04005	MHP168L_RS04025
OG0000009	MHP168_RS00985	MHP168L_RS00990
OG0000009	MHP168_RS00975	MHP168L_RS03915
OG0000010	MHP168_RS01930	MHP168L_RS01950
OG0000010	MHP168_RS01645	MHP168L_RS01650
OG0000010	MHP168_RS00080	MHP168L_RS00085
OG0000011	MHP168_RS04085	MHP168L_RS03995
OG0000011	MHP168_RS02020	MHP168L_RS03990
OG0000011	MHP168_RS02015	MHP168L_RS02035
OG0000012	MHP168_RS02105	MHP168L_RS02220
OG0000012	MHP168_RS03590	MHP168L_RS03040
OG0000013	MHP168_RS02405	MHP168L_RS02430
OG0000013	MHP168_RS03910	MHP168L_RS03905
OG0000014	MHP168_RS01070	MHP168L_RS01070
OG0000014	MHP168_RS01055	MHP168L_RS01055
OG0000015	MHP168_RS04045	MHP168L_RS04080
OG0000015	MHP168_RS03520	MHP168L_RS03530
OG0000015	MHP168_RS01265	MHP168L_RS01270
OG0000015	MHP168_RS03815	MHP168L_RS01665
OG0000016	MHP168_RS02850	MHP168L_RS02870
OG0000016	MHP168_RS00145	MHP168L_RS00150
OG0000017	MHP168_RS00130	MHP168L_RS00135
OG0000017	MHP168_RS02860	MHP168L_RS02880
OG0000018	MHP168_RS01245	MHP168L_RS01250
OG0000018	MHP168_RS04035	MHP168L_RS04065
OG0000018	MHP168_RS04030	MHP168L_RS04060
OG0000018	MHP168_RS01410	MHP168L_RS01415
OG0000020	MHP168_RS03580	MHP168L_RS03590
OG0000020	MHP168_RS03585	MHP168L_RS03595
OG0000021	MHP168_RS01850	MHP168L_RS01865
OG0000021	MHP168_RS00490	MHP168L_RS00495
OG0000021	MHP168_RS01775	MHP168L_RS01790
OG0000021	MHP168_RS00485	MHP168L_RS00490
OG0000021	MHP168_RS02335	MHP168L_RS02360
OG0000022	MHP168_RS01760	MHP168L_RS01775
OG0000022	MHP168_RS01710	MHP168L_RS01725
OG0000023	MHP168_RS01405	MHP168L_RS01410
OG0000023	MHP168_RS03930	MHP168L_RS03930
OG0000023	MHP168_RS03535	MHP168L_RS03545
OG0000024	MHP168_RS02750	MHP168L_RS02775
OG0000024	MHP168_RS03940	MHP168L_RS03940
OG0000024	MHP168_RS03945	MHP168L_RS03945
