Orthogroup	MFC_MF11_genes	MHP_131B_genes
OG0000000	DR093_RS02920	NB627_RS02355
OG0000000	DR093_RS03040	NB627_RS02265
OG0000000	DR093_RS03705	NB627_RS02275
OG0000000	DR093_RS03440	NB627_RS01850
OG0000001	DR093_RS00830, DR093_RS00825	NB627_RS01400, NB627_RS01405, NB627_RS02985, NB627_RS02940, NB627_RS02935
OG0000002	DR093_RS04025	NB627_RS02290
OG0000002	DR093_RS03845	NB627_RS01865
OG0000004	DR093_RS01845	NB627_RS03225
OG0000007	DR093_RS02845	NB627_RS02345
OG0000007	DR093_RS02840	NB627_RS02325
OG0000008	DR093_RS03250	NB627_RS01765
OG0000011	DR093_RS03260	NB627_RS02090
OG0000013	DR093_RS01095, DR093_RS01090	NB627_RS02570
OG0000013	DR093_RS03220	NB627_RS00185
OG0000014	DR093_RS03805	NB627_RS00705, NB627_RS01205, NB627_RS00715
OG0000016	DR093_RS00770	NB627_RS03030
OG0000016	DR093_RS00190	NB627_RS00170
OG0000017	DR093_RS00175	NB627_RS00155
OG0000017	DR093_RS00760	NB627_RS03040
OG0000018	DR093_RS03935	NB627_RS00490
OG0000019	DR093_RS03265	NB627_RS03230
OG0000020	DR093_RS03835	NB627_RS03755
OG0000020	DR093_RS03830	NB627_RS03760
OG0000022	DR093_RS03840	NB627_RS01845
OG0000023	DR093_RS01985	NB627_RS01440, NB627_RS00500
OG0000024	DR093_RS00835	NB627_RS02930, NB627_RS01395
OG0000025	DR093_RS01230	NB627_RS01840
OG0000026	DR093_RS02030	NB627_RS01490, NB627_RS01820
OG0000027	DR093_RS01425	NB627_RS03540
OG0000027	DR093_RS03885	NB627_RS03555
OG0000029	DR093_RS00605	NB627_RS01200, NB627_RS00720
OG0000030	DR093_RS03890	NB627_RS03530, NB627_RS03550
OG0000031	DR093_RS02685	NB627_RS00445, NB627_RS01730
OG0000032	DR093_RS01420	NB627_RS01700, NB627_RS03545
OG0000039	DR093_RS00665	NB627_RS01740
OG0000040	DR093_RS02380, DR093_RS03230	NB627_RS03475
OG0000042	DR093_RS00660, DR093_RS03365, DR093_RS00810	NB627_RS03125
OG0000043	DR093_RS02660	NB627_RS02055
OG0000045	DR093_RS00670	NB627_RS01745
OG0000047	DR093_RS00840	NB627_RS00510
OG0000048	DR093_RS03685, DR093_RS03690	NB627_RS02245
OG0000049	DR093_RS03590	NB627_RS03240
OG0000050	DR093_RS04015	NB627_RS02630
OG0000051	DR093_RS01745	NB627_RS02845
OG0000052	DR093_RS00140	NB627_RS00075
OG0000053	DR093_RS03940	NB627_RS01580
OG0000054	DR093_RS01140	NB627_RS02655
OG0000056	DR093_RS01205	NB627_RS03735
OG0000057	DR093_RS00685	NB627_RS03110
OG0000062	DR093_RS00025	NB627_RS03790
OG0000063	DR093_RS03775	NB627_RS03785
OG0000064	DR093_RS00010	NB627_RS03775
OG0000065	DR093_RS01890	NB627_RS02410
OG0000066	DR093_RS02020	NB627_RS01480, NB627_RS01475
