Orthogroup	MHP_1257_genes	MHP_MHP679_genes
OG0000000	ABKJ22_RS02090	DR086_RS04585, DR086_RS03600
OG0000000	ABKJ22_RS01715	DR086_RS04250, DR086_RS04245
OG0000002	ABKJ22_RS02205	DR086_RS04310
OG0000002	ABKJ22_RS02250	DR086_RS05060
OG0000002	ABKJ22_RS01720	DR086_RS04880
OG0000003	ABKJ22_RS02215	DR086_RS05055
OG0000003	ABKJ22_RS01825	DR086_RS05085
OG0000004	ABKJ22_RS02940	DR086_RS03630, DR086_RS03555, DR086_RS00615
OG0000005	ABKJ22_RS00095	DR086_RS03245
OG0000005	ABKJ22_RS00100	DR086_RS03255
OG0000005	ABKJ22_RS00105, ABKJ22_RS00120	DR086_RS05035
OG0000006	ABKJ22_RS02450	DR086_RS04315
OG0000006	ABKJ22_RS02445	DR086_RS04320
OG0000006	ABKJ22_RS02310	DR086_RS04535
OG0000007	ABKJ22_RS02220	DR086_RS03485
OG0000007	ABKJ22_RS02230	DR086_RS03495
OG0000008	ABKJ22_RS01635	DR086_RS04265
OG0000008	ABKJ22_RS02455	DR086_RS02140
OG0000009	ABKJ22_RS01210	DR086_RS04375
OG0000010	ABKJ22_RS01835	DR086_RS00810
OG0000011	ABKJ22_RS01925	DR086_RS00450
OG0000011	ABKJ22_RS01920	DR086_RS00445
OG0000012	ABKJ22_RS01200	DR086_RS03950
OG0000013	ABKJ22_RS02355	DR086_RS03105
OG0000013	ABKJ22_RS00180	DR086_RS04005
OG0000014	ABKJ22_RS01105	DR086_RS03610
OG0000014	ABKJ22_RS01095	DR086_RS04970
OG0000016	ABKJ22_RS02785	DR086_RS01050
OG0000016	ABKJ22_RS00165	DR086_RS00030
OG0000017	ABKJ22_RS00150	DR086_RS00015
OG0000017	ABKJ22_RS02795	DR086_RS01060
OG0000019	ABKJ22_RS02945	DR086_RS04570
OG0000020	ABKJ22_RS03440	DR086_RS02470
OG0000022	ABKJ22_RS01655	DR086_RS01645
OG0000022	ABKJ22_RS01710	DR086_RS04885
OG0000024	ABKJ22_RS02680	DR086_RS03190
OG0000025	ABKJ22_RS01660	DR086_RS04890
OG0000025	ABKJ22_RS01705	DR086_RS01595
OG0000026	ABKJ22_RS01380	DR086_RS01970
OG0000026	ABKJ22_RS01685	DR086_RS01615
OG0000027	ABKJ22_RS03225	DR086_RS05030
OG0000027	ABKJ22_RS03240	DR086_RS04870
OG0000029	ABKJ22_RS00600	DR086_RS02730
OG0000030	ABKJ22_RS03215	DR086_RS05025
OG0000030	ABKJ22_RS03235	DR086_RS04875
OG0000032	ABKJ22_RS01585	DR086_RS03980
OG0000032	ABKJ22_RS03230	DR086_RS03870
OG0000033	ABKJ22_RS02360	DR086_RS05010
OG0000034	ABKJ22_RS02240	DR086_RS04580
OG0000034	ABKJ22_RS02235	DR086_RS03590
OG0000036	ABKJ22_RS00110, ABKJ22_RS00125	DR086_RS03265
OG0000037	ABKJ22_RS01590	DR086_RS04510, DR086_RS03330, DR086_RS03325
OG0000039	ABKJ22_RS01615	DR086_RS03295
OG0000040	ABKJ22_RS03165	DR086_RS02360
OG0000041	ABKJ22_RS01030	DR086_RS03635
OG0000042	ABKJ22_RS02880	DR086_RS02970
OG0000043	ABKJ22_RS01890	DR086_RS00750, DR086_RS00415
OG0000044	ABKJ22_RS01670	DR086_RS05095
OG0000045	ABKJ22_RS01620	DR086_RS03290
OG0000046	ABKJ22_RS03170	DR086_RS04940
OG0000048	ABKJ22_RS02075	DR086_RS00610
OG0000049	ABKJ22_RS02955	DR086_RS01430
OG0000050	ABKJ22_RS02395	DR086_RS02195
OG0000051	ABKJ22_RS02600	DR086_RS00855
OG0000052	ABKJ22_RS00075	DR086_RS01150
OG0000053	ABKJ22_RS01465	DR086_RS04905
OG0000054	ABKJ22_RS02420	DR086_RS02170
OG0000055	ABKJ22_RS00130	DR086_RS03270
OG0000056	ABKJ22_RS03415	DR086_RS02455
OG0000057	ABKJ22_RS02865	DR086_RS01130
OG0000062	ABKJ22_RS03470	DR086_RS01260
OG0000063	ABKJ22_RS03465	DR086_RS04835
OG0000064	ABKJ22_RS03455	DR086_RS01275
OG0000065	ABKJ22_RS02160	DR086_RS02080
OG0000066	ABKJ22_RS01370	DR086_RS01980
OG0000067	ABKJ22_RS00525	DR086_RS02240
OG0000068	ABKJ22_RS01055	DR086_RS01570
OG0000069	ABKJ22_RS02760	DR086_RS01025
OG0000070	ABKJ22_RS02425	DR086_RS02165
OG0000071	ABKJ22_RS03155	DR086_RS02350
OG0000072	ABKJ22_RS03160	DR086_RS04935
OG0000073	ABKJ22_RS00995	DR086_RS03040
OG0000074	ABKJ22_RS00800	DR086_RS04990
OG0000075	ABKJ22_RS00335	DR086_RS03840, DR086_RS00210
OG0000076	ABKJ22_RS00350	DR086_RS00225
OG0000077	ABKJ22_RS00445	DR086_RS00315
OG0000078	ABKJ22_RS01675	DR086_RS01625
OG0000079	ABKJ22_RS02505	DR086_RS00950
OG0000080	ABKJ22_RS02550	DR086_RS04145
OG0000081	ABKJ22_RS00330	DR086_RS00205
OG0000082	ABKJ22_RS02350	DR086_RS03110
OG0000083	ABKJ22_RS01995	DR086_RS00520
OG0000084	ABKJ22_RS02025	DR086_RS00545
OG0000085	ABKJ22_RS02030	DR086_RS00550
OG0000086	ABKJ22_RS02040	DR086_RS00560
OG0000087	ABKJ22_RS02055	DR086_RS00575
OG0000088	ABKJ22_RS02060	DR086_RS00580
OG0000089	ABKJ22_RS02070	DR086_RS00590
OG0000090	ABKJ22_RS00070	DR086_RS01155
OG0000091	ABKJ22_RS00055	DR086_RS01170
OG0000092	ABKJ22_RS00040	DR086_RS01185
OG0000093	ABKJ22_RS00035	DR086_RS01190
OG0000094	ABKJ22_RS00030	DR086_RS01195
OG0000095	ABKJ22_RS00005	DR086_RS01220
OG0000096	ABKJ22_RS03505	DR086_RS01225
OG0000097	ABKJ22_RS03485	DR086_RS01245
OG0000098	ABKJ22_RS03475	DR086_RS01255
OG0000099	ABKJ22_RS03425	DR086_RS04950
OG0000100	ABKJ22_RS03405	DR086_RS02445
OG0000101	ABKJ22_RS03400	DR086_RS02440
OG0000102	ABKJ22_RS01700	DR086_RS01600
OG0000103	ABKJ22_RS02195	DR086_RS02115
OG0000104	ABKJ22_RS02190	DR086_RS02110
OG0000105	ABKJ22_RS02175	DR086_RS02095
OG0000106	ABKJ22_RS02165	DR086_RS02085
OG0000107	ABKJ22_RS02155	DR086_RS02075
OG0000108	ABKJ22_RS02150	DR086_RS02070
OG0000109	ABKJ22_RS02145	DR086_RS02065
OG0000110	ABKJ22_RS02340	DR086_RS03120
OG0000111	ABKJ22_RS02335	DR086_RS03125
OG0000112	ABKJ22_RS02325	DR086_RS03135
OG0000113	ABKJ22_RS02305	DR086_RS05050
OG0000114	ABKJ22_RS02295	DR086_RS03455
OG0000115	ABKJ22_RS02285	DR086_RS03475
OG0000116	ABKJ22_RS01315	DR086_RS03410
OG0000117	ABKJ22_RS01320	DR086_RS03405
OG0000118	ABKJ22_RS01355	DR086_RS01995
OG0000119	ABKJ22_RS01360	DR086_RS01990
OG0000120	ABKJ22_RS01375	DR086_RS01975
OG0000121	ABKJ22_RS01400	DR086_RS01950
OG0000122	ABKJ22_RS01405	DR086_RS01945
OG0000123	ABKJ22_RS01425	DR086_RS01925
OG0000124	ABKJ22_RS01430	DR086_RS01920
OG0000125	ABKJ22_RS01435	DR086_RS01915
OG0000126	ABKJ22_RS01445	DR086_RS01900
OG0000127	ABKJ22_RS01455	DR086_RS01890
OG0000128	ABKJ22_RS01470	DR086_RS01875
OG0000129	ABKJ22_RS01475	DR086_RS01870
OG0000130	ABKJ22_RS01485	DR086_RS01860
OG0000131	ABKJ22_RS01515	DR086_RS01830
OG0000132	ABKJ22_RS01530	DR086_RS04900
OG0000133	ABKJ22_RS00530	DR086_RS02245
OG0000134	ABKJ22_RS00535	DR086_RS02250
OG0000135	ABKJ22_RS00550	DR086_RS02265
OG0000136	ABKJ22_RS00555	DR086_RS02270
OG0000137	ABKJ22_RS00585	DR086_RS02310
OG0000138	ABKJ22_RS01080	DR086_RS02775
OG0000139	ABKJ22_RS01050	DR086_RS02745
OG0000140	ABKJ22_RS01045	DR086_RS02740
OG0000141	ABKJ22_RS02875	DR086_RS03720
