Seq_id	Size	Description
1	894983	IDF72C
2	886877	ID4284
3	956514	IDES2
4	901311	ID116
5	891138	ID1257
6	921093	ID168L
7	879752	IDMHP696
8	923612	ID112B
9	871408	IDMHP694
10	902476	IDMHP691
11	960219	IDUFV02
12	909216	IDMHP650
13	882420	ID98
14	921541	ID111A
15	898495	ID7422
16	892758	ID232
17	898402	IDMHP653
18	913664	IDTB1
19	918900	IDES2L
20	880293	IDMHP709
21	920079	ID7448
22	900736	IDUe273
23	912568	IDMHP682
24	898336	ID11
25	964503	IDKM014
26	897405	IDJ
27	923878	IDMHP699
28	906915	IDMHP679
29	910816	IDUFV01
30	927216	ID133A
31	960532	IDNCTC10127
32	925576	ID168
33	920420	ID154B
34	920587	IDLH
35	920392	ID153B
36	927172	ID131B
--------------------------------------------------------------------------------
Block #30
Seq_id	Strand	Start	End	Length
30	+	509764	516554	6790
33	+	510496	517310	6814
35	+	510493	517300	6807
36	+	509761	516547	6786
--------------------------------------------------------------------------------
Block #13
Seq_id	Strand	Start	End	Length
1	+	427736	446686	18950
2	-	448435	429478	18957
3	-	490596	471649	18947
4	-	455111	436129	18982
5	-	464754	445776	18978
6	-	482865	463912	18953
7	-	418173	399202	18971
8	+	456233	475202	18969
9	-	460215	441268	18947
10	-	467848	448889	18959
11	-	627895	608939	18956
12	-	605817	586866	18951
13	-	390620	371662	18958
14	+	454329	473296	18967
15	-	475694	456743	18951
16	-	457178	438229	18949
17	-	471668	452698	18970
18	-	452491	433460	19031
19	-	453930	434981	18949
20	-	458249	439278	18971
21	-	467248	448296	18952
22	-	471541	452574	18967
23	-	470992	452005	18987
24	-	115651	96702	18949
25	-	688296	669354	18942
26	-	450709	431752	18957
27	-	481765	462481	19284
28	-	445323	426338	18985
29	-	569752	550796	18956
30	-	478801	459847	18954
31	-	235616	216667	18949
32	-	481844	462892	18952
33	-	454966	436013	18953
34	-	475304	456347	18957
35	-	454951	435998	18953
36	-	478801	459849	18952
--------------------------------------------------------------------------------
Block #12
Seq_id	Strand	Start	End	Length
1	+	417362	427583	10221
2	-	458802	448591	10211
3	-	500963	490752	10211
4	-	465524	455266	10258
5	-	475152	464909	10243
6	+	512643	522828	10185
7	-	428860	418326	10534
8	+	445824	456078	10254
9	-	470608	460368	10240
10	-	478189	468003	10186
11	-	638295	628051	10244
12	-	615889	605970	9919
13	-	401450	390794	10656
14	+	443921	454174	10253
15	-	486091	475847	10244
16	-	467550	457334	10216
17	-	482094	471823	10271
18	+	478499	488682	10183
19	-	464257	454086	10171
20	-	468676	458402	10274
21	-	477652	467402	10250
22	-	483848	471695	12153
23	-	480891	471147	9744
24	-	126017	115807	10210
25	-	698666	688448	10218
26	-	461097	450864	10233
27	-	492634	482416	10218
28	-	455666	445478	10188
29	-	580151	569908	10243
30	-	489203	478956	10247
31	-	245986	235772	10214
32	+	511627	521810	10183
33	-	465395	455119	10276
34	-	485695	475460	10235
35	-	465386	455104	10282
36	-	489202	478956	10246
--------------------------------------------------------------------------------
Block #11
Seq_id	Strand	Start	End	Length
1	+	409407	417362	7955
2	-	466758	458803	7955
3	-	508918	500964	7954
4	-	473479	465525	7954
5	-	483104	475153	7951
6	+	504696	512643	7947
7	-	436815	428861	7954
8	+	437871	445824	7953
9	-	478563	470609	7954
10	-	486145	478190	7955
11	-	646250	638296	7954
12	-	623844	615890	7954
13	-	409405	401451	7954
14	+	435967	443921	7954
15	-	494046	486092	7954
16	-	475505	467551	7954
17	-	490050	482095	7955
18	+	470552	478499	7947
19	-	472213	464258	7955
20	-	476631	468677	7954
21	-	485607	477653	7954
22	-	491804	483849	7955
23	-	488846	480892	7954
24	-	133972	126018	7954
25	-	706618	698667	7951
26	-	469052	461098	7954
27	-	500589	492635	7954
28	-	463622	455667	7955
29	-	588106	580152	7954
30	-	497157	489204	7953
31	-	253941	245987	7954
32	+	503680	511627	7947
33	-	494791	486854	7937
34	-	493651	485696	7955
35	-	494783	486845	7938
36	-	497155	489203	7952
--------------------------------------------------------------------------------
Block #10
Seq_id	Strand	Start	End	Length
1	+	372527	397812	25285
2	+	357167	382400	25233
3	+	390328	415590	25262
4	+	355178	380440	25262
5	+	365626	390881	25255
6	-	404654	379065	25589
7	+	327274	352630	25356
8	+	378894	406153	27259
9	+	326757	352089	25332
10	+	380367	405407	25040
11	+	510666	535936	25270
12	+	514592	539812	25220
13	+	294482	320064	25582
14	+	376979	404242	27263
15	+	378260	403499	25239
16	+	362764	388045	25281
17	+	372884	399738	26854
18	-	378142	352545	25597
19	+	357270	384478	27208
20	+	367361	392655	25294
21	+	366094	391357	25263
22	+	367163	394364	27201
23	+	375080	400344	25264
24	+	21241	46518	25277
25	+	593839	619109	25270
26	+	350209	375440	25231
27	+	386163	411414	25251
28	+	328086	353327	25241
29	+	452402	477664	25262
30	+	381688	408946	27258
31	+	141200	166481	25281
32	-	403439	375857	27582
33	+	360550	385748	25198
34	+	381011	406213	25202
35	+	360516	385724	25208
36	+	381686	408946	27260
--------------------------------------------------------------------------------
Block #9
Seq_id	Strand	Start	End	Length
1	+	274817	355985	81168
2	+	257091	339252	82161
3	+	263544	345631	82087
4	+	254795	336873	82078
5	+	265950	349058	83108
6	+	277823	362057	84234
7	+	229391	311422	82031
8	+	278419	360625	82206
9	+	226865	309282	82417
10	+	279158	362445	83287
11	+	410854	493220	82366
12	+	412781	496016	83235
13	+	185789	269538	83749
14	+	276512	358700	82188
15	+	277483	359564	82081
16	-	190775	108631	82144
17	+	274141	356439	82298
18	+	254242	337187	82945
19	+	254632	336780	82148
20	+	268918	350696	81778
21	+	260578	346714	86136
22	+	262275	344394	82119
23	+	274065	355764	81699
24	-	741983	659844	82139
25	+	489221	571352	82131
26	+	251108	333232	82124
27	+	279815	362123	82308
28	+	230072	312639	82567
29	+	352502	434919	82417
30	+	283010	365105	82095
31	-	750263	668117	82146
32	+	277869	361938	84069
33	+	257743	339806	82063
34	+	282502	364654	82152
35	+	257708	339782	82074
36	+	283026	365118	82092
--------------------------------------------------------------------------------
Block #8
Seq_id	Strand	Start	End	Length
1	+	259264	274048	14784
2	+	240232	255019	14787
3	+	245382	260159	14777
4	+	235988	250780	14792
5	+	247313	262105	14792
6	+	238051	252838	14787
7	+	212499	227322	14823
8	+	261647	276438	14791
9	+	209694	224481	14787
10	+	263909	278696	14787
11	+	393990	408777	14787
12	+	392955	407738	14783
13	+	168043	182817	14774
14	+	259739	274531	14792
15	+	260622	275415	14793
16	-	207651	192863	14788
17	+	255618	270405	14787
18	+	214513	229300	14787
19	+	237791	252565	14774
20	+	252026	266849	14823
21	+	241667	256459	14792
22	+	246714	261505	14791
23	+	255896	270683	14787
24	-	758859	744071	14788
25	+	472428	487203	14775
26	+	234258	249045	14787
27	+	261646	276433	14787
28	+	213359	228151	14792
29	+	335638	350425	14787
30	+	264215	278989	14774
31	-	767139	752351	14788
32	+	238096	252883	14787
33	+	240974	255762	14788
34	+	265623	280410	14787
35	+	240939	255727	14788
36	+	264231	279005	14774
--------------------------------------------------------------------------------
Block #7
Seq_id	Strand	Start	End	Length
1	+	245747	259199	13452
2	+	226719	240171	13452
3	+	231854	245317	13463
4	+	222471	235923	13452
5	+	233795	247248	13453
6	+	224538	237985	13447
7	+	198984	212438	13454
8	+	248136	261586	13450
9	+	196180	209633	13453
10	+	250394	263848	13454
11	+	380477	393929	13452
12	+	379438	392890	13452
13	+	154526	167978	13452
14	+	246227	259678	13451
15	+	247108	260561	13453
16	-	221164	207712	13452
17	+	242104	255557	13453
18	+	200970	214447	13477
19	+	224274	237726	13452
20	+	238511	251965	13454
21	+	228153	241606	13453
22	+	233201	246653	13452
23	+	242379	255835	13456
24	-	772372	758920	13452
25	+	458916	472358	13442
26	+	220745	234197	13452
27	+	248130	261585	13455
28	+	199843	213298	13455
29	+	322125	335577	13452
30	+	250698	264150	13452
31	-	780652	767200	13452
32	+	224583	238030	13447
33	+	227460	240913	13453
34	+	229522	242968	13446
35	+	227425	240878	13453
36	+	250713	264166	13453
--------------------------------------------------------------------------------
Block #6
Seq_id	Strand	Start	End	Length
1	+	220792	237385	16593
2	-	164575	147983	16592
3	+	208920	225533	16613
4	-	158725	142062	16663
5	-	163857	147273	16584
