Orthogroup	MHP_168L_genes	MFC_MF11_genes
OG0000000	MHP168L_RS02190	DR093_RS02920
OG0000000	MHP168L_RS03865	DR093_RS03435
OG0000001	MHP168L_RS01370, MHP168L_RS03950, MHP168L_RS02830, MHP168L_RS02780, MHP168L_RS02785	DR093_RS00830, DR093_RS00825
OG0000002	MHP168L_RS01710	DR093_RS03845
OG0000004	MHP168L_RS03030	DR093_RS01845
OG0000008	MHP168L_RS01795	DR093_RS03250
OG0000011	MHP168L_RS03995, MHP168L_RS03990	DR093_RS03025
OG0000011	MHP168L_RS02035	DR093_RS03260
OG0000013	MHP168L_RS02430	DR093_RS01095, DR093_RS01090
OG0000013	MHP168L_RS03905	DR093_RS03220
OG0000014	MHP168L_RS01070, MHP168L_RS01055	DR093_RS03805
OG0000016	MHP168L_RS02870	DR093_RS00770
OG0000016	MHP168L_RS00150	DR093_RS00190
OG0000017	MHP168L_RS00135	DR093_RS00175
OG0000017	MHP168L_RS02880	DR093_RS00760
OG0000018	MHP168L_RS04065, MHP168L_RS04060	DR093_RS03935
OG0000020	MHP168L_RS03590	DR093_RS03835
OG0000020	MHP168L_RS03595	DR093_RS03830
OG0000022	MHP168L_RS01725	DR093_RS03840
OG0000023	MHP168L_RS01410, MHP168L_RS03930, MHP168L_RS03545	DR093_RS01985
OG0000024	MHP168L_RS02775, MHP168L_RS03940, MHP168L_RS03945	DR093_RS00835
OG0000025	MHP168L_RS01730	DR093_RS01230
OG0000026	MHP168L_RS01455, MHP168L_RS01750	DR093_RS02030
OG0000027	MHP168L_RS03825	DR093_RS01425
OG0000027	MHP168L_RS03345	DR093_RS03885
OG0000028	MHP168L_RS02445, MHP168L_RS02440	DR093_RS01110
OG0000029	MHP168L_RS00580, MHP168L_RS01050	DR093_RS00605
OG0000030	MHP168L_RS03325, MHP168L_RS03340	DR093_RS03890
OG0000031	MHP168L_RS03575, MHP168L_RS01215, MHP168L_RS01830	DR093_RS02685
OG0000032	MHP168L_RS03335	DR093_RS01420
OG0000039	MHP168L_RS01815	DR093_RS00665
OG0000040	MHP168L_RS03275	DR093_RS02380, DR093_RS03230
OG0000042	MHP168L_RS02970	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	MHP168L_RS01210	DR093_RS02660
OG0000045	MHP168L_RS01810	DR093_RS00670
OG0000047	MHP168L_RS03540, MHP168L_RS01680, MHP168L_RS01235	DR093_RS00840
OG0000048	MHP168L_RS02210	DR093_RS03685, DR093_RS03690
OG0000049	MHP168L_RS03050	DR093_RS03590
OG0000050	MHP168L_RS02475	DR093_RS04015
OG0000051	MHP168L_RS04035	DR093_RS01745
OG0000052	MHP168L_RS00075	DR093_RS00140
OG0000053	MHP168L_RS01540	DR093_RS03940
OG0000054	MHP168L_RS02500	DR093_RS01140
OG0000056	MHP168L_RS03515	DR093_RS01205
OG0000057	MHP168L_RS02955	DR093_RS00685
OG0000062	MHP168L_RS03630	DR093_RS00025
OG0000063	MHP168L_RS03625	DR093_RS03775
OG0000064	MHP168L_RS03615	DR093_RS00010
OG0000065	MHP168L_RS04005	DR093_RS01890
OG0000066	MHP168L_RS01445	DR093_RS02020
OG0000068	MHP168L_RS04135	DR093_RS00640
OG0000069	MHP168L_RS02845	DR093_RS00795
OG0000070	MHP168L_RS02505	DR093_RS01120
OG0000071	MHP168L_RS03265	DR093_RS02370
OG0000072	MHP168L_RS03270	DR093_RS03980
OG0000073	MHP168L_RS00955	DR093_RS02505
OG0000074	MHP168L_RS00765	DR093_RS03915
OG0000075	MHP168L_RS00320	DR093_RS00360
OG0000076	MHP168L_RS00335	DR093_RS00375
OG0000077	MHP168L_RS00425	DR093_RS00460
OG0000078	MHP168L_RS01760	DR093_RS00930
OG0000079	MHP168L_RS02590	DR093_RS01040
OG0000080	MHP168L_RS03895	DR093_RS03415
OG0000081	MHP168L_RS00315	DR093_RS00355
OG0000082	MHP168L_RS04015, MHP168L_RS04020	DR093_RS01100
OG0000083	MHP168L_RS02110	DR093_RS02955
OG0000084	MHP168L_RS02265	DR093_RS02790
OG0000085	MHP168L_RS02260	DR093_RS02785
OG0000086	MHP168L_RS02250	DR093_RS04020
OG0000087	MHP168L_RS02235	DR093_RS02760
OG0000088	MHP168L_RS02230	DR093_RS02755
OG0000089	MHP168L_RS02215	DR093_RS02745
OG0000090	MHP168L_RS00070	DR093_RS00130
OG0000091	MHP168L_RS00055	DR093_RS00115
OG0000092	MHP168L_RS00040	DR093_RS00100
OG0000093	MHP168L_RS00035	DR093_RS00095
OG0000094	MHP168L_RS00030	DR093_RS04155
OG0000095	MHP168L_RS00005	DR093_RS00065
OG0000096	MHP168L_RS03665	DR093_RS00060
OG0000097	MHP168L_RS03645	DR093_RS00040
OG0000098	MHP168L_RS03635	DR093_RS00030
OG0000099	MHP168L_RS03520	DR093_RS01200
OG0000100	MHP168L_RS03505	DR093_RS01210
OG0000101	MHP168L_RS03500	DR093_RS01215
OG0000102	MHP168L_RS01735	DR093_RS01225
OG0000103	MHP168L_RS02175	DR093_RS01855
OG0000104	MHP168L_RS02170	DR093_RS01860
OG0000105	MHP168L_RS02155	DR093_RS01875
OG0000106	MHP168L_RS02145	DR093_RS01885
OG0000107	MHP168L_RS02135	DR093_RS01895
OG0000108	MHP168L_RS02130	DR093_RS01900
OG0000109	MHP168L_RS02125	DR093_RS01905
OG0000110	MHP168L_RS02410	DR093_RS01910
OG0000111	MHP168L_RS02405	DR093_RS01915
OG0000112	MHP168L_RS02395	DR093_RS01925
OG0000113	MHP168L_RS02375	DR093_RS03930
OG0000114	MHP168L_RS02365	DR093_RS01950
OG0000115	MHP168L_RS02350	DR093_RS01960
OG0000116	MHP168L_RS01385	DR093_RS01970
OG0000117	MHP168L_RS01390	DR093_RS01975
OG0000118	MHP168L_RS01430	DR093_RS02005
OG0000119	MHP168L_RS01435	DR093_RS02010
OG0000120	MHP168L_RS01450	DR093_RS02025
OG0000121	MHP168L_RS01475	DR093_RS02050
OG0000122	MHP168L_RS01480	DR093_RS02055
OG0000123	MHP168L_RS01500	DR093_RS02075
OG0000124	MHP168L_RS01505	DR093_RS02080
OG0000125	MHP168L_RS01510	DR093_RS02085
OG0000126	MHP168L_RS01520	DR093_RS02095
OG0000127	MHP168L_RS01530	DR093_RS02105
OG0000128	MHP168L_RS01545	DR093_RS02120
OG0000129	MHP168L_RS01550	DR093_RS02125
OG0000130	MHP168L_RS01560	DR093_RS02135
OG0000131	MHP168L_RS01590	DR093_RS02165
OG0000132	MHP168L_RS01605	DR093_RS03945
OG0000133	MHP168L_RS00515	DR093_RS00535
OG0000134	MHP168L_RS00520	DR093_RS03795
OG0000135	MHP168L_RS00535	DR093_RS00555
OG0000136	MHP168L_RS00540	DR093_RS00560
OG0000137	MHP168L_RS00575	DR093_RS00590
OG0000138	MHP168L_RS01030	DR093_RS00615
OG0000139	MHP168L_RS01005	DR093_RS00645
OG0000140	MHP168L_RS01000	DR093_RS00650
OG0000141	MHP168L_RS02965	DR093_RS00675
OG0000142	MHP168L_RS02960	DR093_RS03810
OG0000143	MHP168L_RS02935	DR093_RS00705
OG0000144	MHP168L_RS02925	DR093_RS00715
OG0000145	MHP168L_RS02915	DR093_RS00725
OG0000146	MHP168L_RS02905	DR093_RS00735
OG0000147	MHP168L_RS02900	DR093_RS00740
OG0000148	MHP168L_RS02885	DR093_RS00755
OG0000149	MHP168L_RS02875	DR093_RS00765
OG0000150	MHP168L_RS02860	DR093_RS00780
OG0000151	MHP168L_RS02815	DR093_RS00845
OG0000152	MHP168L_RS02810	DR093_RS00850
OG0000153	MHP168L_RS02805	DR093_RS00855
OG0000154	MHP168L_RS02795	DR093_RS00865
OG0000155	MHP168L_RS02755	DR093_RS00885
OG0000156	MHP168L_RS02745	DR093_RS00905
OG0000157	MHP168L_RS02740	DR093_RS03815
OG0000158	MHP168L_RS04120	DR093_RS03820
OG0000159	MHP168L_RS04145	DR093_RS01150
OG0000160	MHP168L_RS02485	DR093_RS01155
OG0000161	MHP168L_RS02480	DR093_RS01165
OG0000162	MHP168L_RS02470	DR093_RS02715
OG0000163	MHP168L_RS02465	DR093_RS02710
OG0000164	MHP168L_RS01825	DR093_RS04010
OG0000165	MHP168L_RS02030	DR093_RS02995
OG0000166	MHP168L_RS02050	DR093_RS02980
OG0000167	MHP168L_RS02065	DR093_RS02890
OG0000168	MHP168L_RS02070	DR093_RS02895
OG0000169	MHP168L_RS03045	DR093_RS02185
OG0000170	MHP168L_RS03060	DR093_RS02200
OG0000171	MHP168L_RS03070	DR093_RS02210
OG0000172	MHP168L_RS03075	DR093_RS02215
OG0000173	MHP168L_RS03080	DR093_RS02220
OG0000174	MHP168L_RS03085	DR093_RS02225
OG0000175	MHP168L_RS03100	DR093_RS02240
OG0000176	MHP168L_RS03150	DR093_RS02280
OG0000177	MHP168L_RS03155	DR093_RS02285
OG0000178	MHP168L_RS03160	DR093_RS02290
OG0000179	MHP168L_RS03170	DR093_RS02300
OG0000180	MHP168L_RS03175	DR093_RS02305
OG0000181	MHP168L_RS03215	DR093_RS03965
OG0000182	MHP168L_RS03225	DR093_RS02330
OG0000183	MHP168L_RS03260	DR093_RS02365
OG0000184	MHP168L_RS03300	DR093_RS02865
OG0000185	MHP168L_RS03285	DR093_RS02880
OG0000186	MHP168L_RS01615	DR093_RS02615
OG0000187	MHP168L_RS01630	DR093_RS02600
OG0000188	MHP168L_RS01640	DR093_RS02590
OG0000189	MHP168L_RS02320	DR093_RS04000
OG0000190	MHP168L_RS02315	DR093_RS02575
OG0000191	MHP168L_RS02295	DR093_RS02555
OG0000192	MHP168L_RS01300	DR093_RS02545
OG0000193	MHP168L_RS01290	DR093_RS02530
OG0000194	MHP168L_RS00970	DR093_RS02520
OG0000195	MHP168L_RS00965	DR093_RS02515
OG0000196	MHP168L_RS00945	DR093_RS03995
OG0000197	MHP168L_RS00940	DR093_RS02490
OG0000198	MHP168L_RS00925	DR093_RS02475
OG0000199	MHP168L_RS00920	DR093_RS02470
OG0000200	MHP168L_RS00910	DR093_RS02455
OG0000201	MHP168L_RS00900	DR093_RS02445
OG0000202	MHP168L_RS00845	DR093_RS02390
OG0000203	MHP168L_RS00840	DR093_RS02385
OG0000204	MHP168L_RS00835	DR093_RS03900
OG0000205	MHP168L_RS00830	DR093_RS01450
OG0000206	MHP168L_RS00810	DR093_RS01470
OG0000207	MHP168L_RS00795	DR093_RS01485
OG0000208	MHP168L_RS00790	DR093_RS01490
OG0000209	MHP168L_RS00785	DR093_RS01495
OG0000210	MHP168L_RS00735	DR093_RS01540
OG0000211	MHP168L_RS00720	DR093_RS01550
OG0000212	MHP168L_RS00710	DR093_RS01560
OG0000213	MHP168L_RS03705	DR093_RS01565
OG0000214	MHP168L_RS00705	DR093_RS01570
OG0000215	MHP168L_RS00700	DR093_RS01575
OG0000216	MHP168L_RS00695	DR093_RS01580
OG0000217	MHP168L_RS00690	DR093_RS01585
OG0000218	MHP168L_RS00680	DR093_RS03920
OG0000219	MHP168L_RS00675	DR093_RS01600
OG0000220	MHP168L_RS00670	DR093_RS01605
OG0000221	MHP168L_RS00665	DR093_RS01610
OG0000222	MHP168L_RS00660	DR093_RS01615
OG0000223	MHP168L_RS00655	DR093_RS01620
OG0000224	MHP168L_RS00645	DR093_RS01630
