Orthogroup	MHP_MHP709_genes	MHP_MHP682_genes
OG0000000	DR088_RS03530	DR097_RS02690
OG0000000	DR088_RS03495	DR097_RS04740
OG0000000	DR088_RS04100	DR097_RS01835
OG0000001	DR088_RS00985	DR097_RS00335
OG0000001	DR088_RS00215	DR097_RS04145
OG0000002	DR088_RS04280	DR097_RS02700
OG0000002	DR088_RS03525	DR097_RS02695
OG0000002	DR088_RS03455	DR097_RS04855
OG0000002	DR088_RS04510	DR097_RS04675
OG0000003	DR088_RS00355	DR097_RS04955
OG0000003	DR088_RS04580	DR097_RS04840
OG0000003	DR088_RS03645	DR097_RS03830
OG0000004	DR088_RS01540	DR097_RS01330
OG0000004	DR088_RS03400	DR097_RS01325
OG0000005	DR088_RS01950	DR097_RS02455
OG0000005	DR088_RS04585	DR097_RS04720
OG0000005	DR088_RS03545	DR097_RS02445
OG0000005	DR088_RS03300	DR097_RS02440
OG0000005	DR088_RS04590	DR097_RS04715
OG0000006	DR088_RS03035	DR097_RS04435
OG0000006	DR088_RS02425	DR097_RS02125
OG0000007	DR088_RS03260	DR097_RS03435
OG0000007	DR088_RS03265	DR097_RS03440
OG0000007	DR088_RS03275	DR097_RS03450
OG0000008	DR088_RS04285	DR097_RS03625
OG0000009	DR088_RS01935	DR097_RS02470
OG0000009	DR088_RS02850	DR097_RS01140
OG0000010	DR088_RS00450	DR097_RS02510
OG0000010	DR088_RS03320	DR097_RS02420
OG0000010	DR088_RS03295, DR088_RS03540, DR088_RS03660	DR097_RS02450
OG0000011	DR088_RS00560	DR097_RS00820
OG0000011	DR088_RS00555	DR097_RS00825
OG0000012	DR088_RS03650	DR097_RS03825
OG0000013	DR088_RS02380	DR097_RS02175
OG0000013	DR088_RS03910	DR097_RS03895
OG0000014	DR088_RS04355	DR097_RS03370
OG0000016	DR088_RS00255	DR097_RS01165
OG0000016	DR088_RS01355	DR097_RS00270
OG0000017	DR088_RS01370	DR097_RS00285
OG0000017	DR088_RS00265	DR097_RS01175
OG0000018	DR088_RS04550	DR097_RS04665, DR097_RS04695
OG0000019	DR088_RS04255	DR097_RS03615
OG0000020	DR088_RS04465	DR097_RS04835
OG0000020	DR088_RS04470	DR097_RS04830
OG0000021	DR088_RS00360	DR097_RS03390
OG0000022	DR088_RS02355	DR097_RS01895
OG0000022	DR088_RS04515	DR097_RS04680
OG0000023	DR088_RS02595	DR097_RS01710, DR097_RS02020
OG0000024	DR088_RS00160	DR097_RS01795
OG0000024	DR088_RS00975	DR097_RS00345
OG0000025	DR088_RS04520	DR097_RS04685
OG0000025	DR088_RS02305	DR097_RS01845
OG0000026	DR088_RS02640	DR097_RS01665
OG0000026	DR088_RS02325	DR097_RS01865
OG0000027	DR088_RS04450	DR097_RS02965
OG0000027	DR088_RS04500	DR097_RS04560
OG0000028	DR088_RS03250	DR097_RS04690
OG0000028	DR088_RS04565	DR097_RS02880, DR097_RS01995
OG0000029	DR088_RS01545	DR097_RS02335
OG0000030	DR088_RS04445	DR097_RS04775
OG0000030	DR088_RS04505	DR097_RS04565
OG0000031	DR088_RS03335	DR097_RS02075, DR097_RS03120
OG0000032	DR088_RS03370	DR097_RS04795
OG0000032	DR088_RS02280	DR097_RS00730
OG0000033	DR088_RS02375	DR097_RS02885
OG0000034	DR088_RS03290	DR097_RS03640
OG0000034	DR088_RS04225	DR097_RS04475
OG0000035	DR088_RS01530	DR097_RS04085
OG0000036	DR088_RS03305	DR097_RS02435
OG0000036	DR088_RS04245	DR097_RS02415
OG0000037	DR088_RS03355	DR097_RS03100
