Orthogroup	MHP_1257_genes	MHP_131B_genes
OG0000000	ABKJ22_RS02210	NB627_RS02355
OG0000000	ABKJ22_RS02265, ABKJ22_RS02260	NB627_RS02285
OG0000000	ABKJ22_RS02255	NB627_RS02265
OG0000000	ABKJ22_RS02090	NB627_RS02350, NB627_RS01855, NB627_RS02260, NB627_RS02480, NB627_RS02485
OG0000000	ABKJ22_RS01715	NB627_RS01850, NB627_RS01860
OG0000001	ABKJ22_RS01300	NB627_RS02985
OG0000001	ABKJ22_RS02685	NB627_RS02935
OG0000002	ABKJ22_RS02205	NB627_RS02365
OG0000002	ABKJ22_RS02250	NB627_RS02290
OG0000002	ABKJ22_RS01720	NB627_RS01865
OG0000003	ABKJ22_RS00770	NB627_RS02330
OG0000003	ABKJ22_RS01825	NB627_RS01980
OG0000004	ABKJ22_RS02940	NB627_RS03390, NB627_RS03395, NB627_RS03405, NB627_RS03205, NB627_RS03225, NB627_RS03215
OG0000005	ABKJ22_RS00095	NB627_RS00100
OG0000005	ABKJ22_RS00115	NB627_RS00120
OG0000005	ABKJ22_RS00100	NB627_RS00110
OG0000005	ABKJ22_RS00120	NB627_RS00125
OG0000007	ABKJ22_RS00765	NB627_RS02335
OG0000007	ABKJ22_RS02220	NB627_RS02345
OG0000007	ABKJ22_RS02225	NB627_RS02325
OG0000008	ABKJ22_RS02100	NB627_RS02475
OG0000008	ABKJ22_RS01635	NB627_RS01765
OG0000008	ABKJ22_RS02455	NB627_RS02695
OG0000009	ABKJ22_RS01035	NB627_RS00775
OG0000009	ABKJ22_RS00085	NB627_RS00085
OG0000009	ABKJ22_RS01020	NB627_RS00790
OG0000010	ABKJ22_RS01835	NB627_RS01985
OG0000011	ABKJ22_RS01920	NB627_RS02090
OG0000012	ABKJ22_RS01200	NB627_RS01310, NB627_RS02000
OG0000013	ABKJ22_RS02355	NB627_RS02570
OG0000013	ABKJ22_RS00180	NB627_RS00185
OG0000014	ABKJ22_RS00595	NB627_RS00705
OG0000014	ABKJ22_RS01105	NB627_RS01205
OG0000014	ABKJ22_RS01095	NB627_RS00715
OG0000015	ABKJ22_RS01630	NB627_RS01760
OG0000015	ABKJ22_RS01575	NB627_RS00525
OG0000016	ABKJ22_RS02785	NB627_RS03030
OG0000016	ABKJ22_RS00165	NB627_RS00170
OG0000017	ABKJ22_RS00150	NB627_RS00155
OG0000017	ABKJ22_RS02795	NB627_RS03040
OG0000019	ABKJ22_RS02945	NB627_RS03210, NB627_RS03220
OG0000020	ABKJ22_RS03435	NB627_RS03755
OG0000020	ABKJ22_RS03440	NB627_RS03760
OG0000021	ABKJ22_RS01740	NB627_RS00615
OG0000022	ABKJ22_RS01655	NB627_RS01790
OG0000022	ABKJ22_RS01710	NB627_RS01845
OG0000023	ABKJ22_RS01335	NB627_RS01440
OG0000024	ABKJ22_RS02680	NB627_RS02930
OG0000024	ABKJ22_RS01290	NB627_RS01395
OG0000025	ABKJ22_RS01660	NB627_RS01795
OG0000025	ABKJ22_RS01705	NB627_RS01840
OG0000026	ABKJ22_RS01380	NB627_RS01490
OG0000026	ABKJ22_RS01685	NB627_RS01820
OG0000027	ABKJ22_RS03225	NB627_RS03540
OG0000027	ABKJ22_RS03240	NB627_RS03555
OG0000028	ABKJ22_RS02365	NB627_RS02600, NB627_RS02595
OG0000029	ABKJ22_RS00600	NB627_RS01200
