HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N33.HOG0000000	OG0000000	n5												B5C39_RS02485								MHP_RS02080																				EXC50_RS01055				
N33.HOG0000001	OG0000000	n214												B5C39_RS03935								MHP_RS04000																								
N33.HOG0000002	OG0000000	n217												B5C39_RS02595								MHP_RS02190																				EXC50_RS01165				
N33.HOG0000003	OG0000000	n239												B5C39_RS03835								MHP_RS03915																				EXC50_RS01170				
N33.HOG0000004	OG0000000	n274																				MHP_RS03825																								
N33.HOG0000005	OG0000000	n283												B5C39_RS03750																												EXC50_RS03990				
N33.HOG0000006	OG0000000	n317												B5C39_RS03235								MHP_RS01715																				EXC50_RS00675				
N33.HOG0000007	OG0000001	n22												B5C39_RS01615								MHP_RS00720																				EXC50_RS02805				
N33.HOG0000008	OG0000001	n23												B5C39_RS01620								MHP_RS00725																				EXC50_RS02810				
N33.HOG0000009	OG0000001	n57												B5C39_RS03070								MHP_RS03580																				EXC50_RS01640				
N33.HOG0000010	OG0000001	n78												B5C39_RS03865								MHP_RS03935																				EXC50_RS04045				
N33.HOG0000011	OG0000001	n97												B5C39_RS03020								MHP_RS02610																				EXC50_RS01590				
N33.HOG0000012	OG0000002	n16												B5C39_RS03825								MHP_RS03905																				EXC50_RS04010				
N33.HOG0000013	OG0000002	n32																																								EXC50_RS03900				
N33.HOG0000014	OG0000002	n38												B5C39_RS03650								MHP_RS03800																								
N33.HOG0000015	OG0000002	n95												B5C39_RS03240								MHP_RS01720																				EXC50_RS00680				
N33.HOG0000016	OG0000003	n5												B5C39_RS03270								MHP_RS01750																				EXC50_RS00710				
N33.HOG0000017	OG0000003	n12												B5C39_RS02395								MHP_RS01485																				EXC50_RS03580				
N33.HOG0000018	OG0000003	n118												B5C39_RS03345								MHP_RS01825																								
N33.HOG0000019	OG0000004	n5												B5C39_RS00380																												EXC50_RS02030				
N33.HOG0000020	OG0000004	n25												B5C39_RS00390								MHP_RS03125																				EXC50_RS02040				
N33.HOG0000021	OG0000004	n51												B5C39_RS00400								MHP_RS03135																				EXC50_RS02050				
N33.HOG0000022	OG0000004	n97												B5C39_RS03760								MHP_RS02945																				EXC50_RS01845				
N33.HOG0000023	OG0000004	n102																				MHP_RS02960																				EXC50_RS01865				
N33.HOG0000024	OG0000005	n1												B5C39_RS00915								MHP_RS00100																				EXC50_RS00100				
N33.HOG0000025	OG0000005	n32												B5C39_RS00935								MHP_RS00120																				EXC50_RS00120				
N33.HOG0000026	OG0000005	n52												B5C39_RS00920								MHP_RS00105																				EXC50_RS00105				
