#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP098239.1:790681-792420|- -            580 539at2085            -            541    2e-246  814.2  13.8   1   1  1.3e-248  2.3e-246  814.0  13.8     1   541     8   574     8   574 0.97 CP098239.1_651 # 790681 # 792420 # -1 # ID=1_651;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
CP098239.1:69541-70908|+   -            456 539at2085            -            541   4.4e-10   34.2   1.0   1   3      0.16        30   -1.5   0.0   197   228    56    87    39   101 0.72 CP098239.1_65 # 69541 # 70908 # 1 # ID=1_65;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
CP098239.1:69541-70908|+   -            456 539at2085            -            541   4.4e-10   34.2   1.0   2   3   1.3e-08   2.4e-06   21.9   0.1   235   346   157   268   150   272 0.88 CP098239.1_65 # 69541 # 70908 # 1 # ID=1_65;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
CP098239.1:69541-70908|+   -            456 539at2085            -            541   4.4e-10   34.2   1.0   3   3   5.9e-05     0.011    9.8   0.1   451   540   354   449   348   450 0.83 CP098239.1_65 # 69541 # 70908 # 1 # ID=1_65;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
CP098239.1:497643-499082|- -            480 539at2085            -            541   1.8e-07   25.6   6.6   1   3     0.014       2.6    2.0   0.0   186   317    43   184    34   196 0.65 CP098239.1_432 # 497643 # 499082 # -1 # ID=1_432;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
CP098239.1:497643-499082|- -            480 539at2085            -            541   1.8e-07   25.6   6.6   2   3   1.6e-09   2.9e-07   24.9   2.3   408   525   237   366   226   382 0.78 CP098239.1_432 # 497643 # 499082 # -1 # ID=1_432;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
CP098239.1:497643-499082|- -            480 539at2085            -            541   1.8e-07   25.6   6.6   3   3      0.12        22   -1.1   0.1    29   128   366   470   360   473 0.52 CP098239.1_432 # 497643 # 499082 # -1 # ID=1_432;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
CP098239.1:324218-325459|+ -            414 539at2085            -            541   0.00012   16.2   0.4   1   3      0.17        31   -1.6   0.2    99   142     9    52     3    89 0.64 CP098239.1_290 # 324218 # 325459 # 1 # ID=1_290;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
CP098239.1:324218-325459|+ -            414 539at2085            -            541   0.00012   16.2   0.4   2   3   2.1e-05    0.0039   11.3   0.0   153   362   133   347   128   353 0.80 CP098239.1_290 # 324218 # 325459 # 1 # ID=1_290;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
CP098239.1:324218-325459|+ -            414 539at2085            -            541   0.00012   16.2   0.4   3   3     0.014       2.6    2.0   0.0   411   458   361   406   354   409 0.76 CP098239.1_290 # 324218 # 325459 # 1 # ID=1_290;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/133A/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/133A/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/133A/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/133A/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/133A/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/133A/Use
# Date:            Thu Nov 28 19:20:33 2024
# [ok]
