Orthogroup	MHP_ES2_genes	MHP_MHP699_genes
OG0000000	E5E95_RS02235	DR100_RS02520
OG0000000	E5E95_RS03920	DR100_RS02515
OG0000000	E5E95_RS02230	DR100_RS04325
OG0000000	E5E95_RS02430	DR100_RS03595
OG0000000	E5E95_RS01830	DR100_RS04215
OG0000000	E5E95_RS04235, E5E95_RS01835	DR100_RS04210
OG0000001	E5E95_RS01300	DR100_RS03930
OG0000001	E5E95_RS03000	DR100_RS01790
OG0000002	E5E95_RS02320	DR100_RS04380
OG0000002	E5E95_RS02250	DR100_RS04890
OG0000002	E5E95_RS01840	DR100_RS04740
OG0000003	E5E95_RS01915	DR100_RS03640
OG0000003	E5E95_RS00930	DR100_RS04610
OG0000003	E5E95_RS04060	DR100_RS04485
OG0000003	E5E95_RS04070	DR100_RS04885
OG0000003	E5E95_RS03910	DR100_RS03840
OG0000004	E5E95_RS03400	DR100_RS03655
OG0000004	E5E95_RS03415	DR100_RS03585
OG0000004	E5E95_RS03425	DR100_RS03555
OG0000005	E5E95_RS00090	DR100_RS01100
OG0000005	E5E95_RS00110	DR100_RS04620
OG0000005	E5E95_RS00095	DR100_RS04630
OG0000005	E5E95_RS00100	DR100_RS04625
OG0000005	E5E95_RS00115	DR100_RS04615
OG0000006	E5E95_RS02705	DR100_RS04235, DR100_RS04230
OG0000006	E5E95_RS02445, E5E95_RS04120, E5E95_RS04115	DR100_RS04245
OG0000007	E5E95_RS00935	DR100_RS01035
OG0000007	E5E95_RS02300	DR100_RS03495
OG0000007	E5E95_RS00950	DR100_RS03820
OG0000007	E5E95_RS02295	DR100_RS03500
OG0000007	E5E95_RS02290	DR100_RS03510
OG0000008	E5E95_RS03905	DR100_RS03845
OG0000008	E5E95_RS04135	DR100_RS03680
OG0000009	E5E95_RS01210	DR100_RS00110
OG0000009	E5E95_RS00680	DR100_RS00780
OG0000010	E5E95_RS01970	DR100_RS04925
OG0000010	E5E95_RS01575	DR100_RS04770
OG0000011	E5E95_RS02070	DR100_RS01970
OG0000011	E5E95_RS02060	DR100_RS01975
OG0000012	E5E95_RS03230	DR100_RS01800
OG0000013	E5E95_RS02610	DR100_RS02295
OG0000013	E5E95_RS03955	DR100_RS03970
OG0000014	E5E95_RS01105	DR100_RS03645
OG0000014	E5E95_RS00605	DR100_RS04585
OG0000015	E5E95_RS02450	DR100_RS01650
OG0000016	E5E95_RS03040	DR100_RS01750
OG0000016	E5E95_RS00160	DR100_RS00685
OG0000017	E5E95_RS00145	DR100_RS00700
OG0000017	E5E95_RS03050	DR100_RS01740
OG0000018	E5E95_RS02480	DR100_RS04715
OG0000019	E5E95_RS04175	DR100_RS03760
OG0000019	E5E95_RS04180	DR100_RS03785, DR100_RS03745
OG0000020	E5E95_RS03770	DR100_RS03705
OG0000021	E5E95_RS03845	DR100_RS03710
OG0000021	E5E95_RS03755	DR100_RS03700
OG0000022	E5E95_RS01770	DR100_RS02220
OG0000022	E5E95_RS01825	DR100_RS04745
OG0000023	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105	DR100_RS01625
OG0000024	E5E95_RS02945	DR100_RS03275
OG0000024	E5E95_RS01290	DR100_RS00195
OG0000025	E5E95_RS01775	DR100_RS04750
OG0000025	E5E95_RS01820	DR100_RS02170
OG0000026	E5E95_RS01380	DR100_RS00285
OG0000026	E5E95_RS01800	DR100_RS02190
