	DR093_RS02860			
	seqID	strand	start	end
DR093_RS02860	IDMF11	+	664713	665210
seqID	DR093_RS02865			
IDMF11	seqID	strand	start	end
DR093_RS02865	IDMF11	+	665224	665589
seqID	DR093_RS02870			
IDMF11	seqID	strand	start	end
DR093_RS02870	IDMF11	+	665777	669430
seqID	DR093_RS02875			
IDMF11	seqID	strand	start	end
DR093_RS02875	IDMF11	+	669488	673723
seqID	DR093_RS02880			
IDMF11	seqID	strand	start	end
DR093_RS02880	IDMF11	+	673728	674147
seqID	DR093_RS02885			
IDMF11	seqID	strand	start	end
DR093_RS02885	IDMF11	+	352404	353594
seqID	DR093_RS02890			
IDMF11	seqID	strand	start	end
DR093_RS02890	IDMF11	+	353578	354348
seqID	DR093_RS02895			
IDMF11	seqID	strand	start	end
DR093_RS02895	IDMF11	+	354341	356038
seqID	DR093_RS02900			
IDMF11	seqID	strand	start	end
DR093_RS02900	IDMF11	+	356156	356632
seqID	DR093_RS04035			
IDMF11	seqID	strand	start	end
DR093_RS04035	IDMF11	+	356800	357936
seqID	DR093_RS02910			
IDMF11	seqID	strand	start	end
DR093_RS02910	IDMF11	+	357855	358784
seqID	DR093_RS02915			
IDMF11	seqID	strand	start	end
DR093_RS02915	IDMF11	+	359182	359409
seqID	DR093_RS02920			
IDMF11	seqID	strand	start	end
DR093_RS02920	IDMF11	+	359426	360875
seqID	DR093_RS04040			
IDMF11	seqID	strand	start	end
DR093_RS04040	IDMF11	-	389040	391271
seqID	DR093_RS04045			
IDMF11	seqID	strand	start	end
DR093_RS04045	IDMF11	-	386911	389010
seqID	DR093_RS02940			
IDMF11	seqID	strand	start	end
DR093_RS02940	IDMF11	-	385917	386885
seqID	DR093_RS04050			
IDMF11	seqID	strand	start	end
DR093_RS04050	IDMF11	-	383762	385939
seqID	DR093_RS02950			
IDMF11	seqID	strand	start	end
DR093_RS02950	IDMF11	-	383410	383762
seqID	DR093_RS02955			
IDMF11	seqID	strand	start	end
DR093_RS02955	IDMF11	-	382644	383309
seqID	DR093_RS02960			
IDMF11	seqID	strand	start	end
DR093_RS02960	IDMF11	-	381716	382681
seqID	DR093_RS03255			
IDMF11	seqID	strand	start	end
DR093_RS03255	IDMF11	-	381545	381712
seqID	DR093_RS04055			
IDMF11	seqID	strand	start	end
DR093_RS04055	IDMF11	-	378647	381442
seqID	DR093_RS02970			
IDMF11	seqID	strand	start	end
DR093_RS02970	IDMF11	-	378428	378621
seqID	DR093_RS02975			
IDMF11	seqID	strand	start	end
