#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQSN01000029.1:6878-7669|+   -            264 1679at2085           -            265   2.4e-78  258.5  11.8   1   1   2.8e-80   2.6e-78  258.4  11.8    12   256     1   255     1   263 0.90 NZ_QQSN01000029.1_5 # 6878 # 7669 # 1 # ID=22_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.269
NZ_QQSN01000001.1:59072-60373|+ -            434 1679at2085           -            265   2.7e-23   78.0  11.7   1   3   2.1e-11     2e-09   32.6   0.1   123   177     6    64     1    79 0.79 NZ_QQSN01000001.1_48 # 59072 # 60373 # 1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
NZ_QQSN01000001.1:59072-60373|+ -            434 1679at2085           -            265   2.7e-23   78.0  11.7   2   3   1.1e-12     1e-10   36.8   0.6    23   173    79   228    72   238 0.76 NZ_QQSN01000001.1_48 # 59072 # 60373 # 1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
NZ_QQSN01000001.1:59072-60373|+ -            434 1679at2085           -            265   2.7e-23   78.0  11.7   3   3   7.1e-06   0.00067   14.4   1.1    24   139   251   380   245   386 0.62 NZ_QQSN01000001.1_48 # 59072 # 60373 # 1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
NZ_QQSN01000002.1:24146-24742|- -            199 1679at2085           -            265   5.5e-13   44.2   5.5   1   2   8.5e-13   7.9e-11   37.1   0.1   123   172    41    91    32   109 0.90 NZ_QQSN01000002.1_4 # 24146 # 24742 # -1 # ID=12_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_QQSN01000002.1:24146-24742|- -            199 1679at2085           -            265   5.5e-13   44.2   5.5   2   2   0.00035     0.033    8.9   1.9    24    97   117   195   102   198 0.77 NZ_QQSN01000002.1_4 # 24146 # 24742 # -1 # ID=12_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_QQSN01000011.1:18148-19476|+ -            443 1679at2085           -            265   1.7e-12   42.6  16.2   1   3       1.1        99   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_QQSN01000011.1_11 # 18148 # 19476 # 1 # ID=1_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_QQSN01000011.1:18148-19476|+ -            443 1679at2085           -            265   1.7e-12   42.6  16.2   2   3     1e-13   9.5e-12   40.2   0.2    97   174   194   275   184   287 0.78 NZ_QQSN01000011.1_11 # 18148 # 19476 # 1 # ID=1_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_QQSN01000011.1:18148-19476|+ -            443 1679at2085           -            265   1.7e-12   42.6  16.2   3   3   0.00031     0.029    9.1   6.5    21   104   291   366   283   386 0.70 NZ_QQSN01000011.1_11 # 18148 # 19476 # 1 # ID=1_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_QQSN01000007.1:34592-35473|- -            294 1679at2085           -            265   1.4e-10   36.3   9.5   1   2   2.1e-11   1.9e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_QQSN01000007.1_39 # 34592 # 35473 # -1 # ID=67_39;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_QQSN01000007.1:34592-35473|- -            294 1679at2085           -            265   1.4e-10   36.3   9.5   2   2    0.0013      0.12    7.1   3.9    47   103   108   169    77   190 0.77 NZ_QQSN01000007.1_39 # 34592 # 35473 # -1 # ID=67_39;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_QQSN01000001.1:21649-22908|+ -            420 1679at2085           -            265   7.1e-06   20.9  11.9   1   2     5e-07   4.6e-05   18.2   0.1   124   175   161   215   145   236 0.75 NZ_QQSN01000001.1_17 # 21649 # 22908 # 1 # ID=11_17;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
NZ_QQSN01000001.1:21649-22908|+ -            420 1679at2085           -            265   7.1e-06   20.9  11.9   2   2     0.013       1.2    3.8   8.4    39   121   257   343   253   346 0.85 NZ_QQSN01000001.1_17 # 21649 # 22908 # 1 # ID=11_17;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
