Orthogroup	MHP_NCTC10127_genes	MHP_111A_genes
OG0000000	EXC50_RS01165	NB623_RS02460
OG0000000	EXC50_RS03990	NB623_RS01845
OG0000000	EXC50_RS00675	NB623_RS01865
OG0000001	EXC50_RS01640	NB623_RS02960
OG0000001	EXC50_RS01590	NB623_RS02910
OG0000002	EXC50_RS04010	NB623_RS02345
OG0000003	EXC50_RS03580	NB623_RS00495
OG0000004	EXC50_RS02030	NB623_RS03360
OG0000004	EXC50_RS02040	NB623_RS03350
OG0000004	EXC50_RS02050	NB623_RS03365
OG0000004	EXC50_RS01865	NB623_RS03180
OG0000005	EXC50_RS00100	NB623_RS00105
OG0000005	EXC50_RS00105	NB623_RS00110
OG0000005	EXC50_RS00110	NB623_RS00115
OG0000006	EXC50_RS04025	NB623_RS02650
OG0000008	EXC50_RS01160, EXC50_RS04015	NB623_RS02455
OG0000008	EXC50_RS00595	NB623_RS01760
OG0000008	EXC50_RS04030	NB623_RS02665, NB623_RS02660
OG0000009	EXC50_RS03420	NB623_RS00665
OG0000009	EXC50_RS00085	NB623_RS00090
OG0000009	EXC50_RS03405	NB623_RS00680
OG0000010	EXC50_RS00795	NB623_RS02245
OG0000011	EXC50_RS00895	NB623_RS02145
OG0000011	EXC50_RS00890	NB623_RS02150
OG0000012	EXC50_RS01855	NB623_RS01890, NB623_RS01710, NB623_RS01005, NB623_RS02340, NB623_RS02230
OG0000013	EXC50_RS01255	NB623_RS02540
OG0000014	EXC50_RS03000	NB623_RS01220
OG0000014	EXC50_RS03480	NB623_RS00600
OG0000015	EXC50_RS03670	NB623_RS01925
OG0000016	EXC50_RS00170	NB623_RS00160
OG0000017	EXC50_RS00155	NB623_RS00145
OG0000017	EXC50_RS01690	NB623_RS03015
OG0000018	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085	NB623_RS01950
OG0000019	EXC50_RS04060	NB623_RS03195, NB623_RS03185
OG0000020	EXC50_RS02390	NB623_RS03740
OG0000020	EXC50_RS02395	NB623_RS03745
OG0000021	EXC50_RS04125	NB623_RS02325
OG0000022	EXC50_RS00615	NB623_RS01785
OG0000022	EXC50_RS00670	NB623_RS01840
OG0000023	EXC50_RS00495, EXC50_RS03740	NB623_RS01940
OG0000024	EXC50_RS01585	NB623_RS02905
OG0000024	EXC50_RS02815	NB623_RS01395
OG0000025	EXC50_RS00620	NB623_RS01790
OG0000025	EXC50_RS00665	NB623_RS01835
OG0000026	EXC50_RS02725	NB623_RS01480
OG0000026	EXC50_RS00645	NB623_RS01815
OG0000027	EXC50_RS02185	NB623_RS03520
OG0000027	EXC50_RS02200	NB623_RS03535
OG0000029	EXC50_RS03005	NB623_RS01215
OG0000029	EXC50_RS03475	NB623_RS00605
OG0000030	EXC50_RS02175	NB623_RS03510
OG0000030	EXC50_RS02195	NB623_RS03530
OG0000031	EXC50_RS02515, EXC50_RS03805	NB623_RS01985
OG0000032	EXC50_RS04070	NB623_RS03525
OG0000035	EXC50_RS02045	NB623_RS03355
OG0000035	EXC50_RS02025	NB623_RS03345
OG0000036	EXC50_RS00115	NB623_RS00120
OG0000037	EXC50_RS03970	NB623_RS01700
OG0000038	EXC50_RS03585	NB623_RS00485
OG0000039	EXC50_RS03975, EXC50_RS00560	NB623_RS01730
OG0000040	EXC50_RS02120	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	EXC50_RS03415	NB623_RS00670
OG0000042	EXC50_RS01780	NB623_RS03100
OG0000043	EXC50_RS00860	NB623_RS02180
OG0000044	EXC50_RS04255	NB623_RS01800
OG0000044	EXC50_RS00745	NB623_RS02300
OG0000045	EXC50_RS00570	NB623_RS01740
OG0000046	EXC50_RS02130	NB623_RS03460
OG0000047	EXC50_RS00500	NB623_RS01935
OG0000048	EXC50_RS01040	NB623_RS01920
OG0000049	EXC50_RS01890	NB623_RS03205
OG0000050	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	NB623_RS02600
OG0000051	EXC50_RS01500	NB623_RS02820
OG0000052	EXC50_RS00075	NB623_RS00080
OG0000053	EXC50_RS02640	NB623_RS01570
OG0000054	EXC50_RS04250	NB623_RS02625
OG0000055	EXC50_RS00135	NB623_RS00125
OG0000056	EXC50_RS02375	NB623_RS03725
OG0000057	EXC50_RS01765	NB623_RS03085
OG0000058	EXC50_RS03810	NB623_RS01990
OG0000059	EXC50_RS02510	NB623_RS01980
OG0000061	EXC50_RS00525, EXC50_RS00805	NB623_RS02235
OG0000062	EXC50_RS02425	NB623_RS03775
OG0000063	EXC50_RS02420	NB623_RS03770
OG0000064	EXC50_RS02410	NB623_RS03760
OG0000065	EXC50_RS01100	NB623_RS02390
OG0000066	EXC50_RS02735	NB623_RS01470
OG0000068	EXC50_RS03440	NB623_RS00640
OG0000069	EXC50_RS01655	NB623_RS02980
OG0000070	EXC50_RS03840, EXC50_RS01325	NB623_RS02630
OG0000071	EXC50_RS02110	NB623_RS03425
OG0000072	EXC50_RS02115	NB623_RS03430
OG0000073	EXC50_RS03380	NB623_RS00710
OG0000074	EXC50_RS03185	NB623_RS00910
OG0000075	EXC50_RS00355	NB623_RS00330
OG0000076	EXC50_RS00370	NB623_RS00345
OG0000077	EXC50_RS03640	NB623_RS00430
OG0000079	EXC50_RS01405	NB623_RS02720
OG0000080	EXC50_RS03930	NB623_RS02770
OG0000081	EXC50_RS00350	NB623_RS00325
OG0000083	EXC50_RS00965	NB623_RS02075
OG0000084	EXC50_RS00990	NB623_RS02045
OG0000085	EXC50_RS00995	NB623_RS02040
OG0000086	EXC50_RS01005	NB623_RS02030
OG0000087	EXC50_RS01020	NB623_RS02015
OG0000088	EXC50_RS01025	NB623_RS02010
OG0000089	EXC50_RS01035	NB623_RS02000
OG0000090	EXC50_RS00070	NB623_RS00070
OG0000091	EXC50_RS00055	NB623_RS00055
OG0000092	EXC50_RS00040	NB623_RS00050
OG0000093	EXC50_RS00035	NB623_RS00035
OG0000094	EXC50_RS00030	NB623_RS00030
OG0000095	EXC50_RS00005	NB623_RS00005
OG0000096	EXC50_RS02460	NB623_RS03810
OG0000097	EXC50_RS02440	NB623_RS03790
OG0000098	EXC50_RS02430	NB623_RS03780
OG0000099	EXC50_RS02380	NB623_RS03730
OG0000100	EXC50_RS02365	NB623_RS03715
OG0000101	EXC50_RS02360	NB623_RS03710
OG0000102	EXC50_RS00660	NB623_RS01830
