Orthogroup	MHP_LH_genes	MHP_MHP691_genes
OG0000000	KUD10_RS02170	DR087_RS03480, DR087_RS03475
OG0000001	KUD10_RS01355	DR087_RS03325
OG0000001	KUD10_RS01350	DR087_RS03335
OG0000001	KUD10_RS02875	DR087_RS04015
OG0000001	KUD10_RS02830	DR087_RS03255
OG0000002	KUD10_RS02270	DR087_RS03810
OG0000002	KUD10_RS02210	DR087_RS04740
OG0000002	KUD10_RS01790	DR087_RS04755
OG0000003	KUD10_RS00500	DR087_RS01665
OG0000003	KUD10_RS02250	DR087_RS04750
OG0000004	KUD10_RS03265	DR087_RS00850
OG0000004	KUD10_RS03275	DR087_RS00840
OG0000005	KUD10_RS00100	DR087_RS00530
OG0000005	KUD10_RS00105	DR087_RS00540
OG0000005	KUD10_RS00110, KUD10_RS00125	DR087_RS04465
OG0000006	KUD10_RS02585	DR087_RS04360
OG0000007	KUD10_RS02245	DR087_RS04335, DR087_RS03525
OG0000008	KUD10_RS02590	DR087_RS04355
OG0000009	KUD10_RS00085	DR087_RS00515
OG0000010	KUD10_RS01910	DR087_RS01605
OG0000010	KUD10_RS00095	DR087_RS03875
OG0000011	KUD10_RS02000	DR087_RS01510, DR087_RS04590
OG0000011	KUD10_RS01995	DR087_RS01515
OG0000013	KUD10_RS02465	DR087_RS01680
OG0000013	KUD10_RS00185	DR087_RS04185
OG0000014	KUD10_RS00610	DR087_RS03520
OG0000015	KUD10_RS03700	DR087_RS04110
OG0000016	KUD10_RS02915	DR087_RS01400
OG0000016	KUD10_RS00170	DR087_RS02395
OG0000017	KUD10_RS00155	DR087_RS02410
OG0000017	KUD10_RS02925	DR087_RS01410
OG0000019	KUD10_RS03080	DR087_RS03610
OG0000020	KUD10_RS03620	DR087_RS04440
OG0000020	KUD10_RS03625	DR087_RS04445
OG0000021	KUD10_RS01825	DR087_RS04820
OG0000022	KUD10_RS01720	DR087_RS02045
OG0000022	KUD10_RS01775	DR087_RS04630
OG0000024	KUD10_RS02825	DR087_RS03250
OG0000025	KUD10_RS01725	DR087_RS04625
OG0000025	KUD10_RS01770	DR087_RS02095
OG0000026	KUD10_RS01435	DR087_RS01165
OG0000026	KUD10_RS01750	DR087_RS02075
OG0000027	KUD10_RS03410	DR087_RS04635
OG0000027	KUD10_RS03425	DR087_RS04475
OG0000029	KUD10_RS01075	DR087_RS02775
OG0000029	KUD10_RS00620	DR087_RS03175
OG0000030	KUD10_RS03400	DR087_RS04640
OG0000030	KUD10_RS03420	DR087_RS04470
OG0000031	KUD10_RS01665	DR087_RS03210
OG0000032	KUD10_RS01640	DR087_RS03235
OG0000033	KUD10_RS02495, KUD10_RS02480	DR087_RS04070
OG0000033	KUD10_RS02490	DR087_RS01675
OG0000034	KUD10_RS02225	DR087_RS03600
OG0000034	KUD10_RS02230	DR087_RS04365
OG0000035	KUD10_RS03270	DR087_RS00855
OG0000035	KUD10_RS03250	DR087_RS00865
OG0000036	KUD10_RS00115, KUD10_RS00130	DR087_RS00550
OG0000037	KUD10_RS01645	DR087_RS04725
OG0000039	KUD10_RS01675	DR087_RS03190, DR087_RS03195
OG0000040	KUD10_RS03345	DR087_RS02165
OG0000042	KUD10_RS03010	DR087_RS03360
OG0000043	KUD10_RS01965	DR087_RS01545
OG0000045	KUD10_RS01680	DR087_RS03185
OG0000048	KUD10_RS02150	DR087_RS00140
OG0000049	KUD10_RS03120	DR087_RS01000
OG0000050	KUD10_RS02530	DR087_RS02450
OG0000051	KUD10_RS02740	DR087_RS01275
OG0000052	KUD10_RS00075	DR087_RS00505
OG0000053	KUD10_RS01520	DR087_RS04540
OG0000054	KUD10_RS02555	DR087_RS02475
OG0000055	KUD10_RS00135	DR087_RS00555
OG0000056	KUD10_RS03605	DR087_RS00765
OG0000057	KUD10_RS02995	DR087_RS01485
OG0000058	KUD10_RS01145	DR087_RS00275, DR087_RS00280
OG0000061	KUD10_RS01920	DR087_RS01595
OG0000062	KUD10_RS03655	DR087_RS00395
OG0000063	KUD10_RS03650	DR087_RS04450
OG0000064	KUD10_RS03640	DR087_RS00380
OG0000065	KUD10_RS02315	DR087_RS00215
OG0000066	KUD10_RS01425	DR087_RS01175
OG0000067	KUD10_RS00530	DR087_RS03450
OG0000068	KUD10_RS00655	DR087_RS03140
OG0000069	KUD10_RS02890	DR087_RS01375
OG0000070	KUD10_RS02560	DR087_RS02480
OG0000071	KUD10_RS03335	DR087_RS00780
OG0000072	KUD10_RS03340	DR087_RS02175
OG0000073	KUD10_RS00700	DR087_RS02200
OG0000074	KUD10_RS00895	DR087_RS04685
OG0000075	KUD10_RS00340	DR087_RS01860
OG0000077	KUD10_RS00440	DR087_RS03060
OG0000079	KUD10_RS02640	DR087_RS02980
OG0000080	KUD10_RS02690	DR087_RS04005
OG0000081	KUD10_RS00335	DR087_RS01855
OG0000082	KUD10_RS02460	DR087_RS01685
OG0000083	KUD10_RS02070	DR087_RS00065
OG0000084	KUD10_RS02100	DR087_RS00090
OG0000085	KUD10_RS02105	DR087_RS00095
OG0000086	KUD10_RS02115	DR087_RS00105
OG0000087	KUD10_RS02130	DR087_RS00120
OG0000088	KUD10_RS02135	DR087_RS00125
OG0000089	KUD10_RS02145	DR087_RS00135
OG0000090	KUD10_RS00070	DR087_RS00500
