Orthogroup	MHP_111A_genes	MHP_112B_genes
OG0000000	NB623_RS01020	NBX26_RS01015
OG0000000	NB623_RS01025	NBX26_RS01030, NBX26_RS01020
OG0000000	NB623_RS01030	NBX26_RS01035
OG0000000	NB623_RS02460	NBX26_RS02470
OG0000000	NB623_RS01845, NB623_RS01850	NBX26_RS01850
OG0000000	NB623_RS01865	NBX26_RS01860
OG0000001	NB623_RS01400	NBX26_RS01405
OG0000001	NB623_RS02960	NBX26_RS02970
OG0000001	NB623_RS02915	NBX26_RS02925
OG0000001	NB623_RS02910	NBX26_RS02920
OG0000002	NB623_RS02345	NBX26_RS02355
OG0000002	NB623_RS01905	NBX26_RS01895
OG0000002	NB623_RS01015	NBX26_RS01010
OG0000003	NB623_RS00495	NBX26_RS00500
OG0000003	NB623_RS00505	NBX26_RS00510
OG0000003	NB623_RS00940	NBX26_RS00940
OG0000003	NB623_RS00945	NBX26_RS00945
OG0000003	NB623_RS01040	NBX26_RS01045
OG0000003	NB623_RS01035	NBX26_RS01040
OG0000003	NB623_RS02255	NBX26_RS02265
OG0000004	NB623_RS03360	NBX26_RS03380
OG0000004	NB623_RS03350	NBX26_RS03370
OG0000004	NB623_RS03365	NBX26_RS03385
OG0000004	NB623_RS03170	NBX26_RS03185
OG0000004	NB623_RS03180	NBX26_RS03195
OG0000004	NB623_RS03190	NBX26_RS03205
OG0000005	NB623_RS00105	NBX26_RS00105
OG0000005	NB623_RS00110	NBX26_RS00110
OG0000005	NB623_RS00115	NBX26_RS00115
OG0000006	NB623_RS02650	NBX26_RS02660
OG0000006	NB623_RS02495	NBX26_RS02505
OG0000006	NB623_RS02465	NBX26_RS02475
OG0000007	NB623_RS00955, NB623_RS00950	NBX26_RS00950
OG0000007	NB623_RS01045	NBX26_RS01050
OG0000007	NB623_RS00970	NBX26_RS00965
OG0000007	NB623_RS01050	NBX26_RS01055
OG0000007	NB623_RS01060	NBX26_RS01065
OG0000008	NB623_RS02455	NBX26_RS02465
OG0000008	NB623_RS01760	NBX26_RS01765
OG0000008	NB623_RS02665	NBX26_RS02670
OG0000008	NB623_RS02660	NBX26_RS02665
OG0000009	NB623_RS00660, NB623_RS00665	NBX26_RS00665
OG0000009	NB623_RS00090	NBX26_RS00090
OG0000009	NB623_RS00680	NBX26_RS00685
OG0000010	NB623_RS02245	NBX26_RS02250
OG0000011	NB623_RS02145	NBX26_RS02155
OG0000012	NB623_RS01890	NBX26_RS01885
OG0000012	NB623_RS01710	NBX26_RS01715
OG0000012	NB623_RS01005	NBX26_RS01000
OG0000012	NB623_RS02340	NBX26_RS02350
OG0000012	NB623_RS02230	NBX26_RS02235
OG0000013	NB623_RS02540	NBX26_RS02550
OG0000014	NB623_RS00600	NBX26_RS00605
OG0000015	NB623_RS01750	NBX26_RS01755
OG0000015	NB623_RS01925	NBX26_RS01925
OG0000015	NB623_RS01685	NBX26_RS01690
OG0000016	NB623_RS00160	NBX26_RS00160
OG0000017	NB623_RS00145	NBX26_RS00145
OG0000017	NB623_RS03015	NBX26_RS03025
OG0000018	NB623_RS01440	NBX26_RS01445
OG0000018	NB623_RS01950	NBX26_RS01950
OG0000019	NB623_RS03195	NBX26_RS03210
OG0000019	NB623_RS03185	NBX26_RS03200
OG0000019	NB623_RS03175	NBX26_RS03190
OG0000020	NB623_RS03745	NBX26_RS03745
OG0000021	NB623_RS02325	NBX26_RS02335
OG0000022	NB623_RS01785	NBX26_RS01790
OG0000022	NB623_RS01840	NBX26_RS01845
OG0000023	NB623_RS01435	NBX26_RS01440
OG0000023	NB623_RS01940	NBX26_RS01940
OG0000024	NB623_RS02905	NBX26_RS02915
OG0000024	NB623_RS01395	NBX26_RS01400
OG0000025	NB623_RS01790	NBX26_RS01795
OG0000025	NB623_RS01835	NBX26_RS01840
OG0000026	NB623_RS01480	NBX26_RS01490
OG0000026	NB623_RS01815	NBX26_RS01820
OG0000027	NB623_RS03520	NBX26_RS03535
OG0000027	NB623_RS03535	NBX26_RS03555
OG0000028	NB623_RS02565	NBX26_RS02575
OG0000028	NB623_RS02570	NBX26_RS02580
OG0000029	NB623_RS01215	NBX26_RS01225
OG0000029	NB623_RS00605	NBX26_RS00610
OG0000030	NB623_RS03510	NBX26_RS03525
OG0000030	NB623_RS03530	NBX26_RS03550
OG0000031	NB623_RS01720	NBX26_RS01725
OG0000031	NB623_RS01985	NBX26_RS01990
OG0000032	NB623_RS01690	NBX26_RS01700
OG0000032	NB623_RS03525	NBX26_RS03545
OG0000033	NB623_RS02560	NBX26_RS02570
OG0000033	NB623_RS02545	NBX26_RS02555
OG0000033	NB623_RS02550	NBX26_RS02560
OG0000034	NB623_RS00990	NBX26_RS00985
OG0000034	NB623_RS00980	NBX26_RS00975
OG0000035	NB623_RS03355	NBX26_RS03375
OG0000035	NB623_RS03345	NBX26_RS03365
OG0000036	NB623_RS00120	NBX26_RS00120
OG0000037	NB623_RS01695	NBX26_RS01705
OG0000038	NB623_RS00485	NBX26_RS00490
OG0000038	NB623_RS02330	NBX26_RS02340
OG0000039	NB623_RS01730	NBX26_RS01735
OG0000041	NB623_RS00670	NBX26_RS00670
OG0000041	NB623_RS01315	NBX26_RS01320
OG0000042	NB623_RS03100	NBX26_RS03110
OG0000043	NB623_RS02180	NBX26_RS02185
OG0000044	NB623_RS01800	NBX26_RS01805
OG0000044	NB623_RS02300	NBX26_RS02310
OG0000045	NB623_RS01740	NBX26_RS01745
OG0000045	NB623_RS01735	NBX26_RS01740
OG0000046	NB623_RS03460	NBX26_RS03470
OG0000046	NB623_RS03465	NBX26_RS03475
OG0000046	NB623_RS03455	NBX26_RS03465
OG0000046	NB623_RS03450	NBX26_RS03460
OG0000047	NB623_RS01935	NBX26_RS01935
OG0000048	NB623_RS01920	NBX26_RS01920
OG0000049	NB623_RS03205	NBX26_RS03220
OG0000050	NB623_RS02600	NBX26_RS02610
OG0000051	NB623_RS02820	NBX26_RS02825
OG0000052	NB623_RS00080	NBX26_RS00080
OG0000052	NB623_RS00075	NBX26_RS00075
OG0000053	NB623_RS01570	NBX26_RS01580
OG0000054	NB623_RS02625	NBX26_RS02635
OG0000055	NB623_RS00125	NBX26_RS00125
OG0000056	NB623_RS03725	NBX26_RS03730
OG0000057	NB623_RS03085	NBX26_RS03095
OG0000058	NB623_RS01995	NBX26_RS01995
OG0000059	NB623_RS01980	NBX26_RS01985
OG0000060	NB623_RS00085	NBX26_RS00085
OG0000061	NB623_RS02235	NBX26_RS02240
OG0000062	NB623_RS03775	NBX26_RS03775
OG0000063	NB623_RS03770	NBX26_RS03770
OG0000064	NB623_RS03760	NBX26_RS03760
OG0000065	NB623_RS02390	NBX26_RS02400
OG0000066	NB623_RS01470	NBX26_RS01480
OG0000068	NB623_RS00640	NBX26_RS00645
OG0000069	NB623_RS02980	NBX26_RS02990
OG0000070	NB623_RS02630	NBX26_RS02640
OG0000071	NB623_RS03425	NBX26_RS03445
OG0000072	NB623_RS03430	NBX26_RS03450
OG0000073	NB623_RS00710	NBX26_RS00715
OG0000074	NB623_RS00910	NBX26_RS00910
OG0000075	NB623_RS00330	NBX26_RS00335
OG0000076	NB623_RS00345	NBX26_RS00350
OG0000077	NB623_RS00430	NBX26_RS00435
OG0000078	NB623_RS01805	NBX26_RS01810
OG0000079	NB623_RS02720	NBX26_RS02720
OG0000080	NB623_RS02770	NBX26_RS02765
OG0000081	NB623_RS00325	NBX26_RS00330
OG0000083	NB623_RS02075	NBX26_RS02080
OG0000084	NB623_RS02045	NBX26_RS02050
OG0000085	NB623_RS02040	NBX26_RS02045
OG0000086	NB623_RS02030	NBX26_RS02030
OG0000087	NB623_RS02015	NBX26_RS02015
OG0000088	NB623_RS02010	NBX26_RS02010
OG0000089	NB623_RS02000	NBX26_RS02000
OG0000090	NB623_RS00070	NBX26_RS00070
OG0000091	NB623_RS00055	NBX26_RS00055
OG0000092	NB623_RS00050	NBX26_RS00040
OG0000093	NB623_RS00035	NBX26_RS00035
OG0000094	NB623_RS00030	NBX26_RS00030
OG0000095	NB623_RS00005	NBX26_RS00005
OG0000096	NB623_RS03810	NBX26_RS03810
OG0000097	NB623_RS03790	NBX26_RS03790
OG0000098	NB623_RS03780	NBX26_RS03780
OG0000099	NB623_RS03730	NBX26_RS03735
OG0000100	NB623_RS03715	NBX26_RS03720
OG0000101	NB623_RS03710	NBX26_RS03715
OG0000102	NB623_RS01830	NBX26_RS01835
OG0000103	NB623_RS02355	NBX26_RS02365
OG0000104	NB623_RS02360	NBX26_RS02370
OG0000105	NB623_RS02380	NBX26_RS02390
OG0000106	NB623_RS02385	NBX26_RS02395
OG0000107	NB623_RS02395	NBX26_RS02405
OG0000108	NB623_RS02400	NBX26_RS02410
OG0000109	NB623_RS02405	NBX26_RS02415
OG0000110	NB623_RS02525	NBX26_RS02535
OG0000111	NB623_RS02520	NBX26_RS02530
OG0000112	NB623_RS02510	NBX26_RS02520
OG0000113	NB623_RS02490	NBX26_RS02500
OG0000114	NB623_RS02485	NBX26_RS02490
OG0000115	NB623_RS02470	NBX26_RS02480
OG0000116	NB623_RS01415	NBX26_RS01420
OG0000117	NB623_RS01420	NBX26_RS01425
OG0000118	NB623_RS01455	NBX26_RS01460
OG0000119	NB623_RS01465	NBX26_RS01470
OG0000120	NB623_RS01475	NBX26_RS01485
OG0000121	NB623_RS01505	NBX26_RS01515
OG0000122	NB623_RS01510	NBX26_RS01520
OG0000123	NB623_RS01530	NBX26_RS01540
OG0000124	NB623_RS01535	NBX26_RS01545
OG0000125	NB623_RS01545	NBX26_RS01550
OG0000126	NB623_RS01550	NBX26_RS01560
OG0000127	NB623_RS01560	NBX26_RS01570
OG0000128	NB623_RS01575	NBX26_RS01585
OG0000129	NB623_RS01580	NBX26_RS01590
OG0000130	NB623_RS01590	NBX26_RS01600
OG0000131	NB623_RS01620	NBX26_RS01630
OG0000132	NB623_RS01635	NBX26_RS01645
OG0000133	NB623_RS00525	NBX26_RS00530
OG0000134	NB623_RS00530	NBX26_RS00535
OG0000135	NB623_RS00545	NBX26_RS00550
OG0000136	NB623_RS00550	NBX26_RS00555
OG0000137	NB623_RS00590	NBX26_RS00595
OG0000138	NB623_RS00615	NBX26_RS00620
OG0000139	NB623_RS00645	NBX26_RS00650
OG0000140	NB623_RS00650	NBX26_RS00655
OG0000141	NB623_RS03095	NBX26_RS03105
OG0000142	NB623_RS03090	NBX26_RS03100
OG0000143	NB623_RS03075	NBX26_RS03085
OG0000144	NB623_RS03060	NBX26_RS03070
OG0000145	NB623_RS03050	NBX26_RS03060
OG0000146	NB623_RS03040	NBX26_RS03050
OG0000147	NB623_RS03035	NBX26_RS03045
OG0000148	NB623_RS03020	NBX26_RS03030
OG0000149	NB623_RS03010	NBX26_RS03020
OG0000150	NB623_RS02995	NBX26_RS03005
OG0000151	NB623_RS02945	NBX26_RS02955
OG0000152	NB623_RS02940	NBX26_RS02950
OG0000153	NB623_RS02935	NBX26_RS02945
OG0000154	NB623_RS02925	NBX26_RS02935
OG0000155	NB623_RS02885	NBX26_RS02895
OG0000156	NB623_RS02875	NBX26_RS02890
OG0000157	NB623_RS02870	NBX26_RS02880
OG0000158	NB623_RS02860	NBX26_RS02870
OG0000159	NB623_RS02615	NBX26_RS02625
OG0000160	NB623_RS02610	NBX26_RS02620
OG0000161	NB623_RS02605	NBX26_RS02615
OG0000162	NB623_RS02595	NBX26_RS02605
OG0000163	NB623_RS02590	NBX26_RS02600
OG0000164	NB623_RS01725	NBX26_RS01730
OG0000165	NB623_RS02155	NBX26_RS02160
OG0000166	NB623_RS02135	NBX26_RS02140
OG0000167	NB623_RS02120	NBX26_RS02125
OG0000168	NB623_RS02115	NBX26_RS02120
OG0000169	NB623_RS03200	NBX26_RS03215
OG0000170	NB623_RS03215	NBX26_RS03230
OG0000171	NB623_RS03225	NBX26_RS03240
OG0000172	NB623_RS03230	NBX26_RS03245
OG0000173	NB623_RS03235	NBX26_RS03250
OG0000174	NB623_RS03240	NBX26_RS03255
OG0000175	NB623_RS03265	NBX26_RS03270
OG0000176	NB623_RS03310	NBX26_RS03330
OG0000177	NB623_RS03315	NBX26_RS03335
OG0000178	NB623_RS03320	NBX26_RS03340
OG0000179	NB623_RS03330	NBX26_RS03350
OG0000180	NB623_RS03335	NBX26_RS03355
OG0000181	NB623_RS03375	NBX26_RS03395
OG0000182	NB623_RS03385	NBX26_RS03405
OG0000183	NB623_RS03420	NBX26_RS03440
OG0000184	NB623_RS03485	NBX26_RS03495
OG0000185	NB623_RS03475	NBX26_RS03480
OG0000186	NB623_RS01645	NBX26_RS01655
OG0000187	NB623_RS01660	NBX26_RS01670
OG0000188	NB623_RS01670	NBX26_RS01680
OG0000189	NB623_RS02445	NBX26_RS02455
OG0000190	NB623_RS02440	NBX26_RS02450
OG0000191	NB623_RS02415	NBX26_RS02425
OG0000192	NB623_RS01340	NBX26_RS01345
OG0000193	NB623_RS01325	NBX26_RS01330
OG0000194	NB623_RS00690	NBX26_RS00695
OG0000195	NB623_RS00695	NBX26_RS00700
OG0000196	NB623_RS00720	NBX26_RS00725
OG0000197	NB623_RS00730	NBX26_RS00735
OG0000198	NB623_RS00740	NBX26_RS00745
OG0000199	NB623_RS00745	NBX26_RS00750
OG0000200	NB623_RS00760	NBX26_RS00765
OG0000201	NB623_RS00770	NBX26_RS00775
OG0000202	NB623_RS00830	NBX26_RS00830
OG0000203	NB623_RS00835	NBX26_RS00835
OG0000204	NB623_RS00840	NBX26_RS00840
OG0000205	NB623_RS00845	NBX26_RS00845
OG0000206	NB623_RS00865	NBX26_RS00865
OG0000207	NB623_RS00880	NBX26_RS00880
OG0000208	NB623_RS00885	NBX26_RS00885
OG0000209	NB623_RS00890	NBX26_RS00890
OG0000210	NB623_RS00935	NBX26_RS00935
OG0000211	NB623_RS01070	NBX26_RS01080
OG0000212	NB623_RS01080	NBX26_RS01085
OG0000213	NB623_RS01085	NBX26_RS01090
OG0000214	NB623_RS01090	NBX26_RS01095
OG0000215	NB623_RS01095	NBX26_RS01100
OG0000216	NB623_RS01100	NBX26_RS01105
OG0000217	NB623_RS01105	NBX26_RS01110
OG0000218	NB623_RS01115	NBX26_RS01120
OG0000219	NB623_RS01120	NBX26_RS01125
OG0000220	NB623_RS01125	NBX26_RS01130
OG0000221	NB623_RS01130	NBX26_RS01135
OG0000222	NB623_RS01135	NBX26_RS01140
OG0000223	NB623_RS01140	NBX26_RS01145
OG0000224	NB623_RS01150	NBX26_RS01155
OG0000225	NB623_RS01160	NBX26_RS01165
OG0000226	NB623_RS01165	NBX26_RS01170
OG0000227	NB623_RS01170	NBX26_RS01175
OG0000228	NB623_RS01175	NBX26_RS01180
OG0000229	NB623_RS01180	NBX26_RS01185
OG0000230	NB623_RS01185	NBX26_RS01190
OG0000231	NB623_RS01195	NBX26_RS01200
OG0000232	NB623_RS01205	NBX26_RS01210
OG0000233	NB623_RS01225	NBX26_RS01230
OG0000234	NB623_RS01260	NBX26_RS01265
OG0000235	NB623_RS01270	NBX26_RS01275
OG0000236	NB623_RS01275	NBX26_RS01280
OG0000237	NB623_RS01280	NBX26_RS01285
OG0000238	NB623_RS01285	NBX26_RS01295
OG0000239	NB623_RS03105	NBX26_RS03115
OG0000240	NB623_RS03110	NBX26_RS03120
OG0000241	NB623_RS03120	NBX26_RS03130
OG0000242	NB623_RS03125	NBX26_RS03135
OG0000243	NB623_RS03130	NBX26_RS03140
OG0000244	NB623_RS03140	NBX26_RS03150
OG0000245	NB623_RS03145	NBX26_RS03160
OG0000246	NB623_RS00130	NBX26_RS00130
OG0000247	NB623_RS00140	NBX26_RS00140
OG0000248	NB623_RS00150	NBX26_RS00150
OG0000249	NB623_RS00155	NBX26_RS00155
OG0000250	NB623_RS00175	NBX26_RS00180
OG0000251	NB623_RS00205	NBX26_RS00210
OG0000252	NB623_RS00210	NBX26_RS00215
OG0000253	NB623_RS00215	NBX26_RS00220
OG0000254	NB623_RS00225	NBX26_RS00230
OG0000255	NB623_RS00230	NBX26_RS00235
OG0000256	NB623_RS00240	NBX26_RS00240
OG0000257	NB623_RS00260	NBX26_RS00265
OG0000258	NB623_RS00270	NBX26_RS00280
OG0000259	NB623_RS00300	NBX26_RS00305
OG0000260	NB623_RS00310	NBX26_RS00315
OG0000261	NB623_RS00320	NBX26_RS00325
OG0000262	NB623_RS00340	NBX26_RS00340
OG0000263	NB623_RS00350	NBX26_RS00355
OG0000264	NB623_RS00365	NBX26_RS00370
OG0000265	NB623_RS00375	NBX26_RS00380
OG0000266	NB623_RS00390	NBX26_RS00395
OG0000267	NB623_RS00405	NBX26_RS00410
OG0000268	NB623_RS00410	NBX26_RS00415
OG0000269	NB623_RS00425	NBX26_RS00430
OG0000270	NB623_RS03685	NBX26_RS03690
OG0000271	NB623_RS03675	NBX26_RS03685
OG0000272	NB623_RS03670	NBX26_RS03680
OG0000273	NB623_RS03665	NBX26_RS03675
OG0000274	NB623_RS03650	NBX26_RS03660
OG0000275	NB623_RS03640	NBX26_RS03650
