Orthogroup	MHP_ES2_protein	MHP_168L_protein
OG0000000	WP_135618832.1	WP_014579809.1
OG0000000	WP_014579826.1	WP_014579826.1
OG0000000	WP_240536403.1	WP_233417363.1
OG0000000	WP_135618836.1	WP_081632348.1
OG0000001	WP_135618807.1	WP_014579584.1
OG0000001	WP_135618795.1	WP_014579780.1
OG0000002	WP_240536360.1	WP_233417357.1
OG0000002	WP_240536333.1	WP_233417349.1
OG0000003	WP_318026010.1	WP_044889040.1
OG0000003	WP_094521686.1	WP_044889037.1
OG0000004	WP_240536339.1, WP_240536315.1	WP_016340224.1
OG0000004	WP_240536338.1	WP_233417351.1
OG0000005	WP_135618898.1	WP_318023915.1
OG0000006	WP_135618557.1	WP_014579660.1
OG0000006	WP_135618629.1	WP_014579661.1
OG0000008	WP_135619092.1	WP_014579984.1
OG0000008	WP_135619088.1	WP_044889045.1
OG0000008	WP_014579982.1	WP_014579982.1
OG0000009	WP_135618930.1	WP_044889041.1
OG0000010	WP_240536341.1	WP_014579924.1
OG0000010	WP_237697234.1	WP_228365417.1
OG0000012	WP_135618902.1	WP_016340204.1
OG0000013	WP_135618942.1	WP_044278021.1
OG0000014	WP_240536342.1	WP_014579925.1
OG0000014	WP_193325079.1	WP_014579709.1
OG0000016	WP_240536334.1	WP_016340229.1
OG0000017	WP_135619090.1	WP_014579983.1
OG0000017	WP_135619082.1, WP_135619086.1	WP_014579981.1
OG0000018	WP_135619032.1	WP_016340243.1
OG0000019	WP_135618454.1, WP_135618458.1	WP_044889029.1
OG0000021	WP_240536320.1, WP_135618756.1	WP_014580034.1
OG0000022	WP_240536332.1	WP_228365387.1
OG0000023	WP_135619110.1	WP_014579993.1
OG0000024	WP_011206100.1	WP_014579653.1
OG0000024	WP_135618567.1	WP_233417359.1
OG0000025	WP_135618740.1	WP_228365422.1
OG0000026	WP_135618938.1	WP_016340231.1
OG0000028	WP_135618797.1	WP_014579781.1, WP_014579585.1, WP_014579767.1
OG0000029	WP_135618739.1	WP_187286318.1
OG0000030	WP_135618969.1	WP_014579910.1
OG0000031	WP_135618462.1	WP_014579531.1
OG0000032	WP_135618793.1	WP_016340186.1
OG0000033	WP_081430780.1	WP_044277998.1
OG0000034	WP_135618940.1	WP_014579883.1
OG0000035	WP_135618771.1	WP_014579762.1
OG0000036	WP_014579882.1	WP_014579882.1
OG0000037	WP_135618751.1	WP_011206365.1, WP_052293599.1
OG0000038	WP_135618565.1	WP_014579652.1
OG0000038	WP_240536366.1	WP_228365413.1
OG0000039	WP_240536308.1	WP_014579821.1
OG0000040	WP_011206223.1	WP_014579844.1
OG0000042	WP_135619164.1	WP_016340255.1
OG0000043	WP_135619158.1	WP_014580027.1
OG0000044	WP_135618787.1	WP_014579753.1
OG0000045	WP_011290219.1	WP_233417347.1, WP_016340219.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_228365394.1
OG0000048	WP_135619004.1	WP_014579936.1
OG0000049	WP_135619002.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_014579884.1
OG0000051	WP_135619210.1	WP_081632352.1
OG0000052	WP_135618936.1	WP_014579877.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_011206420.1	WP_014579964.1
OG0000055	WP_135619064.1	WP_014579969.1
OG0000056	WP_135619103.1	WP_014579991.1
OG0000057	WP_011206089.1	WP_011206089.1
OG0000058	WP_135618593.1	WP_014579626.1
OG0000059	WP_044284596.1	WP_014579624.1
OG0000060	WP_011206046.1	WP_014579617.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_135618633.1	WP_014579663.1
OG0000063	WP_052259122.1	WP_014579535.1
OG0000064	WP_135618470.1	WP_014579536.1
OG0000065	WP_135618517.1	WP_014579568.1
OG0000066	WP_135618533.1	WP_014579581.1
OG0000067	WP_135619144.1	WP_011206493.1
OG0000068	WP_240536355.1	WP_044278116.1
OG0000069	WP_135618944.1	WP_014579888.1
OG0000070	WP_135618951.1	WP_011206305.1
OG0000071	WP_135618998.1	WP_014579934.1
OG0000072	WP_135619124.1	WP_044278039.1
OG0000073	WP_179695988.1	WP_179695988.1
OG0000074	WP_240536348.1	WP_014579950.1
OG0000075	WP_135618668.1	WP_044277983.1
OG0000076	WP_240536363.1	WP_014579641.1
OG0000077	WP_135618515.1	WP_044889031.1
OG0000078	WP_240536354.1	WP_014580002.1
OG0000079	WP_220200502.1	WP_233417346.1
OG0000080	WP_135618852.1	WP_016340217.1
OG0000081	WP_011206216.1	WP_014579823.1
OG0000082	WP_135618854.1	WP_016340223.1
OG0000083	WP_135618856.1	WP_014579846.1
OG0000084	WP_011206222.1	WP_014579845.1
OG0000085	WP_135618858.1	WP_011206224.1
OG0000086	WP_135618860.1	WP_014579843.1
OG0000087	WP_220190703.1	WP_044278006.1
OG0000088	WP_044272477.1	WP_014579840.1
OG0000089	WP_044272480.1	WP_014579839.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_135618448.1	WP_014579524.1
OG0000092	WP_044278048.1	WP_016340175.1
OG0000093	WP_135618446.1	WP_011283833.1
OG0000094	WP_011205850.1	WP_014579522.1
OG0000095	WP_011205849.1	WP_011205849.1
OG0000096	WP_011205848.1	WP_016340174.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_011205846.1	WP_011205846.1
OG0000099	WP_014579519.1	WP_014579519.1
OG0000100	WP_135618442.1	WP_014579518.1
OG0000101	WP_135618439.1	WP_044277943.1
OG0000102	WP_044272251.1	WP_014579516.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_135619174.1	WP_014580049.1
OG0000105	WP_135619172.1	WP_014580048.1
OG0000106	WP_014580047.1	WP_014580047.1
OG0000107	WP_135619170.1	WP_014580046.1
OG0000108	WP_011206522.1	WP_014580045.1
OG0000109	WP_135619169.1	WP_016340258.1
OG0000110	WP_135619167.1	WP_014580043.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_135619192.1	WP_016340208.1
OG0000113	WP_135618779.1	WP_014579756.1
OG0000114	WP_135618781.1	WP_014579755.1
OG0000115	WP_135618876.1	WP_014579835.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_135618878.1	WP_014579834.1
OG0000118	WP_135618882.1	WP_014579832.1
OG0000119	WP_011206243.1	WP_014579831.1
OG0000120	WP_135618884.1	WP_014579830.1
OG0000121	WP_011284169.1	WP_016340218.1
OG0000122	WP_011206247.1	WP_011206247.1
OG0000123	WP_135618926.1	WP_014579870.1
OG0000124	WP_240536331.1	WP_044278012.1
OG0000125	WP_011206273.1	WP_014579868.1
OG0000126	WP_240536330.1	WP_228365385.1
OG0000127	WP_135618921.1	WP_011206271.1
OG0000128	WP_011206268.1	WP_014579864.1
OG0000129	WP_225972979.1	WP_044278010.1
OG0000130	WP_011206264.1	WP_014579859.1
OG0000131	WP_135618672.1	WP_014579711.1
OG0000132	WP_135618674.1	WP_014579712.1
OG0000133	WP_135618676.1	WP_014579713.1
OG0000134	WP_135618678.1	WP_014579716.1
OG0000135	WP_135618680.1	WP_014579717.1
OG0000136	WP_228729171.1	WP_011284023.1
OG0000137	WP_135618686.1	WP_044277984.1
OG0000138	WP_011205966.1	WP_014579721.1
OG0000139	WP_011205965.1	WP_011205965.1
OG0000140	WP_011284027.1	WP_011284027.1
OG0000141	WP_044284614.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011290114.1
OG0000143	WP_135618690.1	WP_014579725.1
OG0000144	WP_020835645.1	WP_011205956.1
OG0000145	WP_011205954.1	WP_016340201.1
OG0000146	WP_011290118.1	WP_014579726.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011205950.1	WP_011290120.1
OG0000149	WP_135618699.1	WP_016340202.1
OG0000150	WP_135618701.1	WP_011284040.1
OG0000151	WP_135618705.1	WP_014579730.1
OG0000152	WP_135618707.1	WP_014579731.1
OG0000153	WP_020835651.1	WP_014579732.1
OG0000154	WP_135618709.1	WP_014579733.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_135618710.1	WP_014579734.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_135618714.1	WP_014579737.1
OG0000159	WP_014579586.1	WP_014579586.1
OG0000160	WP_135618544.1	WP_014579588.1
OG0000161	WP_014579589.1	WP_014579589.1
OG0000162	WP_233688635.1	WP_228365407.1
OG0000163	WP_011206121.1	WP_014579591.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_135618546.1	WP_014579592.1
OG0000166	WP_135618548.1	WP_016340187.1
OG0000167	WP_135618550.1	WP_014579595.1
OG0000168	WP_011206113.1	WP_014579598.1
OG0000169	WP_135618561.1	WP_014579657.1
OG0000170	WP_135618563.1	WP_014579656.1
OG0000171	WP_011206102.1	WP_016340195.1
OG0000172	WP_011206101.1	WP_011206101.1
OG0000173	WP_011284290.1	WP_016340242.1
OG0000174	WP_135619030.1	WP_016340241.1
OG0000175	WP_135619028.1	WP_014579948.1
OG0000176	WP_135619026.1	WP_011206391.1
OG0000177	WP_135619024.1	WP_011206390.1
OG0000178	WP_135619022.1	WP_014579946.1
OG0000179	WP_240536347.1	WP_014579945.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_135619018.1	WP_011206384.1
OG0000182	WP_135619016.1	WP_014579942.1
OG0000183	WP_135619012.1	WP_016340240.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_135619010.1	WP_014579937.1
OG0000186	WP_135619008.1	WP_011284272.1
OG0000187	WP_135619006.1	WP_011206376.1
OG0000188	WP_135619000.1	WP_016340239.1
OG0000189	WP_135618994.1	WP_014579931.1
OG0000190	WP_020835827.1	WP_014579930.1
OG0000191	WP_135618992.1	WP_014579929.1
OG0000192	WP_094521730.1	WP_044278028.1
OG0000193	WP_135618986.1	WP_014579920.1
OG0000194	WP_135618984.1	WP_011206337.1
OG0000195	WP_135618982.1	WP_014579919.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_014579918.1	WP_014579918.1
OG0000198	WP_135618980.1	WP_014579917.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_011284209.1	WP_044278019.1
OG0000201	WP_011206287.1	WP_014579880.1
OG0000202	WP_135618730.1	WP_014579777.1
OG0000203	WP_011284063.1	WP_011284063.1
OG0000204	WP_135618732.1	WP_014579775.1
OG0000205	WP_014579804.1	WP_014579804.1
OG0000206	WP_011206196.1	WP_014579805.1
OG0000207	WP_011290187.1	WP_011206197.1
OG0000208	WP_135618828.1	WP_016340211.1
OG0000209	WP_011206200.1	WP_016340213.1
OG0000210	WP_135618840.1	WP_014579811.1
OG0000211	WP_135618843.1	WP_016340214.1
OG0000212	WP_135618846.1	WP_014579814.1
OG0000213	WP_135618848.1	WP_014579815.1
OG0000214	WP_135619057.1	WP_014579962.1
OG0000215	WP_011206422.1	WP_014579966.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_135619059.1	WP_011206425.1
OG0000218	WP_011290369.1	WP_014579967.1
OG0000219	WP_135619066.1	WP_014579970.1
OG0000220	WP_135619070.1	WP_014579971.1
OG0000221	WP_135619073.1	WP_014579972.1
OG0000222	WP_135619075.1	WP_014579976.1
OG0000223	WP_135619077.1	WP_014579977.1
OG0000224	WP_011206441.1	WP_011206441.1
OG0000225	WP_135619079.1	WP_016340247.1
OG0000226	WP_011206444.1	WP_014579979.1
OG0000227	WP_011206445.1	WP_011206445.1
OG0000228	WP_135619081.1	WP_014579980.1
OG0000229	WP_135619094.1	WP_014579985.1
OG0000230	WP_011206453.1	WP_014579987.1
OG0000231	WP_135619227.1	WP_014579989.1
OG0000232	WP_135619098.1	WP_014579990.1
OG0000233	WP_011206457.1	WP_011206457.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_135619099.1	WP_011206459.1
OG0000236	WP_135619105.1	WP_014579992.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_135619119.1	WP_011206468.1
OG0000239	WP_011290400.1	WP_014579996.1
OG0000240	WP_135619118.1	WP_014579995.1
OG0000241	WP_135619116.1	WP_011206465.1
OG0000242	WP_135619122.1	WP_014579997.1
OG0000243	WP_135618716.1	WP_014579738.1
OG0000244	WP_135618718.1	WP_014579739.1
OG0000245	WP_011290131.1	WP_011284053.1
OG0000246	WP_135618720.1	WP_014579740.1
OG0000247	WP_011284055.1	WP_014579741.1
OG0000248	WP_011284056.1	WP_011284056.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_135618893.1	WP_014579854.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_240536314.1	WP_228365384.1
OG0000253	WP_135619204.1	WP_014579850.1
OG0000254	WP_011205992.1	WP_011284001.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_135618652.1	WP_014579694.1
OG0000257	WP_011283923.1	WP_011283923.1
OG0000258	WP_094521583.1	WP_011283924.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_014579649.1
OG0000261	WP_228729168.1	WP_014579648.1
OG0000262	WP_041361572.1	WP_014579647.1
OG0000263	WP_011283930.1	WP_014579645.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_011206085.1
OG0000266	WP_014579644.1	WP_014579644.1
OG0000267	WP_020835576.1	WP_016340193.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_011290034.1	WP_044277971.1
OG0000270	WP_135618573.1	WP_014579639.1
OG0000271	WP_135618575.1	WP_014579638.1
OG0000272	WP_011290039.1	WP_014579634.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_011206071.1	WP_014579633.1
OG0000275	WP_135618583.1	WP_014579632.1
OG0000276	WP_135618585.1	WP_016340192.1
OG0000277	WP_135618587.1	WP_011206067.1
OG0000278	WP_135618589.1	WP_011206066.1
OG0000279	WP_011206065.1	WP_044277967.1
OG0000280	WP_011206064.1	WP_011206064.1
OG0000281	WP_011206063.1	WP_014579629.1
OG0000282	WP_135618591.1	WP_011206062.1
OG0000283	WP_011206061.1	WP_014579628.1
OG0000284	WP_135618601.1	WP_014579623.1
OG0000285	WP_135618604.1	WP_014579621.1
OG0000286	WP_135618610.1	WP_011206050.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_014579618.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_011283965.1	WP_014579616.1
OG0000292	WP_135618612.1	WP_011206044.1
OG0000293	WP_011206042.1	WP_014579615.1
OG0000294	WP_228729170.1	WP_020835591.1
OG0000295	WP_135618616.1	WP_011206040.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_135618620.1	WP_014579610.1
OG0000300	WP_011206032.1	WP_014579609.1
OG0000301	WP_011290064.1	WP_014579608.1
OG0000302	WP_135618622.1	WP_014579607.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_014579605.1
OG0000305	WP_014579604.1	WP_014579604.1
OG0000306	WP_011206025.1	WP_014579603.1
OG0000307	WP_011290067.1	WP_014579602.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011290071.1
OG0000310	WP_135618631.1	WP_014579662.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_020835607.1	WP_011206013.1
OG0000313	WP_135618635.1	WP_014579664.1
OG0000314	WP_020835610.1	WP_011283987.1
OG0000315	WP_135618637.1	WP_014579665.1
OG0000316	WP_135618639.1	WP_016340197.1
OG0000317	WP_135618641.1	WP_014579667.1
OG0000318	WP_011206006.1	WP_011206006.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_014579672.1	WP_014579672.1
OG0000321	WP_135618644.1	WP_014579673.1
OG0000322	WP_020835619.1	WP_014579674.1
OG0000323	WP_011206399.1	WP_011206399.1
OG0000324	WP_135619034.1	WP_011206400.1
OG0000325	WP_020835852.1	WP_014579953.1
OG0000326	WP_135619036.1	WP_011206402.1
OG0000327	WP_135619038.1	WP_044278032.1
OG0000328	WP_011290352.1	WP_014579955.1
OG0000329	WP_011206406.1	WP_014579956.1
OG0000330	WP_135619044.1	WP_011206408.1
OG0000331	WP_135619046.1	WP_044278034.1
OG0000332	WP_050195463.1	WP_014579532.1
OG0000333	WP_135618466.1	WP_014579533.1
OG0000334	WP_135618468.1	WP_014579534.1
OG0000335	WP_020835500.1	WP_228365403.1
OG0000336	WP_135618472.1	WP_044889030.1
OG0000337	WP_135618476.1	WP_011289957.1
OG0000338	WP_135618480.1	WP_014579542.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_014579544.1
OG0000341	WP_135618487.1	WP_011205882.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_135618489.1	WP_014579546.1
OG0000344	WP_135618491.1	WP_014579547.1
OG0000345	WP_020835510.1	WP_014579548.1
OG0000346	WP_014579550.1	WP_014579550.1
OG0000347	WP_011205889.1	WP_011283865.1
OG0000348	WP_135618495.1	WP_044277952.1
OG0000349	WP_135618497.1	WP_014579552.1
OG0000350	WP_014579553.1	WP_014579553.1
OG0000351	WP_135618499.1	WP_014579554.1
OG0000352	WP_135618501.1	WP_014579555.1
OG0000353	WP_135618503.1	WP_011283871.1
OG0000354	WP_020835518.1	WP_187286314.1
OG0000355	WP_011289976.1	WP_044277955.1
OG0000356	WP_011289977.1	WP_014579560.1
OG0000357	WP_135618505.1	WP_011205899.1
OG0000358	WP_020835520.1	WP_014579562.1
OG0000359	WP_135618507.1	WP_014579563.1
OG0000360	WP_135618509.1	WP_011205903.1
OG0000361	WP_135618511.1	WP_044277956.1
OG0000362	WP_135618513.1	WP_016340180.1
OG0000363	WP_135618519.1	WP_014579569.1
OG0000364	WP_135618521.1	WP_011289987.1
OG0000365	WP_011283885.1	WP_011283885.1
OG0000366	WP_011283887.1	WP_011283887.1
OG0000367	WP_135618527.1	WP_014579574.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_044277957.1
OG0000370	WP_014579577.1	WP_014579577.1
OG0000371	WP_011283894.1	WP_016340183.1
OG0000372	WP_011206135.1	WP_016340185.1
OG0000373	WP_014579579.1	WP_014579579.1
OG0000374	WP_135619156.1	WP_014580026.1
OG0000375	WP_011206505.1	WP_014580022.1
OG0000376	WP_135619152.1	WP_014580021.1
OG0000377	WP_011206503.1	WP_011284373.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_228729166.1	WP_187286326.1
