Orthogroup	MFC_MF30_genes	MHP_98_genes
OG0000000	DR084_RS02900	GOM18_RS02340
OG0000000	DR084_RS02480	GOM18_RS03685
OG0000001	DR084_RS03095	GOM18_RS03240, GOM18_RS03230, GOM18_RS03125, GOM18_RS04130, GOM18_RS04125
OG0000002	DR084_RS03505	GOM18_RS02350, GOM18_RS02345
OG0000002	DR084_RS03620	GOM18_RS04550
OG0000011	DR084_RS03145	GOM18_RS03250
OG0000011	DR084_RS01055	GOM18_RS03255
OG0000013	DR084_RS00890, DR084_RS00885	GOM18_RS02545
OG0000013	DR084_RS02985	GOM18_RS03935
OG0000014	DR084_RS03465	GOM18_RS03570, GOM18_RS01700
OG0000016	DR084_RS00585	GOM18_RS01215
OG0000017	DR084_RS02415	GOM18_RS01265
OG0000017	DR084_RS00575	GOM18_RS01205
OG0000018	DR084_RS03555	GOM18_RS04240
OG0000019	DR084_RS03440	GOM18_RS04575
OG0000020	DR084_RS02530	GOM18_RS03770, GOM18_RS03765
OG0000022	DR084_RS03625	GOM18_RS04500
OG0000024	DR084_RS00640	GOM18_RS03075, GOM18_RS03225
OG0000025	DR084_RS02490	GOM18_RS04505
OG0000026	DR084_RS01955	GOM18_RS02790, GOM18_RS03010
OG0000027	DR084_RS03655	GOM18_RS04320
OG0000029	DR084_RS00420	GOM18_RS01705, GOM18_RS03580
OG0000030	DR084_RS03660	GOM18_RS04340, GOM18_RS04325
OG0000031	DR084_RS01000	GOM18_RS00085, GOM18_RS03625
OG0000039	DR084_RS00480	GOM18_RS03565
OG0000040	DR084_RS02240, DR084_RS00690	GOM18_RS00810
OG0000042	DR084_RS00475, DR084_RS00620	GOM18_RS01120
OG0000043	DR084_RS01025	GOM18_RS03285
OG0000045	DR084_RS00485	GOM18_RS03555
OG0000048	DR084_RS02740	GOM18_RS02325
OG0000049	DR084_RS02050	GOM18_RS01035
OG0000050	DR084_RS00965	GOM18_RS01900
OG0000051	DR084_RS01670	GOM18_RS02100
OG0000052	DR084_RS02375	GOM18_RS00655
OG0000053	DR084_RS03670	GOM18_RS04480
OG0000054	DR084_RS00940	GOM18_RS01925
OG0000055	DR084_RS03600, DR084_RS03710	GOM18_RS01245
OG0000056	DR084_RS02515	GOM18_RS00495
OG0000057	DR084_RS00500	GOM18_RS01135
OG0000062	DR084_RS02265	GOM18_RS00545
OG0000063	DR084_RS03590	GOM18_RS04295
OG0000064	DR084_RS02250	GOM18_RS00530
OG0000065	DR084_RS01815	GOM18_RS02395
OG0000066	DR084_RS01945	GOM18_RS02800
OG0000068	DR084_RS00455	GOM18_RS03445
OG0000069	DR084_RS00610	GOM18_RS01240, GOM18_RS03140
OG0000070	DR084_RS00920	GOM18_RS01930
OG0000071	DR084_RS01120, DR084_RS02230	GOM18_RS00820
OG0000072	DR084_RS03585	GOM18_RS04355
OG0000073	DR084_RS01245	GOM18_RS00135
OG0000074	DR084_RS03540	GOM18_RS04260
OG0000076	DR084_RS00190	GOM18_RS01465
OG0000077	DR084_RS00275	GOM18_RS01550
OG0000079	DR084_RS00835	GOM18_RS02005
OG0000080	DR084_RS03130	GOM18_RS03980
OG0000081	DR084_RS00170	GOM18_RS01445
OG0000082	DR084_RS00895	GOM18_RS02535
OG0000083	DR084_RS02845	GOM18_RS02245
OG0000084	DR084_RS02690	GOM18_RS02275
OG0000085	DR084_RS02695	GOM18_RS02280
OG0000086	DR084_RS03665	GOM18_RS02290
OG0000087	DR084_RS02720	GOM18_RS02305
OG0000088	DR084_RS02725	GOM18_RS02310
OG0000089	DR084_RS02735	GOM18_RS02320
