#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP058578.1:92139-93935|+   -            599 501at2085            -            526  5.1e-249  822.6   9.1   1   1  7.3e-251    1e-248  821.6   9.1     1   526     1   594     1   594 0.93 NZ_CP058578.1_74 # 92139 # 93935 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NZ_CP058578.1:95269-97353|-   -            695 501at2085            -            526     6e-47  155.9   1.2   1   4   1.8e-36   2.5e-34  114.2   0.1     4   153     8   162     5   186 0.86 NZ_CP058578.1_76 # 95269 # 97353 # -1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.371
NZ_CP058578.1:95269-97353|-   -            695 501at2085            -            526     6e-47  155.9   1.2   2   4      0.53        76   -2.9   0.0   155   173   263   281   256   293 0.80 NZ_CP058578.1_76 # 95269 # 97353 # -1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.371
NZ_CP058578.1:95269-97353|-   -            695 501at2085            -            526     6e-47  155.9   1.2   3   4     6e-12   8.7e-10   33.2   0.1   170   339   301   485   289   498 0.69 NZ_CP058578.1_76 # 95269 # 97353 # -1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.371
NZ_CP058578.1:95269-97353|-   -            695 501at2085            -            526     6e-47  155.9   1.2   4   4    0.0026      0.38    4.7   0.0   350   411   607   675   595   691 0.78 NZ_CP058578.1_76 # 95269 # 97353 # -1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.371
NZ_CP058578.1:774270-776069|- -            600 501at2085            -            526   1.3e-19   65.7   2.9   1   3   9.1e-22   1.3e-19   65.7   2.9    10   196   117   308   115   321 0.79 NZ_CP058578.1_621 # 774270 # 776069 # -1 # ID=1_621;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
NZ_CP058578.1:774270-776069|- -            600 501at2085            -            526   1.3e-19   65.7   2.9   2   3      0.56        81   -3.0   0.6   135   181   388   434   377   452 0.72 NZ_CP058578.1_621 # 774270 # 776069 # -1 # ID=1_621;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
NZ_CP058578.1:774270-776069|- -            600 501at2085            -            526   1.3e-19   65.7   2.9   3   3      0.34        49   -2.2   0.0   382   408   480   506   460   516 0.80 NZ_CP058578.1_621 # 774270 # 776069 # -1 # ID=1_621;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
NZ_CP058578.1:679618-680826|- -            403 501at2085            -            526     2e-18   61.7   2.9   1   2   3.7e-20   5.3e-18   60.3   0.2     8   140    20   155    14   168 0.88 NZ_CP058578.1_545 # 679618 # 680826 # -1 # ID=1_545;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.400
NZ_CP058578.1:679618-680826|- -            403 501at2085            -            526     2e-18   61.7   2.9   2   2     0.023       3.3    1.6   0.2   161   256   205   309   194   325 0.67 NZ_CP058578.1_545 # 679618 # 680826 # -1 # ID=1_545;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.400
NZ_CP058578.1:90280-91581|+   -            434 501at2085            -            526   5.6e-13   43.8   0.5   1   2   1.5e-05    0.0022   12.1   0.1    63   180    46   170    36   173 0.75 NZ_CP058578.1_71 # 90280 # 91581 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
NZ_CP058578.1:90280-91581|+   -            434 501at2085            -            526   5.6e-13   43.8   0.5   2   2   6.5e-11   9.4e-09   29.8   0.1    78   168   238   340   214   363 0.81 NZ_CP058578.1_71 # 90280 # 91581 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2L/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2L/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2L/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2L/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2L/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2L/Use
# Date:            Thu Nov 28 19:22:16 2024
# [ok]
