Orthogroup	MHP_154B_genes	MHP_1257_genes
OG0000000	NB624_RS02330	ABKJ22_RS02210
OG0000000	NB624_RS02230	ABKJ22_RS02265, ABKJ22_RS02260
OG0000000	NB624_RS02325	ABKJ22_RS02090
OG0000000	NB624_RS02460	ABKJ22_RS02275
OG0000000	NB624_RS02455	ABKJ22_RS02095
OG0000000	NB624_RS01720, NB624_RS01725	ABKJ22_RS01715
OG0000001	NB624_RS02915	ABKJ22_RS02685
OG0000002	NB624_RS02340	ABKJ22_RS02205
OG0000002	NB624_RS02245	ABKJ22_RS02250
OG0000002	NB624_RS01730	ABKJ22_RS01720
OG0000003	NB624_RS01750, NB624_RS00505	ABKJ22_RS01780
OG0000003	NB624_RS02310	ABKJ22_RS00770
OG0000003	NB624_RS01835	ABKJ22_RS01825
OG0000004	NB624_RS03355, NB624_RS03360, NB624_RS03175, NB624_RS03195, NB624_RS03185	ABKJ22_RS02940
OG0000005	NB624_RS00100	ABKJ22_RS00095
OG0000005	NB624_RS00105	ABKJ22_RS00105
OG0000006	NB624_RS02495	ABKJ22_RS02310
OG0000006	NB624_RS02465	ABKJ22_RS02280
OG0000007	NB624_RS02315	ABKJ22_RS00765
OG0000007	NB624_RS02305	ABKJ22_RS02225
OG0000008	NB624_RS02450	ABKJ22_RS02100
OG0000008	NB624_RS01625, NB624_RS01635	ABKJ22_RS01635
OG0000008	NB624_RS02665	ABKJ22_RS02455
OG0000009	NB624_RS01015	ABKJ22_RS01035
OG0000009	NB624_RS00085	ABKJ22_RS00085
OG0000009	NB624_RS01000	ABKJ22_RS01020
OG0000010	NB624_RS01855	ABKJ22_RS01835
OG0000011	NB624_RS01955	ABKJ22_RS01925
OG0000011	NB624_RS01950	ABKJ22_RS01920
OG0000012	NB624_RS02895, NB624_RS01075	ABKJ22_RS00425
OG0000012	NB624_RS01870	ABKJ22_RS01200
OG0000013	NB624_RS02540	ABKJ22_RS02355
OG0000013	NB624_RS00185	ABKJ22_RS00180
OG0000014	NB624_RS00595	ABKJ22_RS00595
OG0000014	NB624_RS01090	ABKJ22_RS01105
OG0000014	NB624_RS01080	ABKJ22_RS01095
OG0000015	NB624_RS01620	ABKJ22_RS01630
OG0000015	NB624_RS01565	ABKJ22_RS01575
OG0000016	NB624_RS03000	ABKJ22_RS02785
OG0000016	NB624_RS00170	ABKJ22_RS00165
OG0000017	NB624_RS00155	ABKJ22_RS00150
OG0000017	NB624_RS03010	ABKJ22_RS02795
