Orthogroup	MHP_KM014_genes	MFC_MF30_genes
OG0000000	CIB43_RS03015, CIB43_RS03040	DR084_RS02935
OG0000000	CIB43_RS02600	DR084_RS02480
OG0000001	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670	DR084_RS03095
OG0000002	CIB43_RS03100, CIB43_RS04020	DR084_RS03505
OG0000002	CIB43_RS02610	DR084_RS03620
OG0000004	CIB43_RS00110	DR084_RS02890
OG0000011	CIB43_RS02845, CIB43_RS02850	DR084_RS03145
OG0000014	CIB43_RS01485, CIB43_RS01955	DR084_RS03465
OG0000016	CIB43_RS03755	DR084_RS00585
OG0000017	CIB43_RS00855	DR084_RS02415
OG0000017	CIB43_RS03765	DR084_RS00575
OG0000018	CIB43_RS01250, CIB43_RS01185	DR084_RS03555
OG0000019	CIB43_RS00120, CIB43_RS00115, CIB43_RS03950, CIB43_RS00005	DR084_RS03440
OG0000020	CIB43_RS00635	DR084_RS02530
OG0000022	CIB43_RS02590	DR084_RS03625
OG0000024	CIB43_RS02140	DR084_RS00640
OG0000025	CIB43_RS02585	DR084_RS02490
OG0000026	CIB43_RS02565	DR084_RS01955
OG0000027	CIB43_RS00440	DR084_RS03655
OG0000028	CIB43_RS03340	DR084_RS00905, DR084_RS00910
OG0000030	CIB43_RS00435	DR084_RS03660
OG0000031	CIB43_RS01295, CIB43_RS00065	DR084_RS01000
OG0000039	CIB43_RS02500	DR084_RS00480
OG0000042	CIB43_RS03855	DR084_RS00475, DR084_RS00620
OG0000043	CIB43_RS00070	DR084_RS01025
OG0000045	CIB43_RS02520	DR084_RS00485
OG0000047	CIB43_RS00045	DR084_RS03000
OG0000048	CIB43_RS02995	DR084_RS02740
OG0000051	CIB43_RS03575	DR084_RS01670
OG0000052	CIB43_RS00775	DR084_RS02375
OG0000053	CIB43_RS02315	DR084_RS03670
OG0000054	CIB43_RS03395	DR084_RS00940
OG0000055	CIB43_RS00835	DR084_RS03600, DR084_RS03710
OG0000056	CIB43_RS00630, CIB43_RS03960	DR084_RS02515
OG0000057	CIB43_RS03840	DR084_RS00500
OG0000062	CIB43_RS00675	DR084_RS02265
OG0000063	CIB43_RS00660	DR084_RS03590
OG0000064	CIB43_RS00650	DR084_RS02250
OG0000065	CIB43_RS03145	DR084_RS01815
OG0000067	CIB43_RS01410	DR084_RS00345
OG0000068	CIB43_RS01520	DR084_RS00455
OG0000069	CIB43_RS03740	DR084_RS00610
OG0000070	CIB43_RS03400	DR084_RS00920
OG0000071	CIB43_RS00360	DR084_RS01120, DR084_RS02230
OG0000072	CIB43_RS00375	DR084_RS03585
OG0000073	CIB43_RS01580	DR084_RS01245
OG0000075	CIB43_RS01060	DR084_RS00175
OG0000077	CIB43_RS01330	DR084_RS00275
OG0000078	CIB43_RS02560	DR084_RS00725
OG0000079	CIB43_RS03480	DR084_RS00835
OG0000080	CIB43_RS03525	DR084_RS03130
OG0000081	CIB43_RS01055	DR084_RS00170
OG0000082	CIB43_RS03315	DR084_RS00895
OG0000083	CIB43_RS02935	DR084_RS02845
OG0000084	CIB43_RS02955	DR084_RS02690
OG0000086	CIB43_RS02970	DR084_RS03665
OG0000087	CIB43_RS02975	DR084_RS02720
OG0000088	CIB43_RS02980	DR084_RS02725
OG0000089	CIB43_RS02990	DR084_RS02735
OG0000090	CIB43_RS00770	DR084_RS02370
OG0000091	CIB43_RS00760	DR084_RS02355
OG0000092	CIB43_RS00745	DR084_RS02340
OG0000093	CIB43_RS00735	DR084_RS02335
OG0000094	CIB43_RS00730	DR084_RS02330
OG0000095	CIB43_RS00715	DR084_RS02305
OG0000096	CIB43_RS00700	DR084_RS02300
OG0000097	CIB43_RS00690	DR084_RS02280
