#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:69947-71743|+   -            599 501at2085            -            526    5e-249  822.7   9.2   1   1  7.1e-251    1e-248  821.7   9.2     1   526     1   594     1   594 0.93 scf00000000_56 # 69947 # 71743 # 1 # ID=1_56;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
scf00000000:73078-75162|-   -            695 501at2085            -            526   6.9e-47  155.7   0.9   1   3   1.8e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000000_58 # 73078 # 75162 # -1 # ID=1_58;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:73078-75162|-   -            695 501at2085            -            526   6.9e-47  155.7   0.9   2   3   8.3e-12   1.2e-09   32.8   0.0   171   339   302   485   291   498 0.68 scf00000000_58 # 73078 # 75162 # -1 # ID=1_58;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:73078-75162|-   -            695 501at2085            -            526   6.9e-47  155.7   0.9   3   3    0.0026      0.39    4.7   0.0   350   411   607   675   595   691 0.78 scf00000000_58 # 73078 # 75162 # -1 # ID=1_58;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:721735-723534|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   1   3   1.7e-21   2.5e-19   64.7   2.9    10   196   117   308   115   321 0.77 scf00000000_581 # 721735 # 723534 # -1 # ID=1_581;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
scf00000000:721735-723534|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   2   3      0.56        82   -3.0   0.6   135   181   388   434   377   452 0.72 scf00000000_581 # 721735 # 723534 # -1 # ID=1_581;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
scf00000000:721735-723534|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   3   3      0.34        50   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000000_581 # 721735 # 723534 # -1 # ID=1_581;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
scf00000000:656244-657452|- -            403 501at2085            -            526     2e-18   61.8   3.1   1   2   3.1e-20   4.4e-18   60.6   0.3     8   140    20   155    14   168 0.88 scf00000000_527 # 656244 # 657452 # -1 # ID=1_527;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
scf00000000:656244-657452|- -            403 501at2085            -            526     2e-18   61.8   3.1   2   2     0.023       3.4    1.6   0.2   161   256   205   309   194   325 0.67 scf00000000_527 # 656244 # 657452 # -1 # ID=1_527;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
scf00000000:68088-69389|+   -            434 501at2085            -            526   1.2e-12   42.7   0.5   1   2   3.1e-05    0.0045   11.1   0.1    62   180    45   170    35   173 0.76 scf00000000_53 # 68088 # 69389 # 1 # ID=1_53;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
scf00000000:68088-69389|+   -            434 501at2085            -            526   1.2e-12   42.7   0.5   2   2   6.5e-11   9.5e-09   29.8   0.1    78   168   238   340   214   363 0.81 scf00000000_53 # 68088 # 69389 # 1 # ID=1_53;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use
# Date:            Sun Dec  1 19:27:03 2024
# [ok]
