#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:107380-109176|+ -            599 501at2085            -            526  8.7e-249  821.9   9.1   1   1  1.2e-250  1.8e-248  820.9   9.1     1   526     1   594     1   594 0.93 scf00000000_85 # 107380 # 109176 # 1 # ID=1_85;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.341
scf00000000:110510-112603|- -            698 501at2085            -            526   5.3e-45  149.4   1.6   1   4   1.8e-36   2.5e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000000_87 # 110510 # 112603 # -1 # ID=1_87;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:110510-112603|- -            698 501at2085            -            526   5.3e-45  149.4   1.6   2   4      0.57        81   -3.0   0.0   155   173   263   281   256   290 0.80 scf00000000_87 # 110510 # 112603 # -1 # ID=1_87;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:110510-112603|- -            698 501at2085            -            526   5.3e-45  149.4   1.6   3   4     4e-10   5.7e-08   27.2   0.1   171   339   302   488   291   501 0.65 scf00000000_87 # 110510 # 112603 # -1 # ID=1_87;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:110510-112603|- -            698 501at2085            -            526   5.3e-45  149.4   1.6   4   4    0.0028      0.41    4.6   0.0   350   411   610   678   598   694 0.78 scf00000000_87 # 110510 # 112603 # -1 # ID=1_87;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:763743-765542|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   1   3   1.7e-21   2.5e-19   64.7   2.9    10   196   117   308   115   321 0.77 scf00000000_609 # 763743 # 765542 # -1 # ID=1_609;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:763743-765542|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   2   3      0.56        80   -3.0   0.6   135   181   388   434   377   452 0.72 scf00000000_609 # 763743 # 765542 # -1 # ID=1_609;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:763743-765542|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   3   3      0.34        49   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000000_609 # 763743 # 765542 # -1 # ID=1_609;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:694709-695917|- -            403 501at2085            -            526     2e-18   61.7   2.9   1   2   3.7e-20   5.3e-18   60.3   0.2     8   140    20   155    14   168 0.88 scf00000000_554 # 694709 # 695917 # -1 # ID=1_554;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.405
scf00000000:694709-695917|- -            403 501at2085            -            526     2e-18   61.7   2.9   2   2     0.023       3.3    1.6   0.2   161   256   205   309   194   325 0.67 scf00000000_554 # 694709 # 695917 # -1 # ID=1_554;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.405
scf00000000:105521-106822|+ -            434 501at2085            -            526   1.1e-12   42.8   0.3   1   2   3.4e-05    0.0049   11.0   0.1    62   180    45   170    35   173 0.76 scf00000000_82 # 105521 # 106822 # 1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
scf00000000:105521-106822|+ -            434 501at2085            -            526   1.1e-12   42.8   0.3   2   2   6.2e-11   8.8e-09   29.9   0.0    78   168   238   340   213   363 0.80 scf00000000_82 # 105521 # 106822 # 1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP653/Use
# Date:            Sun Dec  1 19:24:06 2024
# [ok]
