Orthogroup	MHP_ES2_protein	MHP_MHP694_protein
OG0000000	WP_014579826.1	WP_160606848.1
OG0000000	WP_240536403.1	WP_220200677.1
OG0000000	WP_135618836.1	WP_160606477.1
OG0000001	WP_135618807.1, WP_135618540.1, WP_237697199.1, WP_240536309.1, WP_240536310.1, WP_135618606.1, WP_135618795.1	WP_160606452.1
OG0000002	WP_240536360.1	WP_308704588.1
OG0000002	WP_240536333.1	WP_258555454.1
OG0000004	WP_240536338.1	WP_308704614.1
OG0000005	WP_334199108.1	WP_160606967.1
OG0000006	WP_135618629.1	WP_160606965.1
OG0000008	WP_135619092.1	WP_160606858.1
OG0000009	WP_135618932.1	WP_160606823.1
OG0000009	WP_135618930.1	WP_160606721.1
OG0000010	WP_240536341.1	WP_011206342.1
OG0000010	WP_237697234.1	WP_232039579.1
OG0000011	WP_135619049.1	WP_160606929.1
OG0000014	WP_240536342.1	WP_258555386.1
OG0000014	WP_193325079.1	WP_160606550.1
OG0000015	WP_020835661.1	WP_020835661.1
OG0000016	WP_240536336.1	WP_308704605.1
OG0000016	WP_240536334.1	WP_308704607.1
OG0000017	WP_135619090.1	WP_160606856.1
OG0000018	WP_135619032.1	WP_160606883.1
OG0000019	WP_135618454.1, WP_135618458.1	WP_160606889.1
OG0000020	WP_135619051.1	WP_160606969.1
OG0000022	WP_240536332.1	WP_160606723.1
OG0000023	WP_135619110.1	WP_160606805.1
OG0000024	WP_135618567.1	WP_011290021.1
OG0000025	WP_135618740.1	WP_160606615.1
OG0000026	WP_135618938.1	WP_160606815.1
OG0000027	WP_240536350.1	WP_220200743.1, WP_220200742.1
OG0000028	WP_135618797.1	WP_160606951.1
OG0000029	WP_135618739.1	WP_160606617.1
OG0000030	WP_135618969.1	WP_160606423.1
OG0000031	WP_135618462.1	WP_160606887.1
OG0000032	WP_135618793.1	WP_160606943.1
OG0000034	WP_135618940.1	WP_044284674.1
OG0000035	WP_135618771.1	WP_160606781.1
OG0000036	WP_014579882.1	WP_041361671.1
OG0000038	WP_240536366.1	WP_228366127.1
OG0000039	WP_240536308.1	WP_011206214.1
OG0000040	WP_011206223.1	WP_160606605.1
OG0000042	WP_135619164.1	WP_160606925.1
OG0000043	WP_135619158.1	WP_160606905.1
OG0000044	WP_135618787.1	WP_160606941.1
OG0000045	WP_011290219.1	WP_160606850.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_258555421.1
OG0000048	WP_135619004.1	WP_160606579.1
OG0000049	WP_135619002.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_160606811.1
OG0000051	WP_135619210.1	WP_160606827.1
OG0000052	WP_135618936.1	WP_160606817.1
OG0000053	WP_002557698.1	WP_160606931.1
OG0000054	WP_011206420.1	WP_044284702.1
OG0000055	WP_135619064.1	WP_160606707.1
OG0000056	WP_135619103.1	WP_160585219.1
