HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
N3.HOG0000000	OG0000000	n10									WP_088172557.1	WP_014579809.1	WP_014579809.1	WP_011206201.1			WP_179696099.1		WP_135618832.1		WP_044284646.1	WP_233688756.1	WP_160600904.1	WP_160615548.1								WP_011206201.1		WP_014579809.1	WP_243216150.1	WP_243216150.1
N3.HOG0000001	OG0000000	n29																											WP_160587898.1		WP_160587898.1					
N3.HOG0000002	OG0000000	n32													WP_020835713.1													WP_020835713.1								
N3.HOG0000003	OG0000000	n34									WP_044284797.1	WP_014579826.1	WP_014579826.1	WP_044284797.1	WP_020835754.1	WP_020835754.1	WP_220200503.1	WP_014579826.1	WP_014579826.1	WP_146379632.1	WP_014579826.1	WP_233688434.1	WP_160601110.1	WP_146379632.1	WP_160590309.1	WP_146379632.1	WP_160607678.1	WP_160606848.1	WP_146379632.1	WP_160585205.1	WP_146379632.1	WP_044284797.1		WP_014579826.1	WP_243216186.1	WP_243216186.1
N3.HOG0000004	OG0000000	n66									WP_011206202.1	WP_233417363.1, WP_081632348.1	WP_044278002.1, WP_011284124.1	WP_011206202.1	WP_020835714.1, WP_020835715.1	WP_011290191.1	WP_179696098.1	WP_020835714.1, WP_179221118.1	WP_240536403.1, WP_135618836.1	WP_146379608.1	WP_044278002.1, WP_011284124.1	WP_233688757.1	WP_160600906.1	WP_160615550.1	WP_160590024.1	WP_160585600.1	WP_020835714.1, WP_160606477.1	WP_220200677.1, WP_160606477.1	WP_160587900.1	WP_160585017.1	WP_160587900.1	WP_011206202.1		WP_252862134.1, WP_088764586.1	WP_160587900.1	WP_160587900.1
N3.HOG0000005	OG0000001	n5										WP_014579584.1	WP_014579584.1						WP_135618807.1		WP_044284583.1	WP_233688628.1	WP_220200909.1	WP_160615980.1		WP_220191211.1	WP_160607882.1			WP_220190744.1				WP_252862215.1	WP_243215969.1	WP_243215969.1
N3.HOG0000006	OG0000001	n19									WP_044284785.1			WP_044284785.1					WP_135618540.1													WP_044284785.1				
N3.HOG0000007	OG0000001	n23													WP_041361653.1			WP_240536589.1	WP_237697199.1, WP_240536309.1, WP_240536310.1, WP_135618606.1	WP_225973025.1, WP_225973018.1, WP_225973026.1, WP_225973019.1	WP_237697199.1, WP_237697197.1, WP_237697198.1	WP_233688427.1	WP_237697199.1, WP_308704766.1	WP_240536590.1, WP_160615810.1, WP_308506998.1	WP_240536590.1, WP_308506998.1	WP_160585818.1, WP_160585822.1	WP_240536590.1, WP_258555606.1, WP_308704686.1, WP_308704693.1		WP_308507067.1, WP_240536309.1	WP_240536590.1, WP_160584822.1, WP_308506998.1	WP_308507067.1, WP_240536309.1				WP_243216179.1	WP_243216179.1
N3.HOG0000008	OG0000001	n66									WP_044284791.1	WP_014579780.1	WP_014579780.1	WP_044284791.1	WP_041361639.1	WP_044272440.1, WP_044272308.1	WP_258556590.1, WP_258556536.1, WP_179696110.1	WP_240536590.1, WP_044272440.1	WP_135618795.1	WP_146379482.1	WP_044284634.1	WP_233688742.1		WP_160615984.1, WP_160615982.1	WP_160590541.1				WP_135618795.1		WP_160587869.1	WP_044284791.1			WP_233688742.1	WP_233688742.1
N3.HOG0000009	OG0000002	n2									WP_241499457.1	WP_233417357.1	WP_228365404.1	WP_011205876.1	WP_020835504.1	WP_228366120.1	WP_308705282.1	WP_240536631.1	WP_240536360.1	WP_225973006.1	WP_011283853.1	WP_233688607.1	WP_308704751.1	WP_308507024.1	WP_308704697.1	WP_308507000.1	WP_308704685.1	WP_308704588.1	WP_308507056.1	WP_280996468.1	WP_308507056.1	WP_232039504.1		WP_252862122.1	WP_243215939.1	WP_243215939.1
