# BUSCO version is: 5.8.0 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2024-01-08, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
17at2085	Complete	NZ_QQRK01000013.1	16148	20386	+	1920.4	1289	https://v10-1.orthodb.org/?query=17at2085	DNA-directed RNA polymerase subunit beta'
53at2085	Complete	NZ_QQRK01000013.1	12429	16091	+	1724.4	1198	https://v10-1.orthodb.org/?query=53at2085	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
56at2085	Complete	NZ_QQRK01000007.1	27330	22921	-	1363.2	1032	https://v10-1.orthodb.org/?query=56at2085	DNA polymerase III PolC-type
78at2085	Complete	NZ_QQRK01000003.1	38770	41709	+	937.6	777	https://v10-1.orthodb.org/?query=78at2085	SMCs flexible hinge
111at2085	Complete	NZ_QQRK01000030.1	1978	4821	+	1167.5	770	https://v10-1.orthodb.org/?query=111at2085	UvrABC system protein A
118at2085	Complete	NZ_QQRK01000001.1	65111	63219	-	259.3	332	https://v10-1.orthodb.org/?query=118at2085	Domain of unknown functionDUF2779
147at2085	Complete	NZ_QQRK01000007.1	15191	12579	-	647.0	456	https://v10-1.orthodb.org/?query=147at2085	Lon protease
148at2085	Missing
157at2085	Complete	NZ_QQRK01000015.1	18350	21010	+	770.9	635	https://v10-1.orthodb.org/?query=157at2085	Isoleucine--tRNA ligase
163at2085	Complete	NZ_QQRK01000011.1	27534	24883	-	821.6	620	https://v10-1.orthodb.org/?query=163at2085	Alanine--tRNA ligase
218at2085	Complete	NZ_QQRK01000001.1	57813	60074	+	436.2	495	https://v10-1.orthodb.org/?query=218at2085	DNA helicase
244at2085	Complete	NZ_QQRK01000029.1	2599	4509	+	552.5	463	https://v10-1.orthodb.org/?query=244at2085	DNA topoisomerase I, type IA
406at2085	Fragmented	NZ_QQRK01000030.1	3	1985	+	435.3	347	https://v10-1.orthodb.org/?query=406at2085	Ribonuclease J
462at2085	Complete	NZ_QQRK01000003.1	28595	26223	-	736.7	609	https://v10-1.orthodb.org/?query=462at2085	Leucine--tRNA ligase
482at2085	Complete	NZ_QQRK01000015.1	8466	10550	+	511.6	500	https://v10-1.orthodb.org/?query=482at2085	Ribonuclease R
492at2085	Complete	NZ_QQRK01000010.1	29041	30843	+	832.9	491	https://v10-1.orthodb.org/?query=492at2085	Chaperone protein DnaK
501at2085	Complete	NZ_QQRK01000010.1	34820	36616	+	822.4	526	https://v10-1.orthodb.org/?query=501at2085	Elongation factor 4
533at2085	Complete	NZ_QQRK01000002.1	28357	30216	+	789.3	515	https://v10-1.orthodb.org/?query=533at2085	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
534at2085	Complete	NZ_QQRK01000002.1	16827	19295	+	871.6	665	https://v10-1.orthodb.org/?query=534at2085	Valine--tRNA ligase
539at2085	Complete	NZ_QQRK01000004.1	26725	28464	+	814.3	541	https://v10-1.orthodb.org/?query=539at2085	Threonine--tRNA ligase
543at2085	Complete	NZ_QQRK01000004.1	37039	39984	+	598.6	530	https://v10-1.orthodb.org/?query=543at2085	DNA-directed DNA polymerase
584at2085	Complete	NZ_QQRK01000005.1	29633	27480	-	360.3	290	https://v10-1.orthodb.org/?query=584at2085	DNA polymerase III subunit gamma/tau
697at2085	Complete	NZ_QQRK01000004.1	21051	19534	-	554.0	421	https://v10-1.orthodb.org/?query=697at2085	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
699at2085	Complete	NZ_QQRK01000003.1	28743	30782	+	731.0	532	https://v10-1.orthodb.org/?query=699at2085	UVR domain
705at2085	Complete	NZ_QQRK01000007.1	12271	11063	-	613.2	341	https://v10-1.orthodb.org/?query=705at2085	Elongation factor Tu
759at2085	Complete	NZ_QQRK01000011.1	20272	18806	-	516.3	394	https://v10-1.orthodb.org/?query=759at2085	Lysine--tRNA ligase
801at2085	Complete	NZ_QQRK01000004.1	34849	36648	+	629.3	483	https://v10-1.orthodb.org/?query=801at2085	Translation initiation factor IF-2
812at2085	Complete	NZ_QQRK01000002.1	25581	26972	+	269.5	295	https://v10-1.orthodb.org/?query=812at2085	Chromosomal replication initiator protein DnaA
886at2085	Complete	NZ_QQRK01000014.1	18629	20032	+	548.3	372	https://v10-1.orthodb.org/?query=886at2085	Glutamate--tRNA ligase
887at2085	Complete	NZ_QQRK01000010.1	2772	4295	+	665.3	397	https://v10-1.orthodb.org/?query=887at2085	ATP synthase subunit alpha
908at2085	Complete	NZ_QQRK01000026.1	2450	747	-	481.9	382	https://v10-1.orthodb.org/?query=908at2085	Aspartate--tRNA ligase
913at2085	Complete	NZ_QQRK01000001.1	49445	50986	+	448.4	385	https://v10-1.orthodb.org/?query=913at2085	Methionine--tRNA ligase
946at2085	Complete	NZ_QQRK01000002.1	34566	36587	+	425.7	433	https://v10-1.orthodb.org/?query=946at2085	hydrolase
955at2085	Complete	NZ_QQRK01000010.1	10977	12344	+	450.1	349	https://v10-1.orthodb.org/?query=955at2085	Glycine--tRNA ligase
1041at2085	Complete	NZ_QQRK01000005.1	21078	19000	-	427.2	491	https://v10-1.orthodb.org/?query=1041at2085	DNA ligase
1043at2085	Complete	NZ_QQRK01000010.1	5172	6587	+	697.6	399	https://v10-1.orthodb.org/?query=1043at2085	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
1064at2085	Complete	NZ_QQRK01000007.1	37231	35897	-	491.5	349	https://v10-1.orthodb.org/?query=1064at2085	Spermidine/putrescine import ATP-binding protein PotA
1140at2085	Complete	NZ_QQRK01000010.1	32961	34262	+	390.1	346	https://v10-1.orthodb.org/?query=1140at2085	GTPase Der
1146at2085	Complete	NZ_QQRK01000010.1	9627	10949	+	467.5	361	https://v10-1.orthodb.org/?query=1146at2085	Signal recognition particle protein
1180at2085	Complete	NZ_QQRK01000015.1	13678	12668	-	395.6	265	https://v10-1.orthodb.org/?query=1180at2085	Glyceraldehyde-3-phosphate dehydrogenase
1182at2085	Complete	NZ_QQRK01000015.1	23702	22437	-	339.9	319	https://v10-1.orthodb.org/?query=1182at2085	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
1184at2085	Complete	NZ_QQRK01000001.1	55807	57156	+	458.0	356	https://v10-1.orthodb.org/?query=1184at2085	Asparagine--tRNA ligase
1307at2085	Complete	NZ_QQRK01000002.1	38412	40016	+	430.3	406	https://v10-1.orthodb.org/?query=1307at2085	Arginine--tRNA ligase
1328at2085	Complete	NZ_QQRK01000005.1	33795	32554	-	418.3	326	https://v10-1.orthodb.org/?query=1328at2085	Serine--tRNA ligase
1338at2085	Complete	NZ_QQRK01000011.1	16657	17985	+	361.6	324	https://v10-1.orthodb.org/?query=1338at2085	tRNA modification GTPase MnmE
1371at2085	Complete	NZ_QQRK01000017.1	10427	12466	+	280.5	432	https://v10-1.orthodb.org/?query=1371at2085	ABC transporter type 1, transmembrane domain
1384at2085	Complete	NZ_QQRK01000018.1	6317	4896	-	463.5	365	https://v10-1.orthodb.org/?query=1384at2085	Protein translocase subunit SecY
1410at2085	Complete	NZ_QQRK01000010.1	28427	26877	-	300.6	399	https://v10-1.orthodb.org/?query=1410at2085	GIY-YIG endonuclease
1416at2085	Complete	NZ_QQRK01000004.1	32738	34582	+	222.0	303	https://v10-1.orthodb.org/?query=1416at2085	Transcription termination/antitermination protein NusA
1451at2085	Complete	NZ_QQRK01000007.1	22782	21493	-	321.1	331	https://v10-1.orthodb.org/?query=1451at2085	Glucose-6-phosphate isomerase
1484at2085	Complete	NZ_QQRK01000006.1	27664	26450	-	421.5	326	https://v10-1.orthodb.org/?query=1484at2085	Phosphoglycerate kinase
1490at2085	Complete	NZ_QQRK01000003.1	23811	22420	-	296.3	289	https://v10-1.orthodb.org/?query=1490at2085	DNA helicase, DnaB-like, N-terminal
1519at2085	Complete	NZ_QQRK01000018.1	2108	1110	-	272.6	245	https://v10-1.orthodb.org/?query=1519at2085	DNA-directed RNA polymerase, insert domain
