Orthogroup	MHP_ES2_genes	MHP_ES2L_genes
OG0000000	E5E95_RS02235	HZK19_RS03960, HZK19_RS02100
OG0000000	E5E95_RS02240	HZK19_RS02105
OG0000000	E5E95_RS04040	HZK19_RS03685
OG0000000	E5E95_RS02230	HZK19_RS03675
OG0000000	E5E95_RS02430	HZK19_RS02290
OG0000000	E5E95_RS04240	HZK19_RS03795
OG0000000	E5E95_RS01830	HZK19_RS01690
OG0000000	E5E95_RS04235, E5E95_RS01835	HZK19_RS01695
OG0000001	E5E95_RS01300	HZK19_RS03720
OG0000001	E5E95_RS03000	HZK19_RS02765
OG0000001	E5E95_RS04150	HZK19_RS03840
OG0000002	E5E95_RS02250	HZK19_RS02110
OG0000002	E5E95_RS01840	HZK19_RS01705
OG0000003	E5E95_RS01915	HZK19_RS01715
OG0000003	E5E95_RS04060	HZK19_RS03785
OG0000003	E5E95_RS04070	HZK19_RS02160
OG0000003	E5E95_RS03910	HZK19_RS01800
OG0000004	E5E95_RS03410	HZK19_RS03240
OG0000004	E5E95_RS03400	HZK19_RS03230
OG0000004	E5E95_RS03425	HZK19_RS03255
OG0000004	E5E95_RS03215	HZK19_RS02970
OG0000004	E5E95_RS03235	HZK19_RS02980
OG0000005	E5E95_RS00090	HZK19_RS00085
OG0000005	E5E95_RS00110	HZK19_RS00105
OG0000005	E5E95_RS00095	HZK19_RS00090
OG0000005	E5E95_RS00100	HZK19_RS00095
OG0000005	E5E95_RS00115	HZK19_RS00110
OG0000006	E5E95_RS02705	HZK19_RS02470
OG0000006	E5E95_RS02445	HZK19_RS03800
OG0000006	E5E95_RS04120, E5E95_RS04115	HZK19_RS03805
OG0000007	E5E95_RS02300	HZK19_RS02155
OG0000007	E5E95_RS02295	HZK19_RS02150
OG0000007	E5E95_RS02290	HZK19_RS02145
OG0000008	E5E95_RS04080	HZK19_RS03790
OG0000008	E5E95_RS03905	HZK19_RS03745
OG0000008	E5E95_RS04135	HZK19_RS03825
OG0000009	E5E95_RS00680	HZK19_RS00655
OG0000010	E5E95_RS01970	HZK19_RS01810
OG0000010	E5E95_RS01575	HZK19_RS03735
OG0000011	E5E95_RS02070	HZK19_RS03920
OG0000012	E5E95_RS03230	HZK19_RS03250
OG0000013	E5E95_RS02610	HZK19_RS02370
OG0000013	E5E95_RS03955	HZK19_RS03715
OG0000014	E5E95_RS00595	HZK19_RS00585
OG0000014	E5E95_RS00605	HZK19_RS00595
OG0000015	E5E95_RS04195	HZK19_RS03870
OG0000015	E5E95_RS02450	HZK19_RS01540
OG0000016	E5E95_RS03040	HZK19_RS02805
OG0000016	E5E95_RS00160	HZK19_RS00155
OG0000017	E5E95_RS00145	HZK19_RS00140
OG0000017	E5E95_RS03050	HZK19_RS02815
OG0000018	E5E95_RS02480	HZK19_RS03075
OG0000019	E5E95_RS04175	HZK19_RS03845
OG0000019	E5E95_RS04180	HZK19_RS03850
OG0000020	E5E95_RS03770	HZK19_RS03860
OG0000021	E5E95_RS03845	HZK19_RS01725
OG0000021	E5E95_RS00510	HZK19_RS00500
OG0000022	E5E95_RS01770	HZK19_RS01625
OG0000022	E5E95_RS01825	HZK19_RS01685
OG0000023	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105	HZK19_RS03085
OG0000024	E5E95_RS02945	HZK19_RS02710
OG0000024	E5E95_RS01290	HZK19_RS01240
OG0000025	E5E95_RS01775	HZK19_RS01630
OG0000025	E5E95_RS01820	HZK19_RS01680
OG0000026	E5E95_RS01380	HZK19_RS01330
OG0000026	E5E95_RS01800	HZK19_RS01660
OG0000027	E5E95_RS03560	HZK19_RS03390
