Orthogroup	MHP_UFV02_genes	MFC_Ms42_genes
OG0000000	FEF31_RS01935	MYF_RS01330
OG0000000	FEF31_RS01865	MYF_RS03215
OG0000000	FEF31_RS04515	MYF_RS01870, MYF_RS03435
OG0000000	FEF31_RS01385	MYF_RS03295
OG0000001	FEF31_RS00940, FEF31_RS00935, FEF31_RS02540, FEF31_RS02495, FEF31_RS02490	MYF_RS03415
OG0000002	FEF31_RS01945, FEF31_RS01940	MYF_RS01530
OG0000002	FEF31_RS04505	MYF_RS01475
OG0000002	FEF31_RS04455	MYF_RS03010
OG0000003	FEF31_RS04510	MYF_RS01515
OG0000007	FEF31_RS01925	MYF_RS01510
OG0000007	FEF31_RS01915	MYF_RS01505
OG0000007	FEF31_RS01910	MYF_RS01500
OG0000008	FEF31_RS01300	MYF_RS01875
OG0000011	FEF31_RS01695	MYF_RS03310
OG0000011	FEF31_RS01690	MYF_RS01270
OG0000013	FEF31_RS02135	MYF_RS03170, MYF_RS01100
OG0000013	FEF31_RS03455	MYF_RS03400
OG0000014	FEF31_RS00255, FEF31_RS00745, FEF31_RS04375	MYF_RS00550
OG0000015	FEF31_RS01395	MYF_RS03470
OG0000016	FEF31_RS02580	MYF_RS00730
OG0000017	FEF31_RS03425	MYF_RS03155
OG0000017	FEF31_RS02590	MYF_RS00720
OG0000019	FEF31_RS04805	MYF_RS03445
OG0000020	FEF31_RS03220	MYF_RS03080
OG0000020	FEF31_RS04270	MYF_RS03085
OG0000022	FEF31_RS04450	MYF_RS03025
OG0000024	FEF31_RS02485, FEF31_RS00930	MYF_RS00790
OG0000025	FEF31_RS01370	MYF_RS03030
OG0000026	FEF31_RS01025, FEF31_RS01350	MYF_RS01715
OG0000027	FEF31_RS04605	MYF_RS02825
OG0000028	FEF31_RS02145, FEF31_RS04525	MYF_RS01125, MYF_RS01120
OG0000029	FEF31_RS00735, FEF31_RS00270	MYF_RS00555
OG0000030	FEF31_RS04590, FEF31_RS04600	MYF_RS02820
OG0000031	FEF31_RS01450	MYF_RS01215
OG0000032	FEF31_RS03020	MYF_RS02815
OG0000039	FEF31_RS01275	MYF_RS03160, MYF_RS00615
OG0000040	FEF31_RS03890	MYF_RS02770, MYF_RS00840
OG0000042	FEF31_RS02675	MYF_RS00610, MYF_RS00765
OG0000043	FEF31_RS01455	MYF_RS01240
OG0000045	FEF31_RS01280, FEF31_RS01285	MYF_RS00630
OG0000047	FEF31_RS01435	MYF_RS03335
OG0000048	FEF31_RS01845	MYF_RS01350
OG0000049	FEF31_RS03620	MYF_RS03265, MYF_RS03455
OG0000050	FEF31_RS02180	MYF_RS01180
OG0000051	FEF31_RS02395	MYF_RS02420
OG0000052	FEF31_RS03360	MYF_RS00075
OG0000053	FEF31_RS04425	MYF_RS01800
OG0000054	FEF31_RS02205	MYF_RS01155
OG0000055	FEF31_RS03405	MYF_RS03395, MYF_RS03525
OG0000056	FEF31_RS03205	MYF_RS03060
OG0000057	FEF31_RS02660	MYF_RS00645
OG0000062	FEF31_RS03250	MYF_RS03115
OG0000063	FEF31_RS04645	MYF_RS03110
OG0000064	FEF31_RS03235	MYF_RS03100
OG0000065	FEF31_RS01990	MYF_RS01575
OG0000066	FEF31_RS01015	MYF_RS01705
OG0000068	FEF31_RS00305	MYF_RS00590
OG0000069	FEF31_RS02555	MYF_RS00755
OG0000070	FEF31_RS02210	MYF_RS01135
OG0000071	FEF31_RS03835	MYF_RS02760
OG0000072	FEF31_RS04700	MYF_RS02765
OG0000073	FEF31_RS00360	MYF_RS02005
OG0000074	FEF31_RS04395	MYF_RS02195
OG0000075	FEF31_RS00005	MYF_RS00305
OG0000076	FEF31_RS00020	MYF_RS00320
OG0000077	FEF31_RS00105	MYF_RS00410
OG0000079	FEF31_RS02300	MYF_RS01050
OG0000080	FEF31_RS02345	MYF_RS01000, MYF_RS03365
OG0000081	FEF31_RS03610	MYF_RS00300
OG0000082	FEF31_RS02130	MYF_RS01110
OG0000083	FEF31_RS01765	MYF_RS01430
OG0000084	FEF31_RS01795	MYF_RS01400
OG0000085	FEF31_RS01800	MYF_RS01395
OG0000086	FEF31_RS01810	MYF_RS01385
OG0000087	FEF31_RS01825	MYF_RS01370
OG0000088	FEF31_RS01830	MYF_RS01365
OG0000089	FEF31_RS01840	MYF_RS01355
OG0000090	FEF31_RS03355	MYF_RS00070
OG0000091	FEF31_RS03340	MYF_RS00055
OG0000092	FEF31_RS03325	MYF_RS00040
OG0000093	FEF31_RS03320	MYF_RS00035
OG0000094	FEF31_RS03315	MYF_RS00030
OG0000095	FEF31_RS03290	MYF_RS00005
OG0000096	FEF31_RS03285	MYF_RS03150
OG0000097	FEF31_RS03265	MYF_RS03130
OG0000098	FEF31_RS03255	MYF_RS03120
OG0000099	FEF31_RS04640	MYF_RS03065
OG0000100	FEF31_RS03195	MYF_RS03050
OG0000101	FEF31_RS03190	MYF_RS03045
OG0000102	FEF31_RS01365	MYF_RS03035
OG0000103	FEF31_RS01955	MYF_RS01540
OG0000104	FEF31_RS01960	MYF_RS01545
OG0000105	FEF31_RS01975	MYF_RS01560
OG0000106	FEF31_RS01985	MYF_RS01570
OG0000107	FEF31_RS01995	MYF_RS01580
OG0000108	FEF31_RS02000	MYF_RS01585
OG0000109	FEF31_RS02005	MYF_RS01590
OG0000110	FEF31_RS02120	MYF_RS01595
OG0000111	FEF31_RS02115	MYF_RS01600
OG0000112	FEF31_RS02105	MYF_RS01610
OG0000113	FEF31_RS02085	MYF_RS01625
OG0000114	FEF31_RS02075	MYF_RS01635
OG0000115	FEF31_RS02065	MYF_RS01645
OG0000116	FEF31_RS00955	MYF_RS01655
OG0000117	FEF31_RS00960	MYF_RS01660
OG0000118	FEF31_RS00995	MYF_RS01690
OG0000119	FEF31_RS01000	MYF_RS01695
OG0000120	FEF31_RS01020	MYF_RS01710
OG0000121	FEF31_RS01045	MYF_RS01735
OG0000122	FEF31_RS01050	MYF_RS01740
OG0000123	FEF31_RS01070	MYF_RS01760
OG0000124	FEF31_RS01075	MYF_RS01765
OG0000125	FEF31_RS01080	MYF_RS01770
OG0000126	FEF31_RS01090	MYF_RS01780
OG0000127	FEF31_RS01100	MYF_RS01790
OG0000128	FEF31_RS01115	MYF_RS01805
OG0000129	FEF31_RS01120	MYF_RS01810
OG0000130	FEF31_RS01130	MYF_RS01820
OG0000131	FEF31_RS01160	MYF_RS01850
OG0000132	FEF31_RS04430	MYF_RS01865
OG0000133	FEF31_RS00190	MYF_RS00485
OG0000134	FEF31_RS00195	MYF_RS00490
OG0000135	FEF31_RS00210	MYF_RS00505
OG0000136	FEF31_RS00215	MYF_RS00510
OG0000137	FEF31_RS00245	MYF_RS00540
OG0000138	FEF31_RS00280	MYF_RS00565
OG0000139	FEF31_RS00310	MYF_RS00595
OG0000140	FEF31_RS00315	MYF_RS00600
OG0000141	FEF31_RS02670	MYF_RS00635
OG0000142	FEF31_RS04555	MYF_RS00640
OG0000143	FEF31_RS02645	MYF_RS00665
OG0000144	FEF31_RS02635	MYF_RS00675
OG0000145	FEF31_RS02625	MYF_RS00685
OG0000146	FEF31_RS02615	MYF_RS00695
OG0000147	FEF31_RS02610	MYF_RS00700
OG0000148	FEF31_RS02595	MYF_RS00715
OG0000149	FEF31_RS02585	MYF_RS00725
OG0000150	FEF31_RS02570	MYF_RS00740
OG0000151	FEF31_RS02525	MYF_RS00795
OG0000152	FEF31_RS02520	MYF_RS00800
OG0000153	FEF31_RS02515	MYF_RS00805
OG0000154	FEF31_RS02505	MYF_RS00815
OG0000155	FEF31_RS02465	MYF_RS00835
OG0000156	FEF31_RS02455	MYF_RS00855
OG0000157	FEF31_RS04545	MYF_RS00860
OG0000158	FEF31_RS04540	MYF_RS00870
OG0000159	FEF31_RS02195	MYF_RS01165
OG0000160	FEF31_RS02190	MYF_RS01170
OG0000161	FEF31_RS02185	MYF_RS01175
OG0000162	FEF31_RS02175	MYF_RS01185
OG0000163	FEF31_RS02170	MYF_RS01190
OG0000164	FEF31_RS01270	MYF_RS01220
OG0000165	FEF31_RS01685	MYF_RS01265
OG0000166	FEF31_RS01705	MYF_RS01285
OG0000167	FEF31_RS01720	MYF_RS01300
OG0000168	FEF31_RS01725	MYF_RS01305
OG0000169	FEF31_RS03615	MYF_RS02560
OG0000170	FEF31_RS04785, FEF31_RS04795	MYF_RS02585
OG0000171	FEF31_RS03640	MYF_RS02595
OG0000172	FEF31_RS03645	MYF_RS02600
OG0000173	FEF31_RS03650	MYF_RS02605
OG0000174	FEF31_RS03655	MYF_RS02610
OG0000175	FEF31_RS03670	MYF_RS02625
OG0000176	FEF31_RS03715	MYF_RS02670
OG0000177	FEF31_RS03720	MYF_RS02675
OG0000178	FEF31_RS03725	MYF_RS02680
OG0000179	FEF31_RS03735	MYF_RS02690
OG0000180	FEF31_RS03740	MYF_RS02695
OG0000181	FEF31_RS04690	MYF_RS02710
OG0000182	FEF31_RS03795	MYF_RS02720
OG0000183	FEF31_RS03830	MYF_RS02755
OG0000184	FEF31_RS02980	MYF_RS02785
OG0000185	FEF31_RS02965	MYF_RS02800
OG0000186	FEF31_RS04435	MYF_RS01895
OG0000187	FEF31_RS01200	MYF_RS01910
OG0000188	FEF31_RS01210	MYF_RS01920
OG0000189	FEF31_RS04520	MYF_RS01930
OG0000190	FEF31_RS02035	MYF_RS01935
OG0000191	FEF31_RS02015	MYF_RS01955
OG0000192	FEF31_RS00875	MYF_RS01965
OG0000193	FEF31_RS00860	MYF_RS01980
OG0000194	FEF31_RS00345	MYF_RS01990
OG0000195	FEF31_RS00350	MYF_RS01995
OG0000196	FEF31_RS00370	MYF_RS02015
OG0000197	FEF31_RS00375	MYF_RS02020
OG0000198	FEF31_RS00390	MYF_RS02035
OG0000199	FEF31_RS00395	MYF_RS02040
OG0000200	FEF31_RS00410	MYF_RS02050
OG0000201	FEF31_RS00420	MYF_RS02060
OG0000202	FEF31_RS00475	MYF_RS02115
OG0000203	FEF31_RS00480	MYF_RS02120
OG0000204	FEF31_RS00485	MYF_RS02125
OG0000205	FEF31_RS00490	MYF_RS02130
OG0000206	FEF31_RS00510	MYF_RS02150
OG0000207	FEF31_RS00525	MYF_RS02165
OG0000208	FEF31_RS00530	MYF_RS02170
OG0000209	FEF31_RS00535	MYF_RS02175
OG0000210	FEF31_RS00580	MYF_RS02220
OG0000211	FEF31_RS00590	MYF_RS02230
OG0000212	FEF31_RS00600	MYF_RS02240
OG0000213	FEF31_RS00605	MYF_RS02245
OG0000214	FEF31_RS00610	MYF_RS02250
OG0000215	FEF31_RS00615	MYF_RS02255
OG0000216	FEF31_RS00620	MYF_RS02260
OG0000217	FEF31_RS00625	MYF_RS02265
OG0000218	FEF31_RS00635	MYF_RS02275
OG0000219	FEF31_RS00640	MYF_RS02280
OG0000220	FEF31_RS00645	MYF_RS02285
OG0000221	FEF31_RS00650	MYF_RS02290
OG0000222	FEF31_RS00655	MYF_RS03240
OG0000223	FEF31_RS00660	MYF_RS02295
OG0000224	FEF31_RS00670	MYF_RS02305
OG0000225	FEF31_RS00680	MYF_RS02315
OG0000226	FEF31_RS00685	MYF_RS02320
OG0000227	FEF31_RS00690	MYF_RS02325
OG0000228	FEF31_RS04770	MYF_RS03530
OG0000229	FEF31_RS00700	MYF_RS02335
OG0000230	FEF31_RS00705	MYF_RS02340
OG0000231	FEF31_RS00715	MYF_RS02350
OG0000232	FEF31_RS00725	MYF_RS02360
OG0000233	FEF31_RS00750	MYF_RS02370
OG0000234	FEF31_RS00785	MYF_RS02400
OG0000235	FEF31_RS00795	MYF_RS02410
OG0000236	FEF31_RS00800	MYF_RS02415
OG0000237	FEF31_RS00805	MYF_RS02430
OG0000238	FEF31_RS00810	MYF_RS02435
OG0000239	FEF31_RS02680	MYF_RS02465
OG0000240	FEF31_RS02685	MYF_RS02470
OG0000241	FEF31_RS02695	MYF_RS02480
OG0000242	FEF31_RS02700	MYF_RS02485
OG0000243	FEF31_RS02705	MYF_RS02490
OG0000244	FEF31_RS02715	MYF_RS02500
OG0000245	FEF31_RS02720	MYF_RS02510
OG0000246	FEF31_RS03410	MYF_RS00085
OG0000247	FEF31_RS03420	MYF_RS00095
OG0000248	FEF31_RS03430	MYF_RS00120
OG0000249	FEF31_RS03435	MYF_RS00125
OG0000250	FEF31_RS03450	MYF_RS00140
OG0000251	FEF31_RS03480	MYF_RS00170
OG0000252	FEF31_RS03490	MYF_RS00180
OG0000253	FEF31_RS03495	MYF_RS00185
OG0000254	FEF31_RS03505	MYF_RS00195
OG0000255	FEF31_RS03510	MYF_RS00205
OG0000256	FEF31_RS03515	MYF_RS00210
OG0000257	FEF31_RS03540	MYF_RS00235
OG0000258	FEF31_RS03550	MYF_RS00245
OG0000259	FEF31_RS03580	MYF_RS00275
OG0000260	FEF31_RS03590	MYF_RS00285
OG0000261	FEF31_RS04680	MYF_RS00295
OG0000262	FEF31_RS00010	MYF_RS00310
OG0000263	FEF31_RS00025	MYF_RS00325
OG0000264	FEF31_RS00040	MYF_RS00340
OG0000265	FEF31_RS00050	MYF_RS00350
OG0000266	FEF31_RS00065	MYF_RS00365
OG0000267	FEF31_RS00080	MYF_RS00380
OG0000268	FEF31_RS00085	MYF_RS00385
OG0000269	FEF31_RS00100	MYF_RS00400
OG0000270	FEF31_RS04635	MYF_RS02955
OG0000271	FEF31_RS03160	MYF_RS02950
OG0000272	FEF31_RS03155	MYF_RS02945
OG0000273	FEF31_RS03150	MYF_RS02940
OG0000274	FEF31_RS03130	MYF_RS02920
OG0000275	FEF31_RS04625	MYF_RS02915
OG0000276	FEF31_RS03120	MYF_RS02910
OG0000277	FEF31_RS03110	MYF_RS02900
OG0000278	FEF31_RS03105	MYF_RS02895
OG0000279	FEF31_RS03095	MYF_RS02885
OG0000280	FEF31_RS03090	MYF_RS02880
OG0000281	FEF31_RS03085	MYF_RS03275
OG0000282	FEF31_RS04615	MYF_RS02855
OG0000283	FEF31_RS03055	MYF_RS02850
OG0000284	FEF31_RS03050	MYF_RS02845
OG0000285	FEF31_RS04610	MYF_RS02840
OG0000286	FEF31_RS02155	MYF_RS01115
OG0000287	FEF31_RS02260	MYF_RS01090
OG0000288	FEF31_RS02270	MYF_RS01080
OG0000289	FEF31_RS02275	MYF_RS01075
OG0000290	FEF31_RS02385	MYF_RS00905
OG0000291	FEF31_RS02375	MYF_RS00915
OG0000292	FEF31_RS02370	MYF_RS00920
OG0000293	FEF31_RS02365	MYF_RS00925
OG0000294	FEF31_RS02355	MYF_RS00935
OG0000295	FEF31_RS02350	MYF_RS00940
OG0000296	FEF31_RS02310	MYF_RS01040
OG0000297	FEF31_RS02305	MYF_RS01045
OG0000298	FEF31_RS03445	MYF_RS00135
OG0000299	FEF31_RS03465	MYF_RS00155
OG0000300	FEF31_RS00035	MYF_RS00335
OG0000301	FEF31_RS00070	MYF_RS00370
OG0000302	FEF31_RS00075	MYF_RS00375
OG0000303	FEF31_RS00220	MYF_RS00515
OG0000304	FEF31_RS00730	MYF_RS00545
OG0000305	FEF31_RS02620	MYF_RS00690
OG0000306	FEF31_RS02545	MYF_RS00770
OG0000307	FEF31_RS02510	MYF_RS00810
OG0000308	FEF31_RS02405	MYF_RS00895
OG0000309	FEF31_RS02340	MYF_RS01005
