Orthogroup	MHP_Ue273_proteins	MHP_TB1_proteins
OG0000000	WP_347952487.1	WP_252862191.1
OG0000000	WP_347952456.1	WP_088764599.1
OG0000000	WP_347952486.1	WP_252862164.1
OG0000001	WP_347952413.1	WP_014579709.1
OG0000001	WP_347952263.1	WP_228365393.1
OG0000001	WP_347952260.1	WP_014579924.1, WP_014579925.1
OG0000002	WP_020835748.1	WP_228365382.1
OG0000002	WP_347952457.1	WP_014579753.1
OG0000003	WP_347952470.1	WP_252862215.1
OG0000003	WP_192894277.1	WP_052293597.1
OG0000005	WP_347952342.1	WP_014579527.1
OG0000005	WP_347952343.1	WP_014579529.1
OG0000005	WP_146379451.1, WP_347952346.1	WP_252862119.1, WP_228365401.1
OG0000006	WP_347952241.1	WP_014579886.1, WP_044278023.1
OG0000008	WP_347952220.1	WP_088764629.1
OG0000008	WP_347952490.1	WP_252862214.1
OG0000009	WP_041361566.1	WP_252862193.1
OG0000009	WP_011290021.1	WP_016340194.1
OG0000010	WP_347952475.1	WP_014579794.1
OG0000010	WP_347952432.1	WP_014579743.1
OG0000010	WP_258555487.1	WP_228365400.1
OG0000011	WP_347952482.1	WP_088764586.1
OG0000011	WP_347952481.1	WP_014579809.1
OG0000013	WP_347952233.1	WP_252862184.1
OG0000013	WP_347952491.1	WP_252862122.1
OG0000014	WP_347952397.1	WP_088764623.1
OG0000014	WP_347952382.1	WP_252862202.1
OG0000015	WP_277620667.1	WP_014580032.1
OG0000016	WP_347952265.1	WP_014579937.1
OG0000016	WP_347952351.1	WP_252862121.1
OG0000017	WP_243215933.1	WP_011205870.1
OG0000017	WP_020835837.1	WP_014579938.1
OG0000020	WP_347952330.1	WP_014580041.1
OG0000020	WP_347952331.1	WP_187286313.1
OG0000021	WP_347952374.1	WP_308506976.1
OG0000022	WP_347952446.1	WP_044277993.1
OG0000022	WP_347952455.1	WP_014579755.1
OG0000024	WP_160585687.1	WP_014579922.1
OG0000024	WP_347952412.1	WP_044277983.1, WP_014579707.1
OG0000025	WP_347952447.1	WP_011284074.1
OG0000025	WP_347952453.1	WP_143826161.1
OG0000026	WP_347952418.1	WP_044284614.1
OG0000026	WP_011206159.1	WP_014579760.1
OG0000027	WP_347952308.1	WP_011206475.1
OG0000027	WP_160585589.1	WP_014580004.1
OG0000029	WP_347952396.1	WP_088764612.1
OG0000029	WP_347952383.1	WP_252862204.1, WP_252862203.1
OG0000030	WP_160584917.1	WP_014580003.1
OG0000031	WP_011206142.1	WP_011284063.1
OG0000032	WP_347952310.1	WP_252862131.1
OG0000035	WP_347952297.1	WP_014579983.1
OG0000035	WP_347952292.1	WP_014579981.1
OG0000036	WP_347952344.1, WP_347952347.1	WP_252862120.1
OG0000037	WP_347952485.1	WP_252862199.1, WP_088764614.1
OG0000039	WP_347952442.1, WP_347952441.1	WP_187286318.1
OG0000040	WP_347952301.1	WP_088764609.1
OG0000041	WP_011290019.1	WP_014579652.1
OG0000042	WP_347952270.1, WP_347952269.1	WP_014579952.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579804.1	WP_014579681.1
OG0000045	WP_160585827.1	WP_014579772.1
OG0000046	WP_347952303.1	WP_014579994.1
OG0000047	WP_347952436.1	WP_252862195.1
