Orthogroup	MHP_UFV01_genes	MFC_MF18_genes
OG0000000	FEF30_RS02570	DR082_RS03155
OG0000000	FEF30_RS02035	DR082_RS03455
OG0000001	FEF30_RS01595, FEF30_RS01590, FEF30_RS03180, FEF30_RS03130, FEF30_RS03125	DR082_RS00825, DR082_RS00820
OG0000002	FEF30_RS02575	DR082_RS03795
OG0000002	FEF30_RS04340	DR082_RS02920
OG0000002	FEF30_RS04295	DR082_RS03830
OG0000003	FEF30_RS04345	DR082_RS03925
OG0000007	FEF30_RS02555	DR082_RS02890
OG0000007	FEF30_RS02545	DR082_RS02895
OG0000007	FEF30_RS02540	DR082_RS03930
OG0000011	FEF30_RS02330	DR082_RS03895, DR082_RS03545
OG0000011	FEF30_RS02325	DR082_RS02625
OG0000013	FEF30_RS02775	DR082_RS01090, DR082_RS01085
OG0000013	FEF30_RS00500	DR082_RS03095
OG0000014	FEF30_RS00910, FEF30_RS01400, FEF30_RS04210	DR082_RS03685
OG0000016	FEF30_RS03220	DR082_RS00770
OG0000017	FEF30_RS00470	DR082_RS00175
OG0000017	FEF30_RS03230	DR082_RS00760
OG0000019	FEF30_RS03670	DR082_RS03120
OG0000020	FEF30_RS00265	DR082_RS03840
OG0000020	FEF30_RS03755	DR082_RS03845
OG0000022	FEF30_RS04290	DR082_RS03835
OG0000023	FEF30_RS01630, FEF30_RS02055	DR082_RS02000
OG0000024	FEF30_RS03120, FEF30_RS01585	DR082_RS00830
OG0000025	FEF30_RS02025	DR082_RS02390
OG0000026	FEF30_RS01680, FEF30_RS02005	DR082_RS02045
OG0000027	FEF30_RS00060	DR082_RS02575
OG0000027	FEF30_RS04125	DR082_RS03875
OG0000028	FEF30_RS02785, FEF30_RS02790	DR082_RS01105
OG0000029	FEF30_RS01390, FEF30_RS00925	DR082_RS00605
OG0000030	FEF30_RS04110, FEF30_RS04120	DR082_RS03880
OG0000031	FEF30_RS02100	DR082_RS01195
OG0000032	FEF30_RS00065	DR082_RS02570
OG0000039	FEF30_RS01930	DR082_RS00665
OG0000040	FEF30_RS03620	DR082_RS01855, DR082_RS00885
OG0000042	FEF30_RS03315	DR082_RS00660, DR082_RS00805
OG0000043	FEF30_RS02105	DR082_RS02595
OG0000045	FEF30_RS01935, FEF30_RS01940	DR082_RS03225, DR082_RS03230
OG0000047	FEF30_RS02085	DR082_RS00835
OG0000048	FEF30_RS02480	DR082_RS03010, DR082_RS02750
OG0000049	FEF30_RS03400	DR082_RS01640, DR082_RS03345
OG0000050	FEF30_RS02820	DR082_RS01160
OG0000051	FEF30_RS03030	DR082_RS01520
OG0000052	FEF30_RS00405	DR082_RS03660
OG0000053	FEF30_RS04260	DR082_RS03920
OG0000054	FEF30_RS02845	DR082_RS01135
OG0000055	FEF30_RS00450	DR082_RS03970
OG0000056	FEF30_RS00250	DR082_RS02415
OG0000057	FEF30_RS03300	DR082_RS00685
OG0000062	FEF30_RS00295	DR082_RS00025
OG0000063	FEF30_RS04165	DR082_RS00020
OG0000064	FEF30_RS00280	DR082_RS00010
OG0000065	FEF30_RS02625	DR082_RS01905
OG0000066	FEF30_RS01670	DR082_RS02035
OG0000068	FEF30_RS00960	DR082_RS00640
OG0000069	FEF30_RS03195	DR082_RS00795
OG0000070	FEF30_RS02850	DR082_RS01115
OG0000071	FEF30_RS03610	DR082_RS01840
OG0000072	FEF30_RS04405	DR082_RS03775
OG0000073	FEF30_RS01015	DR082_RS02205
OG0000074	FEF30_RS04230	DR082_RS03730
OG0000075	FEF30_RS00655	DR082_RS00360
OG0000076	FEF30_RS00670	DR082_RS00375
OG0000077	FEF30_RS00755	DR082_RS00460
OG0000079	FEF30_RS02935	DR082_RS01035
OG0000080	FEF30_RS02980	DR082_RS03280
OG0000081	FEF30_RS00650	DR082_RS00355
OG0000082	FEF30_RS02770	DR082_RS01095
OG0000083	FEF30_RS02400	DR082_RS02990
OG0000084	FEF30_RS02430	DR082_RS02700
OG0000085	FEF30_RS02435	DR082_RS03060, DR082_RS02705
OG0000086	FEF30_RS02445	DR082_RS03910
OG0000087	FEF30_RS02460	DR082_RS02730
OG0000088	FEF30_RS02465	DR082_RS02735
OG0000089	FEF30_RS02475	DR082_RS02745
OG0000090	FEF30_RS00400	DR082_RS00130
OG0000091	FEF30_RS00385	DR082_RS00115
OG0000092	FEF30_RS00370	DR082_RS00100
OG0000093	FEF30_RS00365	DR082_RS00095
OG0000094	FEF30_RS00360	DR082_RS00090
OG0000095	FEF30_RS00335	DR082_RS00065
OG0000096	FEF30_RS00330	DR082_RS00060
OG0000097	FEF30_RS00310	DR082_RS00040
OG0000098	FEF30_RS00300	DR082_RS00030
OG0000099	FEF30_RS04160	DR082_RS02420
OG0000100	FEF30_RS00240	DR082_RS02410
OG0000101	FEF30_RS00235	DR082_RS02405
OG0000102	FEF30_RS02020	DR082_RS02395
OG0000103	FEF30_RS02590	DR082_RS01870
OG0000104	FEF30_RS02595	DR082_RS01875
OG0000105	FEF30_RS02610	DR082_RS01890
OG0000106	FEF30_RS02620	DR082_RS01900
OG0000107	FEF30_RS02630	DR082_RS01910
OG0000108	FEF30_RS02635	DR082_RS01915
OG0000109	FEF30_RS02640	DR082_RS01920
OG0000110	FEF30_RS02760	DR082_RS01925
OG0000111	FEF30_RS02755	DR082_RS01930
OG0000112	FEF30_RS02745	DR082_RS01940
OG0000113	FEF30_RS02725	DR082_RS03785
OG0000114	FEF30_RS02715	DR082_RS01965
OG0000115	FEF30_RS02705	DR082_RS01975
OG0000116	FEF30_RS01610	DR082_RS01985
OG0000117	FEF30_RS01615	DR082_RS01990
OG0000118	FEF30_RS01650	DR082_RS02020
OG0000119	FEF30_RS01655	DR082_RS02025
OG0000120	FEF30_RS01675	DR082_RS02040
OG0000121	FEF30_RS01700	DR082_RS02065
OG0000122	FEF30_RS01705	DR082_RS02080
OG0000123	FEF30_RS01725	DR082_RS02870
OG0000124	FEF30_RS01730	DR082_RS02865
OG0000125	FEF30_RS01735	DR082_RS02860
OG0000126	FEF30_RS01745	DR082_RS02850
OG0000127	FEF30_RS01755	DR082_RS02840
OG0000128	FEF30_RS01770	DR082_RS02820
OG0000129	FEF30_RS01775	DR082_RS02815
OG0000130	FEF30_RS01785	DR082_RS02805
OG0000131	FEF30_RS04265	DR082_RS02775
OG0000132	FEF30_RS04270	DR082_RS03915
OG0000133	FEF30_RS00840	DR082_RS00535
OG0000134	FEF30_RS00845	DR082_RS03675
OG0000135	FEF30_RS00860	DR082_RS00555
OG0000136	FEF30_RS00865	DR082_RS00560
OG0000137	FEF30_RS00905	DR082_RS00590
OG0000138	FEF30_RS00935	DR082_RS00615
OG0000139	FEF30_RS00965	DR082_RS00645
OG0000140	FEF30_RS00970	DR082_RS00650
OG0000141	FEF30_RS03310	DR082_RS00675
OG0000142	FEF30_RS04385	DR082_RS03690
OG0000143	FEF30_RS03285	DR082_RS00705
OG0000144	FEF30_RS03275	DR082_RS00715
