Orthogroup	MHP_Ue273_genes	MHP_4284_genes
OG0000000	VQY17_RS02200	ABLE99_RS02150
OG0000000	VQY17_RS01770, VQY17_RS01775	ABLE99_RS01670
OG0000001	VQY17_RS01300	ABLE99_RS01250
OG0000001	VQY17_RS02775	ABLE99_RS02690
OG0000001	VQY17_RS02730	ABLE99_RS02640
OG0000002	VQY17_RS02210	ABLE99_RS02040
OG0000002	VQY17_RS02205	ABLE99_RS02035
OG0000002	VQY17_RS01780	ABLE99_RS01675
OG0000003	VQY17_RS00505	ABLE99_RS00505
OG0000003	VQY17_RS01910	ABLE99_RS01760
OG0000004	VQY17_RS03185	ABLE99_RS03080
OG0000004	VQY17_RS03190	ABLE99_RS03085
OG0000004	VQY17_RS03025, VQY17_RS03005	ABLE99_RS02895
OG0000004	VQY17_RS02985	ABLE99_RS02925
OG0000004	VQY17_RS02995	ABLE99_RS02905
OG0000005	VQY17_RS00100	ABLE99_RS00100
OG0000005	VQY17_RS00120	ABLE99_RS00120
OG0000005	VQY17_RS00105	ABLE99_RS00105
OG0000005	VQY17_RS00110	ABLE99_RS00110
OG0000005	VQY17_RS00125	ABLE99_RS00125
OG0000006	VQY17_RS02495	ABLE99_RS02400
OG0000006	VQY17_RS02360	ABLE99_RS02260
OG0000008	VQY17_RS02320	ABLE99_RS02145
OG0000008	VQY17_RS02500	ABLE99_RS02405
OG0000009	VQY17_RS00085	ABLE99_RS00085
OG0000009	VQY17_RS00680	ABLE99_RS00995
OG0000010	VQY17_RS01920	ABLE99_RS01770
OG0000011	VQY17_RS02025	ABLE99_RS01865
OG0000011	VQY17_RS02020	ABLE99_RS01860
OG0000013	VQY17_RS02405	ABLE99_RS02310
OG0000014	VQY17_RS00605	ABLE99_RS01060
OG0000016	VQY17_RS02820	ABLE99_RS02735
OG0000016	VQY17_RS00170	ABLE99_RS00170
OG0000017	VQY17_RS00155	ABLE99_RS00155
OG0000017	VQY17_RS02830	ABLE99_RS02745
OG0000019	VQY17_RS03000, VQY17_RS03010	ABLE99_RS02920, ABLE99_RS02915
OG0000019	VQY17_RS03030	ABLE99_RS02900
OG0000019	VQY17_RS02990	ABLE99_RS02930
OG0000020	VQY17_RS03550	ABLE99_RS03410
OG0000020	VQY17_RS03555	ABLE99_RS03415
OG0000022	VQY17_RS01695	ABLE99_RS01610
OG0000022	VQY17_RS01765	ABLE99_RS01665
OG0000023	VQY17_RS01335	ABLE99_RS01285
OG0000024	VQY17_RS02725	ABLE99_RS02635
OG0000024	VQY17_RS01295	ABLE99_RS01245
OG0000025	VQY17_RS01700	ABLE99_RS01615
OG0000025	VQY17_RS01755	ABLE99_RS01660
OG0000026	VQY17_RS01380	ABLE99_RS01330
OG0000026	VQY17_RS01735	ABLE99_RS01640
OG0000027	VQY17_RS03330	ABLE99_RS03220
OG0000028	VQY17_RS02415	ABLE99_RS02320
OG0000029	VQY17_RS01115	ABLE99_RS00595
OG0000031	VQY17_RS01635	ABLE99_RS01555
OG0000032	VQY17_RS01610	ABLE99_RS01535
OG0000033	VQY17_RS02410	ABLE99_RS02315
OG0000035	VQY17_RS03200	ABLE99_RS03090
OG0000036	VQY17_RS00115	ABLE99_RS00115
OG0000036	VQY17_RS00130	ABLE99_RS00130
OG0000038	VQY17_RS01810	ABLE99_RS01685
OG0000039	VQY17_RS01650	ABLE99_RS01570
OG0000039	VQY17_RS01645	ABLE99_RS01565
OG0000040	VQY17_RS03270	ABLE99_RS03165
OG0000042	VQY17_RS02920	ABLE99_RS02830
OG0000043	VQY17_RS01990	ABLE99_RS01830
OG0000044	VQY17_RS01710	ABLE99_RS01625
OG0000045	VQY17_RS01655	ABLE99_RS01575
OG0000046	VQY17_RS03285	ABLE99_RS03195
OG0000048	VQY17_RS02180	ABLE99_RS02015
OG0000049	VQY17_RS03040	ABLE99_RS02940
OG0000050	VQY17_RS02445	ABLE99_RS02350
OG0000051	VQY17_RS02645	ABLE99_RS02550
OG0000052	VQY17_RS00075	ABLE99_RS00075
OG0000053	VQY17_RS01470	ABLE99_RS01415
OG0000054	VQY17_RS02470	ABLE99_RS02375
OG0000055	VQY17_RS00135	ABLE99_RS00135
OG0000056	VQY17_RS03535	ABLE99_RS03395
OG0000057	VQY17_RS02905	ABLE99_RS02815
OG0000061	VQY17_RS01930	ABLE99_RS01780
OG0000062	VQY17_RS03585	ABLE99_RS03445
OG0000063	VQY17_RS03580	ABLE99_RS03440
OG0000064	VQY17_RS03570	ABLE99_RS03430
OG0000065	VQY17_RS02255	ABLE99_RS02085
OG0000066	VQY17_RS01370	ABLE99_RS01320
OG0000067	VQY17_RS00525	ABLE99_RS00520
OG0000068	VQY17_RS00645	ABLE99_RS01015
OG0000069	VQY17_RS02795	ABLE99_RS02710
OG0000070	VQY17_RS02475	ABLE99_RS02380
OG0000071	VQY17_RS03260	ABLE99_RS03155
OG0000072	VQY17_RS03265	ABLE99_RS03160
OG0000073	VQY17_RS00705	ABLE99_RS00970
OG0000074	VQY17_RS00910	ABLE99_RS00775
OG0000075	VQY17_RS00345	ABLE99_RS00340
OG0000076	VQY17_RS00360	ABLE99_RS00355
OG0000077	VQY17_RS00445	ABLE99_RS00440
OG0000078	VQY17_RS01715	ABLE99_RS01630
OG0000079	VQY17_RS02550	ABLE99_RS02455
OG0000080	VQY17_RS02595	ABLE99_RS02500
OG0000081	VQY17_RS00340	ABLE99_RS00335
OG0000082	VQY17_RS02400	ABLE99_RS02300
OG0000083	VQY17_RS02095	ABLE99_RS01935
OG0000084	VQY17_RS02125	ABLE99_RS01965
OG0000085	VQY17_RS02135	ABLE99_RS01970
OG0000086	VQY17_RS02145	ABLE99_RS01980
OG0000087	VQY17_RS02160	ABLE99_RS01995
OG0000088	VQY17_RS02165	ABLE99_RS02000
OG0000089	VQY17_RS02175	ABLE99_RS02010
OG0000090	VQY17_RS00070	ABLE99_RS00070
OG0000091	VQY17_RS00055	ABLE99_RS00055
OG0000092	VQY17_RS00040	ABLE99_RS00040
OG0000093	VQY17_RS00035	ABLE99_RS00035
OG0000094	VQY17_RS00030	ABLE99_RS00030
OG0000095	VQY17_RS00005	ABLE99_RS00005
OG0000096	VQY17_RS03620	ABLE99_RS03480
OG0000097	VQY17_RS03600	ABLE99_RS03460
OG0000098	VQY17_RS03590	ABLE99_RS03450
OG0000099	VQY17_RS03540	ABLE99_RS03400
OG0000100	VQY17_RS03525	ABLE99_RS03385
OG0000101	VQY17_RS03520	ABLE99_RS03380
OG0000102	VQY17_RS01750	ABLE99_RS01655
OG0000103	VQY17_RS02220	ABLE99_RS02050
OG0000104	VQY17_RS02225	ABLE99_RS02055
OG0000105	VQY17_RS02240	ABLE99_RS02070
OG0000106	VQY17_RS02250	ABLE99_RS02080
OG0000107	VQY17_RS02260	ABLE99_RS02090
OG0000108	VQY17_RS02265	ABLE99_RS02095
OG0000109	VQY17_RS02270	ABLE99_RS02100
OG0000110	VQY17_RS02390	ABLE99_RS02290
OG0000111	VQY17_RS02385	ABLE99_RS02285
OG0000112	VQY17_RS02375	ABLE99_RS02275
OG0000113	VQY17_RS02355	ABLE99_RS02255
OG0000114	VQY17_RS02345	ABLE99_RS02245
OG0000115	VQY17_RS02335	ABLE99_RS02235
OG0000116	VQY17_RS01315	ABLE99_RS01265
OG0000117	VQY17_RS01320	ABLE99_RS01270
OG0000118	VQY17_RS01355	ABLE99_RS01305
OG0000119	VQY17_RS01360	ABLE99_RS01310
OG0000120	VQY17_RS01375	ABLE99_RS01325
OG0000121	VQY17_RS01405	ABLE99_RS01350
OG0000122	VQY17_RS01410	ABLE99_RS01355
OG0000123	VQY17_RS01430	ABLE99_RS01375
OG0000124	VQY17_RS01435	ABLE99_RS01380
OG0000125	VQY17_RS01440	ABLE99_RS01385
OG0000126	VQY17_RS01455	ABLE99_RS01395
OG0000127	VQY17_RS01460	ABLE99_RS01405
OG0000128	VQY17_RS01475	ABLE99_RS01420
OG0000129	VQY17_RS01480	ABLE99_RS01425
OG0000130	VQY17_RS01490	ABLE99_RS01435
OG0000131	VQY17_RS01520	ABLE99_RS01465
OG0000132	VQY17_RS01535	ABLE99_RS01480
OG0000133	VQY17_RS00530	ABLE99_RS00525
OG0000134	VQY17_RS00535	ABLE99_RS00530
OG0000135	VQY17_RS00550	ABLE99_RS00545
OG0000136	VQY17_RS00555	ABLE99_RS00550
OG0000137	VQY17_RS00595	ABLE99_RS00580
