Orthogroup	MHP_F72C_genes	MHP_LH_genes
OG0000000	EHI52_RS01825	KUD10_RS02260
OG0000000	EHI52_RS00965	KUD10_RS02185
OG0000000	EHI52_RS00960	KUD10_RS02195, KUD10_RS02170
OG0000000	EHI52_RS03750	KUD10_RS02175
OG0000000	EHI52_RS03755	KUD10_RS02255
OG0000000	EHI52_RS03780	KUD10_RS02165
OG0000000	EHI52_RS02325	KUD10_RS02380
OG0000000	EHI52_RS03815	KUD10_RS02385
OG0000001	EHI52_RS02790	KUD10_RS02875
OG0000001	EHI52_RS02740	KUD10_RS02830
OG0000002	EHI52_RS02215	KUD10_RS02270
OG0000002	EHI52_RS01820	KUD10_RS02265
OG0000002	EHI52_RS03740	KUD10_RS02210
OG0000002	EHI52_RS01780	KUD10_RS01790
OG0000003	EHI52_RS02140, EHI52_RS00520	KUD10_RS00500
OG0000003	EHI52_RS03760	KUD10_RS02250
OG0000003	EHI52_RS03670	KUD10_RS01900
OG0000004	EHI52_RS03210	KUD10_RS03265
OG0000004	EHI52_RS03225	KUD10_RS03275
OG0000004	EHI52_RS03010	KUD10_RS03075
OG0000004	EHI52_RS03045	KUD10_RS03095
OG0000004	EHI52_RS03025	KUD10_RS03085
OG0000005	EHI52_RS00100	KUD10_RS00100
OG0000005	EHI52_RS00120	KUD10_RS00120
OG0000005	EHI52_RS00105	KUD10_RS00105
OG0000005	EHI52_RS00110	KUD10_RS00110
OG0000005	EHI52_RS00125	KUD10_RS00125
OG0000006	EHI52_RS02500	KUD10_RS02585
OG0000006	EHI52_RS03880	KUD10_RS02420
OG0000007	EHI52_RS00995	KUD10_RS02245
OG0000008	EHI52_RS02320	KUD10_RS02375
OG0000008	EHI52_RS03775	KUD10_RS01700
OG0000008	EHI52_RS03830	KUD10_RS02590
OG0000009	EHI52_RS00085	KUD10_RS00085
OG0000009	EHI52_RS00680	KUD10_RS00675
OG0000010	EHI52_RS02085	KUD10_RS01910
OG0000011	EHI52_RS01985	KUD10_RS02000
OG0000011	EHI52_RS01990	KUD10_RS01995
OG0000013	EHI52_RS02410	KUD10_RS02465
OG0000013	EHI52_RS03710	KUD10_RS00185
OG0000014	EHI52_RS01155	KUD10_RS01080
OG0000016	EHI52_RS02830	KUD10_RS02915
OG0000016	EHI52_RS00170	KUD10_RS00170
OG0000017	EHI52_RS00155	KUD10_RS00155
OG0000017	EHI52_RS02840	KUD10_RS02925
OG0000019	EHI52_RS03865	KUD10_RS03080
OG0000019	EHI52_RS03860	KUD10_RS03110, KUD10_RS03090
OG0000020	EHI52_RS03550	KUD10_RS03620
OG0000020	EHI52_RS03555	KUD10_RS03625
OG0000022	EHI52_RS01715	KUD10_RS01720
OG0000022	EHI52_RS01770	KUD10_RS01775
OG0000023	EHI52_RS01380	KUD10_RS01390
OG0000024	EHI52_RS02735	KUD10_RS02825
OG0000024	EHI52_RS01335	KUD10_RS01345
OG0000025	EHI52_RS01720	KUD10_RS01725
OG0000025	EHI52_RS01765	KUD10_RS01770
OG0000026	EHI52_RS01425	KUD10_RS01435
OG0000026	EHI52_RS01745	KUD10_RS01750
OG0000027	EHI52_RS03355	KUD10_RS03410
OG0000029	EHI52_RS01150	KUD10_RS01075
OG0000029	EHI52_RS00620	KUD10_RS00620
OG0000030	EHI52_RS03350	KUD10_RS03400
OG0000031	EHI52_RS01660	KUD10_RS01150, KUD10_RS01665
OG0000032	EHI52_RS01630	KUD10_RS01640
OG0000033	EHI52_RS03825	KUD10_RS02495, KUD10_RS02480
OG0000033	EHI52_RS03820	KUD10_RS02490
OG0000035	EHI52_RS03220	KUD10_RS03270
OG0000035	EHI52_RS03205	KUD10_RS03250
OG0000036	EHI52_RS00115	KUD10_RS00115
OG0000036	EHI52_RS00130	KUD10_RS00130
OG0000037	EHI52_RS01640	KUD10_RS01650
OG0000037	EHI52_RS01635	KUD10_RS01645
OG0000038	EHI52_RS00515	KUD10_RS00495
OG0000039	EHI52_RS01675	KUD10_RS01675
OG0000040	EHI52_RS03295	KUD10_RS03345
OG0000042	EHI52_RS02930	KUD10_RS03010
OG0000043	EHI52_RS02020	KUD10_RS01965
OG0000045	EHI52_RS01680	KUD10_RS01680
OG0000046	EHI52_RS03305	KUD10_RS03355
OG0000048	EHI52_RS01840	KUD10_RS02150
OG0000049	EHI52_RS03065	KUD10_RS03120
OG0000050	EHI52_RS02450	KUD10_RS02530
OG0000051	EHI52_RS02650	KUD10_RS02740
OG0000052	EHI52_RS00075	KUD10_RS00075
OG0000053	EHI52_RS01510	KUD10_RS01520
OG0000054	EHI52_RS02475	KUD10_RS02555
OG0000055	EHI52_RS00135	KUD10_RS00135
OG0000056	EHI52_RS03530	KUD10_RS03605
OG0000057	EHI52_RS02915	KUD10_RS02995
OG0000060	EHI52_RS00080	KUD10_RS00080
OG0000061	EHI52_RS02075	KUD10_RS01920
OG0000062	EHI52_RS03585	KUD10_RS03655
OG0000063	EHI52_RS03580	KUD10_RS03650
OG0000064	EHI52_RS03570	KUD10_RS03640
