Orthogroup	MHP_154B_genes	MHP_NCTC10127_genes
OG0000000	NB624_RS02330	EXC50_RS01055
OG0000000	NB624_RS01720	EXC50_RS03990
OG0000001	NB624_RS02960	EXC50_RS01640
OG0000001	NB624_RS02915	EXC50_RS01590
OG0000002	NB624_RS02340	EXC50_RS04010
OG0000002	NB624_RS02335	EXC50_RS03900
OG0000002	NB624_RS01730	EXC50_RS00680
OG0000003	NB624_RS01755	EXC50_RS03580
OG0000004	NB624_RS03355	EXC50_RS02030
OG0000004	NB624_RS03195	EXC50_RS01865
OG0000005	NB624_RS00100	EXC50_RS00100
OG0000005	NB624_RS00105	EXC50_RS00110
OG0000006	NB624_RS02645	EXC50_RS01210
OG0000008	NB624_RS02450	EXC50_RS01160, EXC50_RS04015
OG0000008	NB624_RS01625, NB624_RS01635	EXC50_RS00595
OG0000008	NB624_RS02665	EXC50_RS04030
OG0000009	NB624_RS01015	EXC50_RS03420
OG0000009	NB624_RS00085	EXC50_RS00085
OG0000009	NB624_RS01000	EXC50_RS03405
OG0000010	NB624_RS01855	EXC50_RS00795, EXC50_RS04090, EXC50_RS02530, EXC50_RS00095
OG0000011	NB624_RS01955	EXC50_RS00895
OG0000011	NB624_RS01950	EXC50_RS00890
OG0000012	NB624_RS02895, NB624_RS01075, NB624_RS01870	EXC50_RS01855
OG0000013	NB624_RS02540	EXC50_RS01255
OG0000013	NB624_RS00185	EXC50_RS03965
OG0000014	NB624_RS00595	EXC50_RS04120
OG0000014	NB624_RS01090	EXC50_RS03000
OG0000014	NB624_RS01080	EXC50_RS03480
OG0000015	NB624_RS02070	EXC50_RS03670
OG0000016	NB624_RS03000	EXC50_RS01680
OG0000016	NB624_RS00170	EXC50_RS00170
OG0000017	NB624_RS00155	EXC50_RS00155
OG0000017	NB624_RS03010	EXC50_RS01690
OG0000018	NB624_RS02095	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085
OG0000019	NB624_RS03190	EXC50_RS04060
OG0000020	NB624_RS03690	EXC50_RS02390
OG0000020	NB624_RS03695	EXC50_RS02395
OG0000021	NB624_RS01760	EXC50_RS04125
OG0000021	NB624_RS01765	EXC50_RS03575
OG0000022	NB624_RS01660	EXC50_RS00615
OG0000022	NB624_RS01715	EXC50_RS00670
OG0000023	NB624_RS01310	EXC50_RS02770, EXC50_RS00495, EXC50_RS03740
OG0000024	NB624_RS02910	EXC50_RS01585
OG0000024	NB624_RS01265	EXC50_RS02815
OG0000025	NB624_RS01665	EXC50_RS00620
OG0000025	NB624_RS01710	EXC50_RS00665
OG0000026	NB624_RS01355	EXC50_RS02725
OG0000026	NB624_RS01690	EXC50_RS00645
OG0000027	NB624_RS03505	EXC50_RS02185
OG0000030	NB624_RS03495	EXC50_RS02175
OG0000031	NB624_RS02150	EXC50_RS02515, EXC50_RS03805
OG0000031	NB624_RS01595	EXC50_RS00545
OG0000035	NB624_RS03370	EXC50_RS02045
OG0000036	NB624_RS00120	EXC50_RS00115
OG0000036	NB624_RS00125	EXC50_RS00130
OG0000037	NB624_RS01585	EXC50_RS03970
OG0000039	NB624_RS01605	EXC50_RS03975, EXC50_RS00560
OG0000040	NB624_RS03440	EXC50_RS02120
