Orthogroup	MHP_168L_genes	MHP_MHP699_genes
OG0000000	MHP168L_RS03890	DR100_RS04325
OG0000000	MHP168L_RS02335	DR100_RS03595
OG0000000	MHP168L_RS03865	DR100_RS04215
OG0000000	MHP168L_RS01715	DR100_RS04210
OG0000001	MHP168L_RS01370	DR100_RS03930
OG0000001	MHP168L_RS02830	DR100_RS01790
OG0000002	MHP168L_RS04010, MHP168L_RS03840	DR100_RS04380
OG0000002	MHP168L_RS01710	DR100_RS04740
OG0000003	MHP168L_RS00485	DR100_RS03640
OG0000003	MHP168L_RS03875	DR100_RS03840
OG0000004	MHP168L_RS03195	DR100_RS03585
OG0000004	MHP168L_RS03205	DR100_RS03555
OG0000005	MHP168L_RS00090	DR100_RS01100
OG0000005	MHP168L_RS00100	DR100_RS04630
OG0000005	MHP168L_RS00105	DR100_RS04625, DR100_RS04615
OG0000006	MHP168L_RS02530	DR100_RS04230
OG0000006	MHP168L_RS02345, MHP168L_RS02380	DR100_RS04245
OG0000008	MHP168L_RS01795	DR100_RS03845
OG0000008	MHP168L_RS04025	DR100_RS03680
OG0000009	MHP168L_RS03915	DR100_RS00780
OG0000010	MHP168L_RS01950	DR100_RS04925
OG0000010	MHP168L_RS01650	DR100_RS04770
OG0000010	MHP168L_RS00085	DR100_RS01085
OG0000011	MHP168L_RS03995	DR100_RS01970
OG0000011	MHP168L_RS02035	DR100_RS01975
OG0000013	MHP168L_RS02430	DR100_RS02295
OG0000013	MHP168L_RS03905	DR100_RS03970
OG0000014	MHP168L_RS01070	DR100_RS03645
OG0000014	MHP168L_RS01055	DR100_RS04585
OG0000015	MHP168L_RS01665	DR100_RS01650
OG0000016	MHP168L_RS02870	DR100_RS01750
OG0000016	MHP168L_RS00150	DR100_RS00685
OG0000017	MHP168L_RS00135	DR100_RS00700
OG0000017	MHP168L_RS02880	DR100_RS01740
OG0000018	MHP168L_RS04060	DR100_RS04715
OG0000019	MHP168L_RS04055	DR100_RS03760
OG0000020	MHP168L_RS03590	DR100_RS03705
OG0000020	MHP168L_RS03595	DR100_RS04650
OG0000021	MHP168L_RS00490	DR100_RS03710
OG0000021	MHP168L_RS02360	DR100_RS03700
OG0000022	MHP168L_RS01775	DR100_RS02220
OG0000022	MHP168L_RS01725	DR100_RS04745
OG0000024	MHP168L_RS02775	DR100_RS03275
OG0000024	MHP168L_RS03940, MHP168L_RS03945	DR100_RS00195
OG0000025	MHP168L_RS01770	DR100_RS04750
OG0000025	MHP168L_RS01730	DR100_RS02170
OG0000026	MHP168L_RS01455	DR100_RS00285
OG0000026	MHP168L_RS01750	DR100_RS02190
OG0000027	MHP168L_RS03825	DR100_RS04850
OG0000027	MHP168L_RS03345	DR100_RS04690
OG0000029	MHP168L_RS00580	DR100_RS03520
OG0000029	MHP168L_RS01050	DR100_RS00725
OG0000030	MHP168L_RS03325	DR100_RS04855
OG0000030	MHP168L_RS03340	DR100_RS04695
OG0000031	MHP168L_RS03575	DR100_RS01570
OG0000031	MHP168L_RS01830	DR100_RS03415
OG0000032	MHP168L_RS03335	DR100_RS03775
OG0000035	MHP168L_RS03200	DR100_RS03560
OG0000036	MHP168L_RS00110	DR100_RS01080, DR100_RS01065
OG0000037	MHP168L_RS01845	DR100_RS03440
OG0000039	MHP168L_RS01815	DR100_RS04510, DR100_RS03660
OG0000040	MHP168L_RS03275	DR100_RS03895
OG0000041	MHP168L_RS00985, MHP168L_RS03925	DR100_RS00105
OG0000042	MHP168L_RS02970	DR100_RS03115
OG0000043	MHP168L_RS01210	DR100_RS02005
OG0000044	MHP168L_RS04140	DR100_RS04930
OG0000045	MHP168L_RS01810	DR100_RS03545
OG0000046	MHP168L_RS03280	DR100_RS04840
OG0000047	MHP168L_RS01680	DR100_RS01635
OG0000048	MHP168L_RS02210	DR100_RS02540
OG0000049	MHP168L_RS03050	DR100_RS01465
OG0000050	MHP168L_RS02475	DR100_RS02715
OG0000051	MHP168L_RS04035, MHP168L_RS02685	DR100_RS01815
OG0000052	MHP168L_RS00075	DR100_RS01115
OG0000053	MHP168L_RS01540	DR100_RS04755
OG0000054	MHP168L_RS02500	DR100_RS02740
OG0000055	MHP168L_RS00115	DR100_RS01060
OG0000056	MHP168L_RS03515	DR100_RS01270
OG0000057	MHP168L_RS02955	DR100_RS01665
OG0000058	MHP168L_RS03580	DR100_RS01565
OG0000059	MHP168L_RS01205	DR100_RS04135
OG0000060	MHP168L_RS01280	DR100_RS00115
OG0000060	MHP168L_RS00080	DR100_RS01110
OG0000061	MHP168L_RS01660	DR100_RS02060
OG0000062	MHP168L_RS03630	DR100_RS01225
OG0000063	MHP168L_RS03625	DR100_RS04645
OG0000064	MHP168L_RS03615	DR100_RS01240
OG0000065	MHP168L_RS04005, MHP168L_RS04000	DR100_RS03025
OG0000066	MHP168L_RS01445	DR100_RS00275
OG0000067	MHP168L_RS00510	DR100_RS02670
OG0000068	MHP168L_RS04135	DR100_RS00760
OG0000069	MHP168L_RS02845	DR100_RS01775
OG0000070	MHP168L_RS02505	DR100_RS02745
OG0000071	MHP168L_RS03265	DR100_RS03100
OG0000072	MHP168L_RS03270	DR100_RS04835
OG0000073	MHP168L_RS00955	DR100_RS00805
OG0000074	MHP168L_RS00765	DR100_RS04605
OG0000075	MHP168L_RS00320	DR100_RS00505
OG0000076	MHP168L_RS00335	DR100_RS00490
OG0000077	MHP168L_RS00425	DR100_RS00400
OG0000078	MHP168L_RS01760	DR100_RS02200
OG0000079	MHP168L_RS02590	DR100_RS01910
OG0000080	MHP168L_RS03895	DR100_RS04175
OG0000081	MHP168L_RS00315	DR100_RS00510
