Orthogroup	MHP_116_proteins	MHP_ES2L_proteins
OG0000000	WP_348602860.1	WP_240536667.1, WP_240536668.1
OG0000000	WP_348602504.1	WP_218833876.1
OG0000000	WP_348602503.1	WP_094521686.1
OG0000000	WP_348602862.1	WP_318036674.1
OG0000000	WP_348602524.1	WP_240536594.1
OG0000000	WP_348602817.1	WP_157696714.1, WP_179221294.1
OG0000001	WP_348602774.1	WP_240536639.1
OG0000001	WP_348602576.1	WP_240536607.1
OG0000002	WP_348602505.1	WP_179221136.1
OG0000002	WP_348602818.1	WP_179221108.1
OG0000003	WP_348602509.1	WP_240536590.1
OG0000003	WP_094521666.1	WP_240536655.1
OG0000004	WP_044284712.1	WP_179221232.1
OG0000004	WP_348602619.1	WP_179221230.1
OG0000004	WP_348602621.1	WP_179221234.1
OG0000005	WP_348602674.1	WP_146379449.1
OG0000005	WP_348602675.1	WP_179220982.1
OG0000005	WP_348602676.1	WP_179220983.1, WP_011289946.1
OG0000006	WP_348602543.1	WP_233688469.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_348602508.1	WP_002557992.1
OG0000008	WP_348602523.1	WP_240536593.1, WP_011206260.1
OG0000008	WP_348602804.1	WP_240536647.1
OG0000008	WP_348602544.1	WP_225972989.1
OG0000009	WP_348602747.1	WP_179221024.1
OG0000010	WP_348602833.1	WP_179221114.1
OG0000011	WP_348602848.1	WP_020835714.1, WP_179221118.1
OG0000012	WP_348602836.1	WP_179221115.1
OG0000013	WP_348602536.1	WP_240536602.1
OG0000013	WP_348602684.1	WP_240536631.1
OG0000014	WP_348602713.1	WP_179221016.1
OG0000014	WP_348602753.1	WP_179221018.1
OG0000015	WP_240536643.1	WP_240536643.1
OG0000016	WP_348602584.1	WP_179221190.1
OG0000016	WP_348602682.1	WP_179220988.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_348602781.1	WP_179221069.1, WP_179221210.1
OG0000019	WP_348602604.1	WP_233688517.1
OG0000019	WP_348602605.1	WP_240536613.1
OG0000020	WP_348602656.1	WP_240536625.1
OG0000020	WP_348602657.1	WP_179221274.1
OG0000021	WP_348602703.1	WP_094521655.1
OG0000022	WP_348602807.1	WP_179221100.1
OG0000022	WP_348602816.1	WP_179221107.1
OG0000023	WP_348602780.1	WP_179221068.1
OG0000024	WP_348602575.1	WP_179221186.1
OG0000024	WP_348602773.1	WP_011205981.1
OG0000025	WP_348602808.1	WP_179221101.1
OG0000025	WP_348602815.1	WP_179221106.1
OG0000026	WP_348602786.1	WP_179221074.1
OG0000026	WP_348602812.1	WP_179221105.1
OG0000027	WP_348602636.1	WP_011206475.1
OG0000028	WP_348602538.1	WP_179221152.1
OG0000029	WP_348602714.1	WP_179221049.1
OG0000029	WP_348602752.1	WP_179221019.1
OG0000030	WP_348602635.1	WP_179221248.1
OG0000032	WP_348602799.1	WP_179221091.1
OG0000035	WP_044284714.1	WP_179221231.1
OG0000036	WP_348602677.1	WP_240536628.1, WP_240536629.1
OG0000037	WP_348602858.1	WP_240536665.1
OG0000039	WP_348602802.1	WP_179221095.1
OG0000040	WP_348602629.1	WP_179221240.1
OG0000042	WP_348602593.1	WP_179221198.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_160606615.1	WP_240536645.1
OG0000046	WP_348602631.1	WP_179221242.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_348602606.1	WP_179221202.1
OG0000050	WP_348602539.1	WP_179221157.1
OG0000051	WP_348602565.1	WP_179221174.1
OG0000052	WP_011283836.1	WP_179220981.1
OG0000053	WP_348602794.1	WP_179221080.1
OG0000054	WP_348602541.1	WP_011206291.1
OG0000055	WP_348602678.1	WP_135618462.1
OG0000056	WP_348571887.1	WP_179221272.1
OG0000057	WP_348602591.1	WP_240536610.1
OG0000060	WP_348602670.1, WP_348602763.1	WP_220191083.1
OG0000061	WP_348602835.1	WP_135618818.1
OG0000062	WP_348602661.1, WP_011206522.1	WP_011206522.1
OG0000063	WP_348602663.1, WP_348602660.1	WP_179221276.1
OG0000064	WP_348602658.1	WP_179221275.1
OG0000065	WP_225972975.1	WP_179221139.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_348602706.1	WP_179221011.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_348602542.1	WP_011206292.1
OG0000071	WP_348571847.1	WP_179221239.1
OG0000072	WP_348602628.1	WP_240536620.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_348602722.1	WP_179221041.1
OG0000075	WP_014579568.1	WP_179221001.1
OG0000076	WP_146379475.1	WP_179221002.1
OG0000077	WP_348602701.1	WP_179221006.1
OG0000078	WP_348602810.1	WP_179221103.1
OG0000079	WP_348602553.1	WP_146379663.1
OG0000080	WP_348602560.1	WP_011206314.1
OG0000081	WP_011289985.1	WP_240536634.1
OG0000082	WP_348602535.1	WP_240536601.1
OG0000083	WP_011206216.1	WP_179221128.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_348602498.1	WP_179221131.1
OG0000086	WP_348602499.1	WP_179221132.1
OG0000087	WP_348602502.1	WP_044272477.1
OG0000088	WP_020835733.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_094521535.1	WP_011283835.1
OG0000091	WP_348602669.1	WP_179220979.1
OG0000092	WP_348602668.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_179220977.1
OG0000094	WP_348602667.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_179220973.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_348602664.1	WP_179221279.1
OG0000098	WP_135619170.1	WP_179221277.1
OG0000099	WP_348602654.1	WP_179221273.1
OG0000100	WP_160585575.1	WP_179221270.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_348602859.1	WP_240536650.1
OG0000103	WP_348571656.1	WP_160585202.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_011206242.1
OG0000106	WP_348602514.1	WP_160585203.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_011206247.1
OG0000109	WP_348602515.1	WP_014579826.1
OG0000110	WP_243216208.1	WP_179221149.1
OG0000111	WP_348602533.1	WP_240536600.1
OG0000112	WP_348602531.1	WP_240536599.1
