Orthogroup	MFC_Ms42_genes	MHP_MHP699_genes
OG0000000	MYF_RS03330, MYF_RS03295	DR100_RS04215
OG0000001	MYF_RS03415	DR100_RS03930, DR100_RS01790, DR100_RS03285, DR100_RS03280
OG0000002	MYF_RS01530	DR100_RS04380
OG0000002	MYF_RS01475	DR100_RS04890
OG0000002	MYF_RS03010	DR100_RS04740
OG0000003	MYF_RS01515	DR100_RS04885
OG0000007	MYF_RS01510	DR100_RS03495
OG0000007	MYF_RS01505	DR100_RS03500
OG0000007	MYF_RS01500	DR100_RS03510
OG0000008	MYF_RS01875	DR100_RS03845
OG0000011	MYF_RS03310	DR100_RS01970
OG0000011	MYF_RS01270	DR100_RS01975
OG0000013	MYF_RS03170, MYF_RS01100	DR100_RS02295
OG0000013	MYF_RS03400	DR100_RS03970
OG0000014	MYF_RS00550	DR100_RS03645, DR100_RS04585
OG0000016	MYF_RS00730	DR100_RS01750
OG0000017	MYF_RS03155	DR100_RS00700
OG0000017	MYF_RS00720	DR100_RS01740
OG0000018	MYF_RS01675	DR100_RS04715
OG0000019	MYF_RS03450	DR100_RS03760
OG0000019	MYF_RS03440	DR100_RS03785, DR100_RS03745
OG0000020	MYF_RS03080	DR100_RS03705
OG0000020	MYF_RS03085	DR100_RS04650
OG0000022	MYF_RS03025	DR100_RS04745
OG0000023	MYF_RS01880	DR100_RS01625
OG0000024	MYF_RS00790	DR100_RS03275, DR100_RS00195
OG0000025	MYF_RS03030	DR100_RS02170
OG0000026	MYF_RS01715	DR100_RS00285, DR100_RS02190
OG0000027	MYF_RS02825	DR100_RS04690
OG0000029	MYF_RS00555	DR100_RS03520, DR100_RS00725
OG0000030	MYF_RS02820	DR100_RS04855, DR100_RS04695
OG0000031	MYF_RS01215	DR100_RS01570, DR100_RS03415
OG0000032	MYF_RS03490	DR100_RS03450
OG0000032	MYF_RS02815	DR100_RS03775
OG0000037	MYF_RS03495	DR100_RS03435
OG0000037	MYF_RS03005	DR100_RS03440
OG0000039	MYF_RS03160, MYF_RS00615	DR100_RS04510, DR100_RS03660
OG0000040	MYF_RS02770, MYF_RS00840	DR100_RS03895
OG0000042	MYF_RS00610, MYF_RS00765	DR100_RS03115
OG0000043	MYF_RS01240	DR100_RS02005
OG0000045	MYF_RS00630	DR100_RS03545
OG0000048	MYF_RS01350	DR100_RS02540
OG0000049	MYF_RS03265, MYF_RS03455	DR100_RS01465
OG0000050	MYF_RS01180	DR100_RS02715
OG0000051	MYF_RS02420	DR100_RS01815
OG0000052	MYF_RS00075	DR100_RS01115
OG0000053	MYF_RS01800	DR100_RS04755
OG0000054	MYF_RS01155	DR100_RS02740
OG0000055	MYF_RS03395, MYF_RS03525	DR100_RS01060
OG0000056	MYF_RS03060	DR100_RS01270
OG0000057	MYF_RS00645	DR100_RS01665
OG0000062	MYF_RS03115	DR100_RS01225
OG0000063	MYF_RS03110	DR100_RS04645
OG0000064	MYF_RS03100	DR100_RS01240
OG0000065	MYF_RS01575	DR100_RS03025
OG0000066	MYF_RS01705	DR100_RS00275
OG0000068	MYF_RS00590	DR100_RS00760
OG0000069	MYF_RS00755	DR100_RS01775
OG0000070	MYF_RS01135	DR100_RS02745
OG0000071	MYF_RS02760	DR100_RS03100
OG0000072	MYF_RS02765	DR100_RS04835
OG0000073	MYF_RS02005	DR100_RS00805
OG0000074	MYF_RS02195	DR100_RS04605
OG0000075	MYF_RS00305	DR100_RS00505
OG0000076	MYF_RS00320	DR100_RS00490
OG0000077	MYF_RS00410	DR100_RS00400
OG0000078	MYF_RS00880	DR100_RS02200
OG0000079	MYF_RS01050	DR100_RS01910
OG0000080	MYF_RS01000, MYF_RS03365	DR100_RS04175
OG0000081	MYF_RS00300	DR100_RS00510
OG0000082	MYF_RS01110	DR100_RS04250, DR100_RS02290
OG0000083	MYF_RS01430	DR100_RS02770
OG0000084	MYF_RS01400	DR100_RS02590
OG0000085	MYF_RS01395	DR100_RS02585
OG0000086	MYF_RS01385	DR100_RS02575
OG0000087	MYF_RS01370	DR100_RS02560
OG0000088	MYF_RS01365	DR100_RS02555
OG0000089	MYF_RS01355	DR100_RS02545
OG0000090	MYF_RS00070	DR100_RS01120
OG0000091	MYF_RS00055	DR100_RS01135
OG0000092	MYF_RS00040	DR100_RS01150
OG0000093	MYF_RS00035	DR100_RS01155
OG0000094	MYF_RS00030	DR100_RS01160
OG0000095	MYF_RS00005	DR100_RS01185
OG0000096	MYF_RS03150	DR100_RS01190
OG0000097	MYF_RS03130	DR100_RS01210
OG0000098	MYF_RS03120	DR100_RS01220
OG0000099	MYF_RS03065	DR100_RS03485
OG0000100	MYF_RS03050	DR100_RS01280
OG0000101	MYF_RS03045	DR100_RS01285
OG0000102	MYF_RS03035	DR100_RS02175
OG0000103	MYF_RS01540	DR100_RS02990
