Orthogroup	MHP_UFV01_genes	MHP_MHP682_genes
OG0000000	FEF30_RS02570	DR097_RS02690
OG0000000	FEF30_RS04350, FEF30_RS02495, FEF30_RS02690, FEF30_RS02695	DR097_RS04740
OG0000001	FEF30_RS03180	DR097_RS04145
OG0000002	FEF30_RS02580	DR097_RS02700
OG0000002	FEF30_RS02575	DR097_RS02695
OG0000002	FEF30_RS04340	DR097_RS04855
OG0000002	FEF30_RS04295	DR097_RS04675
OG0000003	FEF30_RS04200	DR097_RS04955
OG0000003	FEF30_RS04345	DR097_RS04840
OG0000004	FEF30_RS03540	DR097_RS01330
OG0000004	FEF30_RS03550	DR097_RS01325
OG0000005	FEF30_RS00415	DR097_RS02455
OG0000005	FEF30_RS00435	DR097_RS04720
OG0000005	FEF30_RS04180	DR097_RS02445
OG0000005	FEF30_RS00425	DR097_RS02440
OG0000005	FEF30_RS04185	DR097_RS04715
OG0000007	FEF30_RS02555	DR097_RS03435
OG0000007	FEF30_RS02545	DR097_RS03440
OG0000007	FEF30_RS02540	DR097_RS03450
OG0000008	FEF30_RS02885	DR097_RS03625
OG0000009	FEF30_RS01500	DR097_RS00430
OG0000009	FEF30_RS00990	DR097_RS01140
OG0000010	FEF30_RS02240	DR097_RS02510
OG0000010	FEF30_RS04280	DR097_RS04755
OG0000011	FEF30_RS02330	DR097_RS00820
OG0000011	FEF30_RS02325	DR097_RS00825
OG0000013	FEF30_RS02775	DR097_RS02175
OG0000013	FEF30_RS00500	DR097_RS03895
OG0000014	FEF30_RS00910	DR097_RS03860
OG0000014	FEF30_RS04210	DR097_RS03370
OG0000016	FEF30_RS03220	DR097_RS01165
OG0000016	FEF30_RS00485	DR097_RS00270
OG0000017	FEF30_RS00470	DR097_RS00285
OG0000017	FEF30_RS03230	DR097_RS01175
OG0000019	FEF30_RS03670	DR097_RS03615
OG0000020	FEF30_RS00265	DR097_RS04835
OG0000020	FEF30_RS03755	DR097_RS04830
OG0000021	FEF30_RS02170, FEF30_RS00820	DR097_RS03390
OG0000022	FEF30_RS01975	DR097_RS01895
