Orthogroup	MHP_J_genes	MHP_KM014_genes
OG0000000	MHJ_RS02070	CIB43_RS03015
OG0000000	MHJ_RS02065	CIB43_RS03010
OG0000000	MHJ_RS01665	CIB43_RS02595, CIB43_RS02600
OG0000001	MHJ_RS01250	CIB43_RS02150
OG0000001	MHJ_RS02765	CIB43_RS03715
OG0000001	MHJ_RS03940, MHJ_RS02710	CIB43_RS03670
OG0000002	MHJ_RS03585	CIB43_RS03100
OG0000002	MHJ_RS01675	CIB43_RS02610
OG0000003	MHJ_RS01795	CIB43_RS02725
OG0000004	MHJ_RS03175	CIB43_RS00290
OG0000004	MHJ_RS03165	CIB43_RS00275
OG0000004	MHJ_RS02995	CIB43_RS00110
OG0000005	MHJ_RS00090	CIB43_RS00810
OG0000006	MHJ_RS03920, MHJ_RS03915	CIB43_RS03435
OG0000006	MHJ_RS02300, MHJ_RS02270	CIB43_RS03420
OG0000007	MHJ_RS02140	CIB43_RS03095
OG0000007	MHJ_RS02135	CIB43_RS03080
OG0000007	MHJ_RS02130	CIB43_RS03075
OG0000008	MHJ_RS03790	CIB43_RS03225
OG0000009	MHJ_RS00660	CIB43_RS01550
OG0000010	MHJ_RS01805	CIB43_RS02735
OG0000010	MHJ_RS00085	CIB43_RS00795
OG0000011	MHJ_RS04005	CIB43_RS02850
OG0000012	MHJ_RS01775	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	MHJ_RS01060	CIB43_RS01955
OG0000016	MHJ_RS02810	CIB43_RS03755
OG0000017	MHJ_RS00130	CIB43_RS00855
OG0000017	MHJ_RS02820	CIB43_RS03765
OG0000018	MHJ_RS01295	CIB43_RS01250, CIB43_RS01185
OG0000020	MHJ_RS03995	CIB43_RS00635
OG0000021	MHJ_RS00490	CIB43_RS02635
OG0000022	MHJ_RS01660	CIB43_RS02590
OG0000024	MHJ_RS01245	CIB43_RS02140
OG0000025	MHJ_RS01655	CIB43_RS02585
OG0000026	MHJ_RS01635	CIB43_RS02565
OG0000027	MHJ_RS03330	CIB43_RS00440
OG0000028	MHJ_RS02365, MHJ_RS02370	CIB43_RS03340
OG0000030	MHJ_RS03325	CIB43_RS00435
OG0000035	MHJ_RS03170	CIB43_RS00280
OG0000035	MHJ_RS03160	CIB43_RS00270
OG0000036	MHJ_RS00105	CIB43_RS00815
OG0000037	MHJ_RS03820	CIB43_RS02475, CIB43_RS02465
OG0000038	MHJ_RS00480, MHJ_RS01705	CIB43_RS02625
OG0000039	MHJ_RS01575	CIB43_RS02500
OG0000041	MHJ_RS00655	CIB43_RS03980
OG0000042	MHJ_RS02920	CIB43_RS03855
OG0000043	MHJ_RS01865	CIB43_RS02825
OG0000043	MHJ_RS01865	CIB43_RS00070
OG0000044	MHJ_RS01745	CIB43_RS02665
OG0000045	MHJ_RS01580	CIB43_RS02520
OG0000048	MHJ_RS02050	CIB43_RS02995
OG0000049	MHJ_RS03025	CIB43_RS00150
OG0000051	MHJ_RS02615	CIB43_RS03575
OG0000052	MHJ_RS00075	CIB43_RS00775
OG0000053	MHJ_RS01420	CIB43_RS02315
OG0000054	MHJ_RS02425	CIB43_RS03395
OG0000055	MHJ_RS00110	CIB43_RS00835
OG0000056	MHJ_RS03500	CIB43_RS00630, CIB43_RS03960
OG0000057	MHJ_RS02900	CIB43_RS03840
OG0000061	MHJ_RS01540	CIB43_RS02745
OG0000062	MHJ_RS03545	CIB43_RS00675
OG0000063	MHJ_RS03540	CIB43_RS00660
OG0000064	MHJ_RS03530	CIB43_RS00650
OG0000065	MHJ_RS02200	CIB43_RS03145
OG0000068	MHJ_RS00630	CIB43_RS01520
OG0000069	MHJ_RS02785	CIB43_RS03740
OG0000070	MHJ_RS02430	CIB43_RS03400
OG0000071	MHJ_RS03250	CIB43_RS00360
OG0000072	MHJ_RS03255	CIB43_RS00375
OG0000073	MHJ_RS00685	CIB43_RS01580
OG0000075	MHJ_RS00320	CIB43_RS01060
OG0000077	MHJ_RS00425	CIB43_RS01330
OG0000078	MHJ_RS01625	CIB43_RS02560
OG0000079	MHJ_RS02515	CIB43_RS03480
OG0000080	MHJ_RS03800	CIB43_RS03525
OG0000081	MHJ_RS00315	CIB43_RS01055
OG0000082	MHJ_RS02340, MHJ_RS03775	CIB43_RS03315
OG0000083	MHJ_RS01975	CIB43_RS02935
OG0000084	MHJ_RS02000	CIB43_RS02955
OG0000086	MHJ_RS02015	CIB43_RS02970
OG0000087	MHJ_RS02030	CIB43_RS02975
OG0000088	MHJ_RS02035	CIB43_RS02980
OG0000089	MHJ_RS02045	CIB43_RS02990
OG0000090	MHJ_RS00070	CIB43_RS00770
OG0000091	MHJ_RS00055	CIB43_RS00760
OG0000092	MHJ_RS00040	CIB43_RS00745
OG0000093	MHJ_RS00035	CIB43_RS00735
OG0000094	MHJ_RS00030	CIB43_RS00730
OG0000095	MHJ_RS00005	CIB43_RS00715
OG0000096	MHJ_RS03580	CIB43_RS00700
OG0000097	MHJ_RS03560	CIB43_RS00690
OG0000100	MHJ_RS03490	CIB43_RS00610
OG0000101	MHJ_RS03485	CIB43_RS00600
OG0000102	MHJ_RS01650	CIB43_RS02580
OG0000103	MHJ_RS02165	CIB43_RS03110
OG0000104	MHJ_RS02170	CIB43_RS03120
OG0000105	MHJ_RS02185	CIB43_RS03130
OG0000106	MHJ_RS02195	CIB43_RS03140
OG0000107	MHJ_RS02205	CIB43_RS03150
OG0000108	MHJ_RS02210	CIB43_RS03155
OG0000109	MHJ_RS02215	CIB43_RS03160
OG0000110	MHJ_RS02330	CIB43_RS03290
OG0000111	MHJ_RS02325	CIB43_RS03285
OG0000112	MHJ_RS02315	CIB43_RS03280
OG0000113	MHJ_RS02295	CIB43_RS03260
OG0000114	MHJ_RS02285	CIB43_RS03245
OG0000115	MHJ_RS02275	CIB43_RS03230
OG0000116	MHJ_RS01270	CIB43_RS02165
OG0000117	MHJ_RS01275	CIB43_RS02170
OG0000118	MHJ_RS01310	CIB43_RS02205
OG0000119	MHJ_RS01315	CIB43_RS02210
OG0000120	MHJ_RS01330	CIB43_RS02230
OG0000121	MHJ_RS01355	CIB43_RS02250
OG0000122	MHJ_RS01360	CIB43_RS02255
OG0000123	MHJ_RS01380	CIB43_RS02275
OG0000124	MHJ_RS01385	CIB43_RS02280
OG0000125	MHJ_RS01390	CIB43_RS02285
