Orthogroup	MFC_MF18_genes	MHP_ES2L_genes
OG0000000	DR082_RS03005	HZK19_RS03685
OG0000001	DR082_RS00825, DR082_RS00820	HZK19_RS03720, HZK19_RS02765, HZK19_RS03840
OG0000002	DR082_RS02920	HZK19_RS02110
OG0000002	DR082_RS03830	HZK19_RS01705
OG0000003	DR082_RS03925	HZK19_RS02160
OG0000004	DR082_RS01625	HZK19_RS02980
OG0000007	DR082_RS02890	HZK19_RS02155
OG0000007	DR082_RS02895	HZK19_RS02150
OG0000007	DR082_RS03930	HZK19_RS02145
OG0000011	DR082_RS03895, DR082_RS03545	HZK19_RS01910, HZK19_RS03920
OG0000013	DR082_RS01090, DR082_RS01085	HZK19_RS02370
OG0000013	DR082_RS03095	HZK19_RS03715
OG0000014	DR082_RS03685	HZK19_RS00585, HZK19_RS00595
OG0000016	DR082_RS00770	HZK19_RS02805
OG0000017	DR082_RS00175	HZK19_RS00140
OG0000017	DR082_RS00760	HZK19_RS02815
OG0000018	DR082_RS03790	HZK19_RS03075
OG0000020	DR082_RS03840	HZK19_RS03865, HZK19_RS03860
OG0000020	DR082_RS03845	HZK19_RS03600
OG0000022	DR082_RS03835	HZK19_RS01685
OG0000023	DR082_RS02000	HZK19_RS01285, HZK19_RS03085
OG0000024	DR082_RS00830	HZK19_RS02710, HZK19_RS01240
OG0000025	DR082_RS02390	HZK19_RS01680
OG0000026	DR082_RS02045	HZK19_RS01330, HZK19_RS01660
OG0000027	DR082_RS02575	HZK19_RS03390
OG0000027	DR082_RS03875	HZK19_RS03405
OG0000028	DR082_RS01105	HZK19_RS02385
OG0000029	DR082_RS00605	HZK19_RS01065, HZK19_RS00600
OG0000030	DR082_RS03880	HZK19_RS03380, HZK19_RS03400
OG0000031	DR082_RS01195	HZK19_RS03025
OG0000032	DR082_RS02570	HZK19_RS01545, HZK19_RS03395
OG0000039	DR082_RS00665	HZK19_RS01580
OG0000040	DR082_RS01855, DR082_RS00885	HZK19_RS03325
OG0000042	DR082_RS00660, DR082_RS00805	HZK19_RS02900
OG0000043	DR082_RS02595	HZK19_RS01875
OG0000045	DR082_RS03225, DR082_RS03230	HZK19_RS01585
OG0000047	DR082_RS00835	HZK19_RS03090
OG0000048	DR082_RS03010, DR082_RS02750	HZK19_RS02065
OG0000050	DR082_RS01160	HZK19_RS02415
OG0000051	DR082_RS01520	HZK19_RS02620
OG0000052	DR082_RS03660	HZK19_RS00075
OG0000053	DR082_RS03920	HZK19_RS01415
OG0000054	DR082_RS01135	HZK19_RS02440
OG0000055	DR082_RS03970	HZK19_RS00120
OG0000056	DR082_RS02415	HZK19_RS03580
OG0000057	DR082_RS00685	HZK19_RS02885
OG0000062	DR082_RS00025	HZK19_RS03630
OG0000063	DR082_RS00020	HZK19_RS03625
OG0000064	DR082_RS00010	HZK19_RS03615
OG0000065	DR082_RS01905	HZK19_RS02220
OG0000066	DR082_RS02035	HZK19_RS01320
OG0000068	DR082_RS00640	HZK19_RS00635
OG0000069	DR082_RS00795	HZK19_RS02780
OG0000070	DR082_RS01115	HZK19_RS02445
OG0000071	DR082_RS01840	HZK19_RS03315
OG0000072	DR082_RS03775	HZK19_RS03320
OG0000073	DR082_RS02205	HZK19_RS00680
OG0000074	DR082_RS03730	HZK19_RS00875
OG0000075	DR082_RS00360	HZK19_RS00325
OG0000076	DR082_RS00375	HZK19_RS00340
OG0000077	DR082_RS00460	HZK19_RS00425
OG0000078	DR082_RS00920	HZK19_RS01645
OG0000079	DR082_RS01035	HZK19_RS02525
OG0000080	DR082_RS03280	HZK19_RS02570
OG0000081	DR082_RS00355	HZK19_RS00320
OG0000082	DR082_RS01095	HZK19_RS02365
OG0000083	DR082_RS02990	HZK19_RS01985
OG0000084	DR082_RS02700	HZK19_RS02015
OG0000085	DR082_RS03060, DR082_RS02705	HZK19_RS02020
OG0000086	DR082_RS03910	HZK19_RS02030
OG0000087	DR082_RS02730	HZK19_RS02045
OG0000088	DR082_RS02735	HZK19_RS02050
OG0000089	DR082_RS02745	HZK19_RS02060
OG0000090	DR082_RS00130	HZK19_RS00070
OG0000091	DR082_RS00115	HZK19_RS00055
OG0000092	DR082_RS00100	HZK19_RS00040
OG0000093	DR082_RS00095	HZK19_RS00035
OG0000094	DR082_RS00090	HZK19_RS00030
OG0000095	DR082_RS00065	HZK19_RS00005
OG0000096	DR082_RS00060	HZK19_RS03665
OG0000097	DR082_RS00040	HZK19_RS03645
OG0000098	DR082_RS00030	HZK19_RS03635
OG0000099	DR082_RS02420	HZK19_RS03585
OG0000100	DR082_RS02410	HZK19_RS03570
OG0000101	DR082_RS02405	HZK19_RS03565
OG0000102	DR082_RS02395	HZK19_RS01675
OG0000103	DR082_RS01870	HZK19_RS02185
OG0000104	DR082_RS01875	HZK19_RS02190
OG0000105	DR082_RS01890	HZK19_RS02205
OG0000106	DR082_RS01900	HZK19_RS02215
OG0000107	DR082_RS01910	HZK19_RS02225
OG0000108	DR082_RS01915	HZK19_RS02230
OG0000109	DR082_RS01920	HZK19_RS02235
OG0000110	DR082_RS01925	HZK19_RS02355
OG0000111	DR082_RS01930	HZK19_RS02350
OG0000112	DR082_RS01940	HZK19_RS02340
OG0000113	DR082_RS03785	HZK19_RS02320
OG0000114	DR082_RS01965	HZK19_RS02310
OG0000115	DR082_RS01975	HZK19_RS02300
OG0000116	DR082_RS01985	HZK19_RS01265
OG0000117	DR082_RS01990	HZK19_RS01270
OG0000118	DR082_RS02020	HZK19_RS01305
OG0000119	DR082_RS02025	HZK19_RS01310
OG0000120	DR082_RS02040	HZK19_RS01325
OG0000121	DR082_RS02065	HZK19_RS01350
