Orthogroup	MHP_F72C_genes	MHP_KM014_genes
OG0000000	EHI52_RS00965	CIB43_RS03015
OG0000000	EHI52_RS03780	CIB43_RS03010
OG0000001	EHI52_RS02790	CIB43_RS03715
OG0000001	EHI52_RS02745, EHI52_RS02740	CIB43_RS03670
OG0000002	EHI52_RS02215	CIB43_RS03100
OG0000002	EHI52_RS01780	CIB43_RS02610
OG0000003	EHI52_RS03670	CIB43_RS02725
OG0000004	EHI52_RS03210	CIB43_RS00290
OG0000004	EHI52_RS03045	CIB43_RS00110
OG0000005	EHI52_RS00100	CIB43_RS00810
OG0000005	EHI52_RS00120	CIB43_RS00830
OG0000006	EHI52_RS02500	CIB43_RS03435
OG0000006	EHI52_RS02365, EHI52_RS03880, EHI52_RS02330	CIB43_RS03420
OG0000007	EHI52_RS00980	CIB43_RS03095
OG0000007	EHI52_RS00985	CIB43_RS03080
OG0000007	EHI52_RS00995	CIB43_RS03075
OG0000008	EHI52_RS02320	CIB43_RS03225
OG0000009	EHI52_RS00085	CIB43_RS00790
OG0000009	EHI52_RS00680	CIB43_RS01550
OG0000010	EHI52_RS02085	CIB43_RS02735
OG0000011	EHI52_RS01985	CIB43_RS02850
OG0000012	EHI52_RS02210, EHI52_RS01810, EHI52_RS03060	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	EHI52_RS00615	CIB43_RS01485
OG0000014	EHI52_RS01155	CIB43_RS01955
OG0000016	EHI52_RS02830	CIB43_RS03755
OG0000017	EHI52_RS00155	CIB43_RS00855
OG0000017	EHI52_RS02840	CIB43_RS03765
OG0000018	EHI52_RS01385	CIB43_RS02195
OG0000019	EHI52_RS03865	CIB43_RS00115
OG0000019	EHI52_RS03860	CIB43_RS03950, CIB43_RS00005
OG0000020	EHI52_RS03555	CIB43_RS00635
OG0000021	EHI52_RS02195	CIB43_RS02635
OG0000022	EHI52_RS01770	CIB43_RS02590
OG0000024	EHI52_RS01335	CIB43_RS02140
OG0000025	EHI52_RS01765	CIB43_RS02585
OG0000026	EHI52_RS01745	CIB43_RS02565
OG0000028	EHI52_RS02420	CIB43_RS03325
OG0000031	EHI52_RS01660	CIB43_RS01295, CIB43_RS00065
OG0000035	EHI52_RS03220	CIB43_RS00280
OG0000035	EHI52_RS03205	CIB43_RS00270
OG0000036	EHI52_RS00115	CIB43_RS00815
OG0000037	EHI52_RS01640	CIB43_RS02465
OG0000038	EHI52_RS02145, EHI52_RS03810	CIB43_RS02625
OG0000039	EHI52_RS01675	CIB43_RS02500
OG0000041	EHI52_RS03655	CIB43_RS03980
OG0000042	EHI52_RS02930	CIB43_RS03855
OG0000043	EHI52_RS02020	CIB43_RS02825
OG0000043	EHI52_RS02020	CIB43_RS00070
OG0000045	EHI52_RS01680	CIB43_RS02520
OG0000048	EHI52_RS01840	CIB43_RS02995
OG0000049	EHI52_RS03065	CIB43_RS00150
OG0000051	EHI52_RS02650	CIB43_RS03575
OG0000052	EHI52_RS00075	CIB43_RS00775
OG0000053	EHI52_RS01510	CIB43_RS02315
OG0000054	EHI52_RS02475	CIB43_RS03395
OG0000055	EHI52_RS00135	CIB43_RS00835
OG0000056	EHI52_RS03530	CIB43_RS00630, CIB43_RS03960
OG0000057	EHI52_RS02915	CIB43_RS03840
OG0000060	EHI52_RS00080	CIB43_RS00780
OG0000061	EHI52_RS02075	CIB43_RS02745
OG0000062	EHI52_RS03585	CIB43_RS00675
OG0000063	EHI52_RS03580	CIB43_RS00660
OG0000064	EHI52_RS03570	CIB43_RS00650
OG0000065	EHI52_RS02260	CIB43_RS03145
OG0000068	EHI52_RS00660	CIB43_RS01520
OG0000069	EHI52_RS02805	CIB43_RS03740
OG0000070	EHI52_RS02480	CIB43_RS03400
OG0000071	EHI52_RS03285	CIB43_RS00360
OG0000072	EHI52_RS03290	CIB43_RS00375
OG0000073	EHI52_RS00705	CIB43_RS01580
OG0000075	EHI52_RS00355	CIB43_RS01060
OG0000077	EHI52_RS00460	CIB43_RS01330
OG0000078	EHI52_RS01735	CIB43_RS02560
OG0000079	EHI52_RS02555	CIB43_RS03480
OG0000080	EHI52_RS03675	CIB43_RS03525
OG0000081	EHI52_RS00350	CIB43_RS01055
OG0000082	EHI52_RS02405	CIB43_RS03315
OG0000083	EHI52_RS01915	CIB43_RS02935
OG0000084	EHI52_RS01890	CIB43_RS02955
OG0000086	EHI52_RS01875	CIB43_RS02970
OG0000087	EHI52_RS01860	CIB43_RS02975
OG0000088	EHI52_RS01855	CIB43_RS02980
OG0000089	EHI52_RS01845	CIB43_RS02990
OG0000090	EHI52_RS00070	CIB43_RS00770
OG0000091	EHI52_RS00055	CIB43_RS00760
OG0000092	EHI52_RS00040	CIB43_RS00745
OG0000093	EHI52_RS00035	CIB43_RS00735
OG0000094	EHI52_RS00030	CIB43_RS00730
OG0000095	EHI52_RS00005	CIB43_RS00715
OG0000096	EHI52_RS03620	CIB43_RS00700
OG0000097	EHI52_RS03600	CIB43_RS00690
OG0000100	EHI52_RS03520	CIB43_RS00610
OG0000101	EHI52_RS03515	CIB43_RS00600
OG0000102	EHI52_RS01760	CIB43_RS02580
OG0000103	EHI52_RS02225	CIB43_RS03110
OG0000104	EHI52_RS02230	CIB43_RS03120
OG0000105	EHI52_RS02245	CIB43_RS03130
OG0000106	EHI52_RS02255	CIB43_RS03140
OG0000107	EHI52_RS02265	CIB43_RS03150
OG0000108	EHI52_RS02270	CIB43_RS03155
OG0000109	EHI52_RS02275	CIB43_RS03160
OG0000110	EHI52_RS02395	CIB43_RS03290
OG0000111	EHI52_RS02390	CIB43_RS03285
OG0000112	EHI52_RS02380	CIB43_RS03280
OG0000113	EHI52_RS02360	CIB43_RS03260
OG0000114	EHI52_RS02350	CIB43_RS03245
OG0000115	EHI52_RS02335	CIB43_RS03230
OG0000116	EHI52_RS01360	CIB43_RS02165
OG0000117	EHI52_RS01365	CIB43_RS02170
OG0000118	EHI52_RS01400	CIB43_RS02205
OG0000119	EHI52_RS01405	CIB43_RS02210
OG0000120	EHI52_RS01420	CIB43_RS02230
OG0000121	EHI52_RS01445	CIB43_RS02250
