Orthogroup	MFC_MF33_genes	MHP_MHP691_genes
OG0000000	DR085_RS03945	DR087_RS00160
OG0000000	DR085_RS03105	DR087_RS04315
OG0000001	DR085_RS03235	DR087_RS03325, DR087_RS03335, DR087_RS04015, DR087_RS04300, DR087_RS03255
OG0000002	DR085_RS03895	DR087_RS04740
OG0000002	DR085_RS03805	DR087_RS04755
OG0000003	DR085_RS03550	DR087_RS04750
OG0000004	DR085_RS01395	DR087_RS00850, DR087_RS00860, DR087_RS00840
OG0000007	DR085_RS02890	DR087_RS03535
OG0000007	DR085_RS02895	DR087_RS03530
OG0000007	DR085_RS03890	DR087_RS04335, DR087_RS03525
OG0000011	DR085_RS03875, DR085_RS02795	DR087_RS01510, DR087_RS04590
OG0000011	DR085_RS02805	DR087_RS01515
OG0000013	DR085_RS00915, DR085_RS00910	DR087_RS01680
OG0000013	DR085_RS03115	DR087_RS04185
OG0000014	DR085_RS03650	DR087_RS03505, DR087_RS03520
OG0000016	DR085_RS00605	DR087_RS01400
OG0000017	DR085_RS02380	DR087_RS02410
OG0000017	DR085_RS00595	DR087_RS01410
OG0000018	DR085_RS03745	DR087_RS04435
OG0000020	DR085_RS03795	DR087_RS04440
OG0000020	DR085_RS03790	DR087_RS04445
OG0000022	DR085_RS03800	DR087_RS04630
OG0000023	DR085_RS02195	DR087_RS00330
OG0000024	DR085_RS00665	DR087_RS03250
OG0000025	DR085_RS02460	DR087_RS02095
OG0000026	DR085_RS01755	DR087_RS01165, DR087_RS02075
OG0000027	DR085_RS03845	DR087_RS04475
OG0000029	DR085_RS00425	DR087_RS02775, DR087_RS03175
OG0000030	DR085_RS03850	DR087_RS04640, DR087_RS04470
OG0000031	DR085_RS02695	DR087_RS03210
OG0000032	DR085_RS03940	DR087_RS00575
OG0000033	DR085_RS00935	DR087_RS04070
OG0000039	DR085_RS00495, DR085_RS00485	DR087_RS03190
OG0000040	DR085_RS03110, DR085_RS00715, DR085_RS00720	DR087_RS02165
OG0000042	DR085_RS00480, DR085_RS00645	DR087_RS03360
OG0000043	DR085_RS02670	DR087_RS01545
OG0000045	DR085_RS00505	DR087_RS03185
OG0000048	DR085_RS02880, DR085_RS03055	DR087_RS00140
OG0000049	DR085_RS01410	DR087_RS01000
OG0000050	DR085_RS02735	DR087_RS02450
OG0000051	DR085_RS01290	DR087_RS01275
OG0000052	DR085_RS03420	DR087_RS00505
OG0000053	DR085_RS03740	DR087_RS04540
OG0000054	DR085_RS00960	DR087_RS02475
OG0000056	DR085_RS02435	DR087_RS00765
OG0000057	DR085_RS00520	DR087_RS01485
OG0000062	DR085_RS02230	DR087_RS00395
OG0000063	DR085_RS02225	DR087_RS04450
OG0000064	DR085_RS02215	DR087_RS00380
OG0000065	DR085_RS01895	DR087_RS00215
OG0000066	DR085_RS01765	DR087_RS01175
OG0000067	DR085_RS00345	DR087_RS02860
OG0000068	DR085_RS00460	DR087_RS03140
OG0000069	DR085_RS00630	DR087_RS01375
OG0000070	DR085_RS00940	DR087_RS02480
OG0000071	DR085_RS01590	DR087_RS00780
OG0000072	DR085_RS03730	DR087_RS02175
OG0000073	DR085_RS02070	DR087_RS02200
OG0000074	DR085_RS03690	DR087_RS04685
OG0000075	DR085_RS00175	DR087_RS01860
OG0000077	DR085_RS00275	DR087_RS03060
OG0000079	DR085_RS00860	DR087_RS02980
OG0000080	DR085_RS03275	DR087_RS04005
OG0000081	DR085_RS00170	DR087_RS01855
OG0000082	DR085_RS00920	DR087_RS01685
OG0000083	DR085_RS03000	DR087_RS00065
OG0000084	DR085_RS02830	DR087_RS00090
OG0000085	DR085_RS02835	DR087_RS00095
OG0000086	DR085_RS03880	DR087_RS00105
OG0000087	DR085_RS02860	DR087_RS00120
OG0000088	DR085_RS02865	DR087_RS00125
OG0000089	DR085_RS02875	DR087_RS00135
OG0000090	DR085_RS02335	DR087_RS00500
OG0000091	DR085_RS02320	DR087_RS00485
OG0000092	DR085_RS02305	DR087_RS00470
OG0000093	DR085_RS02300	DR087_RS00465
OG0000094	DR085_RS02295	DR087_RS00460
OG0000095	DR085_RS02270	DR087_RS00435
OG0000096	DR085_RS02265	DR087_RS00430
OG0000097	DR085_RS02245	DR087_RS00410
OG0000098	DR085_RS02235	DR087_RS00400
OG0000099	DR085_RS02430	DR087_RS00775
OG0000100	DR085_RS02440	DR087_RS00750
OG0000101	DR085_RS02445	DR087_RS00745
OG0000102	DR085_RS02455	DR087_RS02090
OG0000103	DR085_RS01930	DR087_RS00180
OG0000104	DR085_RS01925	DR087_RS00185
OG0000105	DR085_RS01910	DR087_RS00200
