# BUSCO version is: 5.8.1 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2024-01-08, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
17at2085	Complete	NC_021831.1	803861	799623	-	1920.9	1289	https://v10-1.orthodb.org/?query=17at2085	DNA-directed RNA polymerase subunit beta'
53at2085	Complete	NC_021831.1	807580	803918	-	1725.4	1198	https://v10-1.orthodb.org/?query=53at2085	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
56at2085	Complete	NC_021831.1	708828	704419	-	1361.1	1032	https://v10-1.orthodb.org/?query=56at2085	DNA polymerase III PolC-type
78at2085	Complete	NC_021831.1	858930	861869	+	936.9	777	https://v10-1.orthodb.org/?query=78at2085	SMCs flexible hinge
111at2085	Complete	NC_021831.1	117688	115064	-	994.8	684	https://v10-1.orthodb.org/?query=111at2085	UvrABC system protein A
118at2085	Complete	NC_021831.1	535479	533587	-	257.4	332	https://v10-1.orthodb.org/?query=118at2085	Domain of unknown functionDUF2779
147at2085	Complete	NC_021831.1	696674	694062	-	647.0	456	https://v10-1.orthodb.org/?query=147at2085	Lon protease
148at2085	Complete	NC_021831.1	98712	96628	-	1036.6	579	https://v10-1.orthodb.org/?query=148at2085	Elongation factor G
157at2085	Complete	NC_021831.1	40540	37880	-	772.8	628	https://v10-1.orthodb.org/?query=157at2085	Isoleucine--tRNA ligase
163at2085	Complete	NC_021831.1	248003	250654	+	821.3	620	https://v10-1.orthodb.org/?query=163at2085	Alanine--tRNA ligase
218at2085	Complete	NC_021831.1	528181	530442	+	436.4	495	https://v10-1.orthodb.org/?query=218at2085	DNA helicase
244at2085	Complete	NC_021831.1	357409	355499	-	552.5	463	https://v10-1.orthodb.org/?query=244at2085	DNA topoisomerase I, type IA
406at2085	Complete	NC_021831.1	120143	117681	-	675.3	488	https://v10-1.orthodb.org/?query=406at2085	Ribonuclease J
462at2085	Complete	NC_021831.1	848756	846384	-	736.7	609	https://v10-1.orthodb.org/?query=462at2085	Leucine--tRNA ligase
482at2085	Complete	NC_021831.1	50406	48322	-	511.6	500	https://v10-1.orthodb.org/?query=482at2085	Ribonuclease R
492at2085	Complete	NC_021831.1	87733	89535	+	834.8	490	https://v10-1.orthodb.org/?query=492at2085	Chaperone protein DnaK
501at2085	Complete	NC_021831.1	93498	95294	+	822.7	526	https://v10-1.orthodb.org/?query=501at2085	Elongation factor 4
