Orthogroup	MHP_7422_genes	MHP_98_genes
OG0000000	MHL_RS02380, MHL_RS04190	GOM18_RS04450
OG0000000	MHL_RS03710	GOM18_RS00685
OG0000001	MHL_RS03980	GOM18_RS03240
OG0000001	MHL_RS02845	GOM18_RS03125
OG0000001	MHL_RS04080	GOM18_RS04125
OG0000002	MHL_RS04055	GOM18_RS02350
OG0000002	MHL_RS01800	GOM18_RS04550
OG0000003	MHL_RS01875	GOM18_RS03520
OG0000003	MHL_RS03835	GOM18_RS03375
OG0000004	MHL_RS03205	GOM18_RS00895
OG0000004	MHL_RS03215	GOM18_RS00880
OG0000005	MHL_RS00105	GOM18_RS03145
OG0000005	MHL_RS04205	GOM18_RS03600
OG0000005	MHL_RS00115, MHL_RS00130	GOM18_RS04540
OG0000006	MHL_RS03635	GOM18_RS01950
OG0000006	MHL_RS02420	GOM18_RS02495
OG0000008	MHL_RS02375	GOM18_RS02455
OG0000008	MHL_RS04065	GOM18_RS03975
OG0000009	MHL_RS00755	GOM18_RS00095
OG0000009	MHL_RS00090	GOM18_RS00665
OG0000009	MHL_RS00770	GOM18_RS00110
OG0000010	MHL_RS01930	GOM18_RS03360
OG0000010	MHL_RS00100	GOM18_RS03805
OG0000011	MHL_RS04185	GOM18_RS03250
OG0000011	MHL_RS02020	GOM18_RS03255
OG0000012	MHL_RS03845	GOM18_RS01865, GOM18_RS03340
OG0000013	MHL_RS02470	GOM18_RS02545
OG0000013	MHL_RS03925	GOM18_RS03935
OG0000014	MHL_RS00590	GOM18_RS03570, GOM18_RS01700
OG0000015	MHL_RS01645, MHL_RS00685, MHL_RS01720	GOM18_RS02565
OG0000016	MHL_RS02885	GOM18_RS01215
OG0000016	MHL_RS00175	GOM18_RS01280
OG0000017	MHL_RS00160	GOM18_RS01265
OG0000017	MHL_RS02895	GOM18_RS01205
OG0000020	MHL_RS03545	GOM18_RS04290
OG0000020	MHL_RS03550	GOM18_RS03770, GOM18_RS03765
OG0000021	MHL_RS01835	GOM18_RS03485
OG0000021	MHL_RS03930	GOM18_RS03345
OG0000022	MHL_RS01740	GOM18_RS03040
OG0000022	MHL_RS01790	GOM18_RS04500
