Orthogroup	MHP_MHP691_proteins	MHP_153B_proteins
OG0000000	WP_258555636.1	WP_404923956.1
OG0000001	WP_187145661.1	WP_187145661.1
OG0000001	WP_258555566.1	WP_404923999.1
OG0000001	WP_011206342.1	WP_404923994.1
OG0000002	WP_160585200.1	WP_258555377.1, WP_404923949.1
OG0000002	WP_160608106.1	WP_404923934.1
OG0000002	WP_160608118.1	WP_404924158.1
OG0000003	WP_160607882.1	WP_404924160.1, WP_146379482.1
OG0000003	WP_258555606.1	WP_404923944.1
OG0000004	WP_160585636.1	WP_020835883.1
OG0000004	WP_160585635.1	WP_020835887.1
OG0000005	WP_160607716.1	WP_404924061.1
OG0000005	WP_160607720.1	WP_146379451.1
OG0000006	WP_258555587.1	WP_404923960.1
OG0000007	WP_258555604.1, WP_258555605.1	WP_160576975.1
OG0000007	WP_011284157.1	WP_404923946.1
OG0000007	WP_002557993.1	WP_404923943.1
OG0000008	WP_258555633.1	WP_404924196.1
OG0000009	WP_041361519.1	WP_041361519.1
OG0000010	WP_160607876.1, WP_258555487.1	WP_404924175.1
OG0000011	WP_160606477.1	WP_160587900.1
OG0000012	WP_160608124.1	WP_404923974.1, WP_404924104.1
OG0000012	WP_158632000.1	WP_158632000.1
OG0000013	WP_258555582.1	WP_240536333.1
OG0000013	WP_308704685.1	WP_404924067.1
OG0000014	WP_160608112.1	WP_404924106.1
OG0000015	WP_160607700.1	WP_240536643.1
OG0000016	WP_160607846.1	WP_404924002.1
OG0000016	WP_160607987.1	WP_146379459.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_160607808.1	WP_020835635.1
OG0000019	WP_258555634.1	WP_404924015.1
OG0000020	WP_308704678.1	WP_404924053.1
OG0000021	WP_160607936.1	WP_404924162.1
OG0000022	WP_160607941.1	WP_404924149.1
OG0000022	WP_160607953.1	WP_404924156.1
OG0000023	WP_160607810.1, WP_160607696.1	WP_044272391.1
OG0000024	WP_160608070.1	WP_404923993.1
OG0000025	WP_160607943.1	WP_404924150.1
OG0000025	WP_160607951.1	WP_160606775.1
OG0000026	WP_020835640.1	WP_404924129.1
OG0000026	WP_160590234.1	WP_404924155.1
OG0000027	WP_160585251.1	WP_146379747.1
OG0000028	WP_160607995.1, WP_220200632.1	WP_404923970.1
OG0000029	WP_160608024.1	WP_404924086.1
OG0000029	WP_160608062.1	WP_404924105.1
OG0000030	WP_240536353.1	WP_404924037.1
OG0000031	WP_011284063.1	WP_011206142.1
OG0000032	WP_160608068.1	WP_404924142.1
OG0000033	WP_258555580.1	WP_404923969.1
OG0000033	WP_258555581.1	WP_404923968.1
OG0000034	WP_233688423.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_160607769.1	WP_404924028.1
OG0000036	WP_160607722.1	WP_020835495.1, WP_146379454.1
OG0000037	WP_308704691.1	WP_404924191.1
OG0000039	WP_160608064.1	WP_179221095.1
OG0000040	WP_160607971.1	WP_404924032.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000042	WP_160608086.1	WP_404924008.1
OG0000043	WP_160585024.1	WP_014579804.1
OG0000044	WP_220200639.1	WP_225973034.1
OG0000045	WP_258555619.1	WP_404924192.1
OG0000046	WP_160607969.1	WP_404924033.1
OG0000048	WP_160607666.1	WP_011290213.1
OG0000049	WP_160607787.1	WP_020835860.1
OG0000050	WP_160607999.1	WP_404923972.1
OG0000051	WP_160607824.1	WP_404923985.1
OG0000052	WP_011289937.1	WP_404924060.1
OG0000053	WP_160607798.1	WP_404924135.1
OG0000054	WP_160608001.1	WP_404923973.1
OG0000055	WP_160607724.1	WP_146379455.1
OG0000056	WP_160607757.1	WP_404924050.1
OG0000057	WP_258555568.1	WP_258555814.1
OG0000058	WP_160585715.1, WP_160607688.1	WP_404923930.1
OG0000059	WP_258555521.1	WP_404923925.1
OG0000060	WP_020835489.1	WP_020835489.1
OG0000061	WP_146379613.1	WP_020835703.1
OG0000062	WP_160588098.1	WP_160588098.1
OG0000063	WP_160607710.1	WP_404924054.1
OG0000064	WP_011290440.1	WP_011290440.1
OG0000065	WP_011290219.1	WP_233688433.1
OG0000066	WP_160588243.1	WP_011205965.1
OG0000067	WP_160608100.1	WP_404924083.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_160607760.1	WP_160585219.1
OG0000072	WP_160607973.1	WP_404924031.1
OG0000073	WP_160584799.1	WP_404912207.1
OG0000074	WP_044284596.1	WP_404924091.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160607908.1	WP_160607908.1
OG0000077	WP_146379479.1	WP_404924080.1
OG0000078	WP_160607947.1	WP_404924153.1
OG0000079	WP_160608044.1	WP_404923976.1
OG0000080	WP_011206314.1	WP_404923980.1
OG0000081	WP_135618515.1	WP_404924076.1
OG0000083	WP_160590043.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_160590049.1	WP_011206223.1
OG0000086	WP_160590052.1	WP_011290207.1
OG0000087	WP_020835732.1	WP_404912425.1
OG0000088	WP_160590058.1	WP_020835733.1
OG0000089	WP_011290212.1	WP_011290212.1
OG0000090	WP_020835488.1	WP_404924059.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_160584856.1	WP_011205846.1
OG0000094	WP_160606485.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_258555535.1	WP_404924056.1
OG0000098	WP_146379769.1	WP_160588100.1
OG0000099	WP_160607759.1	WP_404924051.1
OG0000100	WP_011290432.1	WP_404924049.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_135619192.1	WP_020835678.1
OG0000103	WP_160585202.1	WP_011290214.1
OG0000104	WP_160607672.1	WP_011206239.1
OG0000105	WP_160607676.1	WP_146379630.1
OG0000106	WP_146379631.1	WP_404923951.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_308704677.1	WP_192894278.1
OG0000109	WP_160607678.1	WP_220200503.1
OG0000110	WP_146379648.1	WP_020835772.1
OG0000111	WP_258555584.1	WP_020835771.1
OG0000112	WP_258555585.1	WP_404923963.1
OG0000113	WP_160585296.1	WP_404923959.1
OG0000114	WP_258555588.1	WP_404923958.1
OG0000115	WP_011290245.1	WP_011284183.1
OG0000116	WP_160608082.1	WP_011290103.1
OG0000117	WP_160608080.1	WP_044272388.1
OG0000118	WP_011290108.1	WP_404924127.1
OG0000119	WP_135618686.1	WP_160585678.1
OG0000120	WP_160590292.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_146379557.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_404924132.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011290120.1	WP_160606641.1
OG0000127	WP_160590282.1	WP_160590282.1
OG0000128	WP_160607796.1	WP_146379564.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160585099.1	WP_160585099.1
OG0000132	WP_094521636.1	WP_011205939.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_308704690.1	WP_225973012.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_135618546.1	WP_179695961.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160608058.1	WP_404924103.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_160608056.1	WP_160584795.1
OG0000141	WP_011284290.1	WP_011284290.1
OG0000142	WP_160607860.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_135619026.1
OG0000144	WP_160607856.1	WP_404924007.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_160607848.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_160608076.1	WP_404923997.1
OG0000152	WP_160585269.1	WP_404923996.1
OG0000153	WP_160608074.1	WP_011206347.1
OG0000154	WP_160587842.1	WP_011290318.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_020835818.1	WP_020835818.1
OG0000158	WP_160607812.1	WP_404911941.1
OG0000159	WP_160590317.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_146379654.1
OG0000162	WP_160608004.1	WP_167871270.1
OG0000163	WP_160607997.1	WP_044272529.1
OG0000164	WP_135618732.1	WP_404924143.1
OG0000165	WP_011206200.1	WP_020835712.1
OG0000166	WP_160590029.1	WP_404924182.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_160585173.1	WP_135618848.1
OG0000169	WP_160607789.1	WP_179221201.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_160585650.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160585649.1	WP_011290368.1
OG0000174	WP_160600929.1	WP_160600929.1
OG0000175	WP_160588054.1	WP_160585645.1
OG0000176	WP_160607777.1	WP_404924025.1
OG0000177	WP_160585273.1	WP_160585273.1
OG0000178	WP_044272620.1	WP_044272620.1
OG0000179	WP_014579979.1	WP_014579979.1
OG0000180	WP_160607773.1	WP_011206445.1
OG0000181	WP_160585796.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160588140.1	WP_160585238.1
OG0000185	WP_020835897.1	WP_404924034.1
OG0000186	WP_044284745.1	WP_020835656.1
OG0000187	WP_160585781.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160607686.1	WP_404923954.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_146379633.1	WP_146379633.1
OG0000192	WP_011205992.1	WP_011205992.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_020835573.1	WP_179695841.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_146379501.1	WP_404924099.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_160608010.1	WP_011206071.1
OG0000205	WP_160606691.1	WP_160606691.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_011206063.1	WP_094521594.1
OG0000208	WP_160584818.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_011206052.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_160585195.1	WP_011283963.1
OG0000214	WP_160608018.1	WP_011206047.1
OG0000215	WP_160608019.1	WP_020835589.1
OG0000216	WP_160608020.1	WP_160585193.1
OG0000217	WP_160585731.1	WP_404924088.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_020835591.1
OG0000220	WP_135618616.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011206031.1
OG0000228	WP_160608021.1	WP_404924087.1
OG0000229	WP_160608022.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_160607928.1	WP_404924109.1
OG0000235	WP_160607926.1	WP_404924111.1
OG0000236	WP_011283989.1	WP_404924112.1
OG0000237	WP_160607924.1	WP_404924113.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_404924009.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_160585231.1	WP_044284696.1
OG0000242	WP_160608088.1	WP_020835854.1
OG0000243	WP_160608089.1	WP_160608089.1
OG0000244	WP_160608092.1	WP_041361690.1
OG0000245	WP_011206408.1	WP_404924010.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_160607991.1	WP_146379457.1
OG0000248	WP_160585552.1	WP_404924202.1
OG0000249	WP_160607989.1	WP_404924064.1
OG0000250	WP_011289957.1	WP_404924066.1
OG0000251	WP_160607985.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_135618489.1	WP_404924069.1
OG0000254	WP_160607983.1	WP_404924070.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_020835520.1	WP_146379775.1
OG0000260	WP_160607902.1	WP_011289982.1
OG0000261	WP_160607906.1	WP_404924075.1
OG0000262	WP_135618519.1	WP_041361531.1
OG0000263	WP_160585532.1	WP_160606511.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_160607914.1	WP_404924077.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_146379477.1	WP_044284773.1
OG0000268	WP_160584745.1	WP_404924078.1
OG0000269	WP_160608050.1	WP_011206134.1
OG0000270	WP_020835916.1	WP_404924047.1
OG0000271	WP_020835915.1	WP_404924046.1
OG0000272	WP_011284373.1	WP_404912074.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_404924044.1
OG0000275	WP_228366117.1	WP_011290422.1
OG0000276	WP_011290421.1	WP_160600741.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_404924043.1
OG0000280	WP_160607742.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_160607738.1	WP_404924041.1
OG0000283	WP_014580009.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_160585586.1	WP_404924039.1
OG0000286	WP_146379652.1	WP_404923971.1
OG0000287	WP_146379659.1	WP_146379659.1
OG0000288	WP_160585009.1	WP_348571747.1
OG0000289	WP_160608040.1	WP_404923975.1
OG0000290	WP_011290297.1	WP_404923983.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_020835806.1	WP_160585667.1
OG0000293	WP_020835805.1	WP_020835805.1
OG0000294	WP_160607832.1	WP_404923981.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_044272552.1	WP_044272552.1
OG0000297	WP_160608046.1	WP_160608046.1
OG0000298	WP_160584774.1	WP_135618474.1
OG0000299	WP_094521545.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_135618529.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_011206118.1	WP_011206118.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_160607854.1	WP_404924005.1
OG0000306	WP_160607838.1	WP_404924000.1
OG0000307	WP_160608072.1	WP_020835826.1
OG0000308	WP_160607822.1	WP_404911934.1
OG0000309	WP_146379668.1	WP_404923979.1
OG0000310	WP_011206298.1	WP_011206298.1
OG0000311	WP_160608002.1	WP_160606809.1
OG0000312	WP_160585159.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_160607866.1	WP_020835716.1
OG0000315	WP_160585171.1	WP_011290197.1
