Orthogroup	MHP_7448_proteins	MHP_MHP682_proteins
OG0000000	WP_228366139.1	WP_371807681.1
OG0000000	WP_044272483.1, WP_148174330.1, WP_052269173.1	WP_308507011.1
OG0000000	WP_081420845.1	WP_160585691.1
OG0000001	WP_228365393.1	WP_258555825.1
OG0000002	WP_020835748.1	WP_258555846.1
OG0000002	WP_020835682.1	WP_160585690.1
OG0000003	WP_044272444.1, WP_044272440.1, WP_044272308.1	WP_220191211.1
OG0000003	WP_052269171.1	WP_160585822.1, WP_160585818.1, WP_192894277.1
OG0000004	WP_020835883.1	WP_160585636.1
OG0000004	WP_020835887.1	WP_160585635.1
OG0000005	WP_011289941.1	WP_160585749.1
OG0000005	WP_011289945.1	WP_160585746.1
OG0000005	WP_011289942.1	WP_146379450.1
OG0000005	WP_011289943.1	WP_160585747.1
OG0000005	WP_011289946.1	WP_160585745.1
OG0000008	WP_228366102.1	WP_308507018.1
OG0000009	WP_041361519.1	WP_146379448.1
OG0000009	WP_011290021.1	WP_160585618.1
OG0000010	WP_011290178.1	WP_160585752.1
OG0000010	WP_228366119.1	WP_160585748.1
OG0000011	WP_011290191.1	WP_160585600.1
OG0000011	WP_044272461.1	WP_160585601.1
OG0000012	WP_179221115.1	WP_179221115.1
OG0000013	WP_228366099.1	WP_258555342.1
OG0000013	WP_228366120.1	WP_371807677.1
OG0000014	WP_011290011.1	WP_160585811.1
OG0000015	WP_041361615.1	WP_160585705.1
OG0000016	WP_044272572.1	WP_160585619.1
OG0000016	WP_011289955.1	WP_160585547.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000019	WP_044272603.1, WP_044272594.1, WP_011290357.1, WP_044272600.1	WP_258555870.1
OG0000020	WP_011290437.1	WP_160585812.1
OG0000020	WP_011290438.1	WP_308507016.1
OG0000021	WP_041361759.1, WP_020835536.1	WP_044284635.1
OG0000022	WP_011290146.1	WP_160585696.1
OG0000022	WP_011290156.1	WP_160585692.1
