Orthogroup	MFC_MF30_proteins	MHP_Ue273_proteins
OG0000000	WP_308705463.1	WP_347952487.1
OG0000001	WP_002557631.1	WP_347952413.1, WP_347952263.1, WP_347952260.1
OG0000002	WP_160605454.1	WP_020835748.1, WP_011206235.1
OG0000002	WP_160605578.1	WP_347952457.1
OG0000004	WP_220190801.1	WP_347952275.1, WP_347952277.1
OG0000011	WP_160605422.1	WP_347952482.1
OG0000011	WP_160605420.1	WP_347952481.1
OG0000013	WP_160605387.1, WP_160605385.1	WP_347952233.1
OG0000013	WP_258555096.1	WP_347952491.1
OG0000014	WP_220190749.1	WP_347952397.1, WP_347952382.1
OG0000016	WP_160580902.1	WP_347952265.1
OG0000017	WP_002557881.1	WP_243215933.1
OG0000017	WP_160605334.1	WP_020835837.1
OG0000019	WP_160605640.1	WP_347952278.1, WP_347952280.1, WP_347952282.1, WP_347952276.1
OG0000020	WP_308705457.1	WP_347952331.1
OG0000022	WP_160583783.1	WP_347952455.1
OG0000024	WP_258555110.1	WP_160585687.1, WP_347952412.1
OG0000025	WP_160583781.1	WP_347952453.1
OG0000026	WP_002557545.1	WP_347952418.1, WP_011206159.1
OG0000027	WP_160605603.1	WP_160585589.1
OG0000029	WP_160605322.1	WP_347952396.1, WP_347952383.1
OG0000030	WP_160605605.1	WP_160584917.1
OG0000031	WP_160605408.1	WP_011206142.1
OG0000039	WP_160605326.1	WP_347952442.1, WP_347952441.1
OG0000040	WP_258555133.1, WP_160605352.1	WP_347952301.1
OG0000042	WP_160605324.1, WP_160605340.1	WP_347952270.1, WP_347952269.1
OG0000043	WP_160605410.1	WP_014579804.1
OG0000045	WP_002557601.1	WP_160585827.1
OG0000048	WP_160605621.1	WP_347952212.1
OG0000049	WP_308705455.1	WP_020835860.1
OG0000050	WP_160605404.1	WP_347952238.1
OG0000051	WP_160581217.1	WP_347952252.1
OG0000052	WP_002557464.1	WP_011289937.1
OG0000053	WP_160605623.1	WP_347952425.1
OG0000054	WP_160605400.1	WP_347952240.1
OG0000055	WP_002557874.1, WP_323749063.1	WP_146379455.1
OG0000056	WP_160605584.1	WP_347952327.1
OG0000057	WP_258555107.1	WP_347952267.1, WP_347952268.1
OG0000062	WP_002557486.1	WP_160588098.1
OG0000063	WP_160605552.1	WP_160606495.1
OG0000064	WP_160581114.1	WP_347952332.1
OG0000065	WP_002557517.1	WP_347952215.1
OG0000066	WP_002557543.1	WP_011205965.1
OG0000067	WP_002557573.1	WP_347952376.1
OG0000068	WP_002557593.1	WP_011206103.1
OG0000069	WP_002557626.1	WP_011284269.1
OG0000070	WP_160605398.1	WP_011206292.1
OG0000071	WP_160605649.1, WP_160581282.1	WP_347952299.1
OG0000072	WP_160605550.1	WP_347952300.1
OG0000073	WP_039387630.1	WP_011206093.1
OG0000074	WP_236681775.1	WP_179221041.1
OG0000077	WP_160605308.1	WP_347952370.1
OG0000078	WP_160605360.1	WP_347952448.1
OG0000079	WP_160580968.1	WP_146379663.1
OG0000080	WP_196792423.1	WP_179695988.1
OG0000081	WP_308705447.1	WP_347952367.1
OG0000082	WP_220190753.1	WP_347952488.1
OG0000083	WP_002557446.1	WP_011206216.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000085	WP_002557452.1	WP_011206223.1
OG0000086	WP_160605611.1	WP_347952209.1
OG0000087	WP_236681783.1	WP_020835732.1
OG0000088	WP_002557458.1	WP_020835733.1
OG0000089	WP_160605617.1	WP_347952211.1
OG0000090	WP_002557465.1	WP_020835488.1
OG0000091	WP_160605562.1	WP_020835487.1
OG0000092	WP_002557471.1	WP_011205847.1
OG0000093	WP_002557472.1	WP_020835484.1
OG0000094	WP_002557473.1	WP_020835483.1
OG0000095	WP_160605558.1	WP_347952339.1
OG0000096	WP_002557480.1	WP_011206529.1
OG0000097	WP_002557483.1	WP_347952335.1
OG0000098	WP_160581106.1	WP_347952333.1
OG0000099	WP_160605586.1	WP_347952328.1
OG0000100	WP_160605582.1	WP_347952325.1
OG0000101	WP_002557497.1	WP_011206510.1
OG0000102	WP_160593490.1	WP_347952452.1
OG0000103	WP_160605508.1	WP_011290214.1
OG0000104	WP_002557510.1	WP_011206239.1
OG0000105	WP_002557514.1	WP_347952214.1
OG0000106	WP_160605510.1	WP_146379631.1
OG0000107	WP_002557518.1	WP_011284169.1
OG0000108	WP_002557519.1	WP_192894278.1
OG0000109	WP_160583943.1	WP_347952216.1
OG0000110	WP_160581160.1	WP_347952231.1
OG0000111	WP_002557523.1	WP_347952230.1
OG0000112	WP_160605514.1	WP_347952229.1
