Orthogroup	MHP_1257_genes	MHP_116_genes
OG0000000	ABKJ22_RS02210	ABJ972_RS02145
OG0000000	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255	ABJ972_RS02100
OG0000000	ABKJ22_RS02090	ABJ972_RS02080, ABJ972_RS02265, ABJ972_RS02270
OG0000000	ABKJ22_RS01715	ABJ972_RS01695
OG0000001	ABKJ22_RS01295	ABJ972_RS01265
OG0000001	ABKJ22_RS01300	ABJ972_RS02720
OG0000001	ABKJ22_RS02690, ABKJ22_RS02685	ABJ972_RS02675
OG0000002	ABKJ22_RS02205	ABJ972_RS02150
OG0000002	ABKJ22_RS02250	ABJ972_RS02105
OG0000002	ABKJ22_RS01720	ABJ972_RS01715
OG0000003	ABKJ22_RS01825	ABJ972_RS01815
OG0000004	ABKJ22_RS02940	ABJ972_RS03105, ABJ972_RS03100, ABJ972_RS03110, ABJ972_RS03120, ABJ972_RS02930, ABJ972_RS02945, ABJ972_RS02940
OG0000005	ABKJ22_RS00095	ABJ972_RS00100
OG0000005	ABKJ22_RS00100	ABJ972_RS00105
OG0000005	ABKJ22_RS00105, ABKJ22_RS00120	ABJ972_RS00110
OG0000006	ABKJ22_RS02450	ABJ972_RS02440
OG0000006	ABKJ22_RS02310	ABJ972_RS02305
OG0000006	ABKJ22_RS02280	ABJ972_RS02275
OG0000007	ABKJ22_RS02220	ABJ972_RS02135
OG0000007	ABKJ22_RS02225	ABJ972_RS02130
OG0000007	ABKJ22_RS02230	ABJ972_RS02125
OG0000008	ABKJ22_RS02100	ABJ972_RS02260
OG0000008	ABKJ22_RS01635	ABJ972_RS01615
OG0000008	ABKJ22_RS02455	ABJ972_RS02445
OG0000009	ABKJ22_RS01035	ABJ972_RS01005
OG0000009	ABKJ22_RS00085	ABJ972_RS00085
OG0000009	ABKJ22_RS01210	ABJ972_RS01180
OG0000009	ABKJ22_RS01020	ABJ972_RS00990
OG0000010	ABKJ22_RS01835	ABJ972_RS01825
OG0000011	ABKJ22_RS01925	ABJ972_RS01915
OG0000011	ABKJ22_RS01920	ABJ972_RS01910
OG0000012	ABKJ22_RS01200	ABJ972_RS01840
OG0000012	ABKJ22_RS03420	ABJ972_RS01170, ABJ972_RS01590, ABJ972_RS01805, ABJ972_RS01745
OG0000013	ABKJ22_RS02355	ABJ972_RS02350
OG0000013	ABKJ22_RS00180	ABJ972_RS00170
OG0000014	ABKJ22_RS00595	ABJ972_RS00580
OG0000014	ABKJ22_RS01105	ABJ972_RS01075
OG0000014	ABKJ22_RS01095	ABJ972_RS01065
OG0000015	ABKJ22_RS01575	ABJ972_RS01545
OG0000016	ABKJ22_RS02785	ABJ972_RS02765
OG0000016	ABKJ22_RS00165	ABJ972_RS00155
OG0000017	ABKJ22_RS00150	ABJ972_RS00140
OG0000017	ABKJ22_RS02795	ABJ972_RS02775
OG0000018	ABKJ22_RS01340	ABJ972_RS01310
OG0000019	ABKJ22_RS02945	ABJ972_RS02935
OG0000020	ABKJ22_RS03435	ABJ972_RS03450
OG0000020	ABKJ22_RS03440	ABJ972_RS03455
OG0000021	ABKJ22_RS01740	ABJ972_RS00490
OG0000021	ABKJ22_RS00510	ABJ972_RS00495
OG0000022	ABKJ22_RS01655	ABJ972_RS01635
OG0000022	ABKJ22_RS01710	ABJ972_RS01690
OG0000023	ABKJ22_RS01335	ABJ972_RS01305
OG0000024	ABKJ22_RS02680	ABJ972_RS02670
OG0000024	ABKJ22_RS01290	ABJ972_RS01260
OG0000025	ABKJ22_RS01660	ABJ972_RS01640
OG0000025	ABKJ22_RS01705	ABJ972_RS01685
OG0000026	ABKJ22_RS01380	ABJ972_RS01350
OG0000026	ABKJ22_RS01685	ABJ972_RS01665
OG0000027	ABKJ22_RS03225	ABJ972_RS03260
OG0000028	ABKJ22_RS02365	ABJ972_RS02360
OG0000029	ABKJ22_RS00600	ABJ972_RS00585
OG0000029	ABKJ22_RS01090	ABJ972_RS01060
OG0000030	ABKJ22_RS03215	ABJ972_RS03245
OG0000031	ABKJ22_RS01605	ABJ972_RS01580
OG0000032	ABKJ22_RS01585	ABJ972_RS01555
OG0000033	ABKJ22_RS02360	ABJ972_RS02355
OG0000036	ABKJ22_RS00125	ABJ972_RS00115
OG0000037	ABKJ22_RS01590	ABJ972_RS01560, ABJ972_RS01565
OG0000039	ABKJ22_RS01615	ABJ972_RS01595
OG0000040	ABKJ22_RS03165	ABJ972_RS03190
OG0000041	ABKJ22_RS01030	ABJ972_RS01000
OG0000042	ABKJ22_RS02880	ABJ972_RS02860
OG0000043	ABKJ22_RS01890	ABJ972_RS01880
OG0000044	ABKJ22_RS01670	ABJ972_RS01650
OG0000045	ABKJ22_RS01620	ABJ972_RS01600
OG0000048	ABKJ22_RS02075	ABJ972_RS02065
OG0000049	ABKJ22_RS02955	ABJ972_RS02960
OG0000050	ABKJ22_RS02395	ABJ972_RS02390
OG0000051	ABKJ22_RS02600	ABJ972_RS02590
OG0000052	ABKJ22_RS00075	ABJ972_RS00075
OG0000053	ABKJ22_RS01465	ABJ972_RS01435
OG0000054	ABKJ22_RS02420	ABJ972_RS02415
OG0000055	ABKJ22_RS00130	ABJ972_RS00120
OG0000056	ABKJ22_RS03415	ABJ972_RS03435
OG0000057	ABKJ22_RS02865	ABJ972_RS02845
OG0000061	ABKJ22_RS01845	ABJ972_RS01835
OG0000062	ABKJ22_RS03470	ABJ972_RS03485, ABJ972_RS03515
OG0000063	ABKJ22_RS03465	ABJ972_RS03510, ABJ972_RS03480
OG0000064	ABKJ22_RS03455	ABJ972_RS03470
OG0000065	ABKJ22_RS02160	ABJ972_RS02200
OG0000066	ABKJ22_RS01370	ABJ972_RS01340
OG0000067	ABKJ22_RS00525	ABJ972_RS00510
OG0000068	ABKJ22_RS01055	ABJ972_RS01025
OG0000069	ABKJ22_RS02760	ABJ972_RS02740
OG0000070	ABKJ22_RS02425	ABJ972_RS02420
OG0000071	ABKJ22_RS03155	ABJ972_RS03180
OG0000072	ABKJ22_RS03160	ABJ972_RS03185
OG0000073	ABKJ22_RS00995	ABJ972_RS00965
OG0000074	ABKJ22_RS00800	ABJ972_RS00765
OG0000075	ABKJ22_RS00335	ABJ972_RS00325
OG0000076	ABKJ22_RS00350	ABJ972_RS00340
OG0000077	ABKJ22_RS00445	ABJ972_RS00425
OG0000078	ABKJ22_RS01675	ABJ972_RS01655
OG0000079	ABKJ22_RS02505	ABJ972_RS02495
OG0000080	ABKJ22_RS02550	ABJ972_RS02540
OG0000081	ABKJ22_RS00330	ABJ972_RS00320
OG0000082	ABKJ22_RS02350	ABJ972_RS02345
OG0000083	ABKJ22_RS01995	ABJ972_RS01985
OG0000084	ABKJ22_RS02025	ABJ972_RS02015
OG0000085	ABKJ22_RS02030	ABJ972_RS02020
OG0000086	ABKJ22_RS02040	ABJ972_RS02030
OG0000087	ABKJ22_RS02055	ABJ972_RS02045
