#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP058578.1:110152-110943|+ -            264 1679at2085           -            265   1.2e-78  259.5  12.6   1   1   1.5e-80   1.3e-78  259.3  12.6    12   262     1   260     1   263 0.90 NZ_CP058578.1_88 # 110152 # 110943 # 1 # ID=1_88;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.266
NZ_CP058578.1:90280-91581|+   -            434 1679at2085           -            265   2.5e-23   78.0  11.7   1   3   2.1e-11   1.9e-09   32.6   0.1   123   177     6    64     1    79 0.79 NZ_CP058578.1_71 # 90280 # 91581 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
NZ_CP058578.1:90280-91581|+   -            434 1679at2085           -            265   2.5e-23   78.0  11.7   2   3   1.1e-12     1e-10   36.8   0.6    23   173    79   228    72   238 0.76 NZ_CP058578.1_71 # 90280 # 91581 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
NZ_CP058578.1:90280-91581|+   -            434 1679at2085           -            265   2.5e-23   78.0  11.7   3   3   7.1e-06   0.00064   14.4   1.1    24   139   251   380   245   386 0.62 NZ_CP058578.1_71 # 90280 # 91581 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
NZ_CP058578.1:569027-569623|- -            199 1679at2085           -            265     2e-13   45.6   5.4   1   2   8.2e-13   7.3e-11   37.2   0.1   123   172    41    91    31   105 0.90 NZ_CP058578.1_465 # 569027 # 569623 # -1 # ID=1_465;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
NZ_CP058578.1:569027-569623|- -            199 1679at2085           -            265     2e-13   45.6   5.4   2   2   0.00017     0.015   10.0   1.8    23    97   116   195   111   198 0.77 NZ_CP058578.1_465 # 569027 # 569623 # -1 # ID=1_465;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
NZ_CP058578.1:234716-236044|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   1   3       1.1        95   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_CP058578.1_211 # 234716 # 236044 # -1 # ID=1_211;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_CP058578.1:234716-236044|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   2   3     1e-13   9.1e-12   40.2   0.3    97   174   194   275   184   289 0.78 NZ_CP058578.1_211 # 234716 # 236044 # -1 # ID=1_211;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_CP058578.1:234716-236044|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   3   3    0.0003     0.026    9.1   6.5    21   104   291   366   281   386 0.71 NZ_CP058578.1_211 # 234716 # 236044 # -1 # ID=1_211;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_CP058578.1:191159-192040|- -            294 1679at2085           -            265   2.1e-10   35.7   9.8   1   2     2e-11   1.8e-09   32.7   0.2   119   175     6    66     2    85 0.78 NZ_CP058578.1_157 # 191159 # 192040 # -1 # ID=1_157;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_CP058578.1:191159-192040|- -            294 1679at2085           -            265   2.1e-10   35.7   9.8   2   2     0.002      0.18    6.4   4.3    47   103   108   169    75   189 0.77 NZ_CP058578.1_157 # 191159 # 192040 # -1 # ID=1_157;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_CP058578.1:52860-54119|+   -            420 1679at2085           -            265   3.8e-06   21.7  12.8   1   2     5e-07   4.5e-05   18.2   0.1   124   175   161   215   145   236 0.75 NZ_CP058578.1_40 # 52860 # 54119 # 1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
NZ_CP058578.1:52860-54119|+   -            420 1679at2085           -            265   3.8e-06   21.7  12.8   2   2    0.0072      0.64    4.6   9.4    39   121   257   343   253   346 0.86 NZ_CP058578.1_40 # 52860 # 54119 # 1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
