Orthogroup	MHP_ES2_proteins	MHP_MHP709_proteins
OG0000000	WP_240536417.1	WP_258555378.1
OG0000000	WP_135618868.1	WP_308507072.1
OG0000000	WP_240536413.1	WP_308507069.1
OG0000000	WP_228729165.1	WP_334199371.1
OG0000000	WP_094521686.1	WP_160588362.1
OG0000000	WP_135618783.1	WP_160588195.1
OG0000000	WP_318026031.1, WP_334199108.1	WP_334199370.1
OG0000001	WP_225972995.1	WP_258555241.1
OG0000001	WP_240536341.1	WP_258555237.1
OG0000002	WP_237697200.1	WP_258555377.1
OG0000002	WP_081430767.1	WP_160588366.1
OG0000002	WP_135618870.1	WP_160588356.1
OG0000002	WP_135618787.1	WP_160588193.1
OG0000003	WP_135618795.1, WP_135618807.1	WP_160587869.1
OG0000003	WP_240536309.1	WP_240536309.1
OG0000003	WP_237697199.1	WP_308507067.1
OG0000003	WP_228729174.1	WP_052293597.1
OG0000004	WP_014579982.1	WP_160588068.1
OG0000004	WP_135619092.1	WP_020835887.1
OG0000004	WP_240536349.1	WP_220191127.1
OG0000005	WP_135618450.1	WP_160588124.1
OG0000005	WP_135618456.1	WP_160588336.1
OG0000005	WP_135618452.1	WP_160588374.1
OG0000005	WP_135618454.1	WP_160588334.1
OG0000005	WP_135618458.1	WP_160588338.1
OG0000006	WP_135618942.1	WP_225972988.1
OG0000006	WP_240536328.1, WP_240536326.1	WP_258555362.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_135618872.1	WP_258555368.1
OG0000008	WP_240536388.1	WP_258555379.1
OG0000008	WP_240536338.1	WP_308507071.1
OG0000009	WP_135618567.1	WP_011290021.1
OG0000010	WP_135618816.1	WP_160587884.1
OG0000011	WP_135618836.1	WP_160587900.1
OG0000011	WP_135618832.1	WP_160587898.1
OG0000013	WP_240536333.1	WP_258555342.1
OG0000013	WP_240536360.1	WP_308507056.1
OG0000014	WP_135618629.1	WP_160587971.1
OG0000014	WP_135618557.1	WP_160587966.1
OG0000016	WP_135619010.1	WP_160587852.1
OG0000016	WP_135618472.1	WP_160588042.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_135618680.1, WP_135618751.1	WP_160588235.1
OG0000019	WP_135619049.1, WP_135619053.1	WP_160588348.1
