Orthogroup	MHP_112B_genes	MHP_MHP682_genes
OG0000000	NBX26_RS01900	DR097_RS02690
OG0000000	NBX26_RS01035, NBX26_RS01905, NBX26_RS02470	DR097_RS04740
OG0000000	NBX26_RS01860	DR097_RS01835
OG0000001	NBX26_RS02970	DR097_RS04145
OG0000002	NBX26_RS02355	DR097_RS02700
OG0000002	NBX26_RS01895	DR097_RS02695
OG0000002	NBX26_RS01010	DR097_RS04855
OG0000003	NBX26_RS00940	DR097_RS04850
OG0000003	NBX26_RS01045, NBX26_RS01040	DR097_RS04840
OG0000004	NBX26_RS03380	DR097_RS01330
OG0000004	NBX26_RS03385	DR097_RS01325
OG0000005	NBX26_RS00105	DR097_RS02455
OG0000005	NBX26_RS00110	DR097_RS02445
OG0000005	NBX26_RS00115	DR097_RS02440
OG0000006	NBX26_RS02660	DR097_RS04435
OG0000007	NBX26_RS00950	DR097_RS03480
OG0000007	NBX26_RS01050	DR097_RS03435
OG0000007	NBX26_RS00965	DR097_RS03835
OG0000007	NBX26_RS01055	DR097_RS03440
OG0000007	NBX26_RS01065	DR097_RS03450
OG0000008	NBX26_RS02665	DR097_RS03625
OG0000009	NBX26_RS00090	DR097_RS02470
OG0000009	NBX26_RS00685	DR097_RS01140
OG0000010	NBX26_RS02250	DR097_RS02510
OG0000011	NBX26_RS02155	DR097_RS00820
OG0000012	NBX26_RS02235	DR097_RS03825
OG0000013	NBX26_RS02550	DR097_RS02175
OG0000014	NBX26_RS00605	DR097_RS03370
OG0000016	NBX26_RS00160	DR097_RS00270
OG0000017	NBX26_RS00145	DR097_RS00285
OG0000017	NBX26_RS03025	DR097_RS01175
OG0000019	NBX26_RS03210, NBX26_RS03200, NBX26_RS03190	DR097_RS03615
OG0000020	NBX26_RS03745	DR097_RS04830
OG0000021	NBX26_RS02335	DR097_RS03390
OG0000022	NBX26_RS01790	DR097_RS01895
OG0000022	NBX26_RS01845	DR097_RS04680
OG0000024	NBX26_RS02915	DR097_RS01795
OG0000024	NBX26_RS01400	DR097_RS00345
OG0000025	NBX26_RS01795	DR097_RS04685
OG0000025	NBX26_RS01840	DR097_RS01845
OG0000026	NBX26_RS01490	DR097_RS01665
OG0000026	NBX26_RS01820	DR097_RS01865
OG0000027	NBX26_RS03535	DR097_RS02965
OG0000027	NBX26_RS03555	DR097_RS04560
OG0000028	NBX26_RS02575, NBX26_RS02580	DR097_RS02880, DR097_RS01995
OG0000029	NBX26_RS01225	DR097_RS02335
OG0000030	NBX26_RS03525	DR097_RS04775
OG0000030	NBX26_RS03550	DR097_RS04565
OG0000031	NBX26_RS01990	DR097_RS02075
OG0000032	NBX26_RS01700	DR097_RS04795
OG0000032	NBX26_RS03540, NBX26_RS03545	DR097_RS00730
OG0000034	NBX26_RS00985	DR097_RS03640
OG0000034	NBX26_RS00975	DR097_RS04475
OG0000035	NBX26_RS03365	DR097_RS04085
OG0000036	NBX26_RS00120	DR097_RS02435
OG0000037	NBX26_RS01705	DR097_RS03100
OG0000039	NBX26_RS01735	DR097_RS04950
OG0000041	NBX26_RS00670	DR097_RS03645
OG0000042	NBX26_RS03110	DR097_RS01265
OG0000043	NBX26_RS02185	DR097_RS00855
OG0000044	NBX26_RS01805	DR097_RS04900
OG0000045	NBX26_RS01745	DR097_RS03525
OG0000046	NBX26_RS03470	DR097_RS04785
OG0000047	NBX26_RS01935	DR097_RS02010
OG0000048	NBX26_RS01920	DR097_RS02830
OG0000049	NBX26_RS03220	DR097_RS01470
OG0000050	NBX26_RS02610	DR097_RS01960
OG0000051	NBX26_RS02825	DR097_RS01545
OG0000052	NBX26_RS00080, NBX26_RS00075	DR097_RS02480
OG0000053	NBX26_RS01580	DR097_RS04845
OG0000054	NBX26_RS02635	DR097_RS01935
OG0000055	NBX26_RS00125	DR097_RS00305
OG0000056	NBX26_RS03730	DR097_RS00545
OG0000057	NBX26_RS03095	DR097_RS01250
OG0000058	NBX26_RS01995	DR097_RS02085
OG0000059	NBX26_RS01985	DR097_RS02070
OG0000061	NBX26_RS02240	DR097_RS02500
OG0000062	NBX26_RS03775	DR097_RS02590
OG0000063	NBX26_RS03770	DR097_RS04735
OG0000064	NBX26_RS03760	DR097_RS02605
OG0000065	NBX26_RS02400	DR097_RS02745
OG0000066	NBX26_RS01480	DR097_RS01675
OG0000068	NBX26_RS00645	DR097_RS03055
OG0000069	NBX26_RS02990	DR097_RS01725
OG0000070	NBX26_RS02640	DR097_RS01930
OG0000071	NBX26_RS03445	DR097_RS03575
OG0000072	NBX26_RS03450	DR097_RS03580, DR097_RS04860
OG0000073	NBX26_RS00715	DR097_RS01115
OG0000074	NBX26_RS00910	DR097_RS04605
OG0000075	NBX26_RS00335	DR097_RS00090
OG0000076	NBX26_RS00350	DR097_RS00075
OG0000077	NBX26_RS00435	DR097_RS03275
OG0000078	NBX26_RS01810	DR097_RS01875
OG0000079	NBX26_RS02720	DR097_RS02640
OG0000080	NBX26_RS02765	DR097_RS04360
OG0000081	NBX26_RS00330	DR097_RS00095
OG0000083	NBX26_RS02080	DR097_RS00750
OG0000084	NBX26_RS02050	DR097_RS03685
OG0000085	NBX26_RS02045	DR097_RS02875
OG0000086	NBX26_RS02030	DR097_RS02865
OG0000087	NBX26_RS02015	DR097_RS02850
OG0000088	NBX26_RS02010	DR097_RS02845
OG0000089	NBX26_RS02000	DR097_RS02835
OG0000090	NBX26_RS00070	DR097_RS02485
OG0000091	NBX26_RS00055	DR097_RS02775
OG0000092	NBX26_RS00040	DR097_RS02790
OG0000093	NBX26_RS00035	DR097_RS02795
OG0000094	NBX26_RS00030	DR097_RS02800
OG0000095	NBX26_RS00005	DR097_RS03550
OG0000096	NBX26_RS03810	DR097_RS03545
OG0000097	NBX26_RS03790	DR097_RS02575
OG0000098	NBX26_RS03780	DR097_RS02585
OG0000099	NBX26_RS03735	DR097_RS00540, DR097_RS03665
OG0000100	NBX26_RS03720	DR097_RS00555
OG0000101	NBX26_RS03715	DR097_RS00560
OG0000102	NBX26_RS01835	DR097_RS01850
OG0000103	NBX26_RS02365	DR097_RS02710
OG0000104	NBX26_RS02370	DR097_RS02715
OG0000105	NBX26_RS02390	DR097_RS02730
OG0000106	NBX26_RS02395	DR097_RS02740
OG0000107	NBX26_RS02405	DR097_RS02750
OG0000108	NBX26_RS02410	DR097_RS02755
OG0000109	NBX26_RS02415	DR097_RS02760
OG0000110	NBX26_RS02535	DR097_RS02155
OG0000111	NBX26_RS02530	DR097_RS02150
OG0000112	NBX26_RS02520	DR097_RS02140
OG0000113	NBX26_RS02500	DR097_RS04705
OG0000114	NBX26_RS02490	DR097_RS02110
OG0000115	NBX26_RS02480	DR097_RS02095
OG0000116	NBX26_RS01420	DR097_RS00320
OG0000117	NBX26_RS01425	DR097_RS00315
OG0000118	NBX26_RS01460	DR097_RS01690
OG0000119	NBX26_RS01470	DR097_RS01685
OG0000120	NBX26_RS01485	DR097_RS01670
OG0000121	NBX26_RS01515	DR097_RS01645
OG0000122	NBX26_RS01520	DR097_RS01640
OG0000123	NBX26_RS01540	DR097_RS01620
OG0000124	NBX26_RS01545	DR097_RS01615
OG0000125	NBX26_RS01550	DR097_RS01610
OG0000126	NBX26_RS01560	DR097_RS01600
OG0000127	NBX26_RS01570	DR097_RS01590
OG0000128	NBX26_RS01585	DR097_RS03460
OG0000129	NBX26_RS01590	DR097_RS03355
OG0000130	NBX26_RS01600	DR097_RS03345
OG0000131	NBX26_RS01630	DR097_RS04820
OG0000132	NBX26_RS01645	DR097_RS04815
OG0000133	NBX26_RS00530	DR097_RS02400
OG0000134	NBX26_RS00535	DR097_RS02395
OG0000135	NBX26_RS00550	DR097_RS02380
OG0000136	NBX26_RS00555	DR097_RS02375
OG0000137	NBX26_RS00595	DR097_RS02345
OG0000138	NBX26_RS00620	DR097_RS03080
OG0000139	NBX26_RS00650	DR097_RS03050
OG0000140	NBX26_RS00655	DR097_RS03045
OG0000141	NBX26_RS03105	DR097_RS01260
OG0000142	NBX26_RS03100	DR097_RS04625
OG0000143	NBX26_RS03085	DR097_RS01230
OG0000144	NBX26_RS03070	DR097_RS01220
OG0000145	NBX26_RS03060	DR097_RS01210
OG0000146	NBX26_RS03050	DR097_RS01200
OG0000147	NBX26_RS03045	DR097_RS01195
OG0000148	NBX26_RS03030	DR097_RS01180
OG0000149	NBX26_RS03020	DR097_RS01170
OG0000150	NBX26_RS03005	DR097_RS01155
OG0000151	NBX26_RS02955	DR097_RS01755
OG0000152	NBX26_RS02950	DR097_RS01760
OG0000153	NBX26_RS02945	DR097_RS01765
OG0000154	NBX26_RS02935	DR097_RS01775
OG0000155	NBX26_RS02895	DR097_RS01820
OG0000156	NBX26_RS02890	DR097_RS01490
OG0000157	NBX26_RS02880	DR097_RS04640
OG0000158	NBX26_RS02870	DR097_RS04645
OG0000159	NBX26_RS02625	DR097_RS04905
OG0000160	NBX26_RS02620	DR097_RS01950
OG0000161	NBX26_RS02615	DR097_RS01955
OG0000162	NBX26_RS02605	DR097_RS01965
OG0000163	NBX26_RS02600	DR097_RS01970
OG0000164	NBX26_RS01730	DR097_RS03125
OG0000165	NBX26_RS02160	DR097_RS00830
OG0000166	NBX26_RS02140	DR097_RS00810
OG0000167	NBX26_RS02125	DR097_RS00795
OG0000168	NBX26_RS02120	DR097_RS00790
OG0000169	NBX26_RS03215	DR097_RS01475
OG0000170	NBX26_RS03230	DR097_RS01460
OG0000171	NBX26_RS03240	DR097_RS01450
OG0000172	NBX26_RS03245	DR097_RS01445
OG0000173	NBX26_RS03250	DR097_RS01440
OG0000174	NBX26_RS03255	DR097_RS01435
OG0000175	NBX26_RS03270	DR097_RS01420
OG0000176	NBX26_RS03330	DR097_RS01370
OG0000177	NBX26_RS03335	DR097_RS01365
OG0000178	NBX26_RS03340	DR097_RS01360
OG0000179	NBX26_RS03350	DR097_RS01350
OG0000180	NBX26_RS03355	DR097_RS01345
OG0000181	NBX26_RS03395	DR097_RS04805
OG0000182	NBX26_RS03405	DR097_RS03155
OG0000183	NBX26_RS03440	DR097_RS03570
OG0000184	NBX26_RS03495	DR097_RS02975
OG0000185	NBX26_RS03480	DR097_RS02990
OG0000186	NBX26_RS01655	DR097_RS04760
OG0000187	NBX26_RS01670	DR097_RS02915
OG0000188	NBX26_RS01680	DR097_RS02905
OG0000189	NBX26_RS02455	DR097_RS04790
OG0000190	NBX26_RS02450	DR097_RS03030
OG0000191	NBX26_RS02425	DR097_RS03010
OG0000192	NBX26_RS01345	DR097_RS00400
OG0000193	NBX26_RS01330	DR097_RS00415
OG0000194	NBX26_RS00695	DR097_RS01130
OG0000195	NBX26_RS00700	DR097_RS01125
OG0000196	NBX26_RS00725	DR097_RS01105
OG0000197	NBX26_RS00735	DR097_RS01100
OG0000198	NBX26_RS00745	DR097_RS01085
OG0000199	NBX26_RS00750	DR097_RS01080
OG0000200	NBX26_RS00765	DR097_RS01065
OG0000201	NBX26_RS00775	DR097_RS01055
OG0000202	NBX26_RS00830	DR097_RS01000
OG0000203	NBX26_RS00835	DR097_RS00995
OG0000204	NBX26_RS00840	DR097_RS00990
OG0000205	NBX26_RS00845	DR097_RS00985
OG0000206	NBX26_RS00865	DR097_RS00965
OG0000207	NBX26_RS00880	DR097_RS00950
OG0000208	NBX26_RS00885	DR097_RS00945
OG0000209	NBX26_RS00890	DR097_RS00940
OG0000210	NBX26_RS00935	DR097_RS04925
OG0000211	NBX26_RS01080	DR097_RS02185
OG0000212	NBX26_RS01085	DR097_RS02195
OG0000213	NBX26_RS01090	DR097_RS02200
OG0000214	NBX26_RS01095	DR097_RS02205
OG0000215	NBX26_RS01100	DR097_RS02210
OG0000216	NBX26_RS01105	DR097_RS02215
OG0000217	NBX26_RS01110	DR097_RS02220
OG0000218	NBX26_RS01120	DR097_RS02230
OG0000219	NBX26_RS01125	DR097_RS02235
OG0000220	NBX26_RS01130	DR097_RS02240
OG0000221	NBX26_RS01135	DR097_RS02245
OG0000222	NBX26_RS01140	DR097_RS02250
OG0000223	NBX26_RS01145	DR097_RS02255
OG0000224	NBX26_RS01155	DR097_RS02265
OG0000225	NBX26_RS01165	DR097_RS02275
OG0000226	NBX26_RS01170	DR097_RS02280
OG0000227	NBX26_RS01175	DR097_RS02285
OG0000228	NBX26_RS01180	DR097_RS04910
OG0000229	NBX26_RS01185	DR097_RS02295
OG0000230	NBX26_RS01190	DR097_RS02300
OG0000231	NBX26_RS01200	DR097_RS02310
OG0000232	NBX26_RS01210	DR097_RS02320
OG0000233	NBX26_RS01230	DR097_RS00535
OG0000234	NBX26_RS01265	DR097_RS00495
OG0000235	NBX26_RS01275	DR097_RS00485
OG0000236	NBX26_RS01280	DR097_RS00480
OG0000237	NBX26_RS01285	DR097_RS00475
OG0000238	NBX26_RS01295	DR097_RS00465
OG0000239	NBX26_RS03115	DR097_RS01270
OG0000240	NBX26_RS03120	DR097_RS01275
OG0000241	NBX26_RS03130	DR097_RS01285
OG0000242	NBX26_RS03135	DR097_RS01290
OG0000243	NBX26_RS03140	DR097_RS01295
OG0000244	NBX26_RS03150	DR097_RS01305
OG0000245	NBX26_RS03160	DR097_RS01315
OG0000246	NBX26_RS00130	DR097_RS00300
OG0000247	NBX26_RS00140	DR097_RS00290
OG0000248	NBX26_RS00150	DR097_RS00280
OG0000249	NBX26_RS00155	DR097_RS00275
OG0000250	NBX26_RS00180	DR097_RS00260
OG0000251	NBX26_RS00210	DR097_RS00225
OG0000252	NBX26_RS00215	DR097_RS00215
OG0000253	NBX26_RS00220	DR097_RS00210
OG0000254	NBX26_RS00230	DR097_RS00200
OG0000255	NBX26_RS00235	DR097_RS00190
OG0000256	NBX26_RS00240	DR097_RS00185
OG0000257	NBX26_RS00265	DR097_RS00160
OG0000258	NBX26_RS00280	DR097_RS00150
OG0000259	NBX26_RS00305	DR097_RS00120
OG0000260	NBX26_RS00315	DR097_RS00110
OG0000261	NBX26_RS00325	DR097_RS04500
OG0000262	NBX26_RS00340	DR097_RS00085
OG0000263	NBX26_RS00355	DR097_RS00070
OG0000264	NBX26_RS00370	DR097_RS00055
OG0000265	NBX26_RS00380	DR097_RS00045
OG0000266	NBX26_RS00395	DR097_RS00030
OG0000267	NBX26_RS00410	DR097_RS00015
OG0000268	NBX26_RS00415	DR097_RS00010
OG0000269	NBX26_RS00430	DR097_RS03285
OG0000270	NBX26_RS03690	DR097_RS04530
OG0000271	NBX26_RS03685	DR097_RS00590
OG0000272	NBX26_RS03680	DR097_RS00595
OG0000273	NBX26_RS03675	DR097_RS00600
OG0000274	NBX26_RS03660	DR097_RS00620
OG0000275	NBX26_RS03650	DR097_RS04540
OG0000276	NBX26_RS03645	DR097_RS00630
OG0000277	NBX26_RS03635	DR097_RS00640
OG0000278	NBX26_RS03630	DR097_RS00645
OG0000279	NBX26_RS03620	DR097_RS00655
