Orthogroup	MHP_REF_protein	MHP_UFV01_protein
OG0000000	WP_044272461.1	WP_243216150.1, WP_243216186.1, WP_160587900.1
OG0000001	WP_044272444.1	WP_243215969.1, WP_243216179.1, WP_233688742.1
OG0000002	WP_228366099.1	WP_243215939.1, WP_243216215.1
OG0000031	WP_011205867.1	WP_011205867.1
OG0000035	WP_044272427.1	WP_243216087.1
OG0000043	WP_011290432.1	WP_243215892.1
OG0000047	WP_225972996.1	WP_225972996.1
OG0000048	WP_044272567.1	WP_014579936.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000057	WP_011290028.1	WP_011206089.1
OG0000058	WP_011290048.1	WP_011283954.1
OG0000060	WP_011290055.1	WP_020835589.1
OG0000062	WP_020835608.1	WP_243216013.1
OG0000063	WP_014579535.1	WP_014579535.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_020835906.1	WP_243215866.1
OG0000069	WP_044272542.1	WP_179221160.1
OG0000071	WP_044272563.1	WP_243216282.1
OG0000072	WP_044272653.1	WP_243215853.1
OG0000076	WP_228366125.1	WP_243215998.1
OG0000236	WP_044272642.1	WP_243216342.1
OG0000503	WP_228366107.1	WP_228366107.1
OG0000545	WP_011290141.1	WP_243216074.1
OG0000556	WP_044272437.1	WP_011206170.1
OG0000559	WP_011290306.1	WP_243216271.1
